Dates,WFC
2007-02-12,8153500.0
2007-02-13,10409500.0
2007-02-15,10671900.0
2007-02-14,6591900.0
2007-02-16,11446000.0
2007-02-20,7986600.0
2007-02-21,12414900.0
2007-02-22,10513900.0
2007-02-23,15818200.0
2007-02-26,11862000.0
2007-02-27,15744000.0
2007-03-28,19013100.0
2007-11-07,18585400.0
2007-09-04,14720900.0
2007-08-03,15652700.0
2008-04-15,14467900.0
2008-05-21,10505800.0
2008-08-08,9772400.0
2008-08-11,10890000.0
2008-01-25,8307700.0
2007-05-14,21867900.0
2007-04-12,26108800.0
2007-12-24,20471200.0
2007-09-19,21731600.0
2008-04-30,12432400.0
2007-07-17,10092400.0
2007-06-15,16124700.0
2008-02-26,13373700.0
2008-05-27,9270700.0
2008-08-14,11924600.0
2008-05-30,14390400.0
2008-08-20,18239700.0
2007-08-01,10156800.0
2008-03-12,12506300.0
2007-03-26,19070700.0
2007-05-29,11247100.0
2007-04-27,8783800.0
2008-01-08,8935200.0
2007-12-07,10389300.0
2007-11-05,10856200.0
2007-10-04,16288300.0
2008-05-15,13058300.0
2008-06-05,11352900.0
2008-08-26,16418600.0
2007-10-19,15190100.0
2007-09-17,17211900.0
2007-08-16,11740400.0
2008-04-28,20674700.0
2007-04-10,9400400.0
2007-03-09,11667100.0
2007-06-13,17424400.0
2008-03-27,15068300.0
2008-01-23,8692500.0
2007-11-20,19273800.0
2008-06-11,10277400.0
2008-08-29,8231300.0
2007-12-05,6225100.0
2007-10-02,8103300.0
2007-04-25,8388900.0
2007-08-31,9384100.0
2007-07-30,11187600.0
2008-04-11,11804500.0
2007-06-28,13532500.0
2008-03-10,12078800.0
2008-02-07,11736100.0
2008-05-13,13810700.0
2008-06-23,9456600.0
2007-07-13,11731400.0
2008-03-25,15405800.0
2008-02-22,12812300.0
2007-12-20,14520200.0
2007-05-10,14604100.0
2007-03-07,7717100.0
2007-06-11,9657300.0
2007-10-17,9801600.0
2007-08-14,10211900.0
2008-05-28,9860900.0
2008-06-26,7486000.0
2007-05-31,13274400.0
2008-07-02,11550300.0
2007-08-29,12456600.0
2008-04-09,10598900.0
2007-06-26,7012700.0
2008-02-05,12201500.0
2008-01-04,10914500.0
2007-03-22,7805400.0
2007-05-25,13530400.0
2007-04-23,8271400.0
2007-12-03,10029000.0
2007-11-01,11947500.0
2008-07-08,9491900.0
2007-12-18,18177800.0
2007-11-16,14861400.0
2007-10-15,11361000.0
2007-09-13,13528900.0
2008-04-24,9297300.0
2007-07-11,14624700.0
2008-02-20,6758900.0
2007-03-05,3654400.0
2007-05-08,7500800.0
2008-06-27,8711000.0
2008-07-11,10523600.0
2008-07-14,21159600.0
2008-03-06,16253500.0
2007-05-23,18310100.0
2008-01-02,9719500.0
2007-03-20,10034300.0
2007-10-30,15446500.0
2007-09-28,19774000.0
2007-08-27,14956400.0
2007-07-26,21416100.0
2008-04-07,15077800.0
2008-05-09,23414300.0
2008-07-23,22049700.0
2007-09-11,30408300.0
2007-04-04,26603700.0
2007-06-07,23790300.0
2007-08-10,21447300.0
2008-04-22,29218200.0
2007-07-09,19716100.0
2008-01-17,34723700.0
2007-11-14,36005500.0
2008-06-25,29253000.0
2008-08-28,27057900.0
2008-07-29,25370300.0
2007-11-29,24789400.0
2007-05-21,13300800.0
2007-04-19,18934300.0
2007-09-26,22875600.0
2007-07-24,44702200.0
2007-06-22,49846400.0
2008-03-04,29025800.0
2008-02-01,27153000.0
2007-12-31,25721000.0
2008-05-07,17197600.0
2008-08-01,16806800.0
2008-08-04,18149200.0
2008-08-07,19522200.0
2008-01-15,15912900.0
2007-12-14,14342300.0
2007-04-02,15133700.0
2007-03-01,12123600.0
2007-05-04,13896400.0
2007-06-05,15233800.0
2007-11-12,17034300.0
2007-10-11,13618400.0
2007-08-08,16563400.0
2008-03-19,13375900.0
2008-05-23,14613700.0
2008-08-13,12095900.0
2007-08-23,11573500.0
2008-04-03,20974500.0
2007-06-20,21376400.0
2008-01-30,17721400.0
2007-04-17,23788600.0
2007-03-16,15541500.0
2007-11-27,15990400.0
2007-10-26,14538500.0
2007-09-24,13663600.0
2008-05-05,15879300.0
2008-05-29,19206300.0
2008-03-14,14569000.0
2008-08-19,16787300.0
2008-06-04,12525700.0
2008-08-22,11630000.0
2007-10-09,9408300.0
2007-09-07,10259500.0
2007-08-06,13995900.0
2008-04-18,16334300.0
2007-07-05,13902700.0
