Dates,GOLD
2007-12-31,43.40999984741211
2008-01-02,46.720001220703125
2008-01-04,49.33000183105469
2008-01-07,48.5099983215332
2008-01-03,48.70000076293945
2008-01-08,50.7400016784668
2008-01-09,50.45000076293945
2008-01-10,50.599998474121094
2008-01-11,51.41999816894531
2008-01-14,52.599998474121094
2008-01-15,52.18000030517578
2008-03-14,50.27000045776367
2008-06-18,49.08000183105469
2009-01-28,47.72999954223633
2008-04-15,49.599998474121094
2008-11-25,50.34000015258789
2009-04-02,51.290000915527344
2008-10-07,53.380001068115234
2008-01-25,53.93000030517578
2008-02-26,53.959999084472656
2008-04-30,54.0
2008-09-05,52.47999954223633
2008-08-04,52.9900016784668
2008-07-03,50.36000061035156
2009-03-16,48.97999954223633
2009-02-12,49.61000061035156
2008-12-10,48.65999984741211
2009-04-08,50.150001525878906
2008-03-12,50.41999816894531
2008-10-22,50.52000045776367
2008-08-19,48.90999984741211
2008-07-18,48.93000030517578
2008-06-16,48.439998626708984
2009-02-27,49.91999816894531
2008-05-15,50.27000045776367
2009-01-26,51.93000030517578
2009-03-31,50.66999816894531
2009-04-14,50.810001373291016
2009-04-17,51.029998779296875
2009-04-20,52.400001525878906
2008-07-01,53.52000045776367
2008-05-30,53.2400016784668
2009-02-10,53.9900016784668
2009-01-09,53.95000076293945
2008-01-23,53.38999938964844
2008-03-27,52.84000015258789
2008-04-28,51.47999954223633
2008-12-08,50.29999923706055
2008-11-06,50.560001373291016
2008-09-03,51.040000915527344
2009-04-23,53.20000076293945
2008-09-18,54.7400016784668
2008-07-16,54.040000915527344
2009-02-25,53.02000045776367
2008-03-10,48.9900016784668
2008-02-07,43.68000030517578
2008-04-11,43.540000915527344
2008-05-13,43.66999816894531
2008-12-23,45.54999923706055
2008-11-21,45.880001068115234
2008-10-20,44.970001220703125
2009-04-29,45.310001373291016
2009-05-05,42.40999984741211
2008-11-04,43.939998626708984
2008-10-03,44.119998931884766
2008-07-31,44.27000045776367
2008-03-25,45.33000183105469
2008-02-22,44.040000915527344
2009-03-12,44.310001373291016
2008-05-28,44.790000915527344
2009-01-07,43.61000061035156
2009-04-13,43.0
2009-05-15,44.119998931884766
2009-05-08,46.20000076293945
2008-06-12,46.2599983215332
2009-02-23,44.31999969482422
2009-01-22,44.189998626708984
2008-11-19,43.90999984741211
2008-09-16,42.02000045776367
2008-02-05,40.33000183105469
2008-04-09,40.09000015258789
2008-08-15,40.45000076293945
2008-07-14,38.47999954223633
2009-03-27,38.9900016784668
2009-05-14,38.25
2008-09-22,37.970001220703125
2008-07-29,39.18000030517578
2008-06-27,39.939998626708984
2009-03-10,39.33000183105469
2009-02-06,40.369998931884766
2009-01-05,40.970001220703125
2008-12-04,39.65999984741211
2008-02-20,39.11000061035156
2008-04-24,38.970001220703125
2008-10-01,39.2599983215332
2009-05-13,40.720001220703125
2009-05-26,41.04999923706055
2008-03-06,42.529998779296875
2008-11-17,43.869998931884766
2008-10-16,43.2400016784668
2008-08-13,43.279998779296875
2008-06-10,41.400001525878906
2008-05-09,40.84000015258789
2009-01-20,39.939998626708984
2008-04-07,40.43000030517578
2008-12-19,41.130001068115234
2009-03-25,40.86000061035156
2009-05-29,40.0
2009-06-01,40.540000915527344
2009-02-04,42.38999938964844
2008-01-17,42.4900016784668
2008-04-22,41.439998626708984
2008-12-02,40.27000045776367
2008-10-31,38.880001068115234
2008-09-29,38.88999938964844
2008-08-28,40.40999984741211
2008-06-25,40.34000015258789
2009-04-09,40.619998931884766
2009-05-11,41.5
2008-08-11,41.290000915527344
2008-07-10,41.15999984741211
2008-02-01,41.779998779296875
2008-03-04,41.13999938964844
2009-02-19,43.2599983215332
2008-05-07,45.720001220703125
2008-12-17,45.97999954223633
2008-10-14,47.0
2008-09-12,46.29999923706055
2009-03-23,45.310001373291016
2008-10-29,45.189998626708984
2008-08-26,44.68000030517578
2008-03-19,46.43000030517578
2008-07-25,47.599998474121094
2008-06-23,49.77000045776367
2009-03-06,50.529998779296875
2008-05-22,52.47999954223633
2009-02-02,50.43000030517578
2009-04-07,49.43000030517578
2009-01-16,48.13999938964844
2008-12-15,48.369998931884766
2008-11-13,49.619998931884766
2009-02-17,47.84000015258789
2008-04-03,44.900001525878906
2008-01-30,44.459999084472656
2008-05-05,45.2599983215332
2008-09-10,44.36000061035156
2008-07-08,42.40999984741211
2008-06-06,43.97999954223633
2009-04-16,43.65999984741211
2008-07-23,40.959999084472656
2009-03-04,39.04999923706055
2008-05-20,38.33000183105469
2008-12-30,37.380001068115234
2008-11-28,35.54999923706055
2008-03-17,35.25
2008-02-14,33.81999969482422
2008-04-18,35.45000076293945
2008-10-27,35.150001525878906
2008-09-25,33.060001373291016
2009-04-22,33.40999984741211
2008-10-10,34.22999954223633
2008-09-08,34.4900016784668
2008-08-07,36.470001220703125
2009-03-19,35.349998474121094
2008-06-04,35.349998474121094
2009-01-14,35.0
2008-01-28,35.5
2008-04-01,36.439998626708984
2008-02-29,35.54999923706055
2008-11-11,33.29999923706055
2009-04-28,33.09000015258789
2009-05-01,32.06999969482422
2008-11-26,31.5
2008-09-23,31.989999771118164
2008-08-22,28.639999389648438
2008-07-21,28.059999465942383
2008-06-19,27.6299991607666
2009-03-02,29.790000915527344
2008-04-16,29.850000381469727
2008-02-12,29.0
2009-01-29,33.54999923706055
2009-04-03,35.72999954223633
2009-05-04,35.099998474121094
2009-05-07,39.59000015258789
2008-02-27,38.810001373291016
2009-03-17,38.95000076293945
2008-06-02,39.08000183105469
2009-02-13,38.43000030517578
2008-05-01,39.59000015258789
2009-01-12,38.189998626708984
2008-12-11,39.22999954223633
2008-10-08,36.0
2008-08-05,34.0099983215332
2009-05-20,34.33000183105469
2008-04-14,32.119998931884766
2008-03-13,35.720001220703125
2008-05-16,35.84000015258789
2008-10-23,35.47999954223633
2008-08-20,31.65999984741211
2008-06-17,30.56999969482422
2009-01-27,30.399999618530273
2008-12-26,27.959999084472656
2008-11-24,27.239999771118164
2009-04-01,26.6299991607666
2009-05-19,25.399999618530273
2009-05-22,22.56999969482422
2008-12-09,21.520000457763672
2008-11-07,20.639999389648438
2008-01-24,20.600000381469727
2008-02-25,20.389999389648438
2008-03-28,23.360000610351562
2008-04-29,24.40999984741211
2008-10-06,24.450000762939453
2008-09-04,23.510000228881836
2008-07-02,25.540000915527344
2009-02-11,26.209999084472656
2009-05-28,25.989999771118164
2009-02-26,24.84000015258789
2008-07-17,25.5
2008-05-14,24.3700008392334
2008-12-24,23.479999542236328
2008-02-08,23.549999237060547
2008-03-11,24.540000915527344
2008-10-21,22.479999542236328
2008-09-19,22.079999923706055
2008-08-18,22.56999969482422
2009-03-30,21.75
2008-08-01,27.299999237060547
2008-09-02,29.700000762939453
2009-03-13,29.0
2009-01-08,29.25
2008-01-22,29.649999618530273
2008-03-26,28.18000030517578
2008-05-29,27.739999771118164
2008-11-05,27.389999389648438
2009-02-09,28.09000015258789
2008-06-30,25.31999969482422
2009-02-24,27.719999313354492
2008-11-20,28.75
2008-09-17,30.940000534057617
2009-01-23,33.16999816894531
2008-04-10,32.150001525878906
2008-02-06,33.720001220703125
