Dates,OIL
2007-12-31,311700
2008-01-02,120300
2008-01-04,163300
2008-01-07,76200
2008-01-03,59200
2008-01-08,60700
2008-01-09,25300
2008-01-10,86900
2008-01-11,62800
2008-01-14,47200
2008-01-15,68800
2008-03-14,111600
2008-06-18,110100
2009-01-28,66200
2008-04-15,78400
2008-11-25,147900
2009-04-02,104400
2008-10-07,80600
2008-01-25,53700
2008-02-26,20500
2008-04-30,49100
2008-09-05,66900
2008-08-04,221400
2008-07-03,176400
2009-03-16,85100
2009-02-12,144200
2008-12-10,134600
2009-04-08,57600
2008-03-12,176800
2008-10-22,41400
2008-08-19,26100
2008-07-18,38600
2008-06-16,40300
2009-02-27,117600
2008-05-15,155500
2009-01-26,181500
2009-03-31,134800
2009-04-14,115200
2009-04-17,193400
2009-04-20,138400
2008-07-01,167600
2008-05-30,92200
2009-02-10,131900
2009-01-09,208400
2008-01-23,208400
2008-03-27,262300
2008-04-28,224300
2008-12-08,188100
2008-11-06,108100
2008-09-03,178400
2009-04-23,126300
2008-09-18,158100
2008-07-16,473300
2009-02-25,183600
2008-03-10,298800
2008-02-07,419200
2008-04-11,291500
2008-05-13,121000
2008-12-23,217700
2008-11-21,115600
2008-10-20,138600
2009-04-29,221700
2009-05-05,176200
2008-11-04,97800
2008-10-03,191600
2008-07-31,94300
2008-03-25,82400
2008-02-22,64800
2009-03-12,127100
2008-05-28,76100
2009-01-07,116500
2009-04-13,205900
2009-05-15,149900
2009-05-08,212300
2008-06-12,86900
2009-02-23,127700
2009-01-22,129000
2008-11-19,227100
2008-09-16,257700
2008-02-05,244800
2008-04-09,257300
2008-08-15,174500
2008-07-14,151600
2009-03-27,266000
2009-05-14,280100
2008-09-22,217000
2008-07-29,114000
2008-06-27,211100
2009-03-10,334400
2009-02-06,312000
2009-01-05,387800
2008-12-04,516700
2008-02-20,585100
2008-04-24,1645700
2008-10-01,1070800
2009-05-13,685600
2009-05-26,269300
2008-03-06,202300
2008-11-17,612600
2008-10-16,1007200
2008-08-13,831800
2008-06-10,785000
2008-05-09,775000
2009-01-20,855300
2008-04-07,659300
