Dates,AAPL
2020-01-02,33870100.0
2020-01-03,36580700.0
2020-01-08,29596800.0
2020-01-06,27218000.0
2020-01-07,33019800.0
2020-01-09,42527100.0
2020-01-10,35161200.0
2020-01-13,30383000.0
2020-01-14,40488600.0
2020-01-15,30415300.0
2020-01-16,27207300.0
2020-01-27,34454100.0
2020-02-20,27710800.0
2020-02-12,25458100.0
2020-04-16,26118000.0
2020-02-04,36634400.0
2020-05-28,40485000.0
2020-07-08,40558500.0
2020-06-19,54057300.0
2020-05-12,31685800.0
2020-06-22,49897100.0
2020-06-03,43496400.0
2020-05-15,34154100.0
2020-03-06,29706700.0
2020-02-27,26356400.0
2020-04-15,29421000.0
2020-02-03,27337200.0
2020-02-11,23580800.0
2020-02-19,28432600.0
2020-04-07,23686900.0
2020-03-30,20028400.0
2020-04-23,38132800.0
2020-05-01,23496000.0
2020-07-14,25141500.0
2020-06-25,32388500.0
2020-06-16,55548800.0
2020-05-18,57668400.0
2020-06-09,49513700.0
2020-05-21,79834500.0
2020-01-17,106721200.0
2020-03-13,85349300.0
2020-03-05,79868900.0
2020-02-26,54794600.0
2020-02-18,46893200.0
2020-04-22,56544200.0
2020-02-10,71686200.0
2020-04-14,71322500.0
2020-04-06,63899700.0
2020-04-30,104618500.0
2020-06-12,92683000.0
2020-06-15,80605900.0
2020-05-27,81014000.0
2020-05-08,75058400.0
2020-07-07,67964300.0
2020-03-31,100423300.0
2020-06-18,84188200.0
2020-04-13,71882800.0
2020-03-20,75900500.0
2020-03-12,63021800.0
2020-01-24,51054200.0
2020-03-04,41994100.0
2020-02-25,49250500.0
2020-04-21,44054600.0
2020-04-29,41483500.0
2020-05-07,32470000.0
2020-05-11,50455100.0
2020-07-10,50721800.0
2020-06-02,42223800.0
2020-05-14,40529100.0
2020-07-13,32755700.0
2020-06-24,48748700.0
2020-06-05,32788600.0
2020-02-28,39281300.0
2020-01-23,53812500.0
2020-04-20,32503800.0
2020-02-24,45247900.0
2020-01-31,29264300.0
2020-03-19,31203600.0
2020-03-27,31627200.0
2020-03-11,29271900.0
2020-03-03,28001200.0
2020-04-28,34320200.0
2020-05-06,45457600.0
2020-06-08,60154200.0
2020-05-20,33392000.0
2020-07-01,36937800.0
2020-06-30,35583400.0
2020-06-11,28803800.0
2020-03-10,33512000.0
2020-03-02,36405900.0
2020-01-22,40575300.0
2020-01-30,50155600.0
2020-02-07,39732300.0
2020-04-03,41587100.0
2020-03-26,33843100.0
2020-03-18,25432400.0
2020-04-27,27876200.0
2020-05-05,25672200.0
2020-05-26,20450800.0
2020-07-06,31380500.0
2020-06-17,28236300.0
2020-05-29,33390200.0
2020-07-09,38399500.0
2020-06-01,20197800.0
2020-01-21,21910700.0
2020-01-29,26122800.0
2020-03-25,21890100.0
2020-03-17,34312600.0
2020-03-09,23913600.0
2020-02-14,36928100.0
2020-02-06,41662900.0
2020-04-02,50415600.0
2020-05-04,50001500.0
2020-04-24,34702200.0
2020-05-13,41357200.0
2020-06-23,28532000.0
2020-06-04,24205100.0
2020-07-15,66119000.0
2020-04-08,33861300.0
2020-06-26,53038900.0
2020-05-19,48155800.0
2020-04-09,34380600.0
2020-04-01,51314200.0
2020-03-24,32661500.0
2020-03-16,35055800.0
2020-01-28,27684300.0
2020-02-05,28510400.0
2020-02-13,29663900.0
2020-02-21,28106100.0
2020-04-17,29273000.0
2020-03-23,31410700.0
2020-06-29,22564300.0
2020-06-10,47912300.0
2020-05-22,42747300.0
2020-07-02,38189300.0
