Dates,AAPL
2020-01-02,295.19000244140625
2020-01-03,296.5
2020-01-08,292.75
2020-01-06,297.4800109863281
2020-01-07,297.1600036621094
2020-01-09,306.20001220703125
2020-01-10,308.25
2020-01-13,311.1499938964844
2020-01-14,312.1700134277344
2020-01-15,309.54998779296875
2020-01-16,312.0899963378906
2020-01-27,315.0
2020-02-20,316.0
2020-02-12,317.30999755859375
2020-04-16,315.6499938964844
2020-02-04,317.5199890136719
2020-05-28,304.8800048828125
2020-07-08,312.19000244140625
2020-06-19,321.3800048828125
2020-05-12,318.75
2020-06-22,308.2900085449219
2020-06-03,302.2200012207031
2020-05-15,313.6300048828125
2020-03-06,318.95001220703125
2020-02-27,320.260009765625
2020-04-15,318.0
2020-02-03,313.8500061035156
2020-02-11,318.7099914550781
2020-02-19,321.4700012207031
2020-04-07,323.3500061035156
2020-03-30,322.8500061035156
2020-04-23,314.6099853515625
2020-05-01,320.0
2020-07-14,318.2099914550781
2020-06-25,310.5
2020-06-16,289.2300109863281
2020-05-18,286.1300048828125
2020-06-09,286.5
2020-05-21,272.9599914550781
2020-01-17,256.3699951171875
2020-03-13,277.7200012207031
2020-03-05,285.79998779296875
2020-02-26,293.1300048828125
2020-02-18,291.4100036621094
2020-04-22,281.2300109863281
2020-02-10,263.0
2020-04-14,269.3699951171875
2020-04-06,271.8599853515625
2020-04-30,248.0
2020-06-12,252.9499969482422
2020-06-15,240.0
2020-05-27,238.39999389648438
2020-05-08,237.1199951171875
2020-07-07,242.61000061035156
2020-03-31,228.0
2020-06-18,212.61000061035156
2020-04-13,234.3000030517578
2020-03-20,244.3000030517578
2020-03-12,246.36000061035156
2020-01-24,247.0500030517578
2020-03-04,249.39999389648438
2020-02-25,252.0
2020-04-21,239.1300048828125
2020-04-29,236.89999389648438
2020-05-07,238.97000122070312
2020-05-11,249.3800048828125
2020-07-10,259.0
2020-06-02,261.2300109863281
2020-05-14,264.70001220703125
2020-07-13,265.8299865722656
2020-06-24,278.04998779296875
2020-06-05,280.6300048828125
2020-02-28,282.3500061035156
2020-01-23,276.8599853515625
2020-04-20,276.8500061035156
2020-02-24,265.42999267578125
2020-01-31,272.20001220703125
2020-03-19,274.8699951171875
2020-03-27,277.0
2020-03-11,279.95001220703125
2020-03-03,278.20001220703125
2020-04-28,283.8900146484375
2020-05-06,288.3500061035156
2020-06-08,285.8500061035156
2020-05-20,286.32000732421875
2020-07-01,294.4599914550781
2020-06-30,298.8699951171875
2020-06-11,301.9700012207031
2020-03-10,304.2900085449219
2020-03-02,307.239990234375
2020-01-22,310.9100036621094
2020-01-30,303.2099914550781
2020-02-07,301.5299987792969
2020-04-03,300.2099914550781
2020-03-26,310.32000732421875
2020-03-18,313.010009765625
2020-04-27,316.5199890136719
2020-05-05,315.8699951171875
2020-05-26,315.3500061035156
2020-07-06,316.5
2020-06-17,313.0899963378906
2020-05-29,315.6300048828125
2020-07-09,316.4700012207031
2020-06-01,317.2099914550781
2020-01-21,318.92999267578125
2020-01-29,322.29998779296875
2020-03-25,320.7799987792969
2020-03-17,323.2300109863281
2020-03-09,327.32000732421875
2020-02-14,332.010009765625
2020-02-06,346.0899963378906
2020-04-02,335.4800109863281
2020-05-04,334.2200012207031
2020-04-24,332.5799865722656
2020-05-13,344.7200012207031
2020-06-23,351.0899963378906
2020-06-04,349.2200012207031
2020-07-15,345.1499938964844
2020-04-08,351.1499938964844
2020-06-26,362.2699890136719
2020-05-19,358.5199890136719
2020-04-09,357.57000732421875
2020-04-01,353.0199890136719
2020-03-24,351.2799987792969
2020-03-16,360.0
2020-01-28,363.9100036621094
2020-02-05,363.6400146484375
2020-02-13,369.8699951171875
2020-02-21,372.2300109863281
2020-04-17,376.3599853515625
2020-03-23,378.69000244140625
2020-06-29,378.82000732421875
2020-06-10,381.0299987792969
2020-05-22,375.510009765625
2020-07-02,385.9599914550781
