Dates,GOLD
2020-01-02,18.709999084472656
2020-01-03,18.93000030517578
2020-01-08,18.979999542236328
2020-01-06,18.389999389648438
2020-01-07,18.510000228881836
2020-01-09,17.6200008392334
2020-01-10,17.670000076293945
2020-01-13,17.770000457763672
2020-01-14,17.299999237060547
2020-01-15,17.75
2020-01-16,18.0
2020-01-27,18.1299991607666
2020-02-20,17.959999084472656
2020-02-12,18.34000015258789
2020-04-16,18.209999084472656
2020-02-04,18.450000762939453
2020-05-28,19.0
2020-07-08,18.399999618530273
2020-06-19,18.09000015258789
2020-05-12,18.420000076293945
2020-06-22,18.479999542236328
2020-06-03,18.3700008392334
2020-05-15,18.010000228881836
2020-03-06,18.0
2020-02-27,18.1200008392334
2020-04-15,18.450000762939453
2020-02-03,18.260000228881836
2020-02-11,18.3700008392334
2020-02-19,18.510000228881836
2020-04-07,18.579999923706055
2020-03-30,19.0
2020-04-23,19.850000381469727
2020-05-01,20.809999465942383
2020-07-14,20.940000534057617
2020-06-25,21.450000762939453
2020-06-16,22.5
2020-05-18,21.700000762939453
2020-06-09,21.0
2020-05-21,21.3799991607666
2020-01-17,18.350000381469727
2020-03-13,19.420000076293945
2020-03-05,20.18000030517578
2020-02-26,21.0
2020-02-18,20.8799991607666
2020-04-22,21.520000457763672
2020-02-10,20.510000228881836
2020-04-14,20.049999237060547
2020-04-06,19.530000686645508
2020-04-30,16.969999313354492
2020-06-12,17.450000762939453
2020-06-15,13.210000038146973
2020-05-27,16.209999084472656
2020-05-08,17.079999923706055
2020-07-07,15.529999732971191
2020-03-31,16.65999984741211
2020-06-18,16.399999618530273
2020-04-13,18.780000686645508
2020-03-20,19.18000030517578
2020-03-12,19.540000915527344
2020-01-24,19.100000381469727
2020-03-04,19.200000762939453
2020-02-25,18.860000610351562
2020-04-21,18.40999984741211
2020-04-29,19.100000381469727
2020-05-07,19.739999771118164
2020-05-11,20.5
2020-07-10,20.489999771118164
2020-06-02,20.18000030517578
2020-05-14,20.90999984741211
2020-07-13,22.5
2020-06-24,24.299999237060547
2020-06-05,23.739999771118164
2020-02-28,24.5
2020-01-23,23.440000534057617
2020-04-20,24.309999465942383
2020-02-24,24.100000381469727
2020-01-31,25.649999618530273
2020-03-19,26.940000534057617
2020-03-27,27.25
2020-03-11,27.049999237060547
2020-03-03,26.469999313354492
2020-04-28,26.68000030517578
2020-05-06,26.100000381469727
2020-06-08,25.280000686645508
2020-05-20,27.299999237060547
2020-07-01,27.280000686645508
2020-06-30,27.93000030517578
2020-06-11,27.0
2020-03-10,27.440000534057617
2020-03-02,27.219999313354492
2020-01-22,26.329999923706055
2020-01-30,26.579999923706055
2020-02-07,26.100000381469727
2020-04-03,27.670000076293945
2020-03-26,28.079999923706055
2020-03-18,27.520000457763672
2020-04-27,28.290000915527344
2020-05-05,26.959999084472656
2020-05-26,26.600000381469727
2020-07-06,25.899999618530273
2020-06-17,23.450000762939453
2020-05-29,24.549999237060547
2020-07-09,24.649999618530273
2020-06-01,24.100000381469727
2020-01-21,24.81999969482422
2020-01-29,23.34000015258789
2020-03-25,23.81999969482422
2020-03-17,22.5
2020-03-09,23.239999771118164
2020-02-14,24.100000381469727
2020-02-06,24.770000457763672
2020-04-02,25.40999984741211
2020-05-04,24.649999618530273
2020-04-24,23.5
2020-05-13,24.420000076293945
2020-06-23,24.479999542236328
2020-06-04,24.200000762939453
2020-07-15,24.25
2020-04-08,25.110000610351562
2020-06-26,25.950000762939453
2020-05-19,25.68000030517578
2020-04-09,25.729999542236328
2020-04-01,25.639999389648438
2020-03-24,26.0
2020-03-16,26.059999465942383
2020-01-28,26.979999542236328
2020-02-05,26.600000381469727
2020-02-13,26.729999542236328
2020-02-21,26.549999237060547
2020-04-17,27.549999237060547
2020-03-23,28.0
2020-06-29,27.639999389648438
2020-06-10,27.489999771118164
2020-05-22,26.049999237060547
2020-07-02,26.899999618530273
