Dates,BAC,AAPL,NFLX,AMZN,GOLD,WFC
2020-01-02,37614200.0,33870100.0,4485800.0,4029000.0,7096800.0,16803100.0
2020-01-03,50357900.0,36580700.0,3806900.0,3764400.0,13759300.0,15608800.0
2020-01-08,42185000.0,29596800.0,5663100.0,4061800.0,14286900.0,13200300.0
2020-01-06,34149000.0,27218000.0,4703200.0,4044900.0,12084100.0,13278600.0
2020-01-07,45311600.0,33019800.0,7104500.0,3508000.0,14582200.0,16585600.0
2020-01-09,39861600.0,42527100.0,4709300.0,3167300.0,11537900.0,20817400.0
2020-01-10,39730400.0,35161200.0,4718300.0,2853700.0,8361600.0,13777600.0
2020-01-13,37956100.0,30383000.0,6290000.0,2780800.0,8410700.0,25197600.0
2020-01-14,66719300.0,40488600.0,7199400.0,3440900.0,10064900.0,56668300.0
2020-01-15,74718600.0,30415300.0,5153300.0,2892700.0,10445100.0,47119600.0
2020-01-16,50368500.0,27207300.0,5016000.0,2659500.0,10178800.0,37020200.0
2020-01-27,54156100.0,34454100.0,6066500.0,3997300.0,9789200.0,29669200.0
2020-02-20,50811000.0,27710800.0,14350300.0,3707800.0,14625700.0,30858300.0
2020-02-12,38879700.0,25458100.0,21730000.0,3216300.0,10563200.0,20367700.0
2020-04-16,45717100.0,26118000.0,18200300.0,2484600.0,13182200.0,17297900.0
2020-02-04,47797200.0,36634400.0,17939700.0,3766200.0,14750800.0,21239600.0
2020-05-28,57096200.0,40485000.0,7709500.0,3528500.0,21295700.0,18156200.0
2020-07-08,38834600.0,40558500.0,6821600.0,2808000.0,16125200.0,16673300.0
2020-06-19,37414700.0,54057300.0,7643500.0,2088000.0,8479500.0,16166300.0
2020-05-12,50542800.0,31685800.0,5328100.0,6327400.0,13839700.0,14760200.0
2020-06-22,54845300.0,49897100.0,5230000.0,15567300.0,11002500.0,23080400.0
2020-06-03,48508200.0,43496400.0,6674900.0,5899100.0,11759300.0,15472000.0
2020-05-15,45061600.0,34154100.0,7161500.0,5289300.0,15578600.0,14973300.0
2020-03-06,54604800.0,29706700.0,6437000.0,4376200.0,7388300.0,20141800.0
2020-02-27,39511500.0,26356400.0,3920400.0,3183000.0,7471800.0,18259200.0
2020-04-15,31263000.0,29421000.0,4385200.0,5095300.0,8733600.0,13174600.0
2020-02-03,24373800.0,27337200.0,5294100.0,5056200.0,8164900.0,18124800.0
2020-02-11,32476300.0,23580800.0,4772900.0,5746000.0,10385000.0,13686100.0
2020-02-19,36656700.0,28432600.0,4624800.0,3334300.0,11832200.0,16668100.0
2020-04-07,31775100.0,23686900.0,4485400.0,3031800.0,15270200.0,12530000.0
2020-03-30,26447700.0,20028400.0,3736300.0,2606200.0,20194400.0,15526400.0
2020-04-23,40318000.0,38132800.0,5173900.0,2945600.0,27961900.0,22423800.0
2020-05-01,29632100.0,23496000.0,4896400.0,2561200.0,20183200.0,15602500.0
2020-07-14,42604100.0,25141500.0,4079400.0,3131300.0,16593500.0,15965500.0
2020-06-25,46675500.0,32388500.0,3930100.0,4646300.0,19956000.0,21729100.0
2020-06-16,79159600.0,55548800.0,6936400.0,6547000.0,29354200.0,23075900.0
2020-05-18,91586800.0,57668400.0,6481200.0,6219100.0,26511700.0,31110100.0
2020-06-09,80012800.0,49513700.0,8934100.0,5224600.0,18550700.0,27372600.0
2020-05-21,121061400.0,79834500.0,10949100.0,8112100.0,28271500.0,41172700.0
2020-01-17,171263600.0,106721200.0,11178600.0,9493800.0,40590000.0,71710100.0
2020-03-13,147776300.0,85349300.0,6997900.0,6761700.0,25295800.0,44231200.0
2020-03-05,138698500.0,79868900.0,8364600.0,7534500.0,32518300.0,45091000.0
2020-02-26,111239800.0,54794600.0,5487300.0,4772900.0,23388100.0,33881500.0
2020-02-18,110878700.0,46893200.0,8747000.0,4748200.0,27916600.0,45037900.0
2020-04-22,119121200.0,56544200.0,8147200.0,5273600.0,28052900.0,56766500.0
2020-02-10,145196000.0,71686200.0,7405500.0,7813200.0,23635700.0,53277200.0
2020-04-14,134863600.0,71322500.0,7604400.0,7133300.0,23015800.0,40078700.0
2020-04-06,127347000.0,63899700.0,6036000.0,5624800.0,22061600.0,44769500.0
2020-04-30,139552600.0,104618500.0,12071600.0,11346200.0,33552400.0,68447600.0
2020-06-12,128357400.0,92683000.0,9458200.0,8809700.0,31110800.0,78365700.0
2020-06-15,121688800.0,80605900.0,10559900.0,8917300.0,36620600.0,57466700.0
2020-05-27,120065700.0,81014000.0,10013900.0,10917100.0,32058700.0,58112800.0
2020-05-08,148272500.0,75058400.0,12593600.0,9645200.0,30257400.0,51904100.0
2020-07-07,122461300.0,67964300.0,10616000.0,10399900.0,22990000.0,53123500.0
2020-03-31,150910400.0,100423300.0,10853800.0,9817900.0,20170900.0,73915800.0
2020-06-18,181898500.0,84188200.0,13449400.0,7808500.0,33801100.0,47064100.0
2020-04-13,147882400.0,71882800.0,11638700.0,7147100.0,34579500.0,48630300.0
2020-03-20,146991300.0,75900500.0,8767200.0,6479100.0,30961900.0,53341100.0
2020-03-12,116111400.0,63021800.0,7229600.0,6221300.0,24263100.0,45494700.0
2020-01-24,91522800.0,51054200.0,7948800.0,5387900.0,22450000.0,38942800.0
2020-03-04,80449100.0,41994100.0,8622000.0,6126100.0,22511900.0,41232800.0
2020-02-25,95213700.0,49250500.0,9366500.0,5123600.0,19294400.0,36920300.0
2020-04-21,83961300.0,44054600.0,6672500.0,4121900.0,18073100.0,48497400.0
2020-04-29,70007400.0,41483500.0,4592500.0,4336000.0,24917600.0,33113500.0
2020-05-07,68293500.0,32470000.0,4860800.0,3609900.0,14226600.0,32735800.0
2020-05-11,97766200.0,50455100.0,8183900.0,5773200.0,17449100.0,36056100.0
2020-07-10,94560300.0,50721800.0,7046400.0,5114000.0,16499800.0,39229900.0
2020-06-02,81212300.0,42223800.0,6908900.0,3977300.0,11599500.0,42213700.0
2020-05-14,125414800.0,40529100.0,7711300.0,4655600.0,31777400.0,62520600.0
2020-07-13,83164700.0,32755700.0,11692900.0,6716700.0,32986800.0,36068900.0
2020-06-24,88991100.0,48748700.0,11581000.0,8087200.0,33199200.0,64267100.0
2020-06-05,99082200.0,32788600.0,13561200.0,6866600.0,20342200.0,41883900.0
2020-02-28,89213300.0,39281300.0,16128700.0,12038200.0,19300400.0,52962100.0
2020-01-23,92800300.0,53812500.0,12616300.0,7930000.0,28513300.0,46985000.0
2020-04-20,74446300.0,32503800.0,12655800.0,5770700.0,18048000.0,45441600.0
2020-02-24,78871300.0,45247900.0,23177600.0,7476700.0,17345500.0,41918700.0
2020-01-31,49759100.0,29264300.0,21123800.0,4218300.0,21034500.0,28078400.0
2020-03-19,50614800.0,31203600.0,13952300.0,5066600.0,30865400.0,38331500.0
2020-03-27,47675700.0,31627200.0,8670400.0,3831800.0,27633700.0,35172700.0
2020-03-11,66916700.0,29271900.0,6277500.0,5645600.0,15222800.0,39606100.0
2020-03-03,65504900.0,28001200.0,10101200.0,5269400.0,17129300.0,35188000.0
2020-04-28,73493900.0,34320200.0,9693100.0,4591600.0,20809600.0,38515200.0
