,AAPL,Dates
0,154.88999938964844,2019-01-02
1,143.97999572753906,2019-01-03
2,144.52999877929688,2019-01-07
3,148.6999969482422,2019-01-04
4,149.55999755859375,2019-01-08
5,151.2899932861328,2019-01-09
6,152.5,2019-01-10
7,152.8800048828125,2019-01-11
8,150.85000610351562,2019-01-14
9,150.27000427246094,2019-01-15
10,153.0800018310547,2019-01-16
11,154.1999969482422,2019-01-24
12,157.5,2019-02-01
13,156.41000366210938,2019-03-29
14,154.14999389648438,2019-03-21
15,154.11000061035156,2019-03-13
16,155.47999572753906,2019-06-28
17,155.7899932861328,2019-08-27
18,156.25,2019-12-03
19,163.25,2019-11-14
20,166.11000061035156,2019-05-21
21,166.9600067138672,2019-07-15
22,167.41000366210938,2019-08-08
23,172.86000061035156,2019-10-07
24,174.64999389648438,2019-07-01
25,172.39999389648438,2019-09-18
26,168.99000549316406,2019-12-06
27,171.0500030517578,2019-06-12
28,170.10000610351562,2019-08-30
29,171.38999938964844,2019-05-24
30,169.7100067138672,2019-10-29
31,171.25,2019-07-23
32,169.7100067138672,2019-10-10
33,171.19000244140625,2019-12-09
34,171.8000030517578,2019-04-05
35,171.5800018310547,2019-03-28
36,174.16000366210938,2019-01-23
37,173.7100067138672,2019-01-31
38,173.2100067138672,2019-02-08
39,174.32000732421875,2019-03-20
40,174.27999877929688,2019-03-12
41,175.69000244140625,2019-03-04
42,175.94000244140625,2019-04-29
43,174.6699981689453,2019-05-07
44,173.8699951171875,2019-05-08
45,170.32000732421875,2019-07-26
46,175.49000549316406,2019-08-14
47,180.0,2019-11-01
48,182.25,2019-12-05
49,183.89999389648438,2019-09-24
50,184.85000610351562,2019-12-12
51,185.8000030517578,2019-06-18
52,188.35000610351562,2019-09-05
53,186.22999572753906,2019-05-30
54,190.02000427246094,2019-11-04
55,195.33999633789062,2019-07-29
56,191.50999450683594,2019-10-16
57,191.66000366210938,2019-04-22
58,188.75,2019-07-10
59,188.9499969482422,2019-09-27
60,189.8300018310547,2019-06-21
61,191.63999938964844,2019-11-26
62,191.08999633789062,2019-08-20
63,193.25,2019-11-07
64,194.7899932861328,2019-05-14
65,196.4499969482422,2019-08-01
66,196.4199981689453,2019-01-22
67,200.32000732421875,2019-01-30
68,198.67999267578125,2019-02-15
69,200.85000610351562,2019-02-07
70,199.1999969482422,2019-04-12
71,198.5800018310547,2019-04-04
72,199.4600067138672,2019-03-27
73,199.5399932861328,2019-03-11
74,203.1199951171875,2019-03-19
75,202.8300018310547,2019-05-06
76,204.42999267578125,2019-09-30
77,207.36000061035156,2019-06-24
78,206.8300018310547,2019-09-11
79,204.89999389648438,2019-11-29
80,204.39999389648438,2019-06-05
81,203.05999755859375,2019-08-23
82,209.8800048828125,2019-05-17
83,209.83999633789062,2019-10-22
84,210.88999938964844,2019-07-16
85,204.2899932861328,2019-10-03
86,205.8800048828125,2019-06-27
87,201.89999389648438,2019-12-02
88,200.39999389648438,2019-08-26
89,197.4199981689453,2019-11-13
90,187.7100067138672,2019-05-20
91,186.41000366210938,2019-08-07
92,186.27000427246094,2019-10-25
93,189.91000366210938,2019-07-19
94,186.92999267578125,2019-03-18
95,183.52000427246094,2019-03-26
96,185.22000122070312,2019-02-22
97,184.66000366210938,2019-01-29
98,179.8000030517578,2019-02-06
99,180.1999969482422,2019-02-14
100,178.9199981689453,2019-04-11
101,176.4199981689453,2019-04-03
102,177.9499969482422,2019-05-13
103,176.22999572753906,2019-03-05
104,175.60000610351562,2019-06-11
105,175.44000244140625,2019-05-23
106,184.27999877929688,2019-08-29
107,183.0800018310547,2019-09-17
108,186.50999450683594,2019-10-28
109,191.80999755859375,2019-07-22
110,194.86000061035156,2019-10-09
111,193.9499969482422,2019-07-03
112,194.6999969482422,2019-09-20
113,191.5500030517578,2019-06-14
114,192.89999389648438,2019-11-19
115,196.0500030517578,2019-08-13
116,199.67999267578125,2019-10-31
117,200.3699951171875,2019-07-25
118,198.8000030517578,2019-09-23
119,198.5399932861328,2019-12-11
120,198.42999267578125,2019-06-17
121,197.77000427246094,2019-09-04
122,200.2899932861328,2019-11-22
123,198.67999267578125,2019-05-29
124,203.1699981689453,2019-01-28
125,201.41000366210938,2019-04-02
126,203.27999877929688,2019-03-25
127,203.35000610351562,2019-04-10
128,200.80999755859375,2019-02-05
129,199.1999969482422,2019-04-18
130,201.85000610351562,2019-03-01
131,203.30999755859375,2019-02-21
132,202.4499969482422,2019-02-13
133,204.08999633789062,2019-04-26
134,204.58999633789062,2019-05-10
135,204.0500030517578,2019-10-15
136,204.0,2019-07-09
137,205.7899932861328,2019-09-26
138,203.64999389648438,2019-06-20
139,208.4600067138672,2019-11-25
140,207.6699981689453,2019-08-19
141,208.88999938964844,2019-11-06
142,207.47999572753906,2019-07-31
143,208.4600067138672,2019-10-18
144,208.75999450683594,2019-07-12
145,216.4199981689453,2019-09-10
