Dates,ABMD
2018-06-20,450.92999267578125
2018-06-21,450.6499938964844
2018-06-25,444.07000732421875
2018-06-22,421.989990234375
2018-06-26,430.7699890136719
2018-06-27,432.6199951171875
2018-06-28,417.5
2018-06-29,422.9599914550781
2018-07-02,415.30999755859375
2018-07-03,414.9700012207031
2018-07-05,411.3999938964844
2018-07-16,409.510009765625
2018-09-18,413.8599853515625
2019-01-24,413.5
2019-09-05,408.0
2018-11-21,415.0199890136719
2020-01-13,421.1099853515625
2020-04-01,421.760009765625
2020-06-19,428.6099853515625
2019-10-29,432.70001220703125
2020-01-16,433.55999755859375
2020-06-22,429.7799987792969
2018-10-03,431.6600036621094
2018-07-31,436.4200134277344
2019-03-12,431.82000732421875
2019-02-08,415.0
2019-01-07,392.0
2018-12-06,366.3399963378906
2019-08-19,363.9599914550781
2019-07-18,368.5
2019-05-15,373.0899963378906
2019-09-20,396.9700012207031
2019-11-01,382.6400146484375
2020-04-07,382.2799987792969
2020-06-25,380.30999755859375
2020-06-16,386.5799865722656
2019-11-04,387.7900085449219
2020-01-22,383.54998779296875
2019-11-07,372.3699951171875
2020-04-13,369.7300109863281
2019-07-01,369.510009765625
2019-05-30,370.2300109863281
2018-08-15,364.44000244140625
2018-10-18,369.989990234375
2019-03-27,371.4200134277344
2019-01-22,378.9200134277344
2018-12-21,384.44000244140625
2019-09-03,388.0
2018-11-19,386.8800048828125
2019-08-02,402.9599914550781
2020-01-28,414.70001220703125
2020-04-16,415.8599853515625
2019-11-13,413.7900085449219
2020-01-31,410.989990234375
2018-12-04,386.44000244140625
2018-11-02,388.92999267578125
2019-07-16,389.55999755859375
2018-08-30,397.6400146484375
2018-10-01,398.9100036621094
2019-06-14,397.4800109863281
2019-05-13,399.1199951171875
2019-04-11,399.6199951171875
2019-02-06,380.6400146484375
2019-09-18,380.5299987792969
2020-02-03,382.1000061035156
2020-04-22,386.7200012207031
2019-11-19,422.9100036621094
2020-02-06,445.70001220703125
2019-11-22,454.0
2019-03-25,451.7900085449219
2019-02-21,455.3999938964844
2018-12-19,459.75
2018-07-12,442.9200134277344
