Dates,ALB
2018-06-20,1333700.0
2018-06-21,1319600.0
2018-06-25,1380200.0
2018-06-22,1414900.0
2018-06-26,1070700.0
2018-06-27,1967800.0
2018-06-28,943700.0
2018-06-29,1768400.0
2018-07-02,1182400.0
2018-07-03,1726500.0
2018-07-05,1850900.0
2018-07-16,1171900.0
2018-09-18,1003600.0
2019-01-24,1124600.0
2019-09-05,1173300.0
2018-11-21,996500.0
2020-01-13,847300.0
2020-04-01,2343000.0
2020-06-19,1103900.0
2019-10-29,1394600.0
2020-01-16,976000.0
2020-06-22,1803800.0
2018-10-03,2490600.0
2018-07-31,1318400.0
2019-03-12,1115600.0
2019-02-08,1209000.0
2019-01-07,889900.0
2018-12-06,1272200.0
2019-08-19,989500.0
2019-07-18,1763100.0
2019-05-15,1494900.0
2019-09-20,786700.0
2019-11-01,1110100.0
2020-04-07,1603600.0
2020-06-25,5215100.0
2020-06-16,3463900.0
2019-11-04,1340100.0
2020-01-22,2108700.0
2019-11-07,1152900.0
2020-04-13,1930600.0
2019-07-01,1116900.0
2019-05-30,1334900.0
2018-08-15,1129700.0
2018-10-18,1384300.0
2019-03-27,1236100.0
2019-01-22,3337400.0
2018-12-21,1612700.0
2019-09-03,883900.0
2018-11-19,1058300.0
2019-08-02,753800.0
2020-01-28,985200.0
2020-04-16,762900.0
2019-11-13,1488400.0
2020-01-31,1333800.0
2018-12-04,1355700.0
2018-11-02,1280100.0
2019-07-16,1227000.0
2018-08-30,1536400.0
2018-10-01,1221000.0
2019-06-14,1415100.0
2019-05-13,1250400.0
2019-04-11,1769500.0
2019-02-06,1301500.0
2019-09-18,1644800.0
2020-02-03,1523400.0
2020-04-22,2066900.0
2019-11-19,1230600.0
2020-02-06,1454700.0
2019-11-22,1491500.0
2019-03-25,1079100.0
2019-02-21,1421000.0
2018-12-19,758200.0
2018-07-12,1035500.0
2018-09-14,1352400.0
2018-08-13,1168100.0
2018-10-16,1521000.0
2019-07-31,2145400.0
2019-05-28,2716200.0
2019-04-26,1833300.0
2020-04-28,1614000.0
2019-11-25,1048200.0
2020-02-12,759200.0
2020-05-01,993400.0
2020-05-04,1183100.0
2019-06-12,1202400.0
2019-04-09,880100.0
2019-03-08,1317800.0
2019-02-04,1497800.0
2018-07-27,1538100.0
2018-08-28,1135900.0
2019-01-03,1621200.0
2019-08-15,1448600.0
2018-10-31,1305700.0
2019-09-16,2166800.0
2020-02-18,2981900.0
2020-05-07,1710800.0
2018-08-17,829800.0
2019-12-04,1222100.0
2020-02-21,1751800.0
2018-12-17,2643900.0
2019-08-30,1455000.0
2018-11-15,1241600.0
2019-07-29,1453900.0
2019-06-27,785700.0
2019-04-24,1139600.0
2018-07-10,1379700.0
2018-09-12,981100.0
2019-02-19,1643800.0
2019-01-18,1202700.0
2020-02-24,482900.0
2020-05-13,977600.0
2019-12-10,1014200.0
2020-02-27,1093400.0
2019-12-13,894300.0
2020-05-19,1037800.0
2019-03-06,1698000.0
2018-11-30,2421500.0
2019-08-13,2034900.0
2019-07-12,1523500.0
2019-06-10,1088000.0
2019-05-09,1060200.0
2018-07-25,973000.0
2018-09-27,955700.0
2018-10-29,1719900.0
2019-10-16,2762400.0
2019-12-16,1690000.0
2020-03-04,1764700.0
2020-05-22,4684500.0
2019-10-01,2776000.0
2019-12-19,870200.0
2018-09-10,1500300.0
2019-05-24,1657000.0
2018-08-09,1202500.0
2019-04-22,1040100.0
2019-03-21,1052300.0
2019-01-16,1968100.0
2019-08-28,2089500.0
2018-11-13,1413300.0
2018-10-12,1622800.0
2019-06-25,1113900.0
2020-03-10,1929400.0
2020-05-28,1526200.0
2019-10-07,1374900.0
2020-03-13,2128200.0
2019-10-10,2634300.0
2020-03-16,2020800.0
2020-06-03,1457300.0
2018-11-28,1435800.0
2018-09-25,1271100.0
2018-07-23,1660300.0
2018-08-24,2234900.0
2019-07-10,1273500.0
