Dates,ANET
2018-06-20,1027400.0
2018-06-21,484700.0
2018-06-25,1111700.0
2018-06-22,1347600.0
2018-06-26,718200.0
2018-06-27,914400.0
2018-06-28,551900.0
2018-06-29,412800.0
2018-07-02,441000.0
2018-07-03,393300.0
2018-07-05,516900.0
2018-07-16,314600.0
2018-09-18,751100.0
2019-01-24,377800.0
2019-09-05,386500.0
2018-11-21,520900.0
2020-01-13,1423900.0
2020-04-01,708400.0
2020-06-19,288000.0
2019-10-29,318100.0
2020-01-16,586600.0
2020-06-22,568700.0
2018-10-03,574200.0
2018-07-31,587400.0
2019-03-12,520200.0
2019-02-08,503200.0
2019-01-07,734900.0
2018-12-06,914800.0
2019-08-19,990400.0
2019-07-18,645500.0
2019-05-15,1379300.0
2019-09-20,1930200.0
2019-11-01,1224300.0
2020-04-07,685100.0
2020-06-25,725900.0
2020-06-16,687200.0
2019-11-04,439700.0
2020-01-22,449800.0
2019-11-07,700700.0
2020-04-13,628700.0
2019-07-01,706500.0
2019-05-30,457400.0
2018-08-15,498900.0
2018-10-18,562800.0
2019-03-27,584600.0
2019-01-22,814700.0
2018-12-21,4082400.0
2019-09-03,11162000.0
2018-11-19,1699000.0
2019-08-02,1255700.0
2020-01-28,1012200.0
2020-04-16,808300.0
2019-11-13,2026000.0
2020-01-31,1810000.0
2018-12-04,1302900.0
2018-11-02,1111600.0
2019-07-16,1178800.0
2018-08-30,836900.0
2018-10-01,862900.0
2019-06-14,828300.0
2019-05-13,1006500.0
2019-04-11,675700.0
2019-02-06,732200.0
2019-09-18,849900.0
2020-02-03,745300.0
2020-04-22,1815600.0
2019-11-19,711600.0
2020-02-06,518800.0
2019-11-22,1235700.0
2019-03-25,832900.0
2019-02-21,476000.0
2018-12-19,1121600.0
2018-07-12,733500.0
2018-09-14,597800.0
2018-08-13,607300.0
2018-10-16,1023900.0
2019-07-31,1190900.0
2019-05-28,1157400.0
2019-04-26,1614300.0
2020-04-28,2212100.0
2019-11-25,1454400.0
2020-02-12,1301200.0
2020-05-01,1246100.0
2020-05-04,1182800.0
2019-06-12,795400.0
2019-04-09,913700.0
2019-03-08,814100.0
2019-02-04,957000.0
2018-07-27,996100.0
2018-08-28,807100.0
2019-01-03,1271500.0
2019-08-15,953300.0
2018-10-31,915200.0
2019-09-16,1152200.0
2020-02-18,1346200.0
2020-05-07,3090300.0
2018-08-17,953700.0
2019-12-04,900700.0
2020-02-21,762500.0
2018-12-17,523700.0
2019-08-30,778300.0
2018-11-15,834800.0
2019-07-29,726100.0
2019-06-27,881400.0
2019-04-24,1283700.0
2018-07-10,716100.0
2018-09-12,896600.0
2019-02-19,998300.0
2019-01-18,701600.0
2020-02-24,235200.0
2020-05-13,503500.0
2019-12-10,424800.0
2020-02-27,687400.0
2019-12-13,578600.0
2020-05-19,755500.0
2019-03-06,892600.0
2018-11-30,806600.0
2019-08-13,1310700.0
2019-07-12,830000.0
2019-06-10,701300.0
2019-05-09,701000.0
