Dates,ANSS
2018-06-20,668500.0
2018-06-21,485100.0
2018-06-25,975100.0
2018-06-22,775900.0
2018-06-26,398700.0
2018-06-27,510100.0
2018-06-28,571500.0
2018-06-29,700700.0
2018-07-02,346600.0
2018-07-03,259600.0
2018-07-05,436900.0
2018-07-16,371600.0
2018-09-18,621600.0
2019-01-24,439900.0
2019-09-05,530300.0
2018-11-21,614500.0
2020-01-13,451900.0
2020-04-01,310900.0
2020-06-19,296200.0
2019-10-29,323100.0
2020-01-16,259500.0
2020-06-22,353400.0
2018-10-03,957600.0
2018-07-31,668300.0
2019-03-12,434300.0
2019-02-08,388000.0
2019-01-07,480300.0
2018-12-06,366100.0
2019-08-19,629100.0
2019-07-18,511800.0
2019-05-15,470400.0
2019-09-20,401400.0
2019-11-01,574500.0
2020-04-07,577700.0
2020-06-25,578700.0
2020-06-16,348600.0
2019-11-04,393800.0
2020-01-22,337200.0
2019-11-07,304600.0
2020-04-13,402800.0
2019-07-01,361500.0
2019-05-30,298700.0
2018-08-15,404500.0
2018-10-18,390100.0
2019-03-27,309800.0
2019-01-22,333300.0
2018-12-21,231300.0
2019-09-03,720000.0
2018-11-19,540300.0
2019-08-02,424400.0
2020-01-28,322900.0
2020-04-16,487800.0
2019-11-13,475900.0
2020-01-31,552200.0
2018-12-04,377200.0
2018-11-02,356200.0
2019-07-16,350300.0
2018-08-30,319900.0
2018-10-01,282000.0
2019-06-14,246300.0
2019-05-13,350600.0
2019-04-11,344000.0
2019-02-06,616300.0
2019-09-18,353000.0
2020-02-03,618200.0
2020-04-22,1009500.0
2019-11-19,346200.0
2020-02-06,379500.0
2019-11-22,434600.0
2019-03-25,443400.0
2019-02-21,412300.0
2018-12-19,326200.0
2018-07-12,324800.0
2018-09-14,318800.0
2018-08-13,459700.0
2018-10-16,476700.0
2019-07-31,428000.0
2019-05-28,771800.0
2019-04-26,882900.0
2020-04-28,979700.0
2019-11-25,1153800.0
2020-02-12,688100.0
2020-05-01,1105600.0
2020-05-04,596900.0
2019-06-12,884100.0
2019-04-09,807800.0
2019-03-08,928600.0
2019-02-04,1525600.0
2018-07-27,796200.0
2018-08-28,650800.0
2019-01-03,672400.0
2019-08-15,909700.0
2018-10-31,602700.0
2019-09-16,763700.0
2020-02-18,819500.0
2020-05-07,867600.0
2018-08-17,725300.0
2019-12-04,686400.0
2020-02-21,869200.0
2018-12-17,1355500.0
2019-08-30,803800.0
2018-11-15,674000.0
2019-07-29,433900.0
2019-06-27,557400.0
2019-04-24,634500.0
2018-07-10,488600.0
2018-09-12,756900.0
2019-02-19,808700.0
2019-01-18,732600.0
2020-02-24,305100.0
2020-05-13,656200.0
2019-12-10,609100.0
2020-02-27,719300.0
2019-12-13,714300.0
2020-05-19,2111400.0
2019-03-06,930800.0
