Dates,AOS
2018-06-20,840000.0
2018-06-21,1342300.0
2018-06-25,1488900.0
2018-06-22,1936200.0
2018-06-26,1962300.0
2018-06-27,2546200.0
2018-06-28,2986100.0
2018-06-29,1508200.0
2018-07-02,1792100.0
2018-07-03,855600.0
2018-07-05,1829300.0
2018-07-16,799400.0
2018-09-18,996000.0
2019-01-24,959600.0
2019-09-05,1495700.0
2018-11-21,1144000.0
2020-01-13,1015300.0
2020-04-01,1288500.0
2020-06-19,2256100.0
2019-10-29,1957900.0
2020-01-16,1339900.0
2020-06-22,1564800.0
2018-10-03,1533900.0
2018-07-31,2007900.0
2019-03-12,4045100.0
2019-02-08,1892100.0
2019-01-07,1291700.0
2018-12-06,1365600.0
2019-08-19,1981900.0
2019-07-18,1042500.0
2019-05-15,681900.0
2019-09-20,985700.0
2019-11-01,1533300.0
2020-04-07,1150400.0
2020-06-25,852600.0
2020-06-16,1335500.0
2019-11-04,1142500.0
2020-01-22,1166700.0
2019-11-07,1253700.0
2020-04-13,1459700.0
2019-07-01,781900.0
2019-05-30,1318700.0
2018-08-15,861500.0
2018-10-18,957300.0
2019-03-27,747800.0
2019-01-22,1214400.0
2018-12-21,577200.0
2019-09-03,743300.0
2018-11-19,763700.0
2019-08-02,813600.0
2020-01-28,899800.0
2020-04-16,909500.0
2019-11-13,1187900.0
2020-01-31,1546600.0
2018-12-04,872500.0
2018-11-02,977700.0
2019-07-16,1142800.0
2018-08-30,678300.0
2018-10-01,1043100.0
2019-06-14,803400.0
2019-05-13,730500.0
2019-04-11,1242400.0
2019-02-06,1092000.0
2019-09-18,1736200.0
2020-02-03,1303200.0
2020-04-22,2342300.0
2019-11-19,1198100.0
2020-02-06,2956300.0
2019-11-22,3643300.0
2019-03-25,2202100.0
2019-02-21,3237500.0
2018-12-19,2401600.0
2018-07-12,2571800.0
2018-09-14,1297900.0
2018-08-13,1573800.0
2018-10-16,1552500.0
2019-07-31,1093900.0
2019-05-28,1723700.0
2019-04-26,3337500.0
2020-04-28,3999100.0
2019-11-25,2878100.0
2020-02-12,1809900.0
2020-05-01,2754500.0
2020-05-04,1472100.0
2019-06-12,1889400.0
2019-04-09,2300700.0
2019-03-08,4464600.0
2019-02-04,2980400.0
2018-07-27,2613700.0
2018-08-28,1949500.0
2019-01-03,3326000.0
2019-08-15,4916900.0
2018-10-31,6189400.0
2019-09-16,6521900.0
2020-02-18,4644500.0
2020-05-07,3111500.0
2018-08-17,2115900.0
2019-12-04,1561200.0
2020-02-21,2046000.0
2018-12-17,2022400.0
2019-08-30,3173400.0
2018-11-15,2496300.0
2019-07-29,1845300.0
2019-06-27,2213900.0
2019-04-24,1387600.0
2018-07-10,1083400.0
2018-09-12,1024400.0
2019-02-19,1798400.0
2019-01-18,932000.0
2020-02-24,683200.0
2020-05-13,1626000.0
2019-12-10,1338100.0
2020-02-27,1500900.0
2019-12-13,1000100.0
2020-05-19,1808800.0
2019-03-06,1993200.0
2018-11-30,1492900.0
2019-08-13,2334500.0
2019-07-12,1220700.0
2019-06-10,1729500.0
2019-05-09,1205200.0
2018-07-25,1134900.0
2018-09-27,1068600.0
2018-10-29,1427500.0
2019-10-16,3106700.0
2019-12-16,2899600.0
2020-03-04,2349400.0
2020-05-22,3142100.0
2019-10-01,4223500.0
2019-12-19,991200.0
2018-09-10,1260700.0
2019-05-24,2358900.0
2018-08-09,1934600.0
2019-04-22,2769500.0
2019-03-21,1998500.0
2019-01-16,1700000.0
2019-08-28,2864400.0
2018-11-13,2013500.0
2018-10-12,2195900.0
2019-06-25,2743600.0
2020-03-10,1405200.0
2020-05-28,1026400.0
2019-10-07,1167700.0
2020-03-13,1065500.0
2019-10-10,2507800.0
2020-03-16,1106800.0
2020-06-03,1668900.0
2018-11-28,1668700.0
2018-09-25,2191700.0
2018-07-23,1861200.0
2018-08-24,2524900.0
2019-07-10,1937800.0
2019-05-07,4315700.0
2019-04-05,2669100.0
2019-03-04,2014300.0
2019-01-31,1625600.0
2019-09-12,1645800.0
2019-12-31,1903200.0
2020-03-19,1702100.0
2020-01-03,1006800.0
2020-06-09,1214100.0
2019-02-15,760600.0
