Dates,APTV
2018-06-20,1294600.0
2018-06-21,1189000.0
2018-06-25,1749800.0
2018-06-22,1191000.0
2018-06-26,1477000.0
2018-06-27,1299600.0
2018-06-28,1720400.0
2018-06-29,1426300.0
2018-07-02,1684400.0
2018-07-03,867800.0
2018-07-05,1824600.0
2018-07-16,1390900.0
2018-09-18,1317000.0
2019-01-24,1284400.0
2019-09-05,1010700.0
2018-11-21,1313400.0
2020-01-13,694800.0
2020-04-01,761500.0
2020-06-19,2027900.0
2019-10-29,1171800.0
2020-01-16,1068200.0
2020-06-22,1836300.0
2018-10-03,805700.0
2018-07-31,1651900.0
2019-03-12,2684300.0
2019-02-08,1796700.0
2019-01-07,1367800.0
2018-12-06,1677300.0
2019-08-19,3635800.0
2019-07-18,2265800.0
2019-05-15,1416500.0
2019-09-20,1433000.0
2019-11-01,1296800.0
2020-04-07,1159200.0
2020-06-25,1159400.0
2020-06-16,1088900.0
2019-11-04,1548700.0
2020-01-22,1666200.0
2019-11-07,1332100.0
2020-04-13,2253300.0
2019-07-01,1525400.0
2019-05-30,1043700.0
2018-08-15,826300.0
2018-10-18,882200.0
2019-03-27,1720600.0
2019-01-22,2016700.0
2018-12-21,2902700.0
2019-09-03,2034700.0
2018-11-19,1473600.0
2019-08-02,1475400.0
2020-01-28,1221100.0
2020-04-16,1447300.0
2019-11-13,2244800.0
2020-01-31,4038400.0
2018-12-04,4487000.0
2018-11-02,2119400.0
2019-07-16,1491100.0
2018-08-30,1237400.0
2018-10-01,1926000.0
2019-06-14,2343600.0
2019-05-13,1601800.0
2019-04-11,1081500.0
2019-02-06,1699300.0
2019-09-18,1656000.0
2020-02-03,2324000.0
2020-04-22,5277700.0
2019-11-19,2054400.0
2020-02-06,2790700.0
2019-11-22,2196100.0
2019-03-25,1171600.0
2019-02-21,1530300.0
2018-12-19,1901100.0
2018-07-12,1667900.0
2018-09-14,1607300.0
2018-08-13,2252600.0
2018-10-16,4249500.0
2019-07-31,2934600.0
2019-05-28,3782800.0
2019-04-26,4880100.0
2020-04-28,3143700.0
2019-11-25,2674800.0
2020-02-12,1625400.0
2020-05-01,2012200.0
2020-05-04,3565500.0
2019-06-12,5341900.0
2019-04-09,3269800.0
2019-03-08,2326700.0
2019-02-04,3542300.0
2018-07-27,3569900.0
2018-08-28,3054700.0
2019-01-03,2716100.0
2019-08-15,4431700.0
2018-10-31,5574200.0
2019-09-16,4506500.0
2020-02-18,2775300.0
2020-05-07,3739800.0
2018-08-17,2428100.0
2019-12-04,1687200.0
2020-02-21,2223500.0
2018-12-17,2028100.0
2019-08-30,3060900.0
2018-11-15,2072200.0
2019-07-29,1557900.0
2019-06-27,1629700.0
2019-04-24,1947200.0
2018-07-10,1749700.0
2018-09-12,2119100.0
2019-02-19,2680000.0
2019-01-18,2244900.0
2020-02-24,1015700.0
2020-05-13,1770400.0
2019-12-10,1978900.0
2020-02-27,1572000.0
2019-12-13,1534400.0
2020-05-19,2424100.0
2019-03-06,2547900.0
2018-11-30,2465300.0
2019-08-13,2857200.0
2019-07-12,1715500.0
2019-06-10,2519300.0
2019-05-09,2890600.0
2018-07-25,2143000.0
2018-09-27,1527300.0
2018-10-29,1753300.0
2019-10-16,2413600.0
2019-12-16,2323400.0
2020-03-04,2391200.0
2020-05-22,3460700.0
2019-10-01,3820000.0
2019-12-19,1140000.0
2018-09-10,1681500.0
2019-05-24,1781400.0
2018-08-09,1634500.0
2019-04-22,1519900.0
2019-03-21,2146000.0
2019-01-16,2717900.0
2019-08-28,2152000.0
2018-11-13,1818700.0
2018-10-12,3054900.0
2019-06-25,4290600.0
2020-03-10,2095400.0
2020-05-28,1685200.0
2019-10-07,1668400.0
2020-03-13,2790400.0
2019-10-10,1802800.0
2020-03-16,1850200.0
2020-06-03,2241300.0
2018-11-28,1538000.0
2018-09-25,1492200.0
2018-07-23,1126900.0
2018-08-24,2447300.0
2019-07-10,1604700.0
2019-05-07,1989200.0
2019-04-05,1971200.0
2019-03-04,4072400.0
2019-01-31,4403900.0
2019-09-12,2991200.0
2019-12-31,1816300.0
2020-03-19,1568800.0
2020-01-03,2301000.0
2020-06-09,2072200.0
2019-02-15,1421200.0
2019-01-14,2213000.0
2018-07-06,2427200.0
2018-08-07,1787300.0
2018-10-10,1588600.0
2018-12-13,1203700.0
2019-08-26,1066700.0
2019-07-25,1073700.0
2019-05-22,926100.0
2019-03-19,1361700.0
2020-01-06,883300.0
2020-03-25,1060400.0
2020-06-12,1942200.0
2019-10-22,1683700.0
2020-01-09,3009700.0
2020-06-15,1361100.0
2019-10-25,1433700.0
2020-03-31,1415100.0
2020-06-18,1733500.0
2019-04-03,1307400.0
2018-08-22,1193200.0
2018-10-25,1480200.0
2019-01-29,1249500.0
2018-12-28,2187100.0
2018-11-26,1856300.0
2019-08-09,1951000.0
2019-07-08,2090300.0
2019-06-06,1267600.0
2019-09-10,1723200.0
2020-01-15,1178000.0
2020-04-03,809000.0
2019-10-31,1715200.0
2020-04-06,1076700.0
2020-06-24,1547400.0
2018-11-09,1298100.0
2019-07-23,1158900.0
2019-06-21,1466300.0
2019-05-20,1006400.0
2019-04-18,901400.0
2018-09-06,1373300.0
2018-10-08,1503300.0
2019-02-13,778500.0
2018-12-11,861800.0
2019-09-25,1377700.0
2020-01-21,954500.0
2020-04-09,1170900.0
2019-11-06,1174500.0
2020-01-24,1288800.0
2020-01-27,888200.0
2020-04-15,1080500.0
2018-12-26,1177400.0
2019-08-07,1700600.0
2019-06-04,1388400.0
2018-09-21,973100.0
2018-07-19,1365900.0
2018-08-20,1530800.0
2018-10-23,2929500.0
2019-05-03,1471400.0
2019-04-01,1776800.0
2019-02-28,2438000.0
2019-11-12,1831300.0
2020-01-30,1868500.0
2019-11-15,1218900.0
2020-04-21,2186600.0
2019-04-16,1241100.0
2019-03-15,1646000.0
2019-02-11,1998400.0
2019-01-10,1616400.0
2019-08-22,1322300.0
2018-11-07,1158400.0
2018-08-03,2612000.0
2018-09-04,2801200.0
2019-06-19,2089800.0
2019-09-23,2121600.0
2019-11-18,1469900.0
2020-02-05,1326500.0
2020-04-24,3821800.0
2019-03-29,2091000.0
2019-11-21,3175400.0
2020-04-27,2802100.0
2020-02-11,2331900.0
2020-04-30,1176500.0
2019-05-01,1397700.0
2019-02-26,1062700.0
2019-01-25,1015200.0
2018-12-24,1270100.0
2019-09-06,1109000.0
2018-07-17,1077400.0
2018-09-19,1013700.0
2019-08-05,1181400.0
2019-10-08,1286500.0
2019-12-11,1442400.0
