Dates,ATO
2018-06-20,332700.0
2018-06-21,470400.0
2018-06-25,578900.0
2018-06-22,391100.0
2018-06-26,730200.0
2018-06-27,728800.0
2018-06-28,618200.0
2018-06-29,719800.0
2018-07-02,353200.0
2018-07-03,373600.0
2018-07-05,328000.0
2018-07-16,271100.0
2018-09-18,564400.0
2019-01-24,350600.0
2019-09-05,372500.0
2018-11-21,343900.0
2020-01-13,250800.0
2020-04-01,320000.0
2020-06-19,195500.0
2019-10-29,208600.0
2020-01-16,241500.0
2020-06-22,265300.0
2018-10-03,138200.0
2018-07-31,504200.0
2019-03-12,241200.0
2019-02-08,347400.0
2019-01-07,270500.0
2018-12-06,204400.0
2019-08-19,462700.0
2019-07-18,496200.0
2019-05-15,177900.0
2019-09-20,154900.0
2019-11-01,254600.0
2020-04-07,274600.0
2020-06-25,371700.0
2020-06-16,575900.0
2019-11-04,302900.0
2020-01-22,360200.0
2019-11-07,587800.0
2020-04-13,345200.0
2019-07-01,281300.0
2019-05-30,302800.0
2018-08-15,191900.0
2018-10-18,266500.0
2019-03-27,330300.0
2019-01-22,317000.0
2018-12-21,301500.0
2019-09-03,309300.0
2018-11-19,359400.0
2019-08-02,321000.0
2020-01-28,351500.0
2020-04-16,355200.0
2019-11-13,360900.0
2020-01-31,273300.0
2018-12-04,369000.0
2018-11-02,210500.0
2019-07-16,311200.0
2018-08-30,350800.0
2018-10-01,168900.0
2019-06-14,310900.0
2019-05-13,357200.0
2019-04-11,319900.0
2019-02-06,295600.0
2019-09-18,424100.0
2020-02-03,409300.0
2020-04-22,697000.0
2019-11-19,410400.0
2020-02-06,399500.0
2019-11-22,723800.0
2019-03-25,676900.0
2019-02-21,497000.0
2018-12-19,418900.0
2018-07-12,309600.0
2018-09-14,305800.0
2018-08-13,360000.0
2018-10-16,598600.0
2019-07-31,814800.0
2019-05-28,583400.0
2019-04-26,472700.0
2020-04-28,397700.0
2019-11-25,378700.0
2020-02-12,242500.0
2020-05-01,293100.0
2020-05-04,246900.0
2019-06-12,363400.0
2019-04-09,347400.0
2019-03-08,345700.0
2019-02-04,336700.0
2018-07-27,424500.0
2018-08-28,380000.0
2019-01-03,489300.0
2019-08-15,443800.0
2018-10-31,491600.0
2019-09-16,846800.0
2020-02-18,491300.0
2020-05-07,437000.0
2018-08-17,429000.0
2019-12-04,475400.0
2020-02-21,357400.0
2018-12-17,833100.0
2019-08-30,344100.0
2018-11-15,481100.0
2019-07-29,592200.0
2019-06-27,688600.0
2019-04-24,611100.0
2018-07-10,575500.0
2018-09-12,723900.0
2019-02-19,573400.0
2019-01-18,346100.0
2020-02-24,235600.0
2020-05-13,405300.0
2019-12-10,935000.0
2020-02-27,695200.0
2019-12-13,5175000.0
2020-05-19,2173500.0
2019-03-06,1095800.0
2018-11-30,1270000.0
2019-08-13,1422900.0
2019-07-12,983400.0
2019-06-10,726700.0
2019-05-09,997000.0
2018-07-25,739100.0
2018-09-27,1218400.0
2018-10-29,941400.0
2019-10-16,1355500.0
2019-12-16,1000800.0
2020-03-04,1008400.0
2020-05-22,891300.0
2019-10-01,2943500.0
2019-12-19,466200.0
2018-09-10,806500.0
2019-05-24,1287600.0
2018-08-09,546900.0
2019-04-22,716000.0
2019-03-21,815500.0
2019-01-16,628900.0
2019-08-28,466600.0
2018-11-13,569400.0
2018-10-12,1251800.0
2019-06-25,571600.0
2020-03-10,800100.0
2020-05-28,542000.0
2019-10-07,804000.0
2020-03-13,440200.0
2019-10-10,780400.0
2020-03-16,666600.0
2020-06-03,384200.0
2018-11-28,543900.0
2018-09-25,429500.0
2018-07-23,683300.0
2018-08-24,536400.0
2019-07-10,386700.0
2019-05-07,398200.0
2019-04-05,685900.0
2019-03-04,689600.0
2019-01-31,792800.0
2019-09-12,548900.0
2019-12-31,846200.0
2020-03-19,1088600.0
2020-01-03,594500.0
2020-06-09,782100.0
2019-02-15,2466300.0
2019-01-14,1774700.0
2018-07-06,1797600.0
2018-08-07,31583900.0
2018-10-10,2440400.0
2018-12-13,848500.0
2019-08-26,882100.0
2019-07-25,822400.0
2019-05-22,695400.0
2019-03-19,651100.0
2020-01-06,1013200.0
2020-03-25,1760600.0
2020-06-12,1139300.0
2019-10-22,642100.0
2020-01-09,975500.0
2020-06-15,836600.0
2019-10-25,734200.0
2020-03-31,587700.0
2020-06-18,563100.0
2019-04-03,709200.0
2018-08-22,677200.0
2018-10-25,883300.0
2019-01-29,632200.0
2018-12-28,2586500.0
2018-11-26,834100.0
2019-08-09,888800.0
2019-07-08,693900.0
2019-06-06,428700.0
2019-09-10,536100.0
2020-01-15,847300.0
2020-04-03,571500.0
2019-10-31,591100.0
2020-04-06,500600.0
2020-06-24,852300.0
2018-11-09,684400.0
2019-07-23,2501900.0
2019-06-21,827900.0
2019-05-20,541400.0
2019-04-18,598500.0
2018-09-06,453900.0
2018-10-08,430400.0
2019-02-13,433400.0
2018-12-11,429300.0
2019-09-25,404400.0
2020-01-21,332600.0
2020-04-09,761500.0
2019-11-06,462800.0
2020-01-24,754400.0
2020-01-27,398800.0
2020-04-15,1003800.0
2018-12-26,878600.0
2019-08-07,395000.0
2019-06-04,355400.0
2018-09-21,814600.0
2018-07-19,779900.0
2018-08-20,666600.0
2018-10-23,504900.0
2019-05-03,459100.0
2019-04-01,604900.0
2019-02-28,793200.0
2019-11-12,930400.0
2020-01-30,627300.0
2019-11-15,708700.0
2020-04-21,1166500.0
2019-04-16,787100.0
2019-03-15,725100.0
2019-02-11,670100.0
2019-01-10,2563400.0
2019-08-22,985200.0
2018-11-07,717100.0
2018-08-03,579100.0
2018-09-04,773300.0
2019-06-19,664200.0
2019-09-23,1327100.0
2019-11-18,965100.0
2020-02-05,729600.0
2020-04-24,761700.0
2019-03-29,589700.0
2019-11-21,931600.0
2020-04-27,733300.0
2020-02-11,609600.0
2020-04-30,554100.0
2019-05-01,475400.0
2019-02-26,477100.0
2019-01-25,431800.0
2018-12-24,421400.0
2019-09-06,396300.0
2018-07-17,312600.0
2018-09-19,550800.0
2019-08-05,634200.0
2019-10-08,391400.0
2019-12-11,1821100.0
2019-11-27,915500.0
2020-02-14,814200.0
2020-05-06,832300.0
2019-01-08,573800.0
2018-12-07,768900.0
2019-08-20,744300.0
