Dates,AWK
2018-06-20,815600.0
2018-06-21,658700.0
2018-06-25,909500.0
2018-06-22,1124700.0
2018-06-26,929000.0
2018-06-27,1092100.0
2018-06-28,720000.0
2018-06-29,833200.0
2018-07-02,674900.0
2018-07-03,336000.0
2018-07-05,682700.0
2018-07-16,608300.0
2018-09-18,869400.0
2019-01-24,685900.0
2019-09-05,509700.0
2018-11-21,947400.0
2020-01-13,452900.0
2020-04-01,620700.0
2020-06-19,813100.0
2019-10-29,680700.0
2020-01-16,519700.0
2020-06-22,754800.0
2018-10-03,489400.0
2018-07-31,516300.0
2019-03-12,369700.0
2019-02-08,361400.0
2019-01-07,371300.0
2018-12-06,393300.0
2019-08-19,829300.0
2019-07-18,776700.0
2019-05-15,660600.0
2019-09-20,572400.0
2019-11-01,430200.0
2020-04-07,437200.0
2020-06-25,414500.0
2020-06-16,436700.0
2019-11-04,365000.0
2020-01-22,636300.0
2019-11-07,453300.0
2020-04-13,659900.0
2019-07-01,601900.0
2019-05-30,571700.0
2018-08-15,515000.0
2018-10-18,505800.0
2019-03-27,439900.0
2019-01-22,378800.0
2018-12-21,339900.0
2019-09-03,580600.0
2018-11-19,594400.0
2019-08-02,873400.0
2020-01-28,680300.0
2020-04-16,723600.0
2019-11-13,815700.0
2020-01-31,762700.0
2018-12-04,869700.0
2018-11-02,937900.0
2019-07-16,726400.0
2018-08-30,661900.0
2018-10-01,617700.0
2019-06-14,667900.0
2019-05-13,856800.0
2019-04-11,795300.0
2019-02-06,539700.0
2019-09-18,719700.0
2020-02-03,810900.0
2020-04-22,1948200.0
2019-11-19,672600.0
2020-02-06,549900.0
2019-11-22,969000.0
2019-03-25,850000.0
2019-02-21,698500.0
2018-12-19,458100.0
2018-07-12,459000.0
2018-09-14,717100.0
2018-08-13,609500.0
2018-10-16,586900.0
2019-07-31,613400.0
2019-05-28,781900.0
2019-04-26,985200.0
2020-04-28,1220900.0
2019-11-25,970800.0
2020-02-12,691300.0
2020-05-01,662100.0
2020-05-04,933600.0
2019-06-12,645600.0
2019-04-09,818600.0
2019-03-08,974900.0
2019-02-04,1218600.0
2018-07-27,1063900.0
2018-08-28,1094900.0
2019-01-03,1059200.0
2019-08-15,995100.0
2018-10-31,1011200.0
2019-09-16,1182800.0
2020-02-18,980500.0
2020-05-07,839400.0
2018-08-17,789200.0
2019-12-04,436600.0
2020-02-21,767300.0
2018-12-17,819900.0
2019-08-30,704400.0
2018-11-15,840300.0
2019-07-29,652800.0
2019-06-27,734000.0
2019-04-24,862700.0
2018-07-10,871000.0
2018-09-12,762200.0
2019-02-19,869800.0
2019-01-18,665300.0
2020-02-24,425600.0
2020-05-13,901200.0
2019-12-10,1118000.0
2020-02-27,977700.0
2019-12-13,883100.0
2020-05-19,2473700.0
2019-03-06,1310200.0
2018-11-30,1300700.0
2019-08-13,1471500.0
2019-07-12,1141700.0
2019-06-10,841000.0
2019-05-09,1213400.0
2018-07-25,1824900.0
2018-09-27,921200.0
2018-10-29,1289700.0
2019-10-16,1265800.0
2019-12-16,1672400.0
2020-03-04,1214800.0
2020-05-22,1414600.0
2019-10-01,2376300.0
2019-12-19,576300.0
2018-09-10,1240600.0
2019-05-24,1160500.0
2018-08-09,755100.0
2019-04-22,585800.0
2019-03-21,981100.0
2019-01-16,1241400.0
2019-08-28,952300.0
2018-11-13,724700.0
2018-10-12,688100.0
2019-06-25,1131600.0
2020-03-10,806000.0
2020-05-28,723500.0
2019-10-07,1573700.0
2020-03-13,1064900.0
2019-10-10,752700.0
2020-03-16,829800.0
2020-06-03,801300.0
2018-11-28,1283900.0
2018-09-25,714000.0
2018-07-23,499300.0
2018-08-24,838500.0
2019-07-10,529800.0
2019-05-07,762900.0
2019-04-05,1216500.0
2019-03-04,2127200.0
2019-01-31,1213900.0
2019-09-12,1051600.0
2019-12-31,780700.0
2020-03-19,611300.0
2020-01-03,915400.0
2020-06-09,665800.0
2019-02-15,679100.0
2019-01-14,668700.0
