Dates,AXP
2018-06-20,4495300.0
2018-06-21,3350700.0
2018-06-25,7235400.0
2018-06-22,7996700.0
2018-06-26,5166100.0
2018-06-27,3693700.0
2018-06-28,3142300.0
2018-06-29,4698500.0
2018-07-02,3148700.0
2018-07-03,2041200.0
2018-07-05,2385500.0
2018-07-16,1996600.0
2018-09-18,4991700.0
2019-01-24,4675500.0
2019-09-05,3469600.0
2018-11-21,3688800.0
2020-01-13,3456500.0
2020-04-01,3264800.0
2020-06-19,3092200.0
2019-10-29,5923800.0
2020-01-16,7171100.0
2020-06-22,3325500.0
2018-10-03,2617900.0
2018-07-31,3155100.0
2019-03-12,2549400.0
2019-02-08,2744000.0
2019-01-07,3815800.0
2018-12-06,4423000.0
2019-08-19,4330400.0
2019-07-18,3315400.0
2019-05-15,2481800.0
2019-09-20,1830400.0
2019-11-01,2004600.0
2020-04-07,1852800.0
2020-06-25,2228900.0
2020-06-16,2435500.0
2019-11-04,2473800.0
2020-01-22,3389200.0
2019-11-07,2327100.0
2020-04-13,2219600.0
2019-07-01,2290400.0
2019-05-30,1950800.0
2018-08-15,2267900.0
2018-10-18,3218400.0
2019-03-27,2761300.0
2019-01-22,1866800.0
2018-12-21,1844000.0
2019-09-03,1972000.0
2018-11-19,2275000.0
2019-08-02,1896200.0
2020-01-28,1868300.0
2020-04-16,2115500.0
2019-11-13,2941800.0
2020-01-31,5511800.0
2018-12-04,3623900.0
2018-11-02,2498400.0
2019-07-16,3337000.0
2018-08-30,2795800.0
2018-10-01,4103100.0
2019-06-14,3429600.0
2019-05-13,2999800.0
2019-04-11,2383100.0
2019-02-06,2173200.0
2019-09-18,2365700.0
2020-02-03,2844800.0
2020-04-22,5662900.0
2019-11-19,1871600.0
2020-02-06,1910600.0
2019-11-22,2944200.0
2019-03-25,2121700.0
2019-02-21,3931500.0
2018-12-19,3361300.0
2018-07-12,2223100.0
2018-09-14,2505100.0
2018-08-13,2478700.0
2018-10-16,2399800.0
2019-07-31,2723400.0
2019-05-28,2604400.0
2019-04-26,4555600.0
2020-04-28,6069300.0
2019-11-25,4855900.0
2020-02-12,2780900.0
2020-05-01,3121000.0
2020-05-04,3792400.0
2019-06-12,4538200.0
2019-04-09,5726300.0
2019-03-08,5003100.0
2019-02-04,4223800.0
2018-07-27,4056700.0
2018-08-28,3378900.0
2019-01-03,5395700.0
2019-08-15,4238700.0
2018-10-31,3778200.0
2019-09-16,4511300.0
2020-02-18,2786800.0
2020-05-07,4322200.0
2018-08-17,2697700.0
2019-12-04,2856000.0
2020-02-21,3606900.0
2018-12-17,2896700.0
2019-08-30,4444000.0
2018-11-15,3154600.0
2019-07-29,3021800.0
2019-06-27,4978100.0
2019-04-24,3742600.0
2018-07-10,3486200.0
2018-09-12,3161200.0
2019-02-19,3779000.0
2019-01-18,2791000.0
2020-02-24,938800.0
2020-05-13,4488500.0
2019-12-10,2837900.0
2020-02-27,3995900.0
2019-12-13,4249500.0
2020-05-19,3949500.0
2019-03-06,3399400.0
2018-11-30,5238400.0
2019-08-13,7455200.0
2019-07-12,4419400.0
2019-06-10,4110000.0
