Dates,AZO
2018-06-20,690.0599975585938
2018-06-21,688.5
2018-06-25,685.97998046875
2018-06-22,678.4600219726562
2018-06-26,675.3499755859375
2018-06-27,669.219970703125
2018-06-28,678.4400024414062
2018-06-29,670.9299926757812
2018-07-02,667.8099975585938
2018-07-03,673.510009765625
2018-07-05,675.9400024414062
2018-07-16,681.8599853515625
2018-09-18,690.6199951171875
2019-01-24,692.6799926757812
2019-09-05,681.4600219726562
2018-11-21,686.97998046875
2020-01-13,686.969970703125
2020-04-01,692.780029296875
2020-06-19,699.9400024414062
2019-10-29,694.0
2020-01-16,716.1699829101562
2020-06-22,714.3499755859375
2018-10-03,714.780029296875
2018-07-31,705.2899780273438
2019-03-12,705.719970703125
2019-02-08,711.1400146484375
2019-01-07,699.780029296875
2018-12-06,698.4600219726562
2019-08-19,705.530029296875
2019-07-18,701.2999877929688
2019-05-15,719.0800170898438
2019-09-20,721.3800048828125
2019-11-01,725.3800048828125
2020-04-07,729.9099731445312
2020-06-25,732.7899780273438
2020-06-16,736.2899780273438
2019-11-04,738.9600219726562
2020-01-22,729.4099731445312
2019-11-07,754.8699951171875
2020-04-13,752.010009765625
2019-07-01,762.739990234375
2019-05-30,765.3400268554688
2018-08-15,766.8599853515625
2018-10-18,767.0
2019-03-27,758.760009765625
2019-01-22,771.3699951171875
2018-12-21,770.52001953125
2019-09-03,767.9400024414062
2018-11-19,766.1199951171875
2019-08-02,769.6400146484375
2020-01-28,760.8900146484375
2020-04-16,766.8800048828125
2019-11-13,783.0
2020-01-31,772.4299926757812
2018-12-04,771.6599731445312
2018-11-02,772.530029296875
2019-07-16,764.97998046875
2018-08-30,764.3200073242188
2018-10-01,764.02001953125
2019-06-14,765.2999877929688
2019-05-13,749.2000122070312
2019-04-11,747.52001953125
2019-02-06,732.760009765625
2019-09-18,754.280029296875
2020-02-03,761.9099731445312
2020-04-22,769.8699951171875
2019-11-19,765.0
2020-02-06,772.7999877929688
2019-11-22,778.0
2019-03-25,779.780029296875
2019-02-21,775.7000122070312
2018-12-19,770.3499755859375
2018-07-12,762.8200073242188
2018-09-14,763.6900024414062
2018-08-13,763.9000244140625
2018-10-16,771.2999877929688
2019-07-31,788.469970703125
2019-05-28,782.5900268554688
2019-04-26,778.1699829101562
2020-04-28,769.010009765625
2019-11-25,774.9600219726562
2020-02-12,787.0
2020-05-01,773.510009765625
2020-05-04,714.7100219726562
2019-06-12,730.030029296875
2019-04-09,725.7999877929688
2019-03-08,736.280029296875
2019-02-04,734.3400268554688
2018-07-27,728.219970703125
2018-08-28,740.0
2019-01-03,743.5700073242188
2019-08-15,747.0499877929688
2018-10-31,747.4000244140625
2019-09-16,733.469970703125
2020-02-18,745.8699951171875
2020-05-07,760.489990234375
2018-08-17,766.3499755859375
2019-12-04,781.02001953125
2020-02-21,790.5
2018-12-17,798.9400024414062
2019-08-30,793.8699951171875
2018-11-15,792.5999755859375
2019-07-29,813.47998046875
2019-06-27,823.2999877929688
2019-04-24,810.0399780273438
2018-07-10,827.989990234375
2018-09-12,829.3499755859375
2019-02-19,793.1099853515625
2019-01-18,819.2100219726562
2020-02-24,827.530029296875
2020-05-13,820.0
2019-12-10,835.22998046875
2020-02-27,833.7000122070312
2019-12-13,825.8300170898438
2020-05-19,809.0700073242188
2019-03-06,824.4600219726562
2018-11-30,880.0700073242188
2019-08-13,868.6799926757812
2019-07-12,870.1599731445312
2019-06-10,885.8699951171875
2019-05-09,878.3400268554688
2018-07-25,889.3400268554688
2018-09-27,883.47998046875
2018-10-29,871.239990234375
2019-10-16,854.1799926757812
2019-12-16,857.239990234375
2020-03-04,835.8699951171875
2020-05-22,826.219970703125
2019-10-01,826.0399780273438
2019-12-19,822.8200073242188
2018-09-10,839.0599975585938
2019-05-24,843.0399780273438
2018-08-09,839.010009765625
2019-04-22,838.3400268554688
2019-03-21,838.47998046875
2019-01-16,845.5800170898438
2019-08-28,835.6300048828125
2018-11-13,822.3200073242188
2018-10-12,811.3699951171875
2019-06-25,820.3599853515625
2020-03-10,827.3400268554688
2020-05-28,822.8800048828125
2019-10-07,826.97998046875
2020-03-13,829.5800170898438
2019-10-10,832.9600219726562
2020-03-16,842.3099975585938
2020-06-03,844.3200073242188
2018-11-28,829.2000122070312
2018-09-25,834.5499877929688
2018-07-23,814.7899780273438
2018-08-24,814.6400146484375
2019-07-10,819.010009765625
2019-05-07,830.6599731445312
2019-04-05,843.1699829101562
2019-03-04,847.3400268554688
2019-01-31,849.9099731445312
2019-09-12,869.4400024414062
2019-12-31,869.4199829101562
2020-03-19,868.0800170898438
2020-01-03,878.77001953125
2020-06-09,874.0800170898438
2019-02-15,887.9099731445312
2019-01-14,890.9000244140625
2018-07-06,891.3599853515625
2018-08-07,904.9600219726562
2018-10-10,919.75
2018-12-13,916.6799926757812
2019-08-26,921.1400146484375
2019-07-25,906.3300170898438
2019-05-22,911.6599731445312
2019-03-19,889.5999755859375
2020-01-06,935.0
2020-03-25,911.9299926757812
2020-06-12,938.969970703125
2019-10-22,929.3200073242188
2020-01-09,932.9500122070312
2020-06-15,939.8300170898438
2019-10-25,935.3499755859375
2020-03-31,940.5499877929688
2020-06-18,934.72998046875
2019-04-03,940.030029296875
2018-08-22,934.6099853515625
2018-10-25,940.5800170898438
2019-01-29,950.219970703125
2018-12-28,962.22998046875
2018-11-26,975.5900268554688
2019-08-09,978.989990234375
2019-07-08,980.97998046875
2019-06-06,1001.0900268554688
2019-09-10,981.27001953125
2020-01-15,995.8599853515625
2020-04-03,997.3099975585938
2019-10-31,1003.2000122070312
2020-04-06,1005.1699829101562
2020-06-24,1024.1199951171875
2018-11-09,1029.7099609375
2019-07-23,1041.97998046875
2019-06-21,1045.530029296875
2019-05-20,1040.68994140625
2019-04-18,1048.52001953125
2018-09-06,1052.5400390625
2018-10-08,1040.4000244140625
2019-02-13,1060.1700439453125
2018-12-11,1068.5699462890625
2019-09-25,1060.300048828125
2020-01-21,1064.5899658203125
2020-04-09,1061.5899658203125
2019-11-06,1051.3699951171875
2020-01-24,1045.050048828125
2020-01-27,1035.199951171875
2020-04-15,1047.760009765625
2018-12-26,1042.5999755859375
2019-08-07,1042.3499755859375
2019-06-04,1033.550048828125
2018-09-21,1022.5
2018-07-19,1028.31005859375
2018-08-20,1023.9000244140625
2018-10-23,1038.31005859375
2019-05-03,1033.3800048828125
2019-04-01,1030.6400146484375
2019-02-28,1015.3599853515625
2019-11-12,1005.5999755859375
2020-01-30,1004.47998046875
2019-11-15,1000.5900268554688
2020-04-21,982.5599975585938
2019-04-16,989.7999877929688
2019-03-15,978.3599853515625
2019-02-11,981.3400268554688
2019-01-10,984.0900268554688
2019-08-22,977.8300170898438
2018-11-07,1032.25
2018-08-03,1043.9300537109375
2018-09-04,1034.8199462890625
2019-06-19,1052.18994140625
2019-09-23,1051.1400146484375
2019-11-18,1027.5400390625
2020-02-05,1045.2900390625
2020-04-24,1027.1099853515625
2019-03-29,1037.6500244140625
2019-11-21,1036.27001953125
2020-04-27,1068.8900146484375
2020-02-11,1090.5400390625
2020-04-30,1099.1400146484375
2019-05-01,1111.22998046875
2019-02-26,1095.3900146484375
2019-01-25,1106.77001953125
2018-12-24,1113.949951171875
2019-09-06,1119.8699951171875
2018-07-17,1124.3599853515625
2018-09-19,1126.0
2019-08-05,1122.6500244140625
2019-10-08,1128.199951171875
2019-12-11,1118.469970703125
2019-11-27,1110.949951171875
2020-02-14,1097.8299560546875
2020-05-06,1086.5999755859375
2019-01-08,1084.0799560546875
2018-12-07,1099.469970703125
2019-08-20,1098.7900390625
2018-11-05,1115.47998046875
2019-07-19,1130.3800048828125
2018-10-04,1130.31005859375
2019-06-17,1144.219970703125
2019-05-16,1143.0899658203125
2018-08-01,1148.469970703125
2019-03-13,1148.9100341796875
2019-12-03,1164.7099609375
2020-02-20,1178.3800048828125
2019-12-06,1180.0
2020-05-12,1160.0
2019-12-09,1162.8499755859375
2020-02-26,1172.25
2020-05-15,1175.1600341796875
2019-03-28,1171.31005859375
2018-09-17,1172.93994140625
2018-08-16,1146.2099609375
2018-10-19,1146.1800537109375
2019-04-29,1148.8199462890625
2019-01-23,1144.199951171875
2019-09-04,1123.0400390625
2018-11-20,1102.8199462890625
2019-07-02,1096.1199951171875
2019-05-31,1062.9200439453125
2019-12-12,1082.260009765625
2020-05-18,1074.77001953125
2019-09-27,1088.1700439453125
2020-03-03,1088.6600341796875
2020-05-21,1072.6600341796875
2019-05-14,1081.280029296875
2018-08-31,1059.6800537109375
2018-07-30,1083.5400390625
2018-10-02,1091.739990234375
2019-04-12,1095.5
2019-03-11,1091.1099853515625
2019-02-07,1087.969970703125
2019-07-17,1081.550048828125
2019-09-19,1065.280029296875
2019-10-21,1066.9599609375
2019-12-18,1064.7900390625
2020-03-06,1097.68994140625
2019-10-03,1113.7099609375
2020-03-09,1101.68994140625
2020-05-27,1102.8299560546875
2019-12-24,1122.719970703125
2020-03-12,1134.5400390625
2018-12-20,1143.3399658203125
2019-08-01,1127.18994140625
2018-08-14,1152.550048828125
2018-07-13,1156.9200439453125
2018-10-17,1129.0699462890625
2019-05-29,1149.260009765625
2019-03-26,1130.6600341796875
2019-02-22,1156.0
2019-10-04,1162.530029296875
2019-11-05,1157.7900390625
2019-12-27,1159.3699951171875
2020-06-02,1147.260009765625
2019-12-30,1096.6300048828125
2020-03-18,1093.06005859375
2020-06-05,1085.68994140625
2019-07-15,1085.6500244140625
2018-12-03,1084.6199951171875
2019-06-13,1083.6700439453125
2019-01-04,1052.8599853515625
2018-08-29,1052.3299560546875
2019-02-05,1060.3299560546875
2018-11-01,1060.81005859375
2019-08-16,1049.5
2019-04-10,1058.550048828125
2019-09-17,1077.22998046875
2019-10-15,1085.969970703125
2020-01-02,1086.6400146484375
2020-06-08,1104.43994140625
2019-10-18,1106.97998046875
2020-03-24,1105.1099853515625
2020-06-11,1110.0
2020-01-08,1109.9200439453125
2019-04-25,1100.1099853515625
2019-07-30,1093.47998046875
2019-02-20,1123.780029296875
2018-07-11,1129.469970703125
2018-09-13,1149.77001953125
2018-10-15,1145.6400146484375
2019-06-28,1148.5
2018-12-18,1144.3800048828125
2018-11-16,1156.280029296875
2019-10-02,1150.0699462890625
2020-03-27,1151.06005859375
2020-01-10,1161.47998046875
2019-10-24,1165.6099853515625
2020-03-30,1165.8599853515625
2020-06-17,1177.050048828125
2020-01-14,1166.969970703125
2020-04-02,1174.760009765625
2019-01-02,1174.9000244140625
2019-08-14,1171.8800048828125
2018-10-30,1187.6500244140625
2019-06-11,1173.97998046875
2019-05-10,1159.6500244140625
2019-04-08,1162.449951171875
2018-08-27,1163.8699951171875
2018-07-26,1167.949951171875
2018-09-28,1177.7900390625
