Dates,BA
2018-06-20,346.0
2018-06-21,341.1499938964844
2018-06-25,340.42999267578125
2018-06-22,332.5199890136719
2018-06-26,332.3900146484375
2018-06-27,334.8500061035156
2018-06-28,330.0
2018-06-29,337.19000244140625
2018-07-02,330.69000244140625
2018-07-03,338.17999267578125
2018-07-05,336.1499938964844
2018-07-16,332.8399963378906
2018-09-18,337.5
2019-01-24,342.7799987792969
2019-09-05,341.7300109863281
2018-11-21,345.2799987792969
2020-01-13,347.0
2020-04-01,353.9700012207031
2020-06-19,357.6099853515625
2019-10-29,359.0
2020-01-16,357.69000244140625
2020-06-22,353.0400085449219
2018-10-03,355.0
2018-07-31,356.75
2019-03-12,351.5199890136719
2019-02-08,355.3800048828125
2019-01-07,361.05999755859375
2018-12-06,361.989990234375
2019-08-19,354.3800048828125
2019-07-18,354.0899963378906
2019-05-15,348.6199951171875
2019-09-20,349.5
2019-11-01,347.3699951171875
2020-04-07,348.04998779296875
2020-06-25,350.5
2020-06-16,346.07000732421875
2019-11-04,341.0
2020-01-22,339.6000061035156
2019-11-07,339.1199951171875
2020-04-13,336.57000732421875
2019-07-01,339.05999755859375
2019-05-30,346.0
2018-08-15,348.6000061035156
2018-10-18,351.0
2019-03-27,354.32000732421875
2019-01-22,349.1499938964844
2018-12-21,348.7699890136719
2019-09-03,352.1099853515625
2018-11-19,355.0
2019-08-02,352.260009765625
2020-01-28,350.3500061035156
2020-04-16,345.04998779296875
2019-11-13,341.6000061035156
2020-01-31,345.7699890136719
2018-12-04,347.54998779296875
2018-11-02,348.82000732421875
2019-07-16,349.489990234375
2018-08-30,339.010009765625
2018-10-01,345.0
2019-06-14,356.3599853515625
2019-05-13,356.44000244140625
2019-04-11,359.2799987792969
2019-02-06,357.29998779296875
2019-09-18,363.5799865722656
2020-02-03,368.739990234375
2020-04-22,369.3999938964844
2019-11-19,371.0
2020-02-06,369.0799865722656
2019-11-22,367.5
2019-03-25,368.3999938964844
2019-02-21,368.6300048828125
2018-12-19,375.1600036621094
2018-07-12,380.8500061035156
2018-09-14,388.8999938964844
2018-08-13,390.739990234375
2018-10-16,389.0
2019-07-31,383.8399963378906
2019-05-28,384.3699951171875
2019-04-26,382.9599914550781
2020-04-28,363.44000244140625
2019-11-25,366.010009765625
2020-02-12,359.4599914550781
2020-05-01,360.45001220703125
2020-05-04,368.0
2019-06-12,364.82000732421875
2019-04-09,359.79998779296875
2019-03-08,357.8500061035156
2019-02-04,349.5
2018-07-27,361.5899963378906
2018-08-28,357.29998779296875
2019-01-03,360.70001220703125
2019-08-15,360.54998779296875
2018-10-31,330.3500061035156
2019-09-16,352.510009765625
2020-02-18,357.4700012207031
2020-05-07,366.9700012207031
2018-08-17,359.760009765625
2019-12-04,362.4100036621094
2020-02-21,367.6400146484375
2018-12-17,369.3299865722656
2019-08-30,367.8299865722656
2018-11-15,370.2099914550781
2019-07-29,349.54998779296875
2019-06-27,352.0899963378906
2019-04-24,341.1199951171875
2018-07-10,339.0
2018-09-12,335.54998779296875
2019-02-19,302.1000061035156
2019-01-18,325.07000732421875
2020-02-24,315.0
2020-05-13,315.55999755859375
2019-12-10,315.2799987792969
2020-02-27,325.7200012207031
2019-12-13,335.9700012207031
2020-05-19,341.94000244140625
2019-03-06,364.30999755859375
2018-11-30,357.0
2019-08-13,329.989990234375
2019-07-12,332.3500061035156
2019-06-10,321.2699890136719
2019-05-09,333.25
2018-07-25,327.3800048828125
2018-09-27,328.3999938964844
2018-10-29,322.45001220703125
2019-10-16,316.9100036621094
2019-12-16,325.4599914550781
2020-03-04,329.3299865722656
2020-05-22,317.0
2019-10-01,309.0899963378906
2019-12-19,300.6499938964844
2018-09-10,298.6099853515625
2019-05-24,309.0400085449219
2018-08-09,319.739990234375
2019-04-22,320.5
2019-03-21,316.19000244140625
2019-01-16,319.489990234375
2019-08-28,316.69000244140625
2018-11-13,330.5199890136719
2018-10-12,334.1099853515625
2019-06-25,342.9599914550781
2020-03-10,346.510009765625
2020-05-28,348.55999755859375
2019-10-07,348.20001220703125
2020-03-13,352.0
2019-10-10,352.5
2020-03-16,350.75
2020-06-03,363.8800048828125
2018-11-28,362.8599853515625
2018-09-25,361.9100036621094
2018-07-23,358.9100036621094
2018-08-24,362.489990234375
2019-07-10,360.6499938964844
2019-05-07,363.07000732421875
2019-04-05,387.3999938964844
2019-03-04,387.1600036621094
2019-01-31,386.1099853515625
2019-09-12,388.9700012207031
2019-12-31,400.75
2020-03-19,411.510009765625
2020-01-03,407.92999267578125
2020-06-09,400.0
2019-02-15,408.1000061035156
2019-01-14,407.0
2018-07-06,412.5199890136719
2018-08-07,408.92999267578125
2018-10-10,412.4800109863281
2018-12-13,415.5
2019-08-26,417.1400146484375
2019-07-25,421.5799865722656
2019-05-22,419.70001220703125
2019-03-19,427.489990234375
2020-01-06,426.0
