Dates,BAC
2018-06-20,52256500.0
2018-06-21,68322600.0
2018-06-25,76079200.0
2018-06-22,73616400.0
2018-06-26,56369300.0
2018-06-27,61764400.0
2018-06-28,71292100.0
2018-06-29,102307600.0
2018-07-02,52534300.0
2018-07-03,40599000.0
2018-07-05,44506800.0
2018-07-16,39424900.0
2018-09-18,61758900.0
2019-01-24,58858400.0
2019-09-05,50218900.0
2018-11-21,51700700.0
2020-01-13,75178000.0
2020-04-01,129172000.0
2020-06-19,87778900.0
2019-10-29,59109200.0
2020-01-16,59260600.0
2020-06-22,80432700.0
2018-10-03,74080200.0
2018-07-31,64761500.0
2019-03-12,57644100.0
2019-02-08,46215000.0
2019-01-07,57198900.0
2018-12-06,58721000.0
2019-08-19,64066000.0
2019-07-18,69070700.0
2019-05-15,46427200.0
2019-09-20,50153800.0
2019-11-01,41261500.0
2020-04-07,43946200.0
2020-06-25,43689600.0
2020-06-16,38219100.0
2019-11-04,55679800.0
2020-01-22,63960600.0
2019-11-07,42521200.0
2020-04-13,59747900.0
2019-07-01,44015400.0
2019-05-30,39843500.0
2018-08-15,40011000.0
2018-10-18,53510600.0
2019-03-27,33062900.0
2019-01-22,38259100.0
2018-12-21,43585000.0
2019-09-03,47729300.0
2018-11-19,38539000.0
2019-08-02,46401800.0
2020-01-28,47358900.0
2020-04-16,49266000.0
2019-11-13,44745600.0
2020-01-31,48516700.0
2018-12-04,42666000.0
2018-11-02,49103800.0
2019-07-16,34156200.0
2018-08-30,53071000.0
2018-10-01,59482300.0
2019-06-14,59219500.0
2019-05-13,33743900.0
2019-04-11,35026600.0
2019-02-06,49921700.0
2019-09-18,92666300.0
2020-02-03,83357400.0
2020-04-22,85992100.0
2019-11-19,45587700.0
2020-02-06,40949900.0
2019-11-22,57882400.0
2019-03-25,45879700.0
2019-02-21,74707600.0
2018-12-19,53900900.0
2018-07-12,42940300.0
2018-09-14,61080300.0
2018-08-13,72325700.0
2018-10-16,51931000.0
2019-07-31,47471600.0
2019-05-28,58868600.0
2019-04-26,88454400.0
2020-04-28,111417300.0
2019-11-25,102279200.0
2020-02-12,114636100.0
2020-05-01,87887800.0
2020-05-04,79068700.0
2019-06-12,77369200.0
2019-04-09,64305400.0
2019-03-08,89942900.0
2019-02-04,102392500.0
2018-07-27,86386600.0
2018-08-28,73780400.0
2019-01-03,91103500.0
2019-08-15,89367000.0
2018-10-31,79004800.0
2019-09-16,92296300.0
2020-02-18,49827300.0
2020-05-07,69010200.0
2018-08-17,41103100.0
2019-12-04,43514400.0
2020-02-21,56679200.0
2018-12-17,49421200.0
2019-08-30,43270600.0
2018-11-15,50307500.0
2019-07-29,57423400.0
2019-06-27,69213300.0
2019-04-24,66174800.0
2018-07-10,52456100.0
2018-09-12,46000000.0
2019-02-19,92330600.0
2019-01-18,40364400.0
2020-02-24,22974100.0
2020-05-13,53210700.0
2019-12-10,43617100.0
2020-02-27,61388100.0
2019-12-13,46824600.0
2020-05-19,64284600.0
2019-03-06,59908700.0
2018-11-30,103565700.0
2019-08-13,133294200.0
2019-07-12,107477600.0
2019-06-10,110166900.0
2019-05-09,78545000.0
2018-07-25,87191800.0
2018-09-27,64860100.0
2018-10-29,92762600.0
2019-10-16,98602800.0
2019-12-16,89046300.0
2020-03-04,121887600.0
2020-05-22,112594000.0
2019-10-01,160800400.0
2019-12-19,64859100.0
2018-09-10,100877800.0
2019-05-24,91575400.0
2018-08-09,78693800.0
2019-04-22,56257300.0
2019-03-21,71836300.0
2019-01-16,66599600.0
2019-08-28,83829100.0
2018-11-13,57016300.0
2018-10-12,67339400.0
2019-06-25,69707200.0
2020-03-10,65235800.0
2020-05-28,63476000.0
2019-10-07,76715400.0
2020-03-13,80625500.0
2019-10-10,163131700.0
2020-03-16,107428800.0
2020-06-03,97928200.0
2018-11-28,84861400.0
2018-09-25,79425900.0
2018-07-23,59492300.0
2018-08-24,72182100.0
2019-07-10,59963800.0
2019-05-07,51451900.0
2019-04-05,66475800.0
2019-03-04,100201200.0
2019-01-31,64244100.0
2019-09-12,55195900.0
2019-12-31,46622600.0
2020-03-19,35606900.0
2020-01-03,62289200.0
2020-06-09,50031300.0
2019-02-15,47724400.0
2019-01-14,49178100.0
2018-07-06,48951200.0
2018-08-07,47756600.0
2018-10-10,65867000.0
2018-12-13,40841300.0
2019-08-26,42806300.0
2019-07-25,42754100.0
2019-05-22,47887800.0
2019-03-19,61227400.0
2020-01-06,53153200.0
2020-03-25,48128600.0
2020-06-12,62358100.0
2019-10-22,45771500.0
2020-01-09,56893200.0
2020-06-15,39932500.0
2019-10-25,41672000.0
2020-03-31,53908600.0
2020-06-18,40860700.0
2019-04-03,40709300.0
2018-08-22,34450000.0
2018-10-25,54683300.0
2019-01-29,45219100.0
2018-12-28,82346200.0
2018-11-26,58568600.0
2019-08-09,55455100.0
2019-07-08,81689900.0
2019-06-06,77444400.0
2019-09-10,118851600.0
2020-01-15,65568000.0
2020-04-03,59878500.0
2019-10-31,57621700.0
2020-04-06,45872300.0
2020-06-24,83446300.0
2018-11-09,91751100.0
2019-07-23,66694000.0
2019-06-21,63110600.0
2019-05-20,53712100.0
2019-04-18,46383400.0
2018-09-06,35272800.0
2018-10-08,40535300.0
2019-02-13,42669700.0
2018-12-11,50440100.0
2019-09-25,100192000.0
2020-01-21,57438800.0
2020-04-09,105168400.0
2019-11-06,94831600.0
2020-01-24,61796600.0
2020-01-27,34763400.0
2020-04-15,41889700.0
2018-12-26,40078100.0
2019-08-07,43243800.0
2019-06-04,40627500.0
2018-09-21,68408600.0
2018-07-19,47764200.0
2018-08-20,56161000.0
2018-10-23,40634100.0
2019-05-03,35256100.0
2019-04-01,39882000.0
2019-02-28,58528400.0
2019-11-12,39903400.0
2020-01-30,44173500.0
2019-11-15,59649900.0
2020-04-21,72547000.0
2019-04-16,52216100.0
2019-03-15,51973200.0
2019-02-11,42791500.0
2019-01-10,43772500.0
2019-08-22,41717600.0
2018-11-07,39258700.0
2018-08-03,29177600.0
2018-09-04,59772900.0
2019-06-19,35524400.0
2019-09-23,44273400.0
2019-11-18,49818900.0
2020-02-05,58649300.0
2020-04-24,68304200.0
2019-03-29,50109900.0
2019-11-21,58426400.0
2020-04-27,44874400.0
2020-02-11,38633600.0
2020-04-30,51317200.0
2019-05-01,48305800.0
2019-02-26,38691800.0
2019-01-25,33507500.0
2018-12-24,33404200.0
2019-09-06,37322100.0
2018-07-17,33410100.0
2018-09-19,60170700.0
2019-08-05,61953500.0
2019-10-08,60887200.0
2019-12-11,69444000.0
