Dates,BWA
2018-06-20,1929800.0
2018-06-21,2259800.0
2018-06-25,3166600.0
2018-06-22,2062300.0
2018-06-26,2317300.0
2018-06-27,1547500.0
2018-06-28,1971600.0
2018-06-29,1489100.0
2018-07-02,2270600.0
2018-07-03,1226500.0
2018-07-05,2664500.0
2018-07-16,1712800.0
2018-09-18,2029700.0
2019-01-24,1248700.0
2019-09-05,1388700.0
2018-11-21,1356000.0
2020-01-13,1132800.0
2020-04-01,1548600.0
2020-06-19,1273000.0
2019-10-29,1836000.0
2020-01-16,1390400.0
2020-06-22,1748800.0
2018-10-03,3089700.0
2018-07-31,2299800.0
2019-03-12,3384100.0
2019-02-08,3275300.0
2019-01-07,1680300.0
2018-12-06,2598800.0
2019-08-19,2568100.0
2019-07-18,2440600.0
2019-05-15,1231300.0
2019-09-20,1117700.0
2019-11-01,1405800.0
2020-04-07,1713100.0
2020-06-25,1824700.0
2020-06-16,1492100.0
2019-11-04,1313800.0
2020-01-22,1720000.0
2019-11-07,1733200.0
2020-04-13,1435700.0
2019-07-01,1436200.0
2019-05-30,1305100.0
2018-08-15,1385300.0
2018-10-18,3023900.0
2019-03-27,2247600.0
2019-01-22,1879700.0
2018-12-21,1691900.0
2019-09-03,2354600.0
2018-11-19,1659400.0
2019-08-02,1564600.0
2020-01-28,1563300.0
2020-04-16,1710800.0
2019-11-13,1982700.0
2020-01-31,1463500.0
2018-12-04,1778000.0
2018-11-02,2060500.0
2019-07-16,1953900.0
2018-08-30,1869000.0
2018-10-01,1215500.0
2019-06-14,1318500.0
2019-05-13,1575800.0
2019-04-11,2113600.0
2019-02-06,5559100.0
2019-09-18,4847800.0
2020-02-03,2792900.0
2020-04-22,5621700.0
2019-11-19,3033200.0
2020-02-06,2175200.0
2019-11-22,1361400.0
2019-03-25,1449500.0
2019-02-21,1372900.0
2018-12-19,1871800.0
2018-07-12,1844400.0
2018-09-14,2749900.0
2018-08-13,2580700.0
2018-10-16,2361900.0
2019-07-31,2021600.0
2019-05-28,2632500.0
2019-04-26,4815500.0
2020-04-28,3200800.0
2019-11-25,3370800.0
2020-02-12,2092700.0
2020-05-01,2477600.0
2020-05-04,2228200.0
2019-06-12,3564700.0
2019-04-09,2347700.0
2019-03-08,1904500.0
2019-02-04,3583400.0
2018-07-27,3118000.0
2018-08-28,3666400.0
2019-01-03,3335100.0
2019-08-15,5594400.0
2018-10-31,3063600.0
2019-09-16,3092200.0
2020-02-18,2996900.0
2020-05-07,2407400.0
2018-08-17,2364600.0
2019-12-04,2013600.0
2020-02-21,1961200.0
2018-12-17,1932800.0
2019-08-30,1962800.0
2018-11-15,1865500.0
2019-07-29,2160000.0
2019-06-27,2396200.0
2019-04-24,2027100.0
2018-07-10,2416000.0
2018-09-12,1103000.0
2019-02-19,1458700.0
2019-01-18,1470600.0
2020-02-24,448300.0
2020-05-13,1190600.0
2019-12-10,1816600.0
2020-02-27,1239400.0
2019-12-13,1346300.0
2020-05-19,2118500.0
2019-03-06,2149500.0
2018-11-30,2981600.0
2019-08-13,2263400.0
2019-07-12,1672200.0
2019-06-10,2430200.0
2019-05-09,1641500.0
2018-07-25,1587500.0
2018-09-27,2036400.0
2018-10-29,1958600.0
2019-10-16,2208100.0
2019-12-16,2421300.0
2020-03-04,1709100.0
2020-05-22,2341000.0
2019-10-01,4090000.0
2019-12-19,761600.0
2018-09-10,1616900.0
2019-05-24,1354000.0
2018-08-09,1577700.0
2019-04-22,1228200.0
2019-03-21,1297700.0
2019-01-16,1569600.0
2019-08-28,2524500.0
2018-11-13,1613000.0
2018-10-12,2043700.0
2019-06-25,2423000.0
2020-03-10,2298700.0
2020-05-28,1698300.0
2019-10-07,2202700.0
2020-03-13,1056600.0
2019-10-10,1695900.0
2020-03-16,1418500.0
2020-06-03,1585300.0
2018-11-28,1527700.0
2018-09-25,1137200.0
2018-07-23,1658000.0
2018-08-24,1508400.0
2019-07-10,1183200.0
2019-05-07,1033900.0
2019-04-05,1898200.0
2019-03-04,1741000.0
2019-01-31,1771000.0
2019-09-12,1672300.0
2019-12-31,841500.0
2020-03-19,1044000.0
2020-01-03,1840000.0
2020-06-09,2408500.0
2019-02-15,2158500.0
2019-01-14,2815200.0
2018-07-06,2356300.0
2018-08-07,3236300.0
2018-10-10,2522200.0
2018-12-13,1714800.0
2019-08-26,1831300.0
2019-07-25,1700300.0
2019-05-22,1137000.0
2019-03-19,1313100.0
2020-01-06,1078100.0
2020-03-25,948600.0
2020-06-12,1630300.0
2019-10-22,1233800.0
2020-01-09,1182300.0
2020-06-15,1014200.0
2019-10-25,1607400.0
2020-03-31,1564500.0
2020-06-18,1156000.0
2019-04-03,1384300.0
2018-08-22,1825700.0
2018-10-25,998100.0
2019-01-29,1112900.0
2018-12-28,1705800.0
2018-11-26,1234100.0
2019-08-09,2109000.0
2019-07-08,1770700.0
2019-06-06,1149300.0
2019-09-10,1228000.0
2020-01-15,1431300.0
2020-04-03,1203000.0
2019-10-31,2138800.0
2020-04-06,1919500.0
2020-06-24,2053500.0
2018-11-09,2288600.0
2019-07-23,2158600.0
2019-06-21,1795400.0
2019-05-20,2505200.0
2019-04-18,2071900.0
2018-09-06,2811600.0
2018-10-08,1278400.0
2019-02-13,2049100.0
2018-12-11,1327400.0
2019-09-25,1802600.0
2020-01-21,1062800.0
2020-04-09,1524700.0
2019-11-06,3005800.0
2020-01-24,1198500.0
2020-01-27,1186800.0
2020-04-15,1349200.0
2018-12-26,1554100.0
2019-08-07,2660900.0
2019-06-04,1852500.0
2018-09-21,904400.0
2018-07-19,1503700.0
2018-08-20,1872900.0
2018-10-23,1557000.0
2019-05-03,789800.0
2019-04-01,1173000.0
2019-02-28,1159100.0
2019-11-12,1103300.0
2020-01-30,1477500.0
2019-11-15,958500.0
2020-04-21,1684400.0
2019-04-16,1435900.0
2019-03-15,2223600.0
2019-02-11,1597200.0
2019-01-10,1415800.0
2019-08-22,2216700.0
2018-11-07,2133500.0
2018-08-03,1573200.0
2018-09-04,1977100.0
2019-06-19,1321900.0
2019-09-23,2454900.0
2019-11-18,1901700.0
2020-02-05,2103700.0
2020-04-24,2498000.0
2019-03-29,2669500.0
2019-11-21,2162700.0
2020-04-27,1862100.0
2020-02-11,1354900.0
2020-04-30,1575400.0
2019-05-01,1529300.0
2019-02-26,1288000.0
2019-01-25,1620700.0
2018-12-24,1316100.0
2019-09-06,1267800.0
2018-07-17,1323900.0
2018-09-19,1395100.0
2019-08-05,1296400.0
2019-10-08,1531600.0
2019-12-11,1972300.0
2019-11-27,1092500.0
2020-02-14,1162800.0
2020-05-06,1887300.0
2019-01-08,1290300.0
2018-12-07,2950100.0
2019-08-20,1848200.0
2018-11-05,1714200.0
2019-07-19,762700.0
2018-10-04,1039600.0
2019-06-17,1425000.0
2019-05-16,1595500.0
2018-08-01,1312300.0
2019-03-13,1340600.0
2019-12-03,1103800.0
2020-02-20,1318900.0
2019-12-06,2308800.0
2020-05-12,1422200.0
2019-12-09,1156200.0
2020-02-26,1910100.0
2020-05-15,2174400.0
2019-03-28,3197500.0
2018-09-17,2379700.0
2018-08-16,3449900.0
2018-10-19,2909900.0
2019-04-29,1961000.0
2019-01-23,2874400.0
2019-09-04,2190200.0
2018-11-20,2114300.0
2019-07-02,2011600.0
2019-05-31,2384500.0
2019-12-12,2354000.0
2020-05-18,2222700.0
2019-09-27,1636300.0
2020-03-03,1739900.0
2020-05-21,1263100.0
2019-05-14,1446800.0
2018-08-31,2236500.0
2018-07-30,1530200.0
2018-10-02,1391200.0
2019-04-12,1527300.0
2019-03-11,1205600.0
2019-02-07,1070500.0
2019-07-17,985800.0
2019-09-19,2411900.0
2019-10-21,1232200.0
2019-12-18,1875600.0
2020-03-06,1420700.0
2019-10-03,1590400.0
2020-03-09,1173900.0
2020-05-27,1439600.0
2019-12-24,1569500.0
2020-03-12,2203700.0
2018-12-20,1358000.0
2019-08-01,1480400.0
2018-08-14,2163200.0
2018-07-13,2527900.0
2018-10-17,1729800.0
2019-05-29,2034900.0
2019-03-26,1379300.0
2019-02-22,2181100.0
2019-10-04,2330600.0
2019-11-05,1506500.0
2019-12-27,2876000.0
2020-06-02,1046500.0
2019-12-30,1106400.0
2020-03-18,1119500.0
2020-06-05,1080700.0
2019-07-15,1313600.0
2018-12-03,1276100.0
2019-06-13,1395900.0
2019-01-04,1579200.0
2018-08-29,1343500.0
2019-02-05,1247800.0
2018-11-01,973100.0
2019-08-16,1032200.0
2019-04-10,1032700.0
2019-09-17,1013500.0
2019-10-15,1905900.0
2020-01-02,951900.0
2020-06-08,1076700.0
2019-10-18,1894200.0
2020-03-24,2206900.0
2020-06-11,1885100.0
2020-01-08,1299800.0
2019-04-25,1307800.0
2019-07-30,1087600.0
2019-02-20,948400.0
2018-07-11,1400800.0
2018-09-13,1364000.0
2018-10-15,1065900.0
2019-06-28,1698900.0
2018-12-18,4298000.0
2018-11-16,2359000.0
2019-10-02,3007300.0
2020-03-27,2051100.0
2020-01-10,1197000.0
2019-10-24,1403800.0
2020-03-30,1049000.0
2020-06-17,1035400.0
2020-01-14,1283700.0
2020-04-02,1463600.0
2019-01-02,1078800.0
2019-08-14,1014300.0
2018-10-30,1592100.0
2019-06-11,1601900.0
2019-05-10,2061300.0
2019-04-08,1568500.0
2018-08-27,1371700.0
2018-07-26,1335400.0
2018-09-28,2011600.0
2019-03-07,1141700.0
2019-10-30,792700.0
2020-01-17,1491200.0
2020-06-23,1473800.0
2020-04-08,1478000.0
2020-06-26,1294500.0
2019-03-22,1195600.0
2019-01-17,1044100.0
2019-08-29,989400.0
2018-11-14,978500.0
2019-06-26,2422400.0
2018-09-11,1249300.0
2018-07-09,1976400.0
2018-08-10,1043000.0
2019-04-23,1609500.0
2019-09-30,1071200.0
2020-01-23,2069200.0
2019-11-08,876600.0
2020-04-14,331500.0
2019-11-11,599200.0
2020-01-29,665800.0
2020-04-17,600400.0
2018-07-24,662000.0
2018-09-26,1189300.0
2019-05-08,1050700.0
2019-03-05,846500.0
2019-02-01,1383300.0
2018-12-31,1072000.0
2018-11-29,1190900.0
2019-08-12,827100.0
2019-07-11,1703700.0
2019-09-13,1516800.0
2019-11-14,1075500.0
2020-04-20,1393900.0
2020-02-04,1426300.0
2020-04-23,1423300.0
2018-12-14,1197300.0
2019-08-27,1411500.0
2018-08-08,853400.0
2018-10-11,1652000.0
2018-11-12,15579000.0
2019-07-26,6307300.0
2019-06-24,4135800.0
2019-05-23,4540800.0
2019-03-20,3269400.0
2019-01-15,4049200.0
2019-11-20,3742600.0
2020-02-07,3665300.0
2020-02-10,2214000.0
2020-04-29,1975800.0
2019-11-26,2776500.0
2020-02-13,4740500.0
2019-01-30,5660500.0
2018-08-23,5008200.0
2018-09-24,3506000.0
2018-11-27,3027700.0
2018-10-26,2623700.0
2019-07-09,2478900.0
2019-06-07,5983200.0
2019-05-06,6578600.0
2019-04-04,3492500.0
2019-09-11,6592900.0
2019-11-29,6634200.0
2020-05-05,4148200.0
2019-12-02,5201000.0
2020-02-19,4169100.0
2020-05-08,3744900.0
2019-05-21,5598800.0
2019-03-18,4257200.0
2018-09-07,5597200.0
2018-08-06,5441500.0
2018-10-09,4710900.0
2019-02-14,4991100.0
2018-12-12,4210800.0
2019-07-24,5951600.0
2019-09-26,3967600.0
2019-10-28,4971800.0
2019-12-05,4303000.0
2020-05-11,3872600.0
2019-07-03,4834700.0
2020-02-25,5211600.0
2020-05-14,4196500.0
2020-02-28,3271700.0
2019-08-08,3811000.0
2019-06-05,7920600.0
2018-07-20,4577100.0
2018-08-21,4104300.0
2018-10-24,4128800.0
2019-04-02,4132700.0
2019-03-01,3162100.0
2019-01-28,3005000.0
2018-12-27,4216500.0
2019-09-09,2230800.0
2020-03-02,3187700.0
2020-05-20,2523600.0
2019-12-17,3187700.0
2020-03-05,3917300.0
2019-02-12,2923700.0
2019-01-11,2277900.0
2018-12-10,2426900.0
2019-08-23,2859200.0
2018-11-08,2519200.0
2019-07-22,3104500.0
2019-06-20,2548400.0
2018-09-05,2243900.0
2019-04-17,3390700.0
2019-09-24,2448500.0
2019-12-20,2580300.0
2020-05-26,2627000.0
2019-04-30,9996100.0
2019-12-23,4936200.0
2020-03-11,3957200.0
2020-05-29,5458000.0
2019-12-26,2980100.0
2020-06-01,3866000.0
2019-05-02,6106700.0
2019-02-27,3626200.0
2018-11-23,2355000.0
2019-08-06,3253800.0
2018-07-18,3517100.0
2018-09-20,2794000.0
2018-10-22,3759500.0
2019-07-05,4117100.0
