Dates,BXP
2018-06-20,121.33000183105469
2018-06-21,122.4800033569336
2018-06-25,125.88999938964844
2018-06-22,125.76000213623047
2018-06-26,125.45999908447266
2018-06-27,125.45999908447266
2018-06-28,125.30999755859375
2018-06-29,126.19000244140625
2018-07-02,125.55000305175781
2018-07-03,126.08000183105469
2018-07-05,126.16999816894531
2018-07-16,126.91000366210938
2018-09-18,126.72000122070312
2019-01-24,126.48999786376953
2019-09-05,126.4000015258789
2018-11-21,127.08000183105469
2020-01-13,128.1300048828125
2020-04-01,127.37000274658203
2020-06-19,127.22000122070312
2019-10-29,126.41999816894531
2020-01-16,127.41999816894531
2020-06-22,126.55999755859375
2018-10-03,125.05999755859375
2018-07-31,125.26000213623047
2019-03-12,125.48999786376953
2019-02-08,125.91000366210938
2019-01-07,125.2699966430664
2018-12-06,123.0
2019-08-19,125.79000091552734
2019-07-18,130.02000427246094
2019-05-15,130.52000427246094
2019-09-20,129.74000549316406
2019-11-01,130.0800018310547
2020-04-07,130.0500030517578
2020-06-25,130.00999450683594
2020-06-16,129.75999450683594
2019-11-04,129.9600067138672
2020-01-22,130.0800018310547
2019-11-07,130.52999877929688
2020-04-13,131.30999755859375
2019-07-01,132.08999633789062
2019-05-30,132.61000061035156
2018-08-15,132.82000732421875
2018-10-18,131.52000427246094
2019-03-27,130.50999450683594
2019-01-22,129.66000366210938
2018-12-21,129.4199981689453
2019-09-03,129.35000610351562
2018-11-19,130.99000549316406
2019-08-02,131.1300048828125
2020-01-28,131.02000427246094
2020-04-16,130.97000122070312
2019-11-13,131.13999938964844
2020-01-31,131.3800048828125
2018-12-04,131.39999389648438
2018-11-02,129.5
2019-07-16,130.2899932861328
2018-08-30,128.97000122070312
2018-10-01,128.69000244140625
2019-06-14,128.05999755859375
2019-05-13,127.4800033569336
2019-04-11,127.05000305175781
2019-02-06,127.7300033569336
2019-09-18,126.41999816894531
2020-02-03,125.93000030517578
2020-04-22,127.23999786376953
2019-11-19,126.7300033569336
2020-02-06,124.63999938964844
2019-11-22,124.4000015258789
2019-03-25,121.79000091552734
2019-02-21,123.16000366210938
2018-12-19,123.66999816894531
2018-07-12,121.8499984741211
2018-09-14,121.94999694824219
2018-08-13,120.06999969482422
2018-10-16,120.08000183105469
2019-07-31,120.48999786376953
2019-05-28,120.55999755859375
2019-04-26,121.0199966430664
2020-04-28,119.45999908447266
2019-11-25,116.06999969482422
2020-02-12,117.19999694824219
2020-05-01,118.4000015258789
2020-05-04,118.12000274658203
2019-06-12,118.6500015258789
2019-04-09,117.58999633789062
2019-03-08,117.77999877929688
2019-02-04,116.01000213623047
2018-07-27,116.91999816894531
2018-08-28,117.69999694824219
2019-01-03,116.62000274658203
2019-08-15,117.7699966430664
2018-10-31,118.7699966430664
2019-09-16,123.23999786376953
2020-02-18,122.91999816894531
2020-05-07,120.20999908447266
2018-08-17,121.72000122070312
2019-12-04,122.94999694824219
2020-02-21,123.86000061035156
2018-12-17,125.13999938964844
2019-08-30,125.13999938964844
2018-11-15,125.43000030517578
2019-07-29,125.29000091552734
2019-06-27,125.41000366210938
