Dates,CAT
2018-06-20,144.22000122070312
2018-06-21,142.25
2018-06-25,140.89999389648438
2018-06-22,138.86000061035156
2018-06-26,136.75
2018-06-27,136.77000427246094
2018-06-28,134.17999267578125
2018-06-29,136.61000061035156
2018-07-02,133.8000030517578
2018-07-03,137.0
2018-07-05,135.00999450683594
2018-07-16,135.11000061035156
2018-09-18,136.22000122070312
2019-01-24,141.61000061035156
2019-09-05,138.1300048828125
2018-11-21,138.5
2020-01-13,139.5399932861328
2020-04-01,140.8800048828125
2020-06-19,136.97999572753906
2019-10-29,139.0
2020-01-16,139.57000732421875
2020-06-22,138.36000061035156
2018-10-03,136.6199951171875
2018-07-31,138.89999389648438
2019-03-12,138.0
2019-02-08,140.75
2019-01-07,143.9499969482422
2018-12-06,145.7100067138672
2019-08-19,141.97000122070312
2019-07-18,142.97000122070312
2019-05-15,137.07000732421875
2019-09-20,138.1999969482422
2019-11-01,138.52000427246094
2020-04-07,140.61000061035156
2020-06-25,142.32000732421875
2020-06-16,140.10000610351562
2019-11-04,137.52000427246094
2020-01-22,135.9199981689453
2019-11-07,135.60000610351562
2020-04-13,133.25
2019-07-01,133.72000122070312
2019-05-30,135.64999389648438
2018-08-15,139.82000732421875
2018-10-18,139.07000732421875
2019-03-27,140.32000732421875
2019-01-22,139.0500030517578
2018-12-21,137.82000732421875
2019-09-03,139.39999389648438
2018-11-19,143.4199981689453
2019-08-02,142.42999267578125
2020-01-28,141.02999877929688
2020-04-16,138.52000427246094
2019-11-13,137.86000061035156
2020-01-31,138.3300018310547
2018-12-04,140.33999633789062
2018-11-02,140.72999572753906
2019-07-16,141.77000427246094
2018-08-30,140.61000061035156
2018-10-01,141.5800018310547
2019-06-14,145.0500030517578
2019-05-13,145.6300048828125
2019-04-11,144.85000610351562
2019-02-06,147.0
2019-09-18,149.75999450683594
2020-02-03,155.41000366210938
2020-04-22,156.6300048828125
2019-11-19,156.0
2020-02-06,154.1199951171875
2019-11-22,153.9499969482422
2019-03-25,153.02000427246094
2019-02-21,152.0
2018-12-19,153.61000061035156
2018-07-12,152.2899932861328
2018-09-14,156.0
2018-08-13,158.02999877929688
2018-10-16,156.50999450683594
2019-07-31,151.9499969482422
2019-05-28,152.61000061035156
2019-04-26,148.6999969482422
2020-04-28,142.9499969482422
2019-11-25,144.02000427246094
2020-02-12,142.0
2020-05-01,143.35000610351562
2020-05-04,143.0800018310547
2019-06-12,140.16000366210938
2019-04-09,136.19000244140625
2019-03-08,132.67999267578125
2019-02-04,119.68000030517578
2018-07-27,120.0
2018-08-28,114.83000183105469
2019-01-03,114.0999984741211
2019-08-15,116.87999725341797
2018-10-31,114.0
2019-09-16,119.41000366210938
2020-02-18,122.58999633789062
2020-05-07,127.05000305175781
2018-08-17,126.08999633789062
2019-12-04,126.4000015258789
2020-02-21,133.52000427246094
2018-12-17,133.8300018310547
2019-08-30,129.58999633789062
2018-11-15,127.18000030517578
2019-07-29,125.5
2019-06-27,127.2699966430664
2019-04-24,124.31999969482422
2018-07-10,128.7899932861328
2018-09-12,129.14999389648438
2019-02-19,123.8499984741211
2019-01-18,122.81999969482422
2020-02-24,121.95999908447266
2020-05-13,123.6500015258789
2019-12-10,124.0
2020-02-27,125.30000305175781
2019-12-13,130.8000030517578
2020-05-19,130.0500030517578
2019-03-06,141.8800048828125
2018-11-30,138.0800018310547
2019-08-13,125.22000122070312
2019-07-12,129.10000610351562
2019-06-10,122.41000366210938
2019-05-09,127.18000030517578
2018-07-25,125.73999786376953
2018-09-27,126.44999694824219
2018-10-29,123.41999816894531
2019-10-16,126.80000305175781
2019-12-16,125.87000274658203
2020-03-04,125.06999969482422
2020-05-22,121.73999786376953
2019-10-01,121.7300033569336
2019-12-19,118.16999816894531
2018-09-10,118.0
2019-05-24,121.80000305175781
2018-08-09,127.12999725341797
2019-04-22,126.5999984741211
2019-03-21,124.02999877929688
2019-01-16,125.30999755859375
2019-08-28,124.16999816894531
2018-11-13,128.58999633789062
2018-10-12,129.89999389648438
2019-06-25,131.08999633789062
2020-03-10,128.61000061035156
2020-05-28,131.0800018310547
2019-10-07,130.30999755859375
2020-03-13,132.11000061035156
2019-10-10,130.75999450683594
2020-03-16,130.47000122070312
2020-06-03,135.10000610351562
2018-11-28,134.92999267578125
2018-09-25,133.0399932861328
2018-07-23,131.41000366210938
2018-08-24,134.77000427246094
2019-07-10,126.98999786376953
2019-05-07,125.61000061035156
2019-04-05,127.93000030517578
2019-03-04,130.32000732421875
2019-01-31,133.02999877929688
2019-09-12,130.8800048828125
2019-12-31,130.6300048828125
2020-03-19,131.27000427246094
2020-01-03,129.2899932861328
2020-06-09,127.4800033569336
2019-02-15,128.9499969482422
2019-01-14,130.25999450683594
2018-07-06,134.1999969482422
2018-08-07,131.77999877929688
2018-10-10,134.10000610351562
2018-12-13,135.35000610351562
2019-08-26,136.38999938964844
2019-07-25,139.75
2019-05-22,138.77999877929688
2019-03-19,140.99000549316406
2020-01-06,136.52999877929688
2020-03-25,137.86000061035156
2020-06-12,138.5500030517578
2019-10-22,138.86000061035156
2020-01-09,138.8000030517578
2020-06-15,138.05999755859375
2019-10-25,137.5399932861328
2020-03-31,134.3800048828125
