Dates,CAT
2018-06-20,4128300.0
2018-06-21,5914900.0
2018-06-25,5114700.0
2018-06-22,6078200.0
2018-06-26,4285300.0
2018-06-27,5665000.0
2018-06-28,4215900.0
2018-06-29,4107900.0
2018-07-02,3172600.0
2018-07-03,1837400.0
2018-07-05,3366300.0
2018-07-16,3179600.0
2018-09-18,5562300.0
2019-01-24,3761700.0
2019-09-05,5231700.0
2018-11-21,4250800.0
2020-01-13,2838700.0
2020-04-01,3723100.0
2020-06-19,3306000.0
2019-10-29,4394800.0
2020-01-16,3576700.0
2020-06-22,5247000.0
2018-10-03,3542300.0
2018-07-31,5064700.0
2019-03-12,5041800.0
2019-02-08,5385600.0
2019-01-07,4649400.0
2018-12-06,13837700.0
2019-08-19,7608700.0
2019-07-18,6364500.0
2019-05-15,4195000.0
2019-09-20,3594100.0
2019-11-01,3125200.0
2020-04-07,4813000.0
2020-06-25,3435100.0
2020-06-16,3338500.0
2019-11-04,6268600.0
2020-01-22,3879400.0
2019-11-07,3537900.0
2020-04-13,5682200.0
2019-07-01,5539400.0
2019-05-30,6611700.0
2018-08-15,3311100.0
2018-10-18,3021400.0
2019-03-27,2209500.0
2019-01-22,3905300.0
2018-12-21,2565400.0
2019-09-03,4770900.0
2018-11-19,3234000.0
2019-08-02,3369900.0
2020-01-28,4773300.0
2020-04-16,4552200.0
2019-11-13,3955600.0
2020-01-31,4579400.0
2018-12-04,4588100.0
2018-11-02,4173400.0
2019-07-16,3069100.0
2018-08-30,2583200.0
2018-10-01,5630600.0
2019-06-14,3670700.0
2019-05-13,4699600.0
2019-04-11,3827100.0
2019-02-06,4496400.0
2019-09-18,6000100.0
2020-02-03,6774100.0
2020-04-22,5932100.0
2019-11-19,3844500.0
2020-02-06,3454600.0
2019-11-22,3096100.0
2019-03-25,2674100.0
2019-02-21,3599900.0
2018-12-19,3736300.0
2018-07-12,4344000.0
2018-09-14,6043300.0
2018-08-13,4130800.0
2018-10-16,4955100.0
2019-07-31,3463200.0
2019-05-28,4996900.0
2019-04-26,9419300.0
2020-04-28,7608300.0
2019-11-25,5596200.0
2020-02-12,3741700.0
2020-05-01,3573400.0
2020-05-04,4807500.0
2019-06-12,10250200.0
2019-04-09,7055100.0
2019-03-08,7858900.0
2019-02-04,24113300.0
2018-07-27,15304200.0
2018-08-28,13568900.0
2019-01-03,10820400.0
2019-08-15,8069600.0
2018-10-31,8057600.0
2019-09-16,10341300.0
2020-02-18,10138900.0
2020-05-07,7683900.0
2018-08-17,4844200.0
2019-12-04,4728200.0
2020-02-21,7551900.0
2018-12-17,6269400.0
2019-08-30,7248400.0
2018-11-15,5870100.0
2019-07-29,5820200.0
2019-06-27,5516300.0
2019-04-24,5815200.0
2018-07-10,5957700.0
2018-09-12,5385600.0
2019-02-19,7746200.0
2019-01-18,4759500.0
2020-02-24,3130100.0
2020-05-13,4696600.0
2019-12-10,4049400.0
2020-02-27,5745200.0
2019-12-13,4999600.0
2020-05-19,8458200.0
2019-03-06,9365800.0
2018-11-30,8113400.0
2019-08-13,6595200.0
2019-07-12,6413700.0
2019-06-10,5970900.0
2019-05-09,4449900.0
2018-07-25,5544100.0
2018-09-27,4544100.0
2018-10-29,4483300.0
2019-10-16,5662300.0
2019-12-16,5377900.0
2020-03-04,6416500.0
2020-05-22,7563500.0
2019-10-01,10034100.0
2019-12-19,2986600.0
2018-09-10,5093700.0
2019-05-24,4599000.0
2018-08-09,3813500.0
2019-04-22,3455200.0
2019-03-21,4783200.0
2019-01-16,6165800.0
2019-08-28,5456600.0
2018-11-13,4653400.0
2018-10-12,4202600.0
2019-06-25,4865600.0
2020-03-10,3418500.0
2020-05-28,2908600.0
2019-10-07,4482300.0
2020-03-13,3224100.0
2019-10-10,3636900.0
2020-03-16,6878500.0
2020-06-03,6122400.0
2018-11-28,5188700.0
2018-09-25,3123600.0
2018-07-23,3943600.0
2018-08-24,6417400.0
2019-07-10,17421400.0
2019-05-07,8550800.0
2019-04-05,7181600.0
2019-03-04,6643300.0
2019-01-31,5646700.0
2019-09-12,4541700.0
2019-12-31,3614500.0
2020-03-19,3098200.0
2020-01-03,3682100.0
2020-06-09,3135000.0
2019-02-15,2648100.0
2019-01-14,4505600.0
2018-07-06,3189600.0
2018-08-07,2877500.0
2018-10-10,5217500.0
2018-12-13,3881300.0
2019-08-26,6199000.0
2019-07-25,4051100.0
2019-05-22,3485000.0
2019-03-19,4444100.0
2020-01-06,7275600.0
2020-03-25,3441000.0
2020-06-12,4024000.0
2019-10-22,3811000.0
2020-01-09,3859800.0
2020-06-15,3122900.0
2019-10-25,3886000.0
2020-03-31,4290800.0
2020-06-18,4238000.0
2019-04-03,3914800.0
2018-08-22,4208800.0
2018-10-25,4285200.0
2019-01-29,3742200.0
2018-12-28,7049900.0
2018-11-26,4095400.0
2019-08-09,3315900.0
2019-07-08,3522100.0
2019-06-06,2635700.0
2019-09-10,5745800.0
2020-01-15,3199800.0
2020-04-03,2638200.0
2019-10-31,2378300.0
2020-04-06,2487200.0
2020-06-24,4681600.0
2018-11-09,5081500.0
2019-07-23,2529000.0
2019-06-21,4821800.0
2019-05-20,2988900.0
2019-04-18,2812300.0
2018-09-06,2497300.0
2018-10-08,3316500.0
2019-02-13,3310600.0
2018-12-11,2762900.0
2019-09-25,4383000.0
2020-01-21,3030200.0
2020-04-09,2672800.0
2019-11-06,3469400.0
2020-01-24,4504500.0
2020-01-27,3637500.0
2020-04-15,5930500.0
2018-12-26,8694400.0
2019-08-07,5094700.0
2019-06-04,5119200.0
2018-09-21,3374300.0
2018-07-19,3862000.0
2018-08-20,3652000.0
2018-10-23,5405700.0
2019-05-03,4154800.0
2019-04-01,4866500.0
2019-02-28,5622900.0
2019-11-12,4140500.0
2020-01-30,5906200.0
2019-11-15,5240600.0
2020-04-21,8580700.0
2019-04-16,4019100.0
2019-03-15,2875900.0
2019-02-11,4316600.0
2019-01-10,6122600.0
2019-08-22,6312500.0
2018-11-07,5492900.0
2018-08-03,4620400.0
2018-09-04,4964900.0
2019-06-19,3802500.0
2019-09-23,4889400.0
2019-11-18,5330000.0
2020-02-05,2878300.0
2020-04-24,4711500.0
2019-03-29,4161800.0
2019-11-21,4060400.0
2020-04-27,3598400.0
2020-02-11,3295700.0
2020-04-30,2547500.0
2019-05-01,3705000.0
2019-02-26,4516200.0
2019-01-25,3034600.0
2018-12-24,3495200.0
2019-09-06,2530100.0
2018-07-17,2607900.0
2018-09-19,4756100.0
2019-08-05,3847200.0
2019-10-08,3803600.0
2019-12-11,5742500.0
2019-11-27,3197700.0
2020-02-14,3751800.0
2020-05-06,3343700.0
2019-01-08,3594400.0
2018-12-07,10469400.0
2019-08-20,4846200.0
2018-11-05,3204900.0
2019-07-19,2538600.0
2018-10-04,3071800.0
2019-06-17,2742100.0
2019-05-16,2618700.0
2018-08-01,3933300.0
2019-03-13,3164200.0
2019-12-03,4149800.0
2020-02-20,4498700.0
2019-12-06,4051600.0
2020-05-12,3750200.0
2019-12-09,3552100.0
2020-02-26,4837100.0
2020-05-15,3267800.0
2019-03-28,4122200.0
2018-09-17,12664900.0
2018-08-16,4823200.0
2018-10-19,4238000.0
2019-04-29,2715600.0
2019-01-23,3257200.0
2019-09-04,4322000.0
2018-11-20,5530100.0
2019-07-02,5968600.0
2019-05-31,5482500.0
2019-12-12,3713900.0
2020-05-18,5048700.0
2019-09-27,3734800.0
2020-03-03,3805600.0
2020-05-21,4321500.0
2019-05-14,4331900.0
2018-08-31,5543100.0
2018-07-30,4171900.0
2018-10-02,3551900.0
2019-04-12,2630900.0
2019-03-11,2402000.0
2019-02-07,2783000.0
2019-07-17,2118200.0
2019-09-19,6102000.0
2019-10-21,5200400.0
2019-12-18,3160700.0
2020-03-06,3187900.0
2019-10-03,3442900.0
2020-03-09,2912000.0
2020-05-27,3780600.0
2019-12-24,3688400.0
2020-03-12,5355100.0
2018-12-20,3315700.0
2019-08-01,4433300.0
2018-08-14,8479700.0
2018-07-13,7592600.0
2018-10-17,5594600.0
2019-05-29,3704900.0
2019-03-26,2876500.0
2019-02-22,2888900.0
2019-10-04,3005700.0
2019-11-05,2725700.0
2019-12-27,6412300.0
2020-06-02,2723500.0
2019-12-30,3370700.0
2020-03-18,2354100.0
2020-06-05,2227400.0
2019-07-15,2214300.0
2018-12-03,2795300.0
2019-06-13,3718200.0
2019-01-04,4255800.0
2018-08-29,3110200.0
2019-02-05,2442300.0
2018-11-01,2334500.0
2019-08-16,3530000.0
2019-04-10,2557300.0
2019-09-17,3242900.0
2019-10-15,6747800.0
2020-01-02,2851500.0
2020-06-08,3289000.0
2019-10-18,3038300.0
2020-03-24,3418300.0
2020-06-11,4329200.0
2020-01-08,4225200.0
2019-04-25,4681600.0
2019-07-30,11295900.0
2019-02-20,3916200.0
2018-07-11,8319500.0
2018-09-13,6173800.0
2018-10-15,4427900.0
2019-06-28,3947900.0
2018-12-18,4037500.0
2018-11-16,6220200.0
2019-10-02,5437800.0
2020-03-27,4516500.0
2020-01-10,3736600.0
2019-10-24,3816700.0
2020-03-30,2776600.0
2020-06-17,2205100.0
2020-01-14,2843100.0
2020-04-02,3194400.0
2019-01-02,2581700.0
2019-08-14,2827400.0
2018-10-30,2638600.0
2019-06-11,2085100.0
2019-05-10,3484700.0
2019-04-08,3297700.0
2018-08-27,2258300.0
2018-07-26,3085200.0
2018-09-28,2468100.0
2019-03-07,2660200.0
2019-10-30,1652500.0
2020-01-17,2896200.0
2020-06-23,3839600.0
2020-04-08,2484600.0
2020-06-26,2277700.0
2019-03-22,2271400.0
2019-01-17,1585100.0
2019-08-29,1888900.0
2018-11-14,2265700.0
2019-06-26,3714100.0
2018-09-11,3311700.0
2018-07-09,2414800.0
2018-08-10,2850800.0
2019-04-23,2629500.0
2019-09-30,3576800.0
2020-01-23,6805400.0
2019-11-08,2346500.0
2020-04-14,966200.0
2019-11-11,1576900.0
2020-01-29,1544500.0
2020-04-17,1789200.0
2018-07-24,1952500.0
2018-09-26,3311900.0
2019-05-08,3100600.0
2019-03-05,2549600.0
2019-02-01,2841900.0
2018-12-31,2153200.0
2018-11-29,2272500.0
2019-08-12,2393700.0
2019-07-11,3355200.0
2019-09-13,2742200.0
2019-11-14,2640500.0
2020-04-20,3070900.0
2020-02-04,3331500.0
2020-04-23,2476700.0
2018-12-14,3602400.0
2019-08-27,3182700.0
2018-08-08,2526200.0
2018-10-11,2920500.0
2018-11-12,2763800.0
2019-07-26,2620000.0
2019-06-24,3862600.0
2019-05-23,6785700.0
2019-03-20,4385300.0
2019-01-15,3501600.0
2019-11-20,4448100.0
2020-02-07,2283800.0
2020-02-10,3812300.0
2020-04-29,2331600.0
2019-11-26,2381900.0
2020-02-13,3222000.0
2019-01-30,3318800.0
2018-08-23,2813400.0
2018-09-24,3869700.0
2018-11-27,2134900.0
2018-10-26,2678200.0
2019-07-09,2855600.0
2019-06-07,4964800.0
2019-05-06,4840200.0
2019-04-04,3902500.0
2019-09-11,7366900.0
2019-11-29,8301900.0
2020-05-05,6100200.0
2019-12-02,6358100.0
2020-02-19,5074700.0
2020-05-08,6015300.0
2019-05-21,5767900.0
2019-03-18,8636200.0
2018-09-07,8293200.0
2018-08-06,6543600.0
2018-10-09,10285900.0
2019-02-14,8718600.0
2018-12-12,9899000.0
2019-07-24,7206100.0
2019-09-26,6995100.0
2019-10-28,6870800.0
2019-12-05,7650300.0
