Dates,COST
2018-06-20,208.58999633789062
2018-06-21,211.11000061035156
2018-06-25,211.77000427246094
2018-06-22,212.0800018310547
2018-06-26,212.4600067138672
2018-06-27,212.4199981689453
2018-06-28,211.19000244140625
2018-06-29,210.52999877929688
2018-07-02,208.82000732421875
2018-07-03,209.91000366210938
2018-07-05,209.2899932861328
2018-07-16,210.38999938964844
2018-09-18,211.7899932861328
2019-01-24,212.6999969482422
2019-09-05,211.77999877929688
2018-11-21,214.1699981689453
2020-01-13,216.63999938964844
2020-04-01,217.1300048828125
2020-06-19,216.16000366210938
2019-10-29,215.8800048828125
2020-01-16,218.1999969482422
2020-06-22,218.94000244140625
2018-10-03,220.4600067138672
2018-07-31,220.67999267578125
2019-03-12,220.82000732421875
2019-02-08,224.6199951171875
2019-01-07,222.5
2018-12-06,220.1199951171875
2019-08-19,220.07000732421875
2019-07-18,219.10000610351562
2019-05-15,221.39999389648438
2019-09-20,222.6199951171875
2019-11-01,223.27000427246094
2020-04-07,225.47999572753906
2020-06-25,224.8800048828125
2020-06-16,222.35000610351562
2019-11-04,221.72000122070312
2020-01-22,221.5800018310547
2019-11-07,222.55999755859375
2020-04-13,222.11000061035156
2019-07-01,224.25999450683594
2019-05-30,225.8800048828125
2018-08-15,228.22000122070312
2018-10-18,230.10000610351562
2019-03-27,230.22999572753906
2019-01-22,230.35000610351562
2018-12-21,232.05999755859375
2019-09-03,232.86000061035156
2018-11-19,231.8300018310547
2019-08-02,232.0
2020-01-28,231.16000366210938
2020-04-16,233.52000427246094
2019-11-13,234.91000366210938
2020-01-31,236.1699981689453
2018-12-04,236.77000427246094
2018-11-02,242.9499969482422
2019-07-16,243.8000030517578
2018-08-30,245.16000366210938
2018-10-01,245.1199951171875
2019-06-14,243.99000549316406
2019-05-13,239.0
2019-04-11,234.58999633789062
2019-02-06,235.47000122070312
2019-09-18,234.74000549316406
2020-02-03,235.0
2020-04-22,235.83999633789062
2019-11-19,234.85000610351562
2020-02-06,234.66000366210938
2019-11-22,235.66000366210938
2019-03-25,235.6699981689453
