Dates,CTAS
2018-06-20,339000.0
2018-06-21,313400.0
2018-06-25,477500.0
2018-06-22,586800.0
2018-06-26,425400.0
2018-06-27,393900.0
2018-06-28,251100.0
2018-06-29,438300.0
2018-07-02,451200.0
2018-07-03,242300.0
2018-07-05,408400.0
2018-07-16,276400.0
2018-09-18,576500.0
2019-01-24,420500.0
2019-09-05,477500.0
2018-11-21,356500.0
2020-01-13,320000.0
2020-04-01,512100.0
2020-06-19,499600.0
2019-10-29,539400.0
2020-01-16,673300.0
2020-06-22,1306200.0
2018-10-03,1040500.0
2018-07-31,828100.0
2019-03-12,614600.0
2019-02-08,520800.0
2019-01-07,513100.0
2018-12-06,650600.0
2019-08-19,757800.0
2019-07-18,621400.0
2019-05-15,535200.0
2019-09-20,382600.0
2019-11-01,435000.0
2020-04-07,360700.0
2020-06-25,417100.0
2020-06-16,467200.0
2019-11-04,369300.0
2020-01-22,274600.0
2019-11-07,550600.0
2020-04-13,483900.0
2019-07-01,318900.0
2019-05-30,424100.0
2018-08-15,467700.0
2018-10-18,489100.0
2019-03-27,285500.0
2019-01-22,248200.0
2018-12-21,228400.0
2019-09-03,359800.0
2018-11-19,254600.0
2019-08-02,295200.0
2020-01-28,208500.0
2020-04-16,390600.0
2019-11-13,409800.0
2020-01-31,514900.0
2018-12-04,276900.0
2018-11-02,289300.0
2019-07-16,393800.0
2018-08-30,332400.0
2018-10-01,471000.0
2019-06-14,449000.0
2019-05-13,312700.0
2019-04-11,421100.0
2019-02-06,567800.0
2019-09-18,441900.0
2020-02-03,418500.0
2020-04-22,848700.0
2019-11-19,471300.0
2020-02-06,822000.0
2019-11-22,2323200.0
2019-03-25,1174000.0
2019-02-21,1107400.0
2018-12-19,1162500.0
2018-07-12,1042700.0
2018-09-14,1043100.0
2018-08-13,878600.0
2018-10-16,856000.0
2019-07-31,406500.0
2019-05-28,669400.0
2019-04-26,858600.0
2020-04-28,1210600.0
2019-11-25,815100.0
2020-02-12,549100.0
2020-05-01,543500.0
2020-05-04,718200.0
2019-06-12,792300.0
2019-04-09,642300.0
2019-03-08,569300.0
2019-02-04,1071100.0
2018-07-27,908400.0
2018-08-28,837400.0
2019-01-03,636600.0
2019-08-15,756600.0
2018-10-31,1218400.0
2019-09-16,1055900.0
2020-02-18,797800.0
2020-05-07,516800.0
2018-08-17,659000.0
2019-12-04,752600.0
2020-02-21,709900.0
2018-12-17,401800.0
2019-08-30,412000.0
2018-11-15,434000.0
2019-07-29,461900.0
2019-06-27,415000.0
2019-04-24,563800.0
2018-07-10,450800.0
2018-09-12,651900.0
2019-02-19,713800.0
2019-01-18,488700.0
2020-02-24,284500.0
2020-05-13,689900.0
2019-12-10,455800.0
2020-02-27,688600.0
2019-12-13,431100.0
2020-05-19,797400.0
2019-03-06,588300.0
2018-11-30,689600.0
2019-08-13,869400.0
2019-07-12,855000.0
2019-06-10,650900.0
2019-05-09,668200.0
2018-07-25,535900.0
2018-09-27,428900.0
2018-10-29,596800.0
2019-10-16,1048600.0
2019-12-16,983300.0
2020-03-04,1260100.0
2020-05-22,1441700.0
2019-10-01,2285800.0
2019-12-19,562100.0
2018-09-10,1014100.0
2019-05-24,684800.0
2018-08-09,651000.0
2019-04-22,564300.0
2019-03-21,594600.0
2019-01-16,918500.0
2019-08-28,870500.0
2018-11-13,739100.0
2018-10-12,777500.0
2019-06-25,608300.0
2020-03-10,561100.0
2020-05-28,440800.0
2019-10-07,398300.0
2020-03-13,440000.0
2019-10-10,494600.0
2020-03-16,413100.0
2020-06-03,638100.0
2018-11-28,394700.0
2018-09-25,462400.0
2018-07-23,280300.0
2018-08-24,423800.0
2019-07-10,383600.0
2019-05-07,341400.0
2019-04-05,434400.0
2019-03-04,708900.0
2019-01-31,565400.0
2019-09-12,355500.0
2019-12-31,348600.0
2020-03-19,394700.0
2020-01-03,408900.0
2020-06-09,333900.0
2019-02-15,670900.0
2019-01-14,615000.0
2018-07-06,542000.0
2018-08-07,452200.0
2018-10-10,523700.0
2018-12-13,362200.0
2019-08-26,263900.0
2019-07-25,297800.0
2019-05-22,292600.0
2019-03-19,321400.0
2020-01-06,302300.0
2020-03-25,327900.0
2020-06-12,441100.0
2019-10-22,392200.0
2020-01-09,382900.0
2020-06-15,541100.0
2019-10-25,436100.0
2020-03-31,574800.0
2020-06-18,473900.0
2019-04-03,736200.0
2018-08-22,486000.0
2018-10-25,542700.0
2019-01-29,683800.0
2018-12-28,1122400.0
2018-11-26,459900.0
2019-08-09,420700.0
2019-07-08,466800.0
2019-06-06,838300.0
2019-09-10,1549600.0
2020-01-15,1171600.0
2020-04-03,452100.0
2019-10-31,388100.0
2020-04-06,300100.0
2020-06-24,389000.0
2018-11-09,515600.0
2019-07-23,397300.0
2019-06-21,407600.0
2019-05-20,280000.0
2019-04-18,219900.0
2018-09-06,340100.0
2018-10-08,300500.0
2019-02-13,274100.0
2018-12-11,320500.0
2019-09-25,409400.0
2020-01-21,423700.0
2020-04-09,277800.0
2019-11-06,413200.0
2020-01-24,587700.0
2020-01-27,293800.0
2020-04-15,333700.0
2018-12-26,496600.0
2019-08-07,548300.0
2019-06-04,269600.0
2018-09-21,491300.0
2018-07-19,571100.0
2018-08-20,383500.0
2018-10-23,485900.0
2019-05-03,456400.0
2019-04-01,416600.0
2019-02-28,542800.0
2019-11-12,537900.0
2020-01-30,351500.0
2019-11-15,401000.0
2020-04-21,581600.0
2019-04-16,365700.0
2019-03-15,423800.0
2019-02-11,354200.0
2019-01-10,350900.0
2019-08-22,271700.0
2018-11-07,570000.0
2018-08-03,337800.0
2018-09-04,362800.0
2019-06-19,434800.0
2019-09-23,686700.0
2019-11-18,392700.0
2020-02-05,345800.0
2020-04-24,341800.0
2019-03-29,431200.0
2019-11-21,521000.0
2020-04-27,545300.0
2020-02-11,373900.0
2020-04-30,684800.0
2019-05-01,616700.0
2019-02-26,443800.0
2019-01-25,361800.0
2018-12-24,486400.0
2019-09-06,336100.0
2018-07-17,677600.0
2018-09-19,803400.0
2019-08-05,814100.0
2019-10-08,813700.0
2019-12-11,924400.0
2019-11-27,441600.0
2020-02-14,536700.0
2020-05-06,544900.0
2019-01-08,379900.0
2018-12-07,655600.0
2019-08-20,555700.0
2018-11-05,444500.0
2019-07-19,283600.0
2018-10-04,580200.0
2019-06-17,299000.0
2019-05-16,362100.0
2018-08-01,310100.0
2019-03-13,450800.0
2019-12-03,405800.0
2020-02-20,366600.0
2019-12-06,885700.0
2020-05-12,2130300.0
2019-12-09,1030000.0
2020-02-26,648100.0
2020-05-15,687800.0
2019-03-28,539300.0
2018-09-17,565500.0
2018-08-16,423800.0
2018-10-19,777100.0
2019-04-29,382000.0
2019-01-23,407600.0
2019-09-04,878700.0
2018-11-20,559700.0
2019-07-02,479000.0
2019-05-31,617900.0
2019-12-12,485400.0
2020-05-18,718900.0
2019-09-27,492400.0
2020-03-03,391600.0
2020-05-21,395600.0
2019-05-14,479000.0
2018-08-31,445900.0
2018-07-30,458700.0
2018-10-02,460000.0
2019-04-12,467000.0
2019-03-11,355700.0
2019-02-07,659700.0
2019-07-17,323500.0
2019-09-19,537400.0
2019-10-21,567400.0
2019-12-18,530600.0
2020-03-06,387600.0
2019-10-03,365400.0
2020-03-09,391300.0
2020-05-27,390500.0
2019-12-24,647700.0
2020-03-12,380800.0
2018-12-20,288400.0
2019-08-01,930100.0
2018-08-14,1047900.0
2018-07-13,878700.0
2018-10-17,715400.0
2019-05-29,858700.0
2019-03-26,770600.0
2019-02-22,384400.0
2019-10-04,544500.0
2019-11-05,491700.0
2019-12-27,1090100.0
2020-06-02,569700.0
2019-12-30,612800.0
2020-03-18,1725600.0
2020-06-05,700900.0
2019-07-15,893400.0
2018-12-03,561200.0
2019-06-13,518700.0
2019-01-04,683500.0
2018-08-29,456100.0
2019-02-05,445300.0
2018-11-01,301200.0
2019-08-16,570800.0
2019-04-10,275300.0
2019-09-17,382500.0
2019-10-15,443400.0
2020-01-02,519000.0
2020-06-08,472900.0
2019-10-18,420500.0
2020-03-24,376200.0
2020-06-11,451900.0
2020-01-08,300500.0
2019-04-25,263300.0
2019-07-30,282200.0
2019-02-20,402600.0
2018-07-11,273300.0
2018-09-13,338600.0
2018-10-15,440800.0
2019-06-28,354100.0
2018-12-18,667400.0
2018-11-16,626200.0
2019-10-02,422400.0
2020-03-27,447600.0
2020-01-10,573100.0
2019-10-24,571000.0
2020-03-30,628000.0
2020-06-17,435600.0
2020-01-14,1191200.0
2020-04-02,1667300.0
2019-01-02,604900.0
2019-08-14,658800.0
2018-10-30,600000.0
2019-06-11,485600.0
2019-05-10,633300.0
2019-04-08,502800.0
2018-08-27,491900.0
2018-07-26,619500.0
2018-09-28,1063100.0
2019-03-07,857200.0
2019-10-30,290100.0
2020-01-17,583600.0
2020-06-23,522200.0
2020-04-08,402500.0
2020-06-26,407000.0
2019-03-22,434500.0
2019-01-17,438100.0
2019-08-29,430200.0
2018-11-14,437600.0
2019-06-26,432900.0
2018-09-11,716400.0
2018-07-09,728200.0
2018-08-10,896500.0
2019-04-23,1557500.0
2019-09-30,699400.0
2020-01-23,1305800.0
2019-11-08,624600.0
2020-04-14,141700.0
2019-11-11,269800.0
2020-01-29,289200.0
2020-04-17,302300.0
2018-07-24,369600.0
2018-09-26,544200.0
2019-05-08,493100.0
2019-03-05,409200.0
2019-02-01,388400.0
2018-12-31,702100.0
2018-11-29,810800.0
2019-08-12,320200.0
2019-07-11,409500.0
2019-09-13,446900.0
2019-11-14,425500.0
2020-04-20,354100.0
2020-02-04,488800.0
2020-04-23,469800.0
2018-12-14,325700.0
2019-08-27,322800.0
2018-08-08,244200.0
2018-10-11,516800.0
2018-11-12,335400.0
2019-07-26,480200.0
2019-06-24,334600.0
2019-05-23,696900.0
2019-03-20,480000.0
2019-01-15,529900.0
2019-11-20,576100.0
2020-02-07,438700.0
2020-02-10,366100.0
2020-04-29,385000.0
2019-11-26,263100.0
2020-02-13,417100.0
2019-01-30,442100.0
2018-08-23,263800.0
2018-09-24,386600.0
2018-11-27,296000.0
2018-10-26,585100.0
2019-07-09,500300.0
2019-06-07,592300.0
2019-05-06,875400.0
2019-04-04,707400.0
2019-09-11,932800.0
2019-11-29,1392300.0
2020-05-05,1058100.0
2019-12-02,895700.0
2020-02-19,681800.0
2020-05-08,651900.0
2019-05-21,835500.0
2019-03-18,1113400.0
2018-09-07,911600.0
2018-08-06,644500.0
2018-10-09,1942700.0
2019-02-14,1253500.0
2018-12-12,1741000.0
2019-07-24,1878200.0
2019-09-26,1914300.0
2019-10-28,1430900.0
2019-12-05,2573700.0
2020-05-11,1642900.0
2019-07-03,1375700.0
2020-02-25,1677200.0
2020-05-14,1731000.0
2020-02-28,1005600.0
2019-08-08,1073800.0
2019-06-05,1613600.0
2018-07-20,1114200.0
2018-08-21,1437300.0
2018-10-24,1007900.0
2019-04-02,1343000.0
2019-03-01,1611100.0
2019-01-28,942900.0
2018-12-27,934400.0
2019-09-09,761500.0
2020-03-02,845000.0
2020-05-20,915200.0
2019-12-17,763300.0
2020-03-05,812000.0
2019-02-12,775100.0
2019-01-11,698400.0
2018-12-10,669200.0
2019-08-23,955800.0
2018-11-08,760900.0
2019-07-22,649500.0
2019-06-20,1216400.0
2018-09-05,997000.0
2019-04-17,827000.0
2019-09-24,806700.0
2019-12-20,706800.0
2020-05-26,525300.0
2019-04-30,497000.0
2019-12-23,401500.0
2020-03-11,374900.0
2020-05-29,445700.0
2019-12-26,750200.0
2020-06-01,1359800.0
2019-05-02,2393100.0
2019-02-27,1459800.0
2018-11-23,999200.0
2019-08-06,1054300.0
2018-07-18,952500.0
2018-09-20,546500.0
2018-10-22,436300.0
2019-07-05,854400.0
2019-06-03,750300.0
2019-10-09,483500.0
2019-10-11,1246600.0
2020-03-17,481400.0
2020-06-04,877100.0
2019-10-14,732700.0
2020-03-20,526600.0
2018-11-06,1048300.0
2019-06-18,755300.0
2019-05-17,612000.0
2019-04-15,605900.0
2019-03-14,886400.0
2019-01-09,564300.0
2018-08-02,575500.0
2018-10-05,452200.0
2019-08-21,368300.0
2019-10-17,402600.0
2020-03-23,973300.0
2020-06-10,602400.0
2019-02-25,405200.0
2020-01-07,650500.0
2020-03-26,489800.0
2019-10-23,1052300.0
