Dates,DHR
2018-06-20,2386800.0
2018-06-21,2809200.0
2018-06-25,2819600.0
2018-06-22,2856200.0
2018-06-26,2336900.0
2018-06-27,2745500.0
2018-06-28,2013800.0
2018-06-29,2352000.0
2018-07-02,2158800.0
2018-07-03,1244000.0
2018-07-05,2483000.0
2018-07-16,1903600.0
2018-09-18,3205700.0
2019-01-24,1761500.0
2019-09-05,1834000.0
2018-11-21,2356400.0
2020-01-13,2104200.0
2020-04-01,1953900.0
2020-06-19,4108900.0
2019-10-29,3189000.0
2020-01-16,5937100.0
2020-06-22,3722800.0
2018-10-03,3494000.0
2018-07-31,3320400.0
2019-03-12,3153000.0
2019-02-08,2470200.0
2019-01-07,2401900.0
2018-12-06,1744900.0
2019-08-19,3611100.0
2019-07-18,2150900.0
2019-05-15,2414800.0
2019-09-20,2224200.0
2019-11-01,2503200.0
2020-04-07,2162900.0
2020-06-25,1376600.0
2020-06-16,1279700.0
2019-11-04,1763700.0
2020-01-22,2216400.0
2019-11-07,1854500.0
2020-04-13,1777700.0
2019-07-01,1579700.0
2019-05-30,3012800.0
2018-08-15,1214800.0
2018-10-18,1907900.0
2019-03-27,1278100.0
2019-01-22,1630800.0
2018-12-21,3335200.0
2019-09-03,2560200.0
2018-11-19,1609600.0
2019-08-02,1992400.0
2020-01-28,2002600.0
2020-04-16,2903600.0
2019-11-13,2241000.0
2020-01-31,1909500.0
2018-12-04,1809600.0
2018-11-02,1506100.0
2019-07-16,2076300.0
2018-08-30,1693200.0
2018-10-01,2656800.0
2019-06-14,2228200.0
2019-05-13,1364100.0
2019-04-11,2074900.0
2019-02-06,1857200.0
2019-09-18,2057500.0
2020-02-03,1797000.0
2020-04-22,4411000.0
2019-11-19,1959500.0
2020-02-06,1963400.0
2019-11-22,2003600.0
2019-03-25,2058900.0
2019-02-21,1952500.0
2018-12-19,2003100.0
2018-07-12,1729300.0
2018-09-14,2399700.0
2018-08-13,1874500.0
2018-10-16,1919200.0
2019-07-31,2100900.0
2019-05-28,3048600.0
2019-04-26,3386000.0
2020-04-28,3517000.0
2019-11-25,2901200.0
2020-02-12,2239700.0
2020-05-01,2347600.0
2020-05-04,3521500.0
2019-06-12,5531400.0
2019-04-09,4260000.0
2019-03-08,3649000.0
2019-02-04,3383800.0
2018-07-27,3315800.0
2018-08-28,3465700.0
2019-01-03,2730600.0
2019-08-15,3195800.0
2018-10-31,3178500.0
2019-09-16,2865200.0
2020-02-18,2269900.0
2020-05-07,2601800.0
2018-08-17,2067600.0
2019-12-04,2461600.0
2020-02-21,2059900.0
2018-12-17,1619400.0
2019-08-30,2609900.0
2018-11-15,2338300.0
2019-07-29,1986400.0
2019-06-27,1889000.0
2019-04-24,2265200.0
2018-07-10,2767700.0
2018-09-12,2861300.0
2019-02-19,2773700.0
2019-01-18,2126600.0
2020-02-24,920100.0
2020-05-13,2023400.0
2019-12-10,1876900.0
2020-02-27,2180000.0
2019-12-13,2300400.0
2020-05-19,3278500.0
2019-03-06,4518500.0
2018-11-30,4190000.0
2019-08-13,3584300.0
2019-07-12,2443100.0
2019-06-10,3088800.0
2019-05-09,1998900.0
2018-07-25,2715100.0
2018-09-27,2388400.0
2018-10-29,2569700.0
2019-10-16,4481800.0
2019-12-16,3535300.0
2020-03-04,4260100.0
2020-05-22,5365100.0
2019-10-01,6292600.0
2019-12-19,3099200.0
2018-09-10,2741800.0
2019-05-24,2639300.0
2018-08-09,2506900.0
2019-04-22,1980300.0
2019-03-21,2397100.0
2019-01-16,3219100.0
2019-08-28,2556700.0
2018-11-13,2356200.0
2018-10-12,3649200.0
2019-06-25,3015600.0
2020-03-10,1675400.0
2020-05-28,1547700.0
2019-10-07,1563400.0
2020-03-13,2071100.0
2019-10-10,2804500.0
2020-03-16,3092100.0
2020-06-03,3153000.0
2018-11-28,2683300.0
2018-09-25,1899700.0
2018-07-23,1660800.0
2018-08-24,2800500.0
2019-07-10,2100500.0
2019-05-07,3633100.0
2019-04-05,3522900.0
2019-03-04,2888400.0
2019-01-31,2588100.0
2019-09-12,1930600.0
2019-12-31,2569900.0
2020-03-19,1597700.0
2020-01-03,1706400.0
2020-06-09,1259500.0
2019-02-15,1649100.0
2019-01-14,1773300.0
2018-07-06,1962000.0
2018-08-07,2248000.0
2018-10-10,4048900.0
2018-12-13,2366000.0
2019-08-26,1703600.0
2019-07-25,1821700.0
2019-05-22,1855800.0
2019-03-19,8804800.0
2020-01-06,6666000.0
2020-03-25,15512100.0
2020-06-12,6231300.0
2019-10-22,3627800.0
2020-01-09,4505800.0
2020-06-15,3358400.0
2019-10-25,3794200.0
2020-03-31,2840300.0
2020-06-18,2369100.0
2019-04-03,3282300.0
2018-08-22,2484800.0
2018-10-25,2156200.0
2019-01-29,2280600.0
2018-12-28,5489400.0
2018-11-26,2853100.0
2019-08-09,3165200.0
2019-07-08,3180000.0
2019-06-06,3006200.0
2019-09-10,2942900.0
2020-01-15,1750300.0
2020-04-03,1902400.0
2019-10-31,2945300.0
2020-04-06,1458100.0
2020-06-24,3211100.0
2018-11-09,2384400.0
2019-07-23,2069100.0
2019-06-21,2349100.0
2019-05-20,2266400.0
2019-04-18,2703000.0
2018-09-06,2123800.0
2018-10-08,2063400.0
2019-02-13,1634200.0
2018-12-11,1451900.0
2019-09-25,2187500.0
2020-01-21,2447700.0
2020-04-09,3125800.0
2019-11-06,5906300.0
2020-01-24,5793700.0
2020-01-27,2732300.0
2020-04-15,3482200.0
2018-12-26,2607000.0
2019-08-07,2165400.0
2019-06-04,1705900.0
2018-09-21,2343300.0
2018-07-19,2565100.0
2018-08-20,1811800.0
2018-10-23,1702500.0
2019-05-03,2315100.0
2019-04-01,2746000.0
2019-02-28,2261600.0
2019-11-12,2371200.0
2020-01-30,2184900.0
2019-11-15,1587600.0
2020-04-21,2323700.0
2019-04-16,1759500.0
2019-03-15,1649300.0
2019-02-11,2303700.0
2019-01-10,2729500.0
2019-08-22,2548400.0
2018-11-07,2871400.0
2018-08-03,1923800.0
2018-09-04,1664600.0
2019-06-19,1789600.0
2019-09-23,3548100.0
2019-11-18,1803400.0
2020-02-05,1991500.0
2020-04-24,1991900.0
2019-03-29,2306700.0
2019-11-21,3340000.0
2020-04-27,3029600.0
2020-02-11,2142000.0
2020-04-30,2381500.0
2019-05-01,1755600.0
2019-02-26,1747200.0
2019-01-25,1825400.0
2018-12-24,1527500.0
2019-09-06,2297200.0
2018-07-17,2199600.0
2018-09-19,1830100.0
2019-08-05,1923100.0
2019-10-08,2053700.0
2019-12-11,3016100.0
2019-11-27,2170600.0
2020-02-14,2333800.0
2020-05-06,2317400.0
2019-01-08,1616100.0
2018-12-07,3777800.0
2019-08-20,1516400.0
2018-11-05,1770900.0
2019-07-19,1453400.0
2018-10-04,1124700.0
2019-06-17,1955000.0
2019-05-16,2502000.0
2018-08-01,2352300.0
2019-03-13,2320100.0
2019-12-03,4283800.0
2020-02-20,2434100.0
2019-12-06,2178600.0
2020-05-12,2755200.0
2019-12-09,4990100.0
2020-02-26,3821800.0
2020-05-15,2391200.0
2019-03-28,3298400.0
2018-09-17,2946300.0
2018-08-16,1317600.0
2018-10-19,1567800.0
2019-04-29,1468000.0
2019-01-23,2040900.0
2019-09-04,1986400.0
2018-11-20,2489800.0
2019-07-02,2021200.0
2019-05-31,2780300.0
2019-12-12,2984100.0
2020-05-18,2064600.0
2019-09-27,1870000.0
2020-03-03,1306800.0
2020-05-21,1047600.0
2019-05-14,1675900.0
2018-08-31,2390700.0
2018-07-30,2248300.0
2018-10-02,1988700.0
2019-04-12,1604200.0
2019-03-11,1551900.0
2019-02-07,1458500.0
2019-07-17,1244600.0
2019-09-19,2258800.0
2019-10-21,1461700.0
2019-12-18,3026100.0
2020-03-06,1636100.0
2019-10-03,2204200.0
2020-03-09,1960300.0
2020-05-27,1920700.0
2019-12-24,1564700.0
2020-03-12,2231500.0
2018-12-20,1712100.0
2019-08-01,2026400.0
2018-08-14,3862300.0
2018-07-13,2860800.0
2018-10-17,2180700.0
2019-05-29,2151700.0
2019-03-26,2313200.0
2019-02-22,1818000.0
2019-10-04,2610100.0
2019-11-05,2621800.0
2019-12-27,5103500.0
2020-06-02,1799500.0
2019-12-30,3075800.0
2020-03-18,2088500.0
2020-06-05,1838600.0
2019-07-15,1666200.0
2018-12-03,2181100.0
2019-06-13,1679800.0
2019-01-04,2869800.0
2018-08-29,1907200.0
2019-02-05,1916200.0
2018-11-01,1839200.0
2019-08-16,2725800.0
2019-04-10,1629700.0
2019-09-17,1783700.0
2019-10-15,1950400.0
2020-01-02,1100300.0
2020-06-08,2088000.0
2019-10-18,2112900.0
2020-03-24,1029100.0
2020-06-11,1434300.0
2020-01-08,1347000.0
2019-04-25,1830300.0
2019-07-30,2395700.0
2019-02-20,2781000.0
2018-07-11,2365200.0
2018-09-13,1945500.0
2018-10-15,2352500.0
2019-06-28,3171600.0
2018-12-18,2537400.0
2018-11-16,2298400.0
2019-10-02,2174500.0
2020-03-27,3161500.0
2020-01-10,2569800.0
2019-10-24,2543300.0
2020-03-30,1662400.0
2020-06-17,1099500.0
2020-01-14,1530800.0
2020-04-02,4636300.0
2019-01-02,2158400.0
2019-08-14,13746200.0
2018-10-30,5222300.0
2019-06-11,7171300.0
2019-05-10,6078500.0
2019-04-08,6931100.0
2018-08-27,4440900.0
2018-07-26,4892000.0
2018-09-28,8609800.0
2019-03-07,8756100.0
2019-10-30,1997900.0
2020-01-17,8350400.0
2020-06-23,9678100.0
2020-04-08,15413500.0
2020-06-26,15095700.0
2019-03-22,22420000.0
2019-01-17,34785200.0
2019-08-29,40697000.0
2018-11-14,53190400.0
2019-06-26,73815300.0
2018-09-11,64102600.0
2018-07-09,92051800.0
2018-08-10,26206100.0
2019-04-23,32595600.0
2019-09-30,35377500.0
2020-01-23,19635500.0
2019-11-08,16125800.0
2020-04-14,1548800.0
2019-11-11,1717200.0
2020-01-29,2592800.0
2020-04-17,2022600.0
2018-07-24,2194300.0
2018-09-26,2585100.0
2019-05-08,2329000.0
2019-03-05,2749400.0
2019-02-01,1987200.0
2018-12-31,2788100.0
2018-11-29,2104900.0
2019-08-12,1995500.0
2019-07-11,2273300.0
2019-09-13,3041100.0
2019-11-14,2660200.0
2020-04-20,2427000.0
2020-02-04,2608800.0
2020-04-23,2293100.0
2018-12-14,1882400.0
2019-08-27,2153300.0
2018-08-08,1970700.0
2018-10-11,2347600.0
2018-11-12,2105500.0
2019-07-26,1898200.0
2019-06-24,3834500.0
2019-05-23,3747500.0
2019-03-20,2997500.0
2019-01-15,2616400.0
2019-11-20,1946000.0
2020-02-07,1844300.0
2020-02-10,1661600.0
2020-04-29,1669800.0
2019-11-26,1651000.0
2020-02-13,1653400.0
2019-01-30,2734000.0
2018-08-23,1633800.0
2018-09-24,1916700.0
2018-11-27,2642400.0
2018-10-26,2428800.0
2019-07-09,1945800.0
2019-06-07,2467100.0
2019-05-06,3187700.0
2019-04-04,3203100.0
2019-09-11,4238000.0
2019-11-29,7942800.0
2020-05-05,4682700.0
2019-12-02,3105400.0
2020-02-19,3463300.0
2020-05-08,4494200.0
