Dates,DIS
2018-06-20,18625900.0
2018-06-21,7707800.0
2018-06-25,8959100.0
2018-06-22,7995800.0
2018-06-26,6550000.0
2018-06-27,8803300.0
2018-06-28,6303600.0
2018-06-29,6774000.0
2018-07-02,5488900.0
2018-07-03,2406300.0
2018-07-05,6202800.0
2018-07-16,4134500.0
2018-09-18,4725200.0
2019-01-24,4213600.0
2019-09-05,11753800.0
2018-11-21,5931400.0
2020-01-13,8188800.0
2020-04-01,8245900.0
2020-06-19,9075900.0
2019-10-29,6414100.0
2020-01-16,17796800.0
2020-06-22,11787900.0
2018-10-03,5447800.0
2018-07-31,5648800.0
2019-03-12,6756800.0
2019-02-08,9466400.0
2019-01-07,5717000.0
2018-12-06,5199300.0
2019-08-19,8421200.0
2019-07-18,6466600.0
2019-05-15,4027300.0
2019-09-20,4747500.0
2019-11-01,12715600.0
2020-04-07,15466900.0
2020-06-25,11722900.0
2020-06-16,7042000.0
2019-11-04,5740200.0
2020-01-22,6080900.0
2019-11-07,4326400.0
2020-04-13,5183200.0
2019-07-01,5082500.0
2019-05-30,4764500.0
2018-08-15,5167600.0
2018-10-18,4770400.0
2019-03-27,3213000.0
2019-01-22,4257400.0
2018-12-21,5049000.0
2019-09-03,4767700.0
2018-11-19,3131600.0
2019-08-02,4001500.0
2020-01-28,3481600.0
2020-04-16,4642800.0
2019-11-13,6391200.0
2020-01-31,6388300.0
2018-12-04,5267200.0
2018-11-02,4754800.0
2019-07-16,4636500.0
2018-08-30,5488600.0
2018-10-01,5236700.0
2019-06-14,5119400.0
2019-05-13,6012400.0
2019-04-11,5592900.0
2019-02-06,4937800.0
2019-09-18,5964600.0
2020-02-03,7121800.0
2020-04-22,25753600.0
2019-11-19,9232300.0
2020-02-06,12169400.0
2019-11-22,11141500.0
2019-03-25,5195300.0
2019-02-21,7366800.0
2018-12-19,8643900.0
2018-07-12,6441700.0
2018-09-14,6111700.0
2018-08-13,6442800.0
2018-10-16,5835700.0
2019-07-31,5652300.0
2019-05-28,6761400.0
2019-04-26,9006500.0
2020-04-28,10045400.0
2019-11-25,5963900.0
2020-02-12,6628800.0
2020-05-01,7619000.0
2020-05-04,7120600.0
2019-06-12,6056300.0
2019-04-09,10431000.0
2019-03-08,8406400.0
2019-02-04,8607400.0
2018-07-27,11630500.0
2018-08-28,7406900.0
2019-01-03,7984700.0
2019-08-15,9234100.0
2018-10-31,7365400.0
2019-09-16,9196700.0
2020-02-18,6779900.0
2020-05-07,6377900.0
2018-08-17,7920800.0
2019-12-04,5036600.0
2020-02-21,8249800.0
2018-12-17,11074800.0
2019-08-30,16878200.0
2018-11-15,9170600.0
2019-07-29,4650600.0
2019-06-27,7109100.0
2019-04-24,7088700.0
2018-07-10,7141900.0
2018-09-12,9714600.0
2019-02-19,11194600.0
2019-01-18,7242500.0
2020-02-24,3242300.0
2020-05-13,7002400.0
2019-12-10,7357500.0
2020-02-27,9039800.0
2019-12-13,10834700.0
2020-05-19,16857800.0
2019-03-06,9273300.0
2018-11-30,10806700.0
2019-08-13,10546200.0
2019-07-12,8305500.0
2019-06-10,7337500.0
2019-05-09,6861800.0
2018-07-25,7723900.0
2018-09-27,6661500.0
2018-10-29,7601900.0
2019-10-16,7731800.0
2019-12-16,6682300.0
2020-03-04,9416900.0
2020-05-22,9387300.0
2019-10-01,15530600.0
2019-12-19,7133000.0
2018-09-10,9422800.0
2019-05-24,8201400.0
2018-08-09,7620500.0
2019-04-22,7241700.0
2019-03-21,9723500.0
2019-01-16,10594700.0
2019-08-28,10122800.0
2018-11-13,6714700.0
2018-10-12,8730700.0
2019-06-25,5931900.0
2020-03-10,6160100.0
2020-05-28,4819100.0
2019-10-07,6980600.0
2020-03-13,9800900.0
2019-10-10,5899900.0
2020-03-16,6392000.0
2020-06-03,8554700.0
2018-11-28,6986700.0
2018-09-25,6845600.0
2018-07-23,6716800.0
2018-08-24,5706900.0
2019-07-10,6178800.0
2019-05-07,5253700.0
2019-04-05,7853800.0
2019-03-04,8351600.0
2019-01-31,6557700.0
2019-09-12,7037000.0
2019-12-31,13619800.0
2020-03-19,14229000.0
2020-01-03,8658100.0
2020-06-09,6395500.0
2019-02-15,11086400.0
2019-01-14,7610200.0
2018-07-06,6919700.0
2018-08-07,6324300.0
2018-10-10,8197300.0
2018-12-13,8169600.0
2019-08-26,7081500.0
2019-07-25,9480100.0
2019-05-22,8734700.0
2019-03-19,9327700.0
2020-01-06,8956000.0
2020-03-25,7249500.0
2020-06-12,6716700.0
2019-10-22,6996900.0
2020-01-09,6015000.0
2020-06-15,5225100.0
2019-10-25,7352800.0
2020-03-31,6324000.0
2020-06-18,6549100.0
2019-04-03,6952700.0
2018-08-22,9920300.0
2018-10-25,17994500.0
2019-01-29,17409600.0
2018-12-28,14932700.0
2018-11-26,21769800.0
2019-08-09,45384400.0
2019-07-08,35588700.0
2019-06-06,27438900.0
2019-09-10,24133800.0
2020-01-15,18187500.0
2020-04-03,16693100.0
2019-10-31,10794800.0
2020-04-06,11748900.0
2020-06-24,16358800.0
2018-11-09,10785100.0
2019-07-23,9231800.0
2019-06-21,10534900.0
2019-05-20,14378400.0
2019-04-18,10907900.0
2018-09-06,11054200.0
2018-10-08,17340300.0
2019-02-13,14091100.0
2018-12-11,12784500.0
2019-09-25,65253500.0
2020-01-21,32773700.0
2020-04-09,14564300.0
2019-11-06,14253700.0
2020-01-24,11890600.0
2020-01-27,10197500.0
2020-04-15,12159300.0
2018-12-26,11449500.0
2019-08-07,16382500.0
2019-06-04,14167600.0
2018-09-21,25746100.0
2018-07-19,15253100.0
2018-08-20,8906700.0
2018-10-23,16580400.0
2019-05-03,8874400.0
2019-04-01,9955600.0
2019-02-28,10972700.0
2019-11-12,15423500.0
2020-01-30,15297100.0
2019-11-15,9858500.0
2020-04-21,11389900.0
2019-04-16,12001700.0
2019-03-15,9734100.0
2019-02-11,9689400.0
2019-01-10,8964200.0
2019-08-22,8009000.0
2018-11-07,7050300.0
2018-08-03,5093700.0
2018-09-04,6743300.0
2019-06-19,4570100.0
2019-09-23,8938400.0
2019-11-18,7749600.0
2020-02-05,5274000.0
2020-04-24,7420700.0
2019-03-29,7901400.0
2019-11-21,8247500.0
2020-04-27,6842800.0
2020-02-11,6027300.0
2020-04-30,7026300.0
2019-05-01,8479500.0
2019-02-26,6352200.0
2019-01-25,5536400.0
2018-12-24,17939500.0
2019-09-06,11125200.0
2018-07-17,8542700.0
2018-09-19,11231400.0
2019-08-05,6877100.0
2019-10-08,8485800.0
2019-12-11,14150000.0
2019-11-27,10497400.0
2020-02-14,14675400.0
2020-05-06,8842100.0
2019-01-08,6466300.0
2018-12-07,20078800.0
2019-08-20,8996500.0
2018-11-05,7554100.0
2019-07-19,4150900.0
2018-10-04,5596000.0
2019-06-17,4993900.0
2019-05-16,7396300.0
