Dates,DISH
2018-06-20,2560600.0
2018-06-21,3458900.0
2018-06-25,8436900.0
2018-06-22,3804900.0
2018-06-26,1990500.0
2018-06-27,1919400.0
2018-06-28,2656600.0
2018-06-29,2194100.0
2018-07-02,2955100.0
2018-07-03,1165900.0
2018-07-05,1772400.0
2018-07-16,2909700.0
2018-09-18,3271100.0
2019-01-24,2157900.0
2019-09-05,4321400.0
2018-11-21,3412700.0
2020-01-13,2120600.0
2020-04-01,2989400.0
2020-06-19,4489700.0
2019-10-29,2756900.0
2020-01-16,2980800.0
2020-06-22,7267200.0
2018-10-03,2744400.0
2018-07-31,2846200.0
2019-03-12,2913700.0
2019-02-08,2541100.0
2019-01-07,2674900.0
2018-12-06,2316800.0
2019-08-19,2986700.0
2019-07-18,3099300.0
2019-05-15,3712700.0
2019-09-20,8961200.0
2019-11-01,7596400.0
2020-04-07,5435500.0
2020-06-25,4095400.0
2020-06-16,2991700.0
2019-11-04,3093700.0
2020-01-22,2698000.0
2019-11-07,2583900.0
2020-04-13,2771600.0
2019-07-01,2190700.0
2019-05-30,2874100.0
2018-08-15,3099500.0
2018-10-18,2336500.0
2019-03-27,1993700.0
2019-01-22,2162600.0
2018-12-21,1967200.0
2019-09-03,1503900.0
2018-11-19,2780300.0
2019-08-02,2886400.0
2020-01-28,1581000.0
2020-04-16,2267900.0
2019-11-13,2537400.0
2020-01-31,3482500.0
2018-12-04,4874500.0
2018-11-02,2101700.0
2019-07-16,2016900.0
2018-08-30,3198300.0
2018-10-01,1532600.0
2019-06-14,2517400.0
2019-05-13,3218400.0
2019-04-11,3060500.0
2019-02-06,2637300.0
2019-09-18,1850800.0
2020-02-03,2314900.0
2020-04-22,4193200.0
2019-11-19,3557100.0
2020-02-06,3586500.0
2019-11-22,1542200.0
2019-03-25,1627300.0
2019-02-21,2317700.0
2018-12-19,2335900.0
2018-07-12,3781500.0
2018-09-14,2104000.0
2018-08-13,2168900.0
2018-10-16,3583300.0
2019-07-31,3590900.0
2019-05-28,2013900.0
2019-04-26,3170600.0
2020-04-28,3616600.0
2019-11-25,3546600.0
2020-02-12,3250100.0
2020-05-01,2595200.0
2020-05-04,2256400.0
2019-06-12,2586900.0
2019-04-09,3132200.0
2019-03-08,2575800.0
2019-02-04,5808300.0
2018-07-27,4684500.0
2018-08-28,3386800.0
2019-01-03,6539000.0
2019-08-15,5007400.0
2018-10-31,3665000.0
2019-09-16,4927200.0
2020-02-18,2921300.0
2020-05-07,2447800.0
2018-08-17,2859900.0
2019-12-04,3344200.0
2020-02-21,5525400.0
2018-12-17,2392800.0
2019-08-30,1994400.0
2018-11-15,1792500.0
2019-07-29,3317500.0
2019-06-27,4288500.0
2019-04-24,3532200.0
2018-07-10,2886800.0
2018-09-12,3269000.0
2019-02-19,3134400.0
2019-01-18,2029500.0
2020-02-24,717700.0
2020-05-13,2608100.0
2019-12-10,2183200.0
2020-02-27,2717500.0
2019-12-13,2238600.0
2020-05-19,2591000.0
2019-03-06,3003700.0
2018-11-30,2949800.0
2019-08-13,3078700.0
2019-07-12,2091600.0
2019-06-10,3570700.0
2019-05-09,2101000.0
2018-07-25,2337900.0
2018-09-27,2785300.0
2018-10-29,3838600.0
2019-10-16,3281100.0
2019-12-16,4137500.0
2020-03-04,5057200.0
2020-05-22,5936400.0
2019-10-01,6304300.0
2019-12-19,2673300.0
2018-09-10,3494000.0
2019-05-24,4744000.0
2018-08-09,3825300.0
2019-04-22,3636000.0
2019-03-21,3003400.0
2019-01-16,5570200.0
2019-08-28,4906600.0
2018-11-13,3447100.0
2018-10-12,3750100.0
2019-06-25,2393700.0
2020-03-10,3905600.0
2020-05-28,2272600.0
2019-10-07,4316700.0
2020-03-13,3558600.0
2019-10-10,2490000.0
2020-03-16,5658600.0
2020-06-03,2918100.0
2018-11-28,5014400.0
2018-09-25,6498500.0
2018-07-23,2194000.0
2018-08-24,2753500.0
2019-07-10,2755800.0
2019-05-07,2061700.0
2019-04-05,2910300.0
2019-03-04,2980800.0
2019-01-31,2507800.0
2019-09-12,2385400.0
2019-12-31,2986000.0
2020-03-19,2949400.0
2020-01-03,2915300.0
2020-06-09,2744300.0
2019-02-15,2133300.0
2019-01-14,3395600.0
2018-07-06,13385800.0
2018-08-07,5462400.0
2018-10-10,3204600.0
2018-12-13,2529700.0
2019-08-26,3707400.0
2019-07-25,2398500.0
2019-05-22,3712100.0
2019-03-19,2379400.0
2020-01-06,2180400.0
2020-03-25,1834500.0
2020-06-12,2025400.0
2019-10-22,1984800.0
2020-01-09,4346900.0
2020-06-15,4323700.0
2019-10-25,3500800.0
2020-03-31,3370400.0
2020-06-18,1683100.0
2019-04-03,2160000.0
2018-08-22,2080500.0
2018-10-25,2690300.0
2019-01-29,1643100.0
2018-12-28,2882700.0
2018-11-26,1686400.0
2019-08-09,1575600.0
2019-07-08,2031400.0
2019-06-06,1706700.0
2019-09-10,1568300.0
2020-01-15,1674700.0
2020-04-03,1475900.0
2019-10-31,2053800.0
2020-04-06,1260700.0
2020-06-24,2050600.0
2018-11-09,2319200.0
2019-07-23,1878200.0
2019-06-21,2293400.0
2019-05-20,1340300.0
2019-04-18,2193000.0
2018-09-06,1727900.0
2018-10-08,1834000.0
2019-02-13,1602000.0
2018-12-11,1354900.0
2019-09-25,2519700.0
2020-01-21,1405800.0
2020-04-09,1533700.0
2019-11-06,3151500.0
2020-01-24,2015100.0
2020-01-27,2532400.0
2020-04-15,2149700.0
2018-12-26,2100300.0
2019-08-07,1228000.0
2019-06-04,1451100.0
2018-09-21,2272500.0
2018-07-19,2258700.0
2018-08-20,2020900.0
2018-10-23,4002400.0
2019-05-03,4159300.0
2019-04-01,2385800.0
2019-02-28,2575800.0
2019-11-12,2846100.0
2020-01-30,1594700.0
2019-11-15,2282500.0
2020-04-21,2152900.0
2019-04-16,1691600.0
2019-03-15,1828300.0
2019-02-11,1532600.0
2019-01-10,1429200.0
2019-08-22,8866300.0
2018-11-07,3577100.0
2018-08-03,1852600.0
2018-09-04,2398900.0
2019-06-19,1321300.0
2019-09-23,2316300.0
2019-11-18,1993500.0
2020-02-05,3947300.0
2020-04-24,4089400.0
2019-03-29,3509100.0
2019-11-21,3142800.0
2020-04-27,2743500.0
2020-02-11,1767300.0
2020-04-30,4272800.0
2019-05-01,2816100.0
2019-02-26,1821400.0
2019-01-25,1555500.0
2018-12-24,1878300.0
2019-09-06,2351100.0
2018-07-17,5006600.0
2018-09-19,6266400.0
2019-08-05,4980000.0
2019-10-08,4286300.0
2019-12-11,3398100.0
2019-11-27,1928400.0
2020-02-14,2894100.0
2020-05-06,1408100.0
2019-01-08,1511100.0
2018-12-07,2627800.0
2019-08-20,1672800.0
2018-11-05,3984700.0
2019-07-19,1810700.0
2018-10-04,1236700.0
2019-06-17,2025300.0
2019-05-16,2312100.0
