Dates,ESS
2018-06-20,233.83999633789062
2018-06-21,234.85000610351562
2018-06-25,237.74000549316406
2018-06-22,237.5
2018-06-26,237.32000732421875
2018-06-27,235.55999755859375
2018-06-28,236.11000061035156
2018-06-29,239.9499969482422
2018-07-02,239.4499969482422
2018-07-03,239.3800048828125
2018-07-05,238.9199981689453
2018-07-16,241.1999969482422
2018-09-18,240.2100067138672
2019-01-24,241.11000061035156
2019-09-05,243.6999969482422
2018-11-21,243.58999633789062
2020-01-13,243.27999877929688
2020-04-01,238.69000244140625
2020-06-19,236.6699981689453
2019-10-29,234.0
2020-01-16,234.8800048828125
2020-06-22,232.1999969482422
2018-10-03,230.72000122070312
2018-07-31,230.3800048828125
2019-03-12,234.92999267578125
2019-02-08,233.7899932861328
2019-01-07,234.8800048828125
2018-12-06,235.0
2019-08-19,242.27999877929688
2019-07-18,241.66000366210938
2019-05-15,241.72000122070312
2019-09-20,243.0
2019-11-01,244.41000366210938
2020-04-07,243.83999633789062
2020-06-25,243.57000732421875
2020-06-16,240.27000427246094
2019-11-04,240.1199951171875
2020-01-22,237.5800018310547
2019-11-07,238.02999877929688
2020-04-13,240.13999938964844
2019-07-01,241.10000610351562
2019-05-30,243.38999938964844
2018-08-15,244.57000732421875
2018-10-18,242.58999633789062
2019-03-27,241.91000366210938
2019-01-22,242.75
2018-12-21,244.8800048828125
2019-09-03,244.52000427246094
2018-11-19,247.2100067138672
2019-08-02,248.55999755859375
2020-01-28,248.30999755859375
2020-04-16,247.69000244140625
2019-11-13,246.86000061035156
2020-01-31,246.5
2018-12-04,246.63999938964844
2018-11-02,246.3800048828125
2019-07-16,250.17999267578125
2018-08-30,250.94000244140625
2018-10-01,250.14999389648438
2019-06-14,250.49000549316406
2019-05-13,249.2100067138672
2019-04-11,247.50999450683594
2019-02-06,246.02999877929688
2019-09-18,248.17999267578125
2020-02-03,245.9199981689453
2020-04-22,249.0
2019-11-19,246.6300048828125
2020-02-06,243.72000122070312
2019-11-22,243.13999938964844
2019-03-25,242.5399932861328
2019-02-21,246.91000366210938
2018-12-19,247.6999969482422
2018-07-12,246.9199981689453
2018-09-14,248.0
2018-08-13,244.64999389648438
2018-10-16,244.74000549316406
2019-07-31,249.50999450683594
2019-05-28,250.6199951171875
2019-04-26,251.14999389648438
2020-04-28,247.8000030517578
2019-11-25,242.52999877929688
2020-02-12,243.77999877929688
2020-05-01,245.25
2020-05-04,245.49000549316406
2019-06-12,244.77000427246094
2019-04-09,246.25999450683594
2019-03-08,246.89999389648438
2019-02-04,246.3800048828125
2018-07-27,253.63999938964844
2018-08-28,255.4499969482422
2019-01-03,254.66000366210938
2019-08-15,257.9700012207031
2018-10-31,259.1099853515625
2019-09-16,256.30999755859375
2020-02-18,252.83999633789062
2020-05-07,252.36000061035156
2018-08-17,251.88999938964844
