Dates,ESS
2018-06-20,230.47000122070312
2018-06-21,232.27999877929688
2018-06-25,233.33999633789062
2018-06-22,233.2899932861328
2018-06-26,233.05999755859375
2018-06-27,232.8699951171875
2018-06-28,231.27999877929688
2018-06-29,232.86000061035156
2018-07-02,233.50999450683594
2018-07-03,234.92999267578125
2018-07-05,235.7899932861328
2018-07-16,239.11000061035156
2018-09-18,237.27999877929688
2019-01-24,237.75999450683594
2019-09-05,240.44000244140625
2018-11-21,241.47999572753906
2020-01-13,239.32000732421875
2020-04-01,234.6300048828125
2020-06-19,232.41000366210938
2019-10-29,230.4199981689453
2020-01-16,230.9199981689453
2020-06-22,227.89999389648438
2018-10-03,228.10000610351562
2018-07-31,227.0500030517578
2019-03-12,230.38999938964844
2019-02-08,231.86000061035156
2019-01-07,231.32000732421875
2018-12-06,232.05999755859375
2019-08-19,233.9199981689453
2019-07-18,236.7100067138672
2019-05-15,232.02999877929688
2019-09-20,234.3699951171875
2019-11-01,242.0
2020-04-07,239.17999267578125
2020-06-25,239.11000061035156
2020-06-16,238.4499969482422
2019-11-04,236.0
2020-01-22,235.19000244140625
2019-11-07,234.99000549316406
2020-04-13,236.02000427246094
2019-07-01,238.64999389648438
2019-05-30,240.8000030517578
2018-08-15,242.61000061035156
2018-10-18,240.13999938964844
2019-03-27,240.14999389648438
2019-01-22,241.39999389648438
2018-12-21,241.05999755859375
2019-09-03,242.52999877929688
2018-11-19,243.0500030517578
2019-08-02,246.25
2020-01-28,244.77000427246094
2020-04-16,244.72999572753906
2019-11-13,242.99000549316406
2020-01-31,241.77999877929688
2018-12-04,245.4499969482422
2018-11-02,243.77000427246094
2019-07-16,246.5800018310547
2018-08-30,248.00999450683594
2018-10-01,247.6199951171875
2019-06-14,247.74000549316406
2019-05-13,243.22999572753906
2019-04-11,244.36000061035156
2019-02-06,244.05999755859375
2019-09-18,243.4199981689453
2020-02-03,242.10000610351562
2020-04-22,244.5399932861328
2019-11-19,239.4499969482422
2020-02-06,239.94000244140625
2019-11-22,239.8000030517578
2019-03-25,238.2899932861328
2019-02-21,241.74000549316406
2018-12-19,244.58999633789062
2018-07-12,243.94000244140625
2018-09-14,242.5
2018-08-13,241.0500030517578
2018-10-16,242.5
2019-07-31,244.05999755859375
2019-05-28,246.22000122070312
2019-04-26,246.44000244140625
2020-04-28,238.97999572753906
2019-11-25,237.02000427246094
2020-02-12,238.36000061035156
2020-05-01,240.25
2020-05-04,241.7899932861328
2019-06-12,242.7100067138672
2019-04-09,243.8000030517578
2019-03-08,242.16000366210938
2019-02-04,239.47999572753906
2018-07-27,244.80999755859375
2018-08-28,249.49000549316406
2019-01-03,247.47999572753906
2019-08-15,250.27000427246094
2018-10-31,253.77999877929688
2019-09-16,250.42999267578125
2020-02-18,249.19000244140625
2020-05-07,246.85000610351562
2018-08-17,247.72000122070312
2019-12-04,248.97000122070312
2020-02-21,252.58999633789062
2018-12-17,251.27999877929688
2019-08-30,252.22999572753906
2018-11-15,254.02999877929688
2019-07-29,253.08999633789062
2019-06-27,252.50999450683594
2019-04-24,248.33999633789062
2018-07-10,250.7100067138672
2018-09-12,254.52999877929688
2019-02-19,256.4200134277344
2019-01-18,257.8999938964844
2020-02-24,255.4600067138672
2020-05-13,255.27999877929688
2019-12-10,255.39999389648438
2020-02-27,258.0199890136719
2019-12-13,256.92999267578125
2020-05-19,259.1199951171875
2019-03-06,260.8299865722656
2018-11-30,259.1499938964844
2019-08-13,256.05999755859375
2019-07-12,262.9200134277344
2019-06-10,258.8599853515625
2019-05-09,263.1600036621094
2018-07-25,258.010009765625
2018-09-27,258.3900146484375
2018-10-29,260.45001220703125
2019-10-16,253.30999755859375
2019-12-16,255.60000610351562
2020-03-04,254.27000427246094
2020-05-22,253.1300048828125
2019-10-01,251.66000366210938
2019-12-19,239.60000610351562
2018-09-10,237.83999633789062
2019-05-24,238.6999969482422
2018-08-09,243.0
2019-04-22,241.5800018310547
2019-03-21,235.50999450683594
2019-01-16,236.05999755859375
2019-08-28,237.36000061035156
2018-11-13,238.05999755859375
2018-10-12,239.39999389648438
2019-06-25,242.8300018310547
2020-03-10,244.22000122070312
2020-05-28,247.6699981689453
2019-10-07,247.4499969482422
2020-03-13,249.1300048828125
2019-10-10,251.3300018310547
2020-03-16,255.7100067138672
2020-06-03,257.489990234375
2018-11-28,258.760009765625
2018-09-25,259.7900085449219
2018-07-23,259.3299865722656
2018-08-24,261.5199890136719
2019-07-10,261.5400085449219
2019-05-07,265.8999938964844
2019-04-05,267.8800048828125
2019-03-04,265.3699951171875
2019-01-31,265.5400085449219
2019-09-12,268.1600036621094
2019-12-31,272.05999755859375
2020-03-19,274.3399963378906
2020-01-03,272.760009765625
2020-06-09,275.94000244140625
2019-02-15,277.0
2019-01-14,274.4200134277344
2018-07-06,274.7099914550781
2018-08-07,275.8999938964844
2018-10-10,277.17999267578125
2018-12-13,278.1700134277344
2019-08-26,274.82000732421875
2019-07-25,274.54998779296875
2019-05-22,279.3500061035156
2019-03-19,278.760009765625
2020-01-06,278.4700012207031
2020-03-25,276.54998779296875
2020-06-12,279.44000244140625
2019-10-22,276.239990234375
2020-01-09,278.3699951171875
2020-06-15,280.6199951171875
2019-10-25,281.1000061035156
2020-03-31,281.1300048828125
2020-06-18,281.44000244140625
2019-04-03,282.7699890136719
2018-08-22,285.0299987792969
2018-10-25,287.5899963378906
2019-01-29,288.5899963378906
2018-12-28,288.5
2018-11-26,284.489990234375
2019-08-09,284.2200012207031
2019-07-08,282.9100036621094
2019-06-06,285.0400085449219
2019-09-10,290.2900085449219
2020-01-15,287.1300048828125
2020-04-03,289.0899963378906
2019-10-31,290.1700134277344
2020-04-06,288.44000244140625
2020-06-24,288.5
2018-11-09,284.3699951171875
2019-07-23,285.29998779296875
2019-06-21,287.9100036621094
2019-05-20,285.8500061035156
2019-04-18,286.7099914550781
2018-09-06,285.9200134277344
2018-10-08,286.2200012207031
2019-02-13,287.7699890136719
2018-12-11,287.82000732421875
2019-09-25,286.4800109863281
2020-01-21,288.2200012207031
2020-04-09,277.9800109863281
2019-11-06,273.55999755859375
2020-01-24,274.2799987792969
2020-01-27,271.5799865722656
2020-04-15,274.260009765625
2018-12-26,276.69000244140625
2019-08-07,277.7699890136719
2019-06-04,278.7699890136719
2018-09-21,277.5400085449219
2018-07-19,276.9800109863281
2018-08-20,281.75
2018-10-23,281.75
