Dates,FDX
2018-06-20,3906200.0
2018-06-21,3665100.0
2018-06-25,2635600.0
2018-06-22,3605700.0
2018-06-26,1954200.0
2018-06-27,2596500.0
2018-06-28,4067900.0
2018-06-29,2262700.0
2018-07-02,1587500.0
2018-07-03,922000.0
2018-07-05,1623600.0
2018-07-16,1584900.0
2018-09-18,1733900.0
2019-01-24,1195700.0
2019-09-05,1394600.0
2018-11-21,1333200.0
2020-01-13,983400.0
2020-04-01,1935900.0
2020-06-19,1801300.0
2019-10-29,1888800.0
2020-01-16,1549800.0
2020-06-22,1705400.0
2018-10-03,1207100.0
2018-07-31,1928200.0
2019-03-12,1885300.0
2019-02-08,1505900.0
2019-01-07,1215300.0
2018-12-06,1212800.0
2019-08-19,1886200.0
2019-07-18,1096700.0
2019-05-15,1030000.0
2019-09-20,962300.0
2019-11-01,1209700.0
2020-04-07,1144700.0
2020-06-25,888600.0
2020-06-16,1115600.0
2019-11-04,1483100.0
2020-01-22,900100.0
2019-11-07,1038800.0
2020-04-13,915300.0
2019-07-01,1031200.0
2019-05-30,803800.0
2018-08-15,1031400.0
2018-10-18,1263800.0
2019-03-27,1168200.0
2019-01-22,1205400.0
2018-12-21,1066100.0
2019-09-03,1650900.0
2018-11-19,857900.0
2019-08-02,981700.0
2020-01-28,1171400.0
2020-04-16,1476000.0
2019-11-13,1891400.0
2020-01-31,1889200.0
2018-12-04,1069400.0
2018-11-02,1217300.0
2019-07-16,1229900.0
2018-08-30,1151500.0
2018-10-01,1558200.0
2019-06-14,1717600.0
2019-05-13,1253300.0
2019-04-11,2226500.0
2019-02-06,6941200.0
2019-09-18,3288700.0
2020-02-03,2379900.0
2020-04-22,2389800.0
2019-11-19,1716600.0
2020-02-06,2921100.0
2019-11-22,2270900.0
2019-03-25,1422300.0
2019-02-21,1837700.0
2018-12-19,1427100.0
2018-07-12,1223700.0
2018-09-14,1269000.0
2018-08-13,1101300.0
2018-10-16,1520500.0
2019-07-31,1527800.0
2019-05-28,1668700.0
2019-04-26,2575300.0
2020-04-28,2739700.0
2019-11-25,2869200.0
2020-02-12,2276300.0
2020-05-01,1722100.0
2020-05-04,1377800.0
2019-06-12,1906800.0
2019-04-09,1691000.0
2019-03-08,1366300.0
2019-02-04,1953800.0
2018-07-27,2168500.0
2018-08-28,1632700.0
2019-01-03,1678100.0
2019-08-15,1356400.0
2018-10-31,1302400.0
2019-09-16,1721800.0
2020-02-18,1537700.0
2020-05-07,1808400.0
2018-08-17,1257200.0
2019-12-04,1252700.0
2020-02-21,1289200.0
2018-12-17,1039700.0
2019-08-30,1695000.0
2018-11-15,1577800.0
2019-07-29,1086500.0
2019-06-27,1380300.0
2019-04-24,1285900.0
2018-07-10,1240900.0
2018-09-12,1106200.0
2019-02-19,1620300.0
2019-01-18,1019900.0
2020-02-24,498200.0
2020-05-13,1165700.0
2019-12-10,1122000.0
2020-02-27,1311500.0
2019-12-13,1162900.0
2020-05-19,1588900.0
2019-03-06,1465900.0
2018-11-30,3819600.0
2019-08-13,2248100.0
2019-07-12,3101100.0
2019-06-10,5887300.0
2019-05-09,4584600.0
2018-07-25,3684700.0
2018-09-27,4194800.0
2018-10-29,2558200.0
2019-10-16,3402000.0
2019-12-16,4300800.0
2020-03-04,15288500.0
2020-05-22,6552700.0
2019-10-01,6969400.0
2019-12-19,2935200.0
2018-09-10,3503100.0
2019-05-24,2880200.0
2018-08-09,2876700.0
2019-04-22,2175300.0
2019-03-21,2125700.0
2019-01-16,3033300.0
2019-08-28,2938600.0
2018-11-13,2989400.0
2018-10-12,2610700.0
2019-06-25,2750900.0
2020-03-10,1958500.0
2020-05-28,2836400.0
2019-10-07,2225000.0
2020-03-13,2165400.0
2019-10-10,2342800.0
2020-03-16,1789700.0
2020-06-03,3072100.0
2018-11-28,2105900.0
2018-09-25,1853100.0
2018-07-23,1630100.0
2018-08-24,1968600.0
2019-07-10,1355500.0
2019-05-07,1090200.0
2019-04-05,1562700.0
2019-03-04,1865100.0
2019-01-31,1812500.0
2019-09-12,1694700.0
2019-12-31,1670800.0
2020-03-19,1485300.0
2020-01-03,1853700.0
2020-06-09,2461400.0
2019-02-15,1644700.0
2019-01-14,1819500.0
2018-07-06,1364400.0
2018-08-07,1556900.0
2018-10-10,4730700.0
2018-12-13,1836400.0
2019-08-26,1414700.0
2019-07-25,1033800.0
2019-05-22,2023300.0
2019-03-19,1652900.0
2020-01-06,1612600.0
2020-03-25,966200.0
2020-06-12,1260600.0
2019-10-22,1473300.0
2020-01-09,1694800.0
2020-06-15,1474500.0
2019-10-25,1441900.0
2020-03-31,3743900.0
2020-06-18,2059100.0
2019-04-03,1683200.0
2018-08-22,1506100.0
2018-10-25,1222900.0
2019-01-29,1217000.0
2018-12-28,2481500.0
2018-11-26,2230300.0
2019-08-09,4277000.0
2019-07-08,9287800.0
2019-06-06,3156100.0
2019-09-10,2439500.0
2020-01-15,1851000.0
2020-04-03,1430500.0
