Dates,FISV
2018-06-20,1723900.0
2018-06-21,1346800.0
2018-06-25,2988000.0
2018-06-22,1578100.0
2018-06-26,1528200.0
2018-06-27,1877600.0
2018-06-28,1276300.0
2018-06-29,1410400.0
2018-07-02,1408800.0
2018-07-03,597400.0
2018-07-05,1238300.0
2018-07-16,1282900.0
2018-09-18,1228300.0
2019-01-24,1617300.0
2019-09-05,1392700.0
2018-11-21,1365700.0
2020-01-13,1104000.0
2020-04-01,979300.0
2020-06-19,1582500.0
2019-10-29,1192700.0
2020-01-16,983500.0
2020-06-22,1500200.0
2018-10-03,1035100.0
2018-07-31,1682800.0
2019-03-12,2042800.0
2019-02-08,1597700.0
2019-01-07,1088900.0
2018-12-06,1586500.0
2019-08-19,2506900.0
2019-07-18,2311100.0
2019-05-15,2061100.0
2019-09-20,1623600.0
2019-11-01,1484900.0
2020-04-07,1569000.0
2020-06-25,1348400.0
2020-06-16,1896500.0
2019-11-04,2245100.0
2020-01-22,2102300.0
2019-11-07,2173900.0
2020-04-13,1981100.0
2019-07-01,1952200.0
2019-05-30,1635200.0
2018-08-15,936700.0
2018-10-18,1197100.0
2019-03-27,1776900.0
2019-01-22,1501300.0
2018-12-21,1445200.0
2019-09-03,1571000.0
2018-11-19,3231400.0
2019-08-02,1668100.0
2020-01-28,1365400.0
2020-04-16,1689200.0
2019-11-13,1201500.0
2020-01-31,1584800.0
2018-12-04,1457400.0
2018-11-02,1371100.0
2019-07-16,1456300.0
2018-08-30,1348700.0
2018-10-01,1111500.0
2019-06-14,1558100.0
2019-05-13,2015600.0
2019-04-11,1461600.0
2019-02-06,1221000.0
2019-09-18,1662400.0
2020-02-03,1784300.0
2020-04-22,4347600.0
2019-11-19,2001000.0
2020-02-06,1646500.0
2019-11-22,1699500.0
2019-03-25,1992500.0
2019-02-21,1699900.0
2018-12-19,1583300.0
2018-07-12,1783100.0
2018-09-14,1684000.0
2018-08-13,1751900.0
2018-10-16,1521700.0
2019-07-31,1409000.0
2019-05-28,1229800.0
2019-04-26,2456400.0
2020-04-28,2732000.0
2019-11-25,2117500.0
2020-02-12,1455900.0
2020-05-01,1709500.0
2020-05-04,1135100.0
2019-06-12,1586100.0
