Dates,GC=F
2018-06-20,1271.199951171875
2018-06-21,1267.199951171875
2018-06-25,1267.4000244140625
2018-06-22,1265.5999755859375
2018-06-26,1256.5999755859375
2018-06-27,1252.800048828125
2018-06-28,1247.800048828125
2018-06-29,1251.300048828125
2018-07-02,1239.800048828125
2018-07-05,1257.300048828125
2018-07-06,1254.300048828125
2018-07-16,1258.0999755859375
2018-09-18,1253.800048828125
2019-01-24,1242.800048828125
2019-09-05,1245.0
2018-11-21,1239.5999755859375
2020-01-13,1238.0999755859375
2020-04-01,1225.699951171875
2020-06-19,1226.300048828125
2019-10-29,1222.4000244140625
2020-01-16,1229.5
2020-06-22,1224.0
2018-10-03,1223.9000244140625
2018-07-31,1231.4000244140625
2019-03-12,1225.300048828125
2019-02-08,1222.5999755859375
2019-01-07,1221.300048828125
2018-12-06,1223.699951171875
2019-08-19,1217.9000244140625
2019-07-18,1210.5999755859375
2019-05-15,1214.199951171875
2019-09-20,1208.5999755859375
2019-11-01,1209.5999755859375
2020-01-19,1212.5999755859375
2020-04-07,1211.9000244140625
2020-06-25,1211.0999755859375
2020-06-16,1191.300048828125
2019-11-04,1193.0
2020-01-22,1177.5
2020-06-28,1176.199951171875
2019-11-07,1176.5
2020-04-13,1186.800048828125
2019-07-01,1192.5999755859375
2019-05-30,1196.300048828125
2018-08-15,1187.0
2018-10-18,1206.300048828125
2019-03-27,1209.0
2019-01-22,1207.4000244140625
2018-12-21,1204.5
2019-09-03,1197.699951171875
2018-11-19,1200.300048828125
2019-08-02,1192.699951171875
2020-01-28,1194.9000244140625
2020-04-16,1197.9000244140625
2019-11-13,1193.5999755859375
2020-01-31,1193.0
2020-04-19,1195.4000244140625
2018-12-04,1204.699951171875
2018-11-02,1202.0
2019-07-16,1195.0
2018-08-30,1199.699951171875
2018-10-01,1196.800048828125
2019-06-14,1202.199951171875
2019-05-13,1206.199951171875
2019-04-11,1196.199951171875
2019-02-06,1199.300048828125
2019-09-18,1200.0
2020-02-03,1194.0
2020-04-22,1182.300048828125
2019-11-19,1191.5
2020-02-06,1187.0999755859375
2019-11-22,1202.4000244140625
2020-02-09,1198.300048828125
2019-03-25,1197.199951171875
2019-02-21,1201.199951171875
2018-12-19,1184.4000244140625
2018-07-12,1187.199951171875
2018-09-14,1189.300048828125
2018-08-13,1223.5
2018-10-16,1218.0999755859375
2019-07-31,1226.4000244140625
2019-05-28,1227.300048828125
2019-04-26,1223.699951171875
2020-04-28,1226.5
2019-11-25,1225.300048828125
2020-02-12,1221.199951171875
2020-05-01,1233.4000244140625
2020-05-04,1227.800048828125
2019-06-12,1229.0999755859375
2019-04-09,1232.5
2019-03-08,1224.5
2019-02-04,1222.5999755859375
2018-07-27,1212.300048828125
2018-08-28,1236.0
2019-01-03,1230.9000244140625
2019-08-15,1229.800048828125
2018-10-31,1223.800048828125
2019-09-16,1226.199951171875
2020-02-18,1222.9000244140625
2020-05-07,1206.4000244140625
2018-08-17,1201.300048828125
2019-12-04,1199.199951171875
2020-02-21,1207.9000244140625
2020-05-10,1212.800048828125
2018-12-17,1220.800048828125
2019-08-30,1223.0999755859375
2018-11-15,1219.0
2019-07-29,1225.800048828125
2019-06-27,1220.199951171875
2019-04-24,1211.199951171875
2018-07-10,1221.4000244140625
2018-09-12,1224.0999755859375
2019-02-19,1220.199951171875
2019-01-18,1233.9000244140625
2020-02-24,1241.0999755859375
2020-05-13,1238.0999755859375
2019-12-10,1246.800048828125
2020-02-27,1243.699951171875
2019-12-13,1241.9000244140625
2020-05-19,1244.4000244140625
2019-03-06,1242.699951171875
2018-11-30,1237.0
2019-08-13,1247.4000244140625
2019-07-12,1249.199951171875
2019-06-10,1252.0999755859375
2019-05-09,1263.5999755859375
2018-07-25,1253.800048828125
2018-09-27,1269.199951171875
2018-10-29,1277.300048828125
2019-10-16,1279.9000244140625
2019-12-16,1278.300048828125
2020-03-04,1281.0
2020-05-22,1291.800048828125
2019-10-01,1282.699951171875
2019-12-19,1286.800048828125
2018-09-10,1283.199951171875
2019-05-24,1289.300048828125
2018-08-09,1284.699951171875
2019-04-22,1287.0999755859375
2019-03-21,1289.0999755859375
2019-01-16,1286.199951171875
2019-08-28,1291.5999755859375
2018-11-13,1291.0
2018-10-12,1281.300048828125
2019-06-25,1282.5
2020-03-10,1283.0999755859375
2020-05-28,1279.0999755859375
2019-10-07,1297.4000244140625
2020-03-13,1302.4000244140625
2020-05-31,1308.199951171875
2019-10-10,1309.9000244140625
2020-03-16,1319.699951171875
2020-06-03,1316.9000244140625
2018-11-28,1314.300048828125
2018-09-25,1314.199951171875
2018-07-23,1309.5
2018-08-24,1309.4000244140625
2019-07-10,1313.699951171875
2019-05-07,1307.0
2019-04-05,1309.199951171875
2019-03-04,1310.800048828125
2019-01-31,1309.800048828125
2019-09-12,1318.0999755859375
2019-12-31,1340.0999755859375
2020-03-19,1343.300048828125
2020-01-03,1323.5
2020-03-22,1329.199951171875
2020-06-09,1325.9000244140625
2019-02-15,1325.0999755859375
2019-01-14,1317.699951171875
2018-08-07,1312.800048828125
2018-10-10,1296.4000244140625
2018-12-13,1284.800048828125
2019-08-26,1282.0
2019-07-25,1284.9000244140625
2019-05-22,1283.800048828125
2019-03-19,1297.0
2019-09-27,1288.800048828125
2020-01-06,1296.300048828125
2020-03-25,1307.5
2020-06-12,1293.4000244140625
2019-10-22,1301.800048828125
2020-01-09,1300.300048828125
2020-06-15,1305.0
2019-10-25,1300.5
2020-03-31,1306.0999755859375
2020-06-18,1311.5999755859375
2019-04-03,1321.9000244140625
2018-08-22,1314.300048828125
2018-10-25,1309.9000244140625
