Dates,GOOG
2018-06-20,1186.2860107421875
2018-06-21,1177.2950439453125
2018-06-25,1162.4969482421875
2018-06-22,1143.9100341796875
2018-06-26,1133.2099609375
2018-06-27,1131.8360595703125
2018-06-28,1122.31005859375
2018-06-29,1128.22705078125
2018-07-02,1128.0
2018-07-03,1135.8199462890625
2018-07-05,1127.5
2018-07-16,1140.9300537109375
2018-09-18,1154.6700439453125
2019-01-24,1159.5899658203125
2019-09-05,1164.2900390625
2018-11-21,1184.4100341796875
2020-01-13,1195.4169921875
2020-04-01,1191.0
2020-06-19,1203.0400390625
2019-10-29,1204.5
2020-01-16,1200.0
2020-06-22,1196.8599853515625
2018-10-03,1206.489990234375
2018-07-31,1266.0
2019-03-12,1265.8599853515625
2019-02-08,1269.77099609375
2019-01-07,1273.8900146484375
2018-12-06,1234.916015625
2019-08-19,1227.5880126953125
2019-07-18,1233.469970703125
2019-05-15,1229.8800048828125
2019-09-20,1230.0
2019-11-01,1226.0880126953125
2020-04-07,1251.1700439453125
2020-06-25,1256.5
2020-06-16,1255.5419921875
2019-11-04,1245.6949462890625
2020-01-22,1249.27294921875
2019-11-07,1245.8699951171875
2020-04-13,1235.239990234375
2019-07-01,1226.0
2019-05-30,1209.02001953125
2018-08-15,1211.0
2018-10-18,1217.260009765625
2019-03-27,1211.8399658203125
2019-01-22,1221.280029296875
2018-12-21,1221.6500244140625
2019-09-03,1243.0899658203125
2018-11-19,1242.5450439453125
2019-08-02,1250.6600341796875
2020-01-28,1253.635009765625
2020-04-16,1238.6600341796875
2019-11-13,1212.989990234375
2020-01-31,1199.010009765625
2018-12-04,1186.300048828125
2018-11-02,1175.260009765625
2019-07-16,1174.5400390625
2018-08-30,1178.6800537109375
2018-10-01,1178.6099853515625
2019-06-14,1178.6099853515625
2019-05-13,1180.425048828125
2019-04-11,1177.239990234375
2019-02-06,1176.0799560546875
2019-09-18,1173.2099609375
2020-02-03,1189.8900146484375
2020-04-22,1192.2099609375
2019-11-19,1178.0
2020-02-06,1186.8800048828125
2019-11-22,1194.22998046875
2019-03-25,1202.0999755859375
2019-02-21,1195.4100341796875
2018-12-19,1209.9000244140625
2018-07-12,1209.9599609375
2018-09-14,1206.4100341796875
2018-08-13,1197.510009765625
2018-10-16,1173.5
2019-07-31,1168.0
2019-05-28,1154.3499755859375
2019-04-26,1132.1700439453125
2020-04-28,1106.4000244140625
2019-11-25,1115.0
2020-02-12,1113.446044921875
2020-05-01,1124.219970703125
2020-05-04,1128.989990234375
2019-06-12,1121.8399658203125
2019-04-09,1110.3599853515625
2019-03-08,1112.22998046875
2019-02-04,1107.8900146484375
2018-07-27,1106.1199951171875
2018-08-28,1110.97998046875
2019-01-03,1106.530029296875
2019-08-15,1097.0400390625
2018-10-31,1037.489990234375
2019-09-16,1091.93994140625
2020-02-18,1083.9749755859375
2020-05-07,1082.9749755859375
2018-08-17,1058.469970703125
2019-12-04,1064.344970703125
2020-02-21,1095.4599609375
2018-12-17,1093.27001953125
2019-08-30,1075.56005859375
2018-11-15,1062.1199951171875
2019-07-29,1056.60498046875
2019-06-27,1054.56396484375
2019-04-24,1071.8499755859375
2018-07-10,1067.0
