,GOOGL,Dates
0,1054.6800537109375,2019-01-02
1,1025.469970703125,2019-01-03
2,1078.0699462890625,2019-01-07
3,1075.9200439453125,2019-01-04
4,1085.3699951171875,2019-01-08
5,1081.6500244140625,2019-01-09
6,1078.8299560546875,2019-01-10
7,1064.469970703125,2019-01-11
8,1051.510009765625,2019-01-14
9,1086.510009765625,2019-01-15
10,1089.510009765625,2019-01-16
11,1099.1199951171875,2019-01-24
12,1107.300048828125,2019-02-01
13,1078.6300048828125,2019-03-29
14,1084.4100341796875,2019-03-21
15,1084.0,2019-03-13
16,1101.510009765625,2019-06-28
17,1079.8599853515625,2019-08-27
18,1070.06005859375,2019-12-03
19,1097.989990234375,2019-11-14
20,1125.8900146484375,2019-05-21
21,1118.6199951171875,2019-07-15
22,1141.4200439453125,2019-08-08
23,1151.8699951171875,2019-10-07
24,1122.8900146484375,2019-07-01
25,1105.9100341796875,2019-09-18
26,1102.3800048828125,2019-12-06
27,1102.1199951171875,2019-06-12
28,1127.5799560546875,2019-08-30
29,1128.6300048828125,2019-05-24
30,1129.199951171875,2019-10-29
31,1119.6300048828125,2019-07-23
32,1126.510009765625,2019-10-10
33,1120.5899658203125,2019-12-09
34,1104.2099609375,2019-04-05
35,1116.56005859375,2019-03-28
36,1117.3299560546875,2019-01-23
37,1122.010009765625,2019-01-31
38,1122.8900146484375,2019-02-08
39,1126.550048828125,2019-03-20
40,1148.52001953125,2019-03-12
41,1153.4200439453125,2019-03-04
42,1169.18994140625,2019-04-29
43,1164.93994140625,2019-05-07
44,1150.8499755859375,2019-05-08
45,1149.969970703125,2019-07-26
46,1179.260009765625,2019-08-14
47,1197.25,2019-11-01
48,1199.06005859375,2019-12-05
49,1192.530029296875,2019-09-24
50,1190.300048828125,2019-12-12
51,1188.550048828125,2019-06-18
52,1202.4599609375,2019-09-05
53,1226.4300537109375,2019-05-30
54,1236.1300048828125,2019-11-04
55,1207.6500244140625,2019-07-29
56,1197.3800048828125,2019-10-16
57,1189.8399658203125,2019-04-22
58,1178.010009765625,2019-07-10
59,1172.27001953125,2019-09-27
60,1176.8900146484375,2019-06-21
61,1198.97998046875,2019-11-26
62,1205.5400390625,2019-08-20
63,1210.81005859375,2019-11-07
64,1219.449951171875,2019-05-14
65,1211.449951171875,2019-08-01
66,1208.280029296875,2019-01-22
67,1202.68994140625,2019-01-30
68,1206.449951171875,2019-02-15
69,1209.5899658203125,2019-02-07
70,1222.72998046875,2019-04-12
71,1226.530029296875,2019-04-04
72,1231.9100341796875,2019-03-27
73,1240.1400146484375,2019-03-11
74,1241.469970703125,2019-03-19
75,1253.760009765625,2019-05-06
76,1270.5899658203125,2019-09-30
77,1260.050048828125,2019-06-24
78,1267.3399658203125,2019-09-11
79,1277.4200439453125,2019-11-29
80,1296.199951171875,2019-06-05
81,1198.9599609375,2019-08-23
82,1173.3199462890625,2019-05-17
83,1166.510009765625,2019-10-22
84,1189.550048828125,2019-07-16
85,1193.4599609375,2019-10-03
86,1178.8599853515625,2019-06-27
87,1170.780029296875,2019-12-02
88,1167.969970703125,2019-08-26
89,1167.6400146484375,2019-11-13
90,1136.5899658203125,2019-05-20
91,1124.8599853515625,2019-08-07
92,1170.800048828125,2019-10-25
93,1184.5,2019-07-19
94,1168.780029296875,2019-03-18
95,1144.6600341796875,2019-03-26
96,1154.43994140625,2019-02-22
97,1155.8499755859375,2019-01-29
98,1145.3399658203125,2019-02-06
99,1138.6099853515625,2019-02-14
100,1139.56005859375,2019-04-11
101,1119.93994140625,2019-04-03
102,1121.4100341796875,2019-05-13
103,1106.5,2019-03-05
104,1038.739990234375,2019-06-11
105,1054.489990234375,2019-05-23
106,1044.6400146484375,2019-08-29
107,1047.760009765625,2019-09-17
108,1068.3699951171875,2019-10-28
109,1082.760009765625,2019-07-22
110,1081.0400390625,2019-10-09
111,1079.0999755859375,2019-07-03
112,1091.010009765625,2019-09-20
113,1086.300048828125,2019-06-14
114,1093.8900146484375,2019-11-19
115,1105.239990234375,2019-08-13
116,1104.510009765625,2019-10-31
117,1113.199951171875,2019-07-25
118,1125.3699951171875,2019-09-23
119,1116.699951171875,2019-12-11
120,1087.5799560546875,2019-06-17
121,1080.3199462890625,2019-09-04
122,1076.6300048828125,2019-11-22
123,1082.800048828125,2019-05-29
124,1100.0,2019-01-28
125,1112.5999755859375,2019-04-02
126,1122.989990234375,2019-03-25
127,1132.6700439453125,2019-04-10
128,1116.7900390625,2019-02-05
129,1124.2900390625,2019-04-18
130,1140.9100341796875,2019-03-01
131,1144.0799560546875,2019-02-21
132,1145.3399658203125,2019-02-13
133,1150.510009765625,2019-04-26
134,1153.4599609375,2019-05-10
135,1146.739990234375,2019-10-15
136,1147.239990234375,2019-07-09
137,1131.550048828125,2019-09-26
138,1139.2099609375,2019-06-20
139,1148.050048828125,2019-11-25
140,1139.72998046875,2019-08-19
141,1135.93994140625,2019-11-06
142,1245.219970703125,2019-07-31
143,1241.8399658203125,2019-10-18
144,1228.0,2019-07-12
145,1218.199951171875,2019-09-10
146,1211.780029296875,2019-06-04
147,1196.3199462890625,2019-08-22
148,1154.75,2019-05-16
149,1171.0799560546875,2019-10-21
150,1175.9100341796875,2019-02-20
151,1206.18994140625,2019-04-17
152,1188.9000244140625,2019-04-09
153,1174.5,2019-04-01
154,1196.72998046875,2019-02-04
155,1164.25,2019-02-12
156,1169.3199462890625,2019-03-08
157,1179.2099609375,2019-02-28
158,1200.43994140625,2019-04-25
159,1183.530029296875,2019-05-03
160,1191.5799560546875,2019-06-26
161,1191.52001953125,2019-09-13
162,1153.5799560546875,2019-10-02
163,1171.1800537109375,2019-06-07
164,1170.8199462890625,2019-11-12
165,1173.75,2019-08-06
166,1194.239990234375,2019-10-24
167,1190.530029296875,2019-04-30
168,1169.550048828125,2019-07-18
169,1182.27001953125,2019-09-16
170,1212.18994140625,2019-10-04
171,1206.3199462890625,2019-12-04
172,1205.27001953125,2019-06-10
173,1205.699951171875,2019-08-28
174,1220.0,2019-11-15
175,1234.969970703125,2019-05-22
176,1240.030029296875,2019-08-16
177,1231.6300048828125,2019-08-09
178,1229.8800048828125,2019-10-08
179,1232.6500244140625,2019-07-02
180,1238.75,2019-09-19
181,1229.8399658203125,2019-01-18
182,1234.68994140625,2019-03-07
183,1218.3299560546875,2019-02-27
184,1245.93994140625,2019-02-19
185,1242.2900390625,2019-02-11
186,1225.949951171875,2019-04-16
187,1221.1400146484375,2019-04-08
188,1206.0,2019-03-15
189,1177.9200439453125,2019-04-24
190,1189.4300537109375,2019-05-02
191,1210.9599609375,2019-06-13
192,1208.25,2019-08-12
193,1190.1300048828125,2019-10-30
194,1202.4000244140625,2019-11-18
195,1209.469970703125,2019-11-20
196,1215.7099609375,2019-07-24
197,1217.77001953125,2019-10-11
198,1242.239990234375,2019-07-05
199,1243.0,2019-12-10
200,1252.800048828125,2019-09-03
201,1244.4100341796875,2019-11-21
202,1244.280029296875,2019-05-28
203,1241.199951171875,2019-08-15
204,1257.6300048828125,2019-10-14
205,1259.1099853515625,2019-07-08
206,1264.300048828125,2019-09-25
207,1288.97998046875,2019-06-19
208,1260.6600341796875,2019-09-06
209,1260.699951171875,2019-05-31
210,1258.800048828125,2019-11-05
211,1272.25,2019-03-22
212,1289.6099853515625,2019-03-14
213,1291.43994140625,2019-03-06
214,1291.010009765625,2019-02-26
215,1306.93994140625,2019-01-17
216,1309.0,2019-01-25
217,1298.280029296875,2019-04-23
218,1297.2099609375,2019-04-15
219,1296.1800537109375,2019-05-01
220,1309.1500244140625,2019-05-09
221,1333.5400390625,2019-07-11
222,1319.8399658203125,2019-07-30
223,1312.5899658203125,2019-10-17
224,1301.8599853515625,2019-09-09
225,1300.1400146484375,2019-11-27
226,1293.6700439453125,2019-06-03
227,1305.6400146484375,2019-08-21
228,1313.0,2019-02-25
229,1312.1300048828125,2019-11-08
230,1304.0899658203125,2019-05-15
231,1288.8599853515625,2019-08-02
232,1294.739990234375,2019-07-17
233,1318.93994140625,2019-10-01
234,1326.9599609375,2019-06-25
235,1339.3900146484375,2019-09-12
236,1342.989990234375,2019-06-06
237,1342.8900146484375,2019-11-11
238,1344.25,2019-08-05
239,1348.489990234375,2019-10-23
