Dates,GS
2018-06-20,227.82000732421875
2018-06-21,226.97999572753906
2018-06-25,226.02000427246094
2018-06-22,221.5399932861328
2018-06-26,221.5800018310547
2018-06-27,220.17999267578125
2018-06-28,223.4199981689453
2018-06-29,220.57000732421875
2018-07-02,223.25999450683594
2018-07-03,220.3800048828125
2018-07-05,220.74000549316406
2018-07-16,221.7899932861328
2018-09-18,227.99000549316406
2019-01-24,226.85000610351562
2019-09-05,225.66000366210938
2018-11-21,227.22000122070312
2020-01-13,226.41000366210938
2020-04-01,231.44000244140625
2020-06-19,231.02000427246094
2019-10-29,231.24000549316406
2020-01-16,229.6300048828125
2020-06-22,231.69000244140625
2018-10-03,233.75999450683594
2018-07-31,235.8800048828125
2019-03-12,236.69000244140625
2019-02-08,237.11000061035156
2019-01-07,237.63999938964844
2018-12-06,238.9499969482422
2019-08-19,237.42999267578125
2019-07-18,236.0399932861328
2019-05-15,233.99000549316406
2019-09-20,234.08999633789062
2019-11-01,235.92999267578125
2020-04-07,237.8300018310547
2020-06-25,236.3699951171875
2020-06-16,233.77999877929688
2019-11-04,229.61000061035156
2020-01-22,226.86000061035156
2019-11-07,229.55999755859375
2020-04-13,229.25
2019-07-01,233.0
2019-05-30,233.3800048828125
2018-08-15,235.77999877929688
2018-10-18,238.64999389648438
2019-03-27,239.33999633789062
2019-01-22,236.33999633789062
2018-12-21,235.11000061035156
2019-09-03,242.60000610351562
2018-11-19,242.3699951171875
2019-08-02,241.39999389648438
2020-01-28,239.39999389648438
2020-04-16,237.80999755859375
2019-11-13,237.66000366210938
2020-01-31,237.55999755859375
2018-12-04,234.52000427246094
2018-11-02,233.91000366210938
2019-07-16,231.91000366210938
2018-08-30,230.2100067138672
2018-10-01,228.14999389648438
2019-06-14,228.3300018310547
2019-05-13,229.24000549316406
2019-04-11,227.88999938964844
2019-02-06,228.88999938964844
2019-09-18,235.5800018310547
2020-02-03,237.39999389648438
2020-04-22,235.33999633789062
2019-11-19,232.89999389648438
2020-02-06,232.5
2019-11-22,228.8800048828125
2019-03-25,227.74000549316406
2019-02-21,224.24000549316406
2018-12-19,225.3300018310547
2018-07-12,226.07000732421875
2018-09-14,227.77999877929688
2018-08-13,227.47999572753906
2018-10-16,225.7100067138672
2019-07-31,225.35000610351562
2019-05-28,222.91000366210938
2019-04-26,214.88999938964844
2020-04-28,212.97000122070312
2019-11-25,213.8699951171875
2020-02-12,215.22000122070312
2020-05-01,221.6999969482422
2020-05-04,228.27999877929688
2019-06-12,224.9499969482422
2019-04-09,226.9600067138672
2019-03-08,221.60000610351562
2019-02-04,218.55999755859375
2018-07-27,209.17999267578125
2018-08-28,214.00999450683594
2019-01-03,212.36000061035156
2019-08-15,214.49000549316406
2018-10-31,219.27999877929688
2019-09-16,225.3699951171875
2020-02-18,226.97000122070312
2020-05-07,229.69000244140625
2018-08-17,228.72000122070312
2019-12-04,228.1999969482422
2020-02-21,231.27999877929688
2018-12-17,231.64999389648438
2019-08-30,222.64999389648438
2018-11-15,206.0500030517578
2019-07-29,205.0500030517578
2019-06-27,202.49000549316406
2019-04-24,203.74000549316406
2018-07-10,202.1199951171875
2018-09-12,198.22000122070312
2019-02-19,191.33999633789062
2019-01-18,192.60000610351562
2020-02-24,189.10000610351562
2020-05-13,194.33999633789062
2019-12-10,193.64999389648438
2020-02-27,198.35000610351562
2019-12-13,194.85000610351562
2020-05-19,190.69000244140625
2019-03-06,191.6300048828125
2018-11-30,184.30999755859375
2019-08-13,184.08999633789062
2019-07-12,179.6699981689453
2019-06-10,178.8300018310547
2019-05-09,176.8000030517578
2018-07-25,176.6999969482422
2018-09-27,175.9199981689453
2018-10-29,172.77000427246094
2019-10-16,168.00999450683594
2019-12-16,171.5
2020-03-04,169.25
2020-05-22,168.41000366210938
2019-10-01,160.0500030517578
2019-12-19,156.35000610351562
2018-09-10,162.92999267578125
2019-05-24,165.41000366210938
