Dates,GS
2018-06-20,229.94000244140625
2018-06-21,228.42999267578125
2018-06-25,230.5
2018-06-22,225.13999938964844
2018-06-26,222.8000030517578
2018-06-27,225.47000122070312
2018-06-28,224.66000366210938
2018-06-29,225.1699981689453
2018-07-02,223.33999633789062
2018-07-03,224.63999938964844
2018-07-05,222.13999938964844
2018-07-16,223.1999969482422
2018-09-18,228.1999969482422
2019-01-24,228.8699951171875
2019-09-05,227.25
2018-11-21,227.8000030517578
2020-01-13,228.6199951171875
2020-04-01,231.44000244140625
2020-06-19,233.22999572753906
2019-10-29,233.72000122070312
2020-01-16,231.99000549316406
2020-06-22,232.0500030517578
2018-10-03,234.86000061035156
2018-07-31,237.47999572753906
2019-03-12,236.85000610351562
2019-02-08,238.33999633789062
2019-01-07,238.8000030517578
2018-12-06,239.72999572753906
2019-08-19,239.5
2019-07-18,239.39999389648438
2019-05-15,235.2100067138672
2019-09-20,235.52000427246094
2019-11-01,236.97999572753906
2020-04-07,239.4600067138672
2020-06-25,239.16000366210938
2020-06-16,236.85000610351562
2019-11-04,231.4600067138672
2020-01-22,229.88999938964844
2019-11-07,230.3699951171875
2020-04-13,231.5399932861328
2019-07-01,233.2899932861328
2019-05-30,233.72000122070312
2018-08-15,235.97999572753906
2018-10-18,239.52999877929688
2019-03-27,239.6699981689453
2019-01-22,239.27999877929688
2018-12-21,237.8000030517578
2019-09-03,243.64999389648438
2018-11-19,245.0800018310547
2019-08-02,242.7899932861328
2020-01-28,241.1199951171875
2020-04-16,239.35000610351562
2019-11-13,238.1199951171875
2020-01-31,239.4499969482422
2018-12-04,238.6300048828125
2018-11-02,235.63999938964844
2019-07-16,235.5
2018-08-30,231.64999389648438
2018-10-01,231.99000549316406
2019-06-14,229.85000610351562
2019-05-13,230.5500030517578
2019-04-11,230.16000366210938
2019-02-06,229.39999389648438
2019-09-18,236.27999877929688
2020-02-03,238.50999450683594
2020-04-22,238.52000427246094
2019-11-19,235.74000549316406
2020-02-06,234.63999938964844
2019-11-22,233.0
2019-03-25,229.85000610351562
2019-02-21,227.39999389648438
2018-12-19,227.58999633789062
2018-07-12,226.3300018310547
2018-09-14,229.77000427246094
2018-08-13,231.39999389648438
2018-10-16,228.41000366210938
2019-07-31,226.9199981689453
2019-05-28,225.1199951171875
2019-04-26,223.63999938964844
2020-04-28,216.02999877929688
2019-11-25,217.97999572753906
2020-02-12,217.13999938964844
2020-05-01,222.0
2020-05-04,228.89999389648438
2019-06-12,228.72999572753906
2019-04-09,228.3000030517578
2019-03-08,228.8699951171875
2019-02-04,219.52000427246094
2018-07-27,218.92999267578125
2018-08-28,215.69000244140625
2019-01-03,214.8000030517578
2019-08-15,218.2100067138672
2018-10-31,220.35000610351562
2019-09-16,229.0
2020-02-18,228.8800048828125
2020-05-07,231.69000244140625
2018-08-17,231.10000610351562
2019-12-04,229.52000427246094
2020-02-21,232.8000030517578
2018-12-17,234.05999755859375
2019-08-30,231.69000244140625
2018-11-15,222.30999755859375
2019-07-29,209.58999633789062
2019-06-27,207.33999633789062
2019-04-24,204.5
2018-07-10,204.74000549316406
2018-09-12,202.3000030517578
2019-02-19,195.88999938964844
2019-01-18,195.24000549316406
2020-02-24,191.8699951171875
2020-05-13,195.22999572753906
2019-12-10,194.6199951171875
2020-02-27,198.4499969482422
2019-12-13,197.4499969482422
2020-05-19,191.4499969482422
2019-03-06,195.66000366210938
2018-11-30,191.11000061035156
2019-08-13,184.8800048828125
2019-07-12,186.25
2019-06-10,179.83999633789062
2019-05-09,184.42999267578125
2018-07-25,180.0
2018-09-27,178.69000244140625
2018-10-29,176.25999450683594
2019-10-16,171.42999267578125
2019-12-16,173.02000427246094
2020-03-04,174.85000610351562
2020-05-22,171.64999389648438
2019-10-01,169.6300048828125
2019-12-19,160.0
2018-09-10,163.11000061035156
2019-05-24,165.41000366210938
2018-08-09,165.9499969482422
2019-04-22,167.1199951171875
2019-03-21,172.25
2019-01-16,171.77000427246094
2019-08-28,176.0
2018-11-13,177.8300018310547
2018-10-12,178.10000610351562
2019-06-25,177.69000244140625
2020-03-10,178.07000732421875
2020-05-28,177.0399932861328
2019-10-07,179.5399932861328
2020-03-13,179.99000549316406
2019-10-10,198.14999389648438
2020-03-16,199.8000030517578
2020-06-03,203.0
2018-11-28,201.47000122070312
2018-09-25,198.08999633789062
2018-07-23,199.67999267578125
2018-08-24,201.19000244140625
2019-07-10,200.07000732421875
2019-05-07,201.97000122070312
2019-04-05,203.2899932861328
2019-03-04,202.35000610351562
2019-01-31,199.63999938964844
2019-09-12,197.75999450683594
2019-12-31,199.3300018310547
2020-03-19,199.05999755859375
2020-01-03,195.8800048828125
2020-06-09,192.6199951171875
2019-02-15,193.32000732421875
2019-01-14,195.64999389648438
2018-07-06,198.77999877929688
2018-08-07,194.1300048828125
2018-10-10,198.88999938964844
2018-12-13,199.05999755859375
2019-08-26,199.3000030517578
