Dates,GS
2018-06-20,2678300.0
2018-06-21,3094600.0
2018-06-25,2731800.0
2018-06-22,3817700.0
2018-06-26,2692900.0
2018-06-27,3104200.0
2018-06-28,3072600.0
2018-06-29,3393700.0
2018-07-02,1723200.0
2018-07-03,1204400.0
2018-07-05,2218200.0
2018-07-16,1846400.0
2018-09-18,2743900.0
2019-01-24,2524800.0
2019-09-05,2527000.0
2018-11-21,2223100.0
2020-01-13,2541500.0
2020-04-01,3271200.0
2020-06-19,9280200.0
2019-10-29,6149900.0
2020-01-16,4638500.0
2020-06-22,2683500.0
2018-10-03,2788500.0
2018-07-31,2887400.0
2019-03-12,2181500.0
2019-02-08,1885500.0
2019-01-07,1998200.0
2018-12-06,2454100.0
2019-08-19,2503700.0
2019-07-18,2510500.0
2019-05-15,2579700.0
2019-09-20,3053100.0
2019-11-01,2259600.0
2020-04-07,2399500.0
2020-06-25,2522400.0
2020-06-16,2951900.0
2019-11-04,3863400.0
2020-01-22,2662700.0
2019-11-07,2359000.0
2020-04-13,3218500.0
2019-07-01,2438300.0
2019-05-30,2107200.0
2018-08-15,2604900.0
2018-10-18,2437300.0
2019-03-27,1870900.0
2019-01-22,2064700.0
2018-12-21,1948100.0
2019-09-03,4106900.0
2018-11-19,2951000.0
2019-08-02,1911700.0
2020-01-28,1963700.0
2020-04-16,1965500.0
2019-11-13,2083500.0
2020-01-31,2092000.0
2018-12-04,2651400.0
2018-11-02,1952900.0
2019-07-16,1948100.0
2018-08-30,2719400.0
2018-10-01,3577700.0
2019-06-14,3003600.0
2019-05-13,2228300.0
2019-04-11,1918800.0
2019-02-06,2498100.0
2019-09-18,3716500.0
2020-02-03,2503000.0
2020-04-22,3760300.0
2019-11-19,2057000.0
2020-02-06,2003200.0
2019-11-22,2372700.0
2019-03-25,2451500.0
2019-02-21,3097800.0
2018-12-19,2451300.0
2018-07-12,2272700.0
2018-09-14,2573900.0
2018-08-13,2903600.0
2018-10-16,1722400.0
2019-07-31,2522900.0
2019-05-28,1862900.0
2019-04-26,3955500.0
2020-04-28,6217400.0
2019-11-25,4161300.0
2020-02-12,3333800.0
2020-05-01,5924200.0
2020-05-04,4953700.0
2019-06-12,2995400.0
2019-04-09,2759100.0
2019-03-08,2736800.0
2019-02-04,3318200.0
2018-07-27,4152700.0
2018-08-28,3179700.0
2019-01-03,3557900.0
2019-08-15,3278200.0
2018-10-31,3897400.0
2019-09-16,4369600.0
2020-02-18,2557600.0
2020-05-07,3699000.0
2018-08-17,2565200.0
2019-12-04,2275600.0
2020-02-21,3514300.0
2018-12-17,2404800.0
2019-08-30,3721700.0
2018-11-15,11019400.0
2019-07-29,6984800.0
2019-06-27,5742500.0
2019-04-24,4260000.0
2018-07-10,2829600.0
2018-09-12,3419100.0
2019-02-19,5513800.0
2019-01-18,4111700.0
2020-02-24,1862600.0
2020-05-13,3143300.0
2019-12-10,2345400.0
2020-02-27,3762900.0
2019-12-13,2665700.0
2020-05-19,6220000.0
2019-03-06,4017000.0
2018-11-30,5797500.0
2019-08-13,5275500.0
2019-07-12,3921200.0
2019-06-10,4528300.0
2019-05-09,4713900.0
2018-07-25,3677300.0
2018-09-27,4008600.0
2018-10-29,5078300.0
2019-10-16,8395800.0
2019-12-16,5150800.0
2020-03-04,5316100.0
2020-05-22,6488200.0
2019-10-01,8960000.0
2019-12-19,3783500.0
2018-09-10,7054700.0
2019-05-24,4973000.0
2018-08-09,4110500.0
2019-04-22,4550000.0
2019-03-21,3999400.0
2019-01-16,4060200.0
2019-08-28,3788300.0
2018-11-13,3152100.0
2018-10-12,2692700.0
2019-06-25,3321400.0
2020-03-10,2808700.0
2020-05-28,3182700.0
2019-10-07,3361700.0
2020-03-13,2911800.0
2019-10-10,15194200.0
2020-03-16,8177000.0
2020-06-03,5650900.0
2018-11-28,4648500.0
2018-09-25,3410700.0
2018-07-23,2631800.0
2018-08-24,3275000.0
2019-07-10,2369600.0
2019-05-07,2694100.0
2019-04-05,2773300.0
2019-03-04,5604500.0
2019-01-31,3174200.0
2019-09-12,2400200.0
2019-12-31,2601000.0
2020-03-19,2063100.0
2020-01-03,2948800.0
2020-06-09,2757500.0
2019-02-15,2056500.0
2019-01-14,2392900.0
2018-07-06,2757300.0
2018-08-07,2865000.0
2018-10-10,3065400.0
2018-12-13,2558200.0
2019-08-26,2266000.0
2019-07-25,2785900.0
2019-05-22,2626600.0
2019-03-19,3032200.0
2020-01-06,2499800.0
2020-03-25,1804200.0
2020-06-12,2964300.0
2019-10-22,2580500.0
2020-01-09,2683600.0
2020-06-15,2338600.0
2019-10-25,2247500.0
2020-03-31,3567800.0
2020-06-18,3162700.0
2019-04-03,2669000.0
2018-08-22,1977400.0
2018-10-25,1904500.0
2019-01-29,1482300.0
2018-12-28,2985200.0
2018-11-26,3354900.0
2019-08-09,3284900.0
2019-07-08,5033500.0
2019-06-06,4031500.0
2019-09-10,5703100.0
2020-01-15,3751000.0
2020-04-03,2910100.0
2019-10-31,2343800.0
2020-04-06,2343400.0
2020-06-24,2632800.0
