Dates,HG=F
2018-06-20,506.0
2018-06-21,382.0
2018-06-25,300.0
2018-06-22,458.0
2018-06-26,560.0
2018-06-27,451.0
2018-06-28,55768.0
2018-06-29,10593.0
2018-07-02,4933.0
2018-07-05,1330.0
2018-07-06,1052.0
2018-07-16,552.0
2018-09-18,875.0
2019-01-24,499.0
2019-09-05,535.0
2018-11-21,551.0
2020-01-13,681.0
2020-04-01,1040.0
2020-06-19,651.0
2019-10-29,663.0
2020-01-16,885.0
2020-06-22,595.0
2018-10-03,779.0
2018-07-31,371.0
2019-03-12,684.0
2019-02-08,626.0
2019-01-07,2207.0
2018-12-06,1098.0
2019-08-19,762.0
2019-07-18,801.0
2019-05-15,616.0
2019-09-20,386.0
2019-11-01,618.0
2020-01-19,526.0
2020-04-07,437.0
2020-06-25,445.0
2020-06-16,263.0
2019-11-04,337.0
2020-01-22,827.0
2020-06-28,936.0
2019-11-07,290.0
2020-04-13,423.0
2019-07-01,688.0
2019-05-30,649.0
2018-08-15,572.0
2018-10-18,797.0
2019-03-27,260.0
2019-01-22,596.0
2018-12-21,420.0
2019-09-03,49669.0
2018-11-19,20088.0
2019-08-02,3247.0
2020-01-28,1369.0
2020-04-16,789.0
2019-11-13,840.0
2020-01-31,910.0
2020-04-19,943.0
2018-12-04,942.0
2018-11-02,614.0
2019-07-16,848.0
2018-08-30,793.0
2018-10-01,607.0
2019-06-14,765.0
2019-05-13,420.0
2019-04-11,545.0
2019-02-06,659.0
2019-09-18,526.0
2020-02-03,1014.0
2020-04-22,2012.0
2019-11-19,1923.0
2020-02-06,668.0
2019-11-22,904.0
2020-02-09,627.0
2019-03-25,291.0
2019-02-21,532.0
2018-12-19,407.0
2018-07-12,514.0
2018-09-14,498.0
2018-08-13,498.0
2018-10-16,290.0
2019-07-31,193.0
2019-05-28,226.0
2019-04-26,221.0
2020-04-28,468.0
2019-11-25,270.0
2020-02-12,519.0
2020-05-01,700.0
2020-05-04,351.0
2019-06-12,254.0
2019-04-09,681.0
2019-03-08,388.0
2019-02-04,971.0
2018-07-27,890.0
2018-08-28,771.0
2019-01-03,1105.0
2019-08-15,787.0
2018-10-31,499.0
2019-09-16,425.0
2020-02-18,671.0
2020-05-07,425.0
2018-08-17,325.0
2019-12-04,302.0
2020-02-21,701.0
2020-05-10,361.0
2018-12-17,277.0
2019-08-30,300.0
2018-11-15,681.0
2019-07-29,434.0
2019-06-27,300.0
2019-04-24,244.0
2018-07-10,267.0
2018-09-12,45923.0
2019-02-19,10656.0
2019-01-18,1793.0
2020-02-24,1624.0
2020-05-13,1186.0
2019-12-10,1124.0
2020-02-27,773.0
2019-12-13,529.0
2020-03-01,576.0
2020-05-19,739.0
2019-03-06,418.0
2018-11-30,813.0
2019-08-13,727.0
2019-07-12,1007.0
2019-06-10,466.0
2019-05-09,402.0
2018-07-25,374.0
2018-09-27,346.0
2018-10-29,599.0
2019-10-16,2189.0
2019-12-16,1533.0
2020-03-04,725.0
2020-05-22,411.0
2019-10-01,257.0
2019-12-19,363.0
2018-09-10,398.0
2019-05-24,330.0
2018-08-09,320.0
2019-04-22,290.0
2019-03-21,381.0
2019-01-16,370.0
2019-08-28,324.0
2018-11-13,380.0
2018-10-12,289.0
2019-06-25,360.0
2020-03-10,393.0
2020-05-28,382.0
2019-10-07,372.0
2020-03-13,484.0
2020-05-31,299.0
2019-10-10,992.0
2020-03-16,613.0
2020-06-03,978.0
2018-11-28,710.0
2018-09-25,684.0
2018-07-23,757.0
2018-08-24,779.0
2019-07-10,764.0
2019-05-07,404.0
2019-04-05,657.0
2019-03-04,420.0
2019-01-31,371.0
2019-09-12,424.0
2019-12-31,347.0
2020-03-19,370.0
2020-01-03,603.0
2020-03-22,311.0
2020-06-09,173.0
2019-02-15,54177.0
2019-01-14,12839.0
2018-08-07,2510.0
2018-10-10,1431.0
2018-12-13,832.0
2019-08-26,970.0
2019-07-25,990.0
2019-05-22,692.0
2019-03-19,875.0
2019-09-27,341.0
2020-01-06,610.0
2020-03-25,570.0
2020-06-12,698.0
2019-10-22,407.0
2020-01-09,319.0
2020-06-15,494.0
2019-10-25,475.0
2020-03-31,351.0
2020-06-18,289.0
2019-04-03,492.0
2018-08-22,634.0
2018-10-25,490.0
2019-01-29,631.0
2018-12-28,386.0
2019-09-10,507.0
2018-11-26,299.0
2019-08-09,390.0
2019-07-08,214.0
2019-06-06,322.0
2020-01-15,226.0
2020-04-03,221.0
2020-03-29,241.0
2020-06-21,255.0
2019-10-31,519.0
2020-04-06,201.0
2020-06-24,237.0
2018-11-09,406.0
