Dates,HLT
2018-06-20,3178800.0
2018-06-21,3822800.0
2018-06-25,2755900.0
2018-06-22,3203000.0
2018-06-26,3457300.0
2018-06-27,3220400.0
2018-06-28,5142900.0
2018-06-29,3544900.0
2018-07-02,3065800.0
2018-07-03,1719600.0
2018-07-05,3350600.0
2018-07-16,2278500.0
2018-09-18,2949900.0
2019-01-24,2915100.0
2019-09-05,3803800.0
2018-11-21,3367900.0
2020-01-13,2124700.0
2020-04-01,2285600.0
2020-06-19,3353300.0
2019-10-29,5303800.0
2020-01-16,2773400.0
2020-06-22,2435600.0
2018-10-03,3686800.0
2018-07-31,4260700.0
2019-03-12,5891600.0
2019-02-08,2774500.0
2019-01-07,2683400.0
2018-12-06,3132200.0
2019-08-19,2744000.0
2019-07-18,2667200.0
2019-05-15,3687600.0
2019-09-20,1969100.0
2019-11-01,3835100.0
2020-04-07,3777900.0
2020-06-25,2935100.0
2020-06-16,3906400.0
2019-11-04,3268300.0
2020-01-22,3066500.0
2019-11-07,2763700.0
2020-04-13,2919400.0
2019-07-01,3373600.0
2019-05-30,1964800.0
2018-08-15,2430700.0
2018-10-18,2324900.0
2019-03-27,2540500.0
2019-01-22,3009600.0
2018-12-21,2149200.0
2019-09-03,1865300.0
2018-11-19,1241700.0
2019-08-02,1831600.0
2020-01-28,1398100.0
2020-04-16,2496900.0
2019-11-13,1887000.0
2020-01-31,3076600.0
2018-12-04,4244200.0
2018-11-02,2974000.0
2019-07-16,2029700.0
2018-08-30,2774900.0
2018-10-01,3110900.0
2019-06-14,3745600.0
2019-05-13,3229500.0
2019-04-11,3395000.0
2019-02-06,2703400.0
2019-09-18,2327500.0
2020-02-03,3516900.0
2020-04-22,6804400.0
2019-11-19,2265300.0
2020-02-06,2533300.0
2019-11-22,2168200.0
2019-03-25,2654100.0
2019-02-21,4263000.0
2018-12-19,4116900.0
2018-07-12,4398400.0
2018-09-14,4619600.0
2018-08-13,4779400.0
2018-10-16,3622200.0
2019-07-31,5211700.0
2019-05-28,6063700.0
2019-04-26,7380600.0
2020-04-28,5937600.0
2019-11-25,3676400.0
2020-02-12,2994000.0
2020-05-01,1927400.0
2020-05-04,1777700.0
2019-06-12,3723200.0
2019-04-09,7482000.0
2019-03-08,4126100.0
2019-02-04,8984600.0
2018-07-27,13473000.0
2018-08-28,11014300.0
2019-01-03,5634300.0
2019-08-15,6077500.0
2018-10-31,3200500.0
2019-09-16,5039300.0
2020-02-18,3044300.0
2020-05-07,2982300.0
2018-08-17,2633100.0
2019-12-04,3991600.0
2020-02-21,2263300.0
2018-12-17,2369400.0
2019-08-30,3249400.0
2018-11-15,4186300.0
2019-07-29,2346600.0
2019-06-27,3790700.0
2019-04-24,4069800.0
2018-07-10,4737900.0
2018-09-12,4401500.0
2019-02-19,5740100.0
2019-01-18,2499500.0
2020-02-24,1095300.0
2020-05-13,3508400.0
2019-12-10,5549600.0
2020-02-27,4285900.0
2019-12-13,1970300.0
2020-05-19,4767500.0
2019-03-06,2836500.0
2018-11-30,4194200.0
2019-08-13,2342900.0
2019-07-12,3067700.0
2019-06-10,3278000.0
2019-05-09,3296400.0
2018-07-25,2004500.0
2018-09-27,1785200.0
2018-10-29,2524300.0
2019-10-16,4462400.0
2019-12-16,2402000.0
2020-03-04,4020800.0
2020-05-22,4862900.0
2019-10-01,5417300.0
2019-12-19,2015800.0
2018-09-10,2606200.0
2019-05-24,2203300.0
2018-08-09,2165800.0
2019-04-22,2138700.0
2019-03-21,3629500.0
2019-01-16,5629200.0
2019-08-28,4110700.0
2018-11-13,3171200.0
2018-10-12,6213000.0
2019-06-25,1760900.0
2020-03-10,2409600.0
2020-05-28,2191200.0
2019-10-07,2943300.0
2020-03-13,2376300.0
2019-10-10,3326000.0
2020-03-16,2579300.0
2020-06-03,2561400.0
2018-11-28,3260500.0
2018-09-25,3359500.0
2018-07-23,2560200.0
2018-08-24,3155900.0
2019-07-10,1919500.0
2019-05-07,1766200.0
2019-04-05,3939200.0
2019-03-04,2533900.0
2019-01-31,3478200.0
2019-09-12,3136600.0
2019-12-31,2088800.0
2020-03-19,2061400.0
2020-01-03,2444900.0
2020-06-09,2723500.0
2019-02-15,3526900.0
2019-01-14,3117400.0
2018-07-06,5722900.0
2018-08-07,3729900.0
2018-10-10,3387400.0
2018-12-13,3863800.0
2019-08-26,4124100.0
2019-07-25,2199600.0
2019-05-22,2639200.0
2019-03-19,2244800.0
2020-01-06,2368600.0
2020-03-25,2241400.0
2020-06-12,1796800.0
2019-10-22,1972000.0
2020-01-09,2265100.0
2020-06-15,1773500.0
2019-10-25,1713400.0
2020-03-31,2269500.0
2020-06-18,1970000.0
2019-04-03,2246300.0
2018-08-22,2266900.0
2018-10-25,2345300.0
2019-01-29,2363100.0
2018-12-28,3775200.0
2018-11-26,1983500.0
2019-08-09,1433000.0
2019-07-08,2879700.0
2019-06-06,2076200.0
2019-09-10,3209500.0
2020-01-15,1488500.0
2020-04-03,3342400.0
2019-10-31,3627200.0
2020-04-06,1977000.0
2020-06-24,2857100.0
2018-11-09,3434400.0
2019-07-23,3389100.0
2019-06-21,2853800.0
2019-05-20,2016100.0
2019-04-18,2618400.0
2018-09-06,1561400.0
2018-10-08,2480400.0
2019-02-13,1039600.0
2018-12-11,1696600.0
2019-09-25,1337400.0
2020-01-21,1371900.0
2020-04-09,1619400.0
2019-11-06,2058900.0
2020-01-24,1717600.0
2020-01-27,2225000.0
2020-04-15,2799300.0
2018-12-26,3268700.0
2019-08-07,1156000.0
2019-06-04,2292300.0
2018-09-21,3069400.0
2018-07-19,4313400.0
2018-08-20,5930600.0
2018-10-23,2553900.0
2019-05-03,2559100.0
2019-04-01,2378800.0
2019-02-28,1894000.0
2019-11-12,2273000.0
2020-01-30,1773700.0
2019-11-15,1782300.0
2020-04-21,1929200.0
2019-04-16,2260200.0
2019-03-15,2264700.0
2019-02-11,1600700.0
2019-01-10,1710200.0
2019-08-22,2462800.0
2018-11-07,2499700.0
2018-08-03,1380700.0
2018-09-04,5317800.0
2019-06-19,2685200.0
2019-09-23,1923800.0
2019-11-18,2052100.0
2020-02-05,1598100.0
2020-04-24,1954200.0
2019-03-29,2651300.0
2019-11-21,2278200.0
2020-04-27,1777200.0
2020-02-11,1376200.0
2020-04-30,1783000.0
2019-05-01,1845300.0
2019-02-26,1108700.0
2019-01-25,894500.0
2018-12-24,1124100.0
2019-09-06,887000.0
2018-07-17,950400.0
2018-09-19,1642200.0
2019-08-05,1561900.0
2019-10-08,2170700.0
2019-12-11,2108000.0
2019-11-27,1289100.0
2020-02-14,2320900.0
2020-05-06,1636600.0
2019-01-08,1568500.0
2018-12-07,3600300.0
2019-08-20,2980600.0
2018-11-05,2873200.0
2019-07-19,1150700.0
2018-10-04,1203200.0
2019-06-17,1782000.0
2019-05-16,2068100.0
2018-08-01,2222200.0
2019-03-13,1477200.0
2019-12-03,2715700.0
2020-02-20,1975500.0
2019-12-06,3338700.0
2020-05-12,1847900.0
2019-12-09,1729400.0
2020-02-26,3074300.0
2020-05-15,3080700.0
2019-03-28,3851400.0
2018-09-17,2982600.0
2018-08-16,2059300.0
2018-10-19,1914900.0
2019-04-29,1868500.0
2019-01-23,984300.0
2019-09-04,2279400.0
2018-11-20,1874000.0
2019-07-02,1756000.0
2019-05-31,3022500.0
2019-12-12,3267600.0
2020-05-18,2550000.0
2019-09-27,1947000.0
2020-03-03,1459500.0
2020-05-21,1267800.0
2019-05-14,1970800.0
2018-08-31,2561500.0
2018-07-30,2171300.0
2018-10-02,1433900.0
2019-04-12,1057000.0
2019-03-11,2397500.0
2019-02-07,1750300.0
2019-07-17,1616900.0
2019-09-19,2188000.0
2019-10-21,1336300.0
2019-12-18,2376900.0
2020-03-06,1171700.0
2019-10-03,945500.0
2020-03-09,1165000.0
2020-05-27,1507600.0
2019-12-24,997600.0
2020-03-12,1075200.0
2018-12-20,1061600.0
2019-08-01,1375800.0
2018-08-14,1880200.0
2018-07-13,2139900.0
2018-10-17,1365800.0
2019-05-29,1567400.0
2019-03-26,1896100.0
2019-02-22,944300.0
2019-10-04,1010400.0
2019-11-05,1185100.0
2019-12-27,3093500.0
2020-06-02,1456200.0
2019-12-30,2320900.0
2020-03-18,1191600.0
2020-06-05,1658800.0
2019-07-15,1349500.0
2018-12-03,2007400.0
2019-06-13,2008900.0
2019-01-04,1962900.0
2018-08-29,1827500.0
2019-02-05,1606300.0
2018-11-01,2088300.0
2019-08-16,2141400.0
2019-04-10,1680600.0
2019-09-17,1953200.0
2019-10-15,2760900.0
2020-01-02,1274700.0
2020-06-08,1664900.0
2019-10-18,1098100.0
2020-03-24,1687900.0
2020-06-11,2708700.0
2020-01-08,1743700.0
2019-04-25,2205800.0
2019-07-30,4029200.0
2019-02-20,2809600.0
2018-07-11,1542400.0
2018-09-13,1267100.0
2018-10-15,1067300.0
2019-06-28,1087000.0
2018-12-18,1498400.0
2018-11-16,1714400.0
2019-10-02,1311800.0
2020-03-27,1703200.0
2020-01-10,1135200.0
2019-10-24,1261800.0
2020-03-30,938800.0
2020-06-17,861900.0
2020-01-14,856600.0
2020-04-02,2305000.0
2019-01-02,970300.0
2019-08-14,2089900.0
2018-10-30,1613700.0
2019-06-11,833300.0
2019-05-10,983400.0
2019-04-08,954900.0
2018-08-27,2138800.0
2018-07-26,1799000.0
2018-09-28,1955800.0
2019-03-07,1656600.0
2019-10-30,764600.0
2020-01-17,1781500.0
2020-06-23,1449600.0
2020-04-08,1114200.0
2020-06-26,1096800.0
2019-03-22,1026000.0
2019-01-17,1404600.0
2019-08-29,1329100.0
2018-11-14,1453700.0
2019-06-26,1421800.0
2018-09-11,1286600.0
2018-07-09,2516700.0
2018-08-10,2109000.0
2019-04-23,2524300.0
2019-09-30,1935700.0
2020-01-23,3343700.0
2019-11-08,1495800.0
2020-04-14,436700.0
2019-11-11,1268300.0
2020-01-29,890200.0
2020-04-17,953200.0
2018-07-24,1327800.0
2018-09-26,2014600.0
2019-05-08,1854500.0
2019-03-05,1821800.0
2019-02-01,1498900.0
2018-12-31,2741600.0
2018-11-29,1596200.0
2019-08-12,1296300.0
2019-07-11,1573900.0
2019-09-13,1233200.0
2019-11-14,1316100.0
2020-04-20,1217100.0
2020-02-04,2512600.0
2020-04-23,4031800.0
2018-12-14,1716600.0
2019-08-27,1607100.0
2018-08-08,2105300.0
2018-10-11,4149700.0
2018-11-12,2062400.0
2019-07-26,1854200.0
2019-06-24,2389300.0
2019-05-23,3606700.0
2019-03-20,2097700.0
2019-01-15,1689500.0
2019-11-20,2144000.0
2020-02-07,1477600.0
2020-02-10,1371200.0
2020-04-29,2028600.0
2019-11-26,2388600.0
2020-02-13,1891100.0
2019-01-30,1396000.0
2018-08-23,948900.0
2018-09-24,1805100.0
2018-11-27,1543300.0
2018-10-26,1165300.0
2019-07-09,1716100.0
2019-06-07,4565200.0
2019-05-06,5490900.0
2019-04-04,6110500.0
2019-09-11,7692700.0
2019-11-29,6129200.0
2020-05-05,4791400.0
2019-12-02,6433300.0
2020-02-19,7065200.0
2020-05-08,9044900.0
2019-05-21,6450400.0
2019-03-18,7335700.0
2018-09-07,5472100.0
2018-08-06,9833200.0
2018-10-09,11501200.0
2019-02-14,8068300.0
2018-12-12,8647000.0
2019-07-24,10971800.0
2019-09-26,18610500.0
2019-10-28,13086300.0
2019-12-05,11377400.0
2020-05-11,11003500.0
2019-07-03,9956100.0
2020-02-25,7695500.0
2020-05-14,7410400.0
2020-02-28,5784100.0
2019-08-08,5064200.0
2019-06-05,5160600.0
2018-07-20,5743000.0
2018-08-21,7930200.0
2018-10-24,7232900.0
2019-04-02,9128500.0
2019-03-01,7903000.0
2019-01-28,8521200.0
2018-12-27,7537400.0
2019-09-09,4020700.0
2020-03-02,4575800.0
2020-05-20,5803000.0
2019-12-17,4772000.0
2020-03-05,4952800.0
2019-02-12,4815400.0
2019-01-11,3139100.0
2018-12-10,2710400.0
2019-08-23,2246100.0
2018-11-08,1954000.0
2019-07-22,2558000.0
2019-06-20,3003500.0
2018-09-05,6174000.0
2019-04-17,4381700.0
2019-09-24,3693400.0
2019-12-20,4295300.0
2020-05-26,3066900.0
2019-04-30,3838800.0
2019-12-23,4737500.0
2020-03-11,8489600.0
2020-05-29,5531200.0
2019-12-26,3176800.0
2020-06-01,4944400.0
2019-05-02,6036700.0
2019-02-27,2331000.0
2018-11-23,6424900.0
2019-08-06,3955000.0
2018-07-18,3522000.0
2018-09-20,4794500.0
2018-10-22,2822700.0
2019-07-05,3879800.0
2019-06-03,5166800.0
2019-10-09,3368600.0
2019-10-11,3923800.0
2020-03-17,2374600.0
2020-06-04,3138800.0
2019-10-14,3624900.0
2020-03-20,3503000.0
2018-11-06,6686200.0
2019-06-18,4554100.0
2019-05-17,3086700.0
2019-04-15,3943100.0
2019-03-14,5266500.0
2019-01-09,4731700.0
2018-08-02,3402900.0
2018-10-05,3103900.0
2019-08-21,3457400.0
2019-10-17,3899000.0
2020-03-23,4260900.0
2020-06-10,1949500.0
2019-02-25,3956900.0
2020-01-07,3776700.0
2020-03-26,3999700.0
2019-10-23,9989300.0
