Dates,HSIC
2018-06-20,1415300.0
2018-06-21,1946400.0
2018-06-25,5502700.0
2018-06-22,2300400.0
2018-06-26,2236600.0
2018-06-27,1968800.0
2018-06-28,2203300.0
2018-06-29,1770900.0
2018-07-02,1573200.0
2018-07-03,765200.0
2018-07-05,1714200.0
2018-07-16,1256000.0
2018-09-18,3877600.0
2019-01-24,1278000.0
2019-09-05,1589100.0
2018-11-21,1136600.0
2020-01-13,872900.0
2020-04-01,881600.0
2020-06-19,837400.0
2019-10-29,1176400.0
2020-01-16,1873900.0
2020-06-22,919200.0
2018-10-03,1262500.0
2018-07-31,1096500.0
2019-03-12,889100.0
2019-02-08,880700.0
2019-01-07,1071300.0
2018-12-06,1880700.0
2019-08-19,1867800.0
2019-07-18,1325300.0
2019-05-15,857900.0
2019-09-20,3092700.0
2019-11-01,4289300.0
2020-04-07,2586700.0
2020-06-25,1373600.0
2020-06-16,1421100.0
2019-11-04,1312800.0
2020-01-22,1425500.0
2019-11-07,1705600.0
2020-04-13,1651500.0
2019-07-01,1103800.0
2019-05-30,1925800.0
2018-08-15,1165400.0
2018-10-18,946900.0
2019-03-27,1475600.0
2019-01-22,743700.0
2018-12-21,1225500.0
2019-09-03,1194000.0
2018-11-19,1487700.0
2019-08-02,1412400.0
2020-01-28,2995600.0
2020-04-16,1769800.0
2019-11-13,1530500.0
2020-01-31,2589000.0
2018-12-04,1926200.0
2018-11-02,1477200.0
2019-07-16,561300.0
2018-08-30,1022400.0
2018-10-01,1303400.0
2019-06-14,1120200.0
2019-05-13,1134600.0
2019-04-11,1113900.0
2019-02-06,1330400.0
2019-09-18,924600.0
2020-02-03,1222800.0
2020-04-22,2058100.0
2019-11-19,1607300.0
2020-02-06,1074300.0
2019-11-22,3145100.0
2019-03-25,1204300.0
2019-02-21,1445000.0
2018-12-19,2482400.0
2018-07-12,1552800.0
2018-09-14,1197700.0
2018-08-13,1449200.0
2018-10-16,3695200.0
2019-07-31,3925000.0
2019-05-28,1357200.0
2019-04-26,2289000.0
2020-04-28,2244100.0
2019-11-25,2035100.0
2020-02-12,1767900.0
2020-05-01,3028100.0
2020-05-04,1734700.0
2019-06-12,3112600.0
2019-04-09,1704900.0
2019-03-08,1259300.0
2019-02-04,1638300.0
2018-07-27,1400200.0
2018-08-28,2028200.0
2019-01-03,2273100.0
2019-08-15,1617400.0
2018-10-31,2259100.0
2019-09-16,2123500.0
2020-02-18,1367500.0
2020-05-07,2204000.0
2018-08-17,1961800.0
2019-12-04,3683900.0
2020-02-21,2252200.0
2018-12-17,1703900.0
2019-08-30,1698300.0
2018-11-15,791500.0
2019-07-29,1159300.0
2019-06-27,1404200.0
2019-04-24,1197200.0
2018-07-10,1580100.0
2018-09-12,1473100.0
2019-02-19,1426300.0
2019-01-18,971800.0
2020-02-24,570300.0
2020-05-13,1882900.0
2019-12-10,2442500.0
2020-02-27,1427700.0
2019-12-13,1561800.0
2020-05-19,2654600.0
2019-03-06,1652100.0
2018-11-30,2432100.0
2019-08-13,3457400.0
2019-07-12,1783400.0
2019-06-10,1576000.0
2019-05-09,2028500.0
2018-07-25,2351300.0
2018-09-27,1893300.0
2018-10-29,2078700.0
2019-10-16,2276600.0
2019-12-16,2546500.0
2020-03-04,2020700.0
2020-05-22,1988200.0
2019-10-01,3767400.0
2019-12-19,951200.0
2018-09-10,1444900.0
2019-05-24,1753300.0
2018-08-09,1576000.0
2019-04-22,1688700.0
2019-03-21,2574600.0
2019-01-16,1912200.0
2019-08-28,2518300.0
2018-11-13,1649900.0
2018-10-12,1875500.0
2019-06-25,2820900.0
2020-03-10,4417300.0
2020-05-28,1938300.0
2019-10-07,1855500.0
2020-03-13,2436300.0
2019-10-10,2064200.0
2020-03-16,2645700.0
2020-06-03,1725900.0
2018-11-28,2331000.0
2018-09-25,1840000.0
2018-07-23,1494900.0
2018-08-24,1241300.0
2019-07-10,1259100.0
2019-05-07,1749600.0
2019-04-05,1277100.0
2019-03-04,2708000.0
2019-01-31,1638600.0
2019-09-12,2246000.0
2019-12-31,2777500.0
2020-03-19,2035200.0
2020-01-03,2482400.0
2020-06-09,5749600.0
2019-02-15,3426500.0
2019-01-14,3339200.0
2018-07-06,3184900.0
2018-08-07,1671300.0
2018-10-10,2440000.0
2018-12-13,2288300.0
2019-08-26,4887800.0
2019-07-25,3789200.0
2019-05-22,2341900.0
2019-03-19,1443000.0
2020-01-06,1995200.0
2020-03-25,2632100.0
2020-06-12,3103100.0
2019-10-22,1692700.0
2020-01-09,1606400.0
2020-06-15,1747100.0
2019-10-25,1037800.0
2020-03-31,3897200.0
2020-06-18,2496600.0
2019-04-03,1963400.0
2018-08-22,983900.0
2018-10-25,1118600.0
2019-01-29,1710500.0
2018-12-28,2136400.0
2018-11-26,1379200.0
2019-08-09,1051200.0
2019-07-08,768200.0
2019-06-06,916000.0
2019-09-10,1159200.0
2020-01-15,986700.0
2020-04-03,1191900.0
2019-10-31,1114700.0
2020-04-06,922300.0
