Dates,IDXX
2018-06-20,245500.0
2018-06-21,255800.0
2018-06-25,520100.0
2018-06-22,401800.0
2018-06-26,428700.0
2018-06-27,416300.0
2018-06-28,314400.0
2018-06-29,475400.0
2018-07-02,325500.0
2018-07-03,234000.0
2018-07-05,407300.0
2018-07-16,346300.0
2018-09-18,540200.0
2019-01-24,684400.0
2019-09-05,416500.0
2018-11-21,329600.0
2020-01-13,198700.0
2020-04-01,253700.0
2020-06-19,340800.0
2019-10-29,300800.0
2020-01-16,380600.0
2020-06-22,539500.0
2018-10-03,369300.0
2018-07-31,474600.0
2019-03-12,484000.0
2019-02-08,331800.0
2019-01-07,513800.0
2018-12-06,619100.0
2019-08-19,537300.0
2019-07-18,1092300.0
2019-05-15,521700.0
2019-09-20,440800.0
2019-11-01,357900.0
2020-04-07,515500.0
2020-06-25,545600.0
2020-06-16,380300.0
2019-11-04,299000.0
2020-01-22,384300.0
2019-11-07,316200.0
2020-04-13,286300.0
2019-07-01,302900.0
2019-05-30,309300.0
2018-08-15,480100.0
2018-10-18,392000.0
2019-03-27,304000.0
2019-01-22,408700.0
2018-12-21,497100.0
2019-09-03,492400.0
2018-11-19,309200.0
2019-08-02,449900.0
2020-01-28,307400.0
2020-04-16,374800.0
2019-11-13,526300.0
2020-01-31,734400.0
2018-12-04,511500.0
2018-11-02,379200.0
2019-07-16,508200.0
2018-08-30,641000.0
2018-10-01,343500.0
2019-06-14,362700.0
2019-05-13,320300.0
2019-04-11,377500.0
2019-02-06,543000.0
2019-09-18,509200.0
2020-02-03,713800.0
2020-04-22,668700.0
2019-11-19,345700.0
2020-02-06,293700.0
2019-11-22,309700.0
2019-03-25,411200.0
2019-02-21,383100.0
2018-12-19,272900.0
2018-07-12,473800.0
2018-09-14,434100.0
2018-08-13,643300.0
2018-10-16,496500.0
2019-07-31,667700.0
2019-05-28,567900.0
2019-04-26,591400.0
2020-04-28,531300.0
2019-11-25,850100.0
2020-02-12,390300.0
2020-05-01,335900.0
2020-05-04,486900.0
2019-06-12,518700.0
2019-04-09,486900.0
2019-03-08,428200.0
2019-02-04,498900.0
2018-07-27,655100.0
2018-08-28,580100.0
2019-01-03,1205600.0
2019-08-15,688400.0
2018-10-31,683500.0
2019-09-16,831300.0
2020-02-18,1582400.0
2020-05-07,1044500.0
2018-08-17,626300.0
2019-12-04,572300.0
2020-02-21,551300.0
2018-12-17,508000.0
2019-08-30,464300.0
2018-11-15,463500.0
2019-07-29,533000.0
2019-06-27,390500.0
2019-04-24,449100.0
2018-07-10,530000.0
2018-09-12,576900.0
2019-02-19,535800.0
2019-01-18,438400.0
2020-02-24,152400.0
2020-05-13,427100.0
2019-12-10,406500.0
2020-02-27,487300.0
2019-12-13,408200.0
2020-05-19,516100.0
2019-03-06,519900.0
2018-11-30,822300.0
2019-08-13,860300.0
2019-07-12,621700.0
2019-06-10,591800.0
2019-05-09,500300.0
2018-07-25,430400.0
2018-09-27,444700.0
2018-10-29,545500.0
2019-10-16,800500.0
2019-12-16,617600.0
2020-03-04,621800.0
2020-05-22,1102900.0
2019-10-01,1351100.0
2019-12-19,445900.0
2018-09-10,455100.0
2019-05-24,647800.0
2018-08-09,542800.0
2019-04-22,680500.0
2019-03-21,550200.0
2019-01-16,560300.0
2019-08-28,892200.0
2018-11-13,648700.0
2018-10-12,544400.0
2019-06-25,575000.0
2020-03-10,303300.0
2020-05-28,355600.0
2019-10-07,509700.0
2020-03-13,586600.0
2019-10-10,995200.0
2020-03-16,472100.0
2020-06-03,796300.0
2018-11-28,473100.0
2018-09-25,369700.0
2018-07-23,617900.0
2018-08-24,483800.0
2019-07-10,424100.0
2019-05-07,475100.0
2019-04-05,515600.0
2019-03-04,674800.0
2019-01-31,1292700.0
2019-09-12,533900.0
2019-12-31,673500.0
2020-03-19,504400.0
2020-01-03,435300.0
2020-06-09,374700.0
2019-02-15,343000.0
2019-01-14,348000.0
2018-07-06,382700.0
2018-08-07,613700.0
2018-10-10,438600.0
2018-12-13,484200.0
2019-08-26,515000.0
2019-07-25,651600.0
2019-05-22,420500.0
2019-03-19,492800.0
2020-01-06,427100.0
2020-03-25,279000.0
2020-06-12,630100.0
2019-10-22,520200.0
2020-01-09,637600.0
