Dates,INCY
2018-06-20,1914700.0
2018-06-21,2367500.0
2018-06-25,1980200.0
2018-06-22,1821400.0
2018-06-26,4109500.0
2018-06-27,1663900.0
2018-06-28,2389700.0
2018-06-29,1623800.0
2018-07-02,1554500.0
2018-07-03,858500.0
2018-07-05,720700.0
2018-07-16,1501500.0
2018-09-18,2813100.0
2019-01-24,1378100.0
2019-09-05,1418700.0
2018-11-21,1503900.0
2020-01-13,1176300.0
2020-04-01,1139400.0
2020-06-19,2257600.0
2019-10-29,1316900.0
2020-01-16,1321200.0
2020-06-22,1040400.0
2018-10-03,1090500.0
2018-07-31,1359600.0
2019-03-12,1148400.0
2019-02-08,1109100.0
2019-01-07,1268400.0
2018-12-06,1640600.0
2019-08-19,2572100.0
2019-07-18,2055300.0
2019-05-15,2430300.0
2019-09-20,2115300.0
2019-11-01,2208800.0
2020-04-07,2091500.0
2020-06-25,2667000.0
2020-06-16,1608300.0
2019-11-04,1022700.0
2020-01-22,1336500.0
2019-11-07,1413300.0
2020-04-13,1896300.0
2019-07-01,1152800.0
2019-05-30,1233800.0
2018-08-15,1433300.0
2018-10-18,1738600.0
2019-03-27,810800.0
2019-01-22,1871500.0
2018-12-21,1936200.0
2019-09-03,1831200.0
2018-11-19,1478400.0
2019-08-02,1438100.0
2020-01-28,671900.0
2020-04-16,905100.0
2019-11-13,1014900.0
2020-01-31,887700.0
2018-12-04,1233400.0
2018-11-02,1708200.0
2019-07-16,1294400.0
2018-08-30,2375000.0
2018-10-01,1363900.0
2019-06-14,1205000.0
2019-05-13,957900.0
2019-04-11,1141400.0
2019-02-06,760100.0
2019-09-18,918700.0
2020-02-03,1150400.0
2020-04-22,1992800.0
2019-11-19,1093700.0
2020-02-06,1067200.0
2019-11-22,1841900.0
2019-03-25,971700.0
2019-02-21,1312900.0
2018-12-19,900400.0
2018-07-12,1065200.0
2018-09-14,874000.0
2018-08-13,1378000.0
2018-10-16,1302400.0
2019-07-31,1396600.0
2019-05-28,887600.0
2019-04-26,1477800.0
2020-04-28,2194900.0
2019-11-25,1689900.0
2020-02-12,1151800.0
2020-05-01,1483200.0
2020-05-04,2128300.0
2019-06-12,1163200.0
2019-04-09,1635800.0
2019-03-08,1055800.0
2019-02-04,1176000.0
2018-07-27,2541000.0
2018-08-28,1884100.0
2019-01-03,1625500.0
2019-08-15,1609900.0
2018-10-31,5709800.0
2019-09-16,2474400.0
2020-02-18,1776700.0
2020-05-07,1577700.0
2018-08-17,1184200.0
2019-12-04,1154400.0
2020-02-21,1606400.0
2018-12-17,1138400.0
2019-08-30,1326000.0
2018-11-15,2228600.0
2019-07-29,1524900.0
2019-06-27,2388700.0
2019-04-24,1305800.0
2018-07-10,1172300.0
2018-09-12,1684600.0
2019-02-19,1264600.0
2019-01-18,976500.0
2020-02-24,688300.0
2020-05-13,1170600.0
2019-12-10,1284400.0
2020-02-27,1906600.0
2019-12-13,1469100.0
2020-05-19,2849200.0
2019-03-06,2691300.0
2018-11-30,1963200.0
2019-08-13,1565500.0
2019-07-12,1258200.0
2019-06-10,1192600.0
2019-05-09,901800.0
2018-07-25,1093200.0
2018-09-27,1182100.0
2018-10-29,1184900.0
2019-10-16,1394500.0
2019-12-16,1707700.0
2020-03-04,1753800.0
2020-05-22,1733400.0
2019-10-01,3337600.0
2019-12-19,1000700.0
2018-09-10,1388500.0
2019-05-24,1173000.0
2018-08-09,1027600.0
2019-04-22,1074800.0
2019-03-21,1429600.0
2019-01-16,3760400.0
2019-08-28,2936600.0
2018-11-13,2347500.0
2018-10-12,2683000.0
2019-06-25,1762800.0
2020-03-10,1838900.0
2020-05-28,1199500.0
2019-10-07,1551300.0
2020-03-13,2630600.0
2019-10-10,2228800.0
2020-03-16,2411200.0
2020-06-03,2033500.0
2018-11-28,1581700.0
2018-09-25,1621200.0
2018-07-23,1855000.0
2018-08-24,2585700.0
2019-07-10,2326500.0
2019-05-07,1140800.0
2019-04-05,772300.0
2019-03-04,896400.0
2019-01-31,1644600.0
2019-09-12,1250000.0
2019-12-31,971600.0
2020-03-19,791800.0
2020-01-03,1182500.0
2020-06-09,994300.0
2019-02-15,1137800.0
2019-01-14,1988400.0
2018-07-06,1381200.0
2018-08-07,3009400.0
2018-10-10,1904400.0
2018-12-13,1149300.0
2019-08-26,1224800.0
2019-07-25,950400.0
2019-05-22,1208600.0
2019-03-19,1650500.0
2020-01-06,755000.0
2020-03-25,1000000.0
2020-06-12,1056400.0
2019-10-22,1086600.0
2020-01-09,1481200.0
2020-06-15,915800.0
2019-10-25,818700.0
2020-03-31,980600.0
2020-06-18,869400.0
2019-04-03,1256400.0
2018-08-22,758500.0
2018-10-25,1137800.0
2019-01-29,1638300.0
2018-12-28,1835900.0
2018-11-26,898400.0
2019-08-09,852800.0
2019-07-08,978700.0
2019-06-06,819200.0
2019-09-10,1531900.0
2020-01-15,846100.0
2020-04-03,892500.0
2019-10-31,972600.0
2020-04-06,855000.0
2020-06-24,1199800.0
2018-11-09,969500.0
2019-07-23,1169100.0
2019-06-21,2420600.0
2019-05-20,1243800.0
2019-04-18,1825700.0
