Dates,INTU
2018-06-20,1235800.0
2018-06-21,1693500.0
2018-06-25,2316100.0
2018-06-22,2058200.0
2018-06-26,1638000.0
2018-06-27,1276400.0
2018-06-28,1467800.0
2018-06-29,1268100.0
2018-07-02,1974400.0
2018-07-03,776700.0
2018-07-05,1341800.0
2018-07-16,1384200.0
2018-09-18,1109400.0
2019-01-24,998300.0
2019-09-05,966800.0
2018-11-21,1656900.0
2020-01-13,870300.0
2020-04-01,623300.0
2020-06-19,725800.0
2019-10-29,878500.0
2020-01-16,1136000.0
2020-06-22,776100.0
2018-10-03,770200.0
2018-07-31,966500.0
2019-03-12,1338700.0
2019-02-08,1062900.0
2019-01-07,1284100.0
2018-12-06,1780000.0
2019-08-19,2225500.0
2019-07-18,1264700.0
2019-05-15,1427900.0
2019-09-20,936100.0
2019-11-01,936000.0
2020-04-07,1221400.0
2020-06-25,808900.0
2020-06-16,812900.0
2019-11-04,918100.0
2020-01-22,995500.0
2019-11-07,1065400.0
2020-04-13,952100.0
2019-07-01,958300.0
2019-05-30,2001200.0
2018-08-15,2210600.0
2018-10-18,2091500.0
2019-03-27,1797400.0
2019-01-22,2073500.0
2018-12-21,2736600.0
2019-09-03,2418600.0
2018-11-19,1618900.0
2019-08-02,1517100.0
2020-01-28,1246800.0
2020-04-16,1341100.0
2019-11-13,1200600.0
2020-01-31,1837100.0
2018-12-04,1456700.0
2018-11-02,1604600.0
2019-07-16,1567400.0
2018-08-30,1595300.0
2018-10-01,1001000.0
2019-06-14,1543200.0
2019-05-13,1434400.0
2019-04-11,1515300.0
2019-02-06,1331100.0
2019-09-18,2072200.0
2020-02-03,1366000.0
2020-04-22,5539700.0
2019-11-19,1505500.0
2020-02-06,2041500.0
2019-11-22,1452500.0
2019-03-25,890700.0
2019-02-21,1593400.0
2018-12-19,1110400.0
2018-07-12,1276100.0
2018-09-14,1646400.0
2018-08-13,1533700.0
2018-10-16,1343000.0
2019-07-31,1842100.0
2019-05-28,1721900.0
2019-04-26,2826000.0
2020-04-28,2918800.0
2019-11-25,2602200.0
2020-02-12,1220200.0
2020-05-01,1591000.0
2020-05-04,2167000.0
2019-06-12,1727400.0
2019-04-09,1725900.0
2019-03-08,1334800.0
2019-02-04,1591300.0
2018-07-27,1533000.0
2018-08-28,1367400.0
2019-01-03,1399400.0
2019-08-15,1534300.0
2018-10-31,1486900.0
2019-09-16,1589600.0
2020-02-18,1411600.0
2020-05-07,2165800.0
2018-08-17,1361300.0
2019-12-04,1228300.0
2020-02-21,1146400.0
2018-12-17,920600.0
2019-08-30,1588100.0
2018-11-15,1651800.0
2019-07-29,1569800.0
2019-06-27,1189400.0
2019-04-24,1342800.0
2018-07-10,1606200.0
2018-09-12,3277600.0
2019-02-19,4439900.0
2019-01-18,2578600.0
2020-02-24,1622700.0
2020-05-13,2151400.0
2019-12-10,1781400.0
2020-02-27,2284600.0
2019-12-13,1899500.0
2020-05-19,2692500.0
2019-03-06,2120200.0
