Dates,IRM
2018-06-20,1420800.0
2018-06-21,1177900.0
2018-06-25,2155300.0
2018-06-22,1324500.0
2018-06-26,1488000.0
2018-06-27,1597800.0
2018-06-28,1232700.0
2018-06-29,2026200.0
2018-07-02,1487400.0
2018-07-03,840900.0
2018-07-05,2285200.0
2018-07-16,973800.0
2018-09-18,2012500.0
2019-01-24,1453600.0
2019-09-05,1345600.0
2018-11-21,2108200.0
2020-01-13,1437600.0
2020-04-01,1231500.0
2020-06-19,3455200.0
2019-10-29,2346600.0
2020-01-16,1761400.0
2020-06-22,1328100.0
2018-10-03,994800.0
2018-07-31,1456700.0
2019-03-12,1193600.0
2019-02-08,1496600.0
2019-01-07,4936400.0
2018-12-06,3275500.0
2019-08-19,5369100.0
2019-07-18,2493500.0
2019-05-15,1323200.0
2019-09-20,1576200.0
2019-11-01,1387100.0
2020-04-07,1514400.0
2020-06-25,1200100.0
2020-06-16,1766700.0
2019-11-04,2499600.0
2020-01-22,1952800.0
2019-11-07,1303200.0
2020-04-13,1107700.0
2019-07-01,958500.0
2019-05-30,1026900.0
2018-08-15,695400.0
2018-10-18,1045200.0
2019-03-27,742400.0
2019-01-22,1055300.0
2018-12-21,872800.0
2019-09-03,1154800.0
2018-11-19,1370600.0
2019-08-02,939900.0
2020-01-28,1145500.0
2020-04-16,1212600.0
2019-11-13,1551000.0
2020-01-31,1226800.0
2018-12-04,1312600.0
2018-11-02,1748800.0
2019-07-16,2127600.0
2018-08-30,1225900.0
2018-10-01,1585900.0
2019-06-14,1769900.0
2019-05-13,1510500.0
2019-04-11,1337200.0
2019-02-06,1415600.0
2019-09-18,2040900.0
2020-02-03,1844900.0
2020-04-22,2845600.0
2019-11-19,1314400.0
2020-02-06,1416500.0
2019-11-22,1261300.0
2019-03-25,1188400.0
2019-02-21,1713400.0
2018-12-19,2099100.0
2018-07-12,1132300.0
2018-09-14,1487300.0
2018-08-13,1467700.0
2018-10-16,1541000.0
2019-07-31,1475400.0
2019-05-28,1325100.0
2019-04-26,2901200.0
2020-04-28,3900800.0
2019-11-25,3135200.0
2020-02-12,2365000.0
2020-05-01,2070400.0
2020-05-04,1636700.0
2019-06-12,2842700.0
2019-04-09,2484100.0
2019-03-08,1593500.0
2019-02-04,1654500.0
2018-07-27,2170400.0
2018-08-28,4212200.0
2019-01-03,5514300.0
2019-08-15,3100200.0
2018-10-31,2293700.0
2019-09-16,2844200.0
2020-02-18,1964000.0
2020-05-07,1910600.0
2018-08-17,1223100.0
2019-12-04,1358000.0
2020-02-21,1183400.0
2018-12-17,1228600.0
2019-08-30,1762700.0
2018-11-15,1628500.0
2019-07-29,1453800.0
2019-06-27,2448000.0
2019-04-24,2204700.0
2018-07-10,2995500.0
2018-09-12,1595000.0
2019-02-19,2065700.0
2019-01-18,1898800.0
2020-02-24,794700.0
2020-05-13,2045400.0
2019-12-10,1187100.0
2020-02-27,1207000.0
2019-12-13,1354100.0
2020-05-19,2087200.0
2019-03-06,2082400.0
2018-11-30,1976600.0
2019-08-13,2542500.0
2019-07-12,1600000.0
2019-06-10,1394000.0
2019-05-09,1792700.0
2018-07-25,1786800.0
2018-09-27,2455600.0
2018-10-29,2563400.0
2019-10-16,2751300.0
2019-12-16,2887100.0
2020-03-04,2155000.0
2020-05-22,2849200.0
2019-10-01,3856900.0
2019-12-19,1484700.0
2018-09-10,2226700.0
2019-05-24,1890200.0
2018-08-09,1794100.0
2019-04-22,1380900.0
2019-03-21,2250000.0
2019-01-16,1889100.0
2019-08-28,1693600.0
2018-11-13,1796800.0
2018-10-12,1804600.0
2019-06-25,1525900.0
2020-03-10,1305500.0
2020-05-28,1291000.0
2019-10-07,1209700.0
2020-03-13,1620800.0
2019-10-10,1196100.0
2020-03-16,1412000.0
2020-06-03,1676700.0
2018-11-28,2496300.0
2018-09-25,1446700.0
2018-07-23,1399800.0
2018-08-24,1609800.0
2019-07-10,1385900.0
2019-05-07,1842000.0
2019-04-05,2302300.0
2019-03-04,2633400.0
2019-01-31,2029300.0
2019-09-12,1898900.0
2019-12-31,1994700.0
2020-03-19,1593100.0
2020-01-03,1716500.0
2020-06-09,1772400.0
2019-02-15,2627100.0
2019-01-14,2355100.0
2018-07-06,2570100.0
2018-08-07,4898300.0
2018-10-10,3105200.0
2018-12-13,3794500.0
2019-08-26,3860700.0
2019-07-25,2819300.0
2019-05-22,2810600.0
2019-03-19,3057500.0
2020-01-06,1788500.0
2020-03-25,1821800.0
2020-06-12,3160400.0
2019-10-22,2274700.0
2020-01-09,2239900.0
2020-06-15,2519100.0
2019-10-25,2193500.0
2020-03-31,2771800.0
2020-06-18,1768000.0
2019-04-03,2544100.0
2018-08-22,2636400.0
2018-10-25,2145800.0
2019-01-29,1784700.0
2018-12-28,2424000.0
2018-11-26,1501200.0
2019-08-09,1689200.0
2019-07-08,1899200.0
2019-06-06,2493000.0
2019-09-10,3093700.0
2020-01-15,2457300.0
2020-04-03,2906400.0
2019-10-31,1447800.0
2020-04-06,1866700.0
2020-06-24,2099600.0
2018-11-09,2115300.0
2019-07-23,1805800.0
2019-06-21,1378200.0
2019-05-20,961100.0
2019-04-18,1741100.0
2018-09-06,1152600.0
2018-10-08,1262900.0
2019-02-13,844200.0
2018-12-11,1001800.0
2019-09-25,1291300.0
2020-01-21,1205000.0
2020-04-09,1628600.0
2019-11-06,1369000.0
2020-01-24,1822300.0
2020-01-27,2750500.0
2020-04-15,2134400.0
2018-12-26,2810900.0
2019-08-07,9957300.0
2019-06-04,6279600.0
2018-09-21,3579800.0
2018-07-19,3281200.0
2018-08-20,2537100.0
2018-10-23,3514300.0
2019-05-03,3066600.0
2019-04-01,2965000.0
2019-02-28,2972100.0
2019-11-12,2897100.0
2020-01-30,2380500.0
2019-11-15,2193900.0
2020-04-21,2247900.0
2019-04-16,2436500.0
2019-03-15,1663000.0
2019-02-11,1978400.0
2019-01-10,1690300.0
2019-08-22,2411900.0
2018-11-07,1781400.0
2018-08-03,2437800.0
2018-09-04,1789300.0
2019-06-19,2536600.0
2019-09-23,3071100.0
2019-11-18,2524500.0
2020-02-05,1323100.0
2020-04-24,3392700.0
2019-03-29,2546100.0
2019-11-21,5379000.0
2020-04-27,3886100.0
2020-02-11,3236800.0
2020-04-30,3924200.0
2019-05-01,4193900.0
2019-02-26,2131900.0
2019-01-25,2490700.0
2018-12-24,4876500.0
2019-09-06,2600100.0
2018-07-17,2453200.0
2018-09-19,2667300.0
2019-08-05,1756300.0
2019-10-08,1939400.0
2019-12-11,3135700.0
2019-11-27,2594800.0
2020-02-14,2656600.0
2020-05-06,6252800.0
2019-01-08,3144500.0
2018-12-07,4108300.0
2019-08-20,4331200.0
2018-11-05,3112200.0
2019-07-19,1161400.0
2018-10-04,1642500.0
2019-06-17,1880900.0
2019-05-16,2096400.0
2018-08-01,3355000.0
2019-03-13,11058100.0
2019-12-03,3972600.0
2020-02-20,2480200.0
2019-12-06,2465700.0
2020-05-12,2174600.0
2019-12-09,2148200.0
2020-02-26,2032800.0
2020-05-15,2673100.0
2019-03-28,1531600.0
2018-09-17,2211800.0
2018-08-16,1860800.0
2018-10-19,2658300.0
2019-04-29,2467000.0
2019-01-23,2936500.0
2019-09-04,4382000.0
2018-11-20,6872300.0
2019-07-02,6940100.0
