Dates,ITW
2018-06-20,1313200.0
2018-06-21,1633500.0
2018-06-25,2461200.0
2018-06-22,1631700.0
2018-06-26,2005500.0
2018-06-27,1474800.0
2018-06-28,1768500.0
2018-06-29,1332800.0
2018-07-02,1080400.0
2018-07-03,790100.0
2018-07-05,1153300.0
2018-07-16,1738400.0
2018-09-18,1276300.0
2019-01-24,1150500.0
2019-09-05,1142800.0
2018-11-21,1251700.0
2020-01-13,1028700.0
2020-04-01,1028300.0
2020-06-19,1545500.0
2019-10-29,1714500.0
2020-01-16,1763100.0
2020-06-22,2432600.0
2018-10-03,5825900.0
2018-07-31,3355700.0
2019-03-12,2648500.0
2019-02-08,2291300.0
2019-01-07,1118100.0
2018-12-06,1457700.0
2019-08-19,2158300.0
2019-07-18,1575000.0
2019-05-15,1283700.0
2019-09-20,1156600.0
2019-11-01,1155000.0
2020-04-07,1512900.0
2020-06-25,1051500.0
2020-06-16,1386200.0
2019-11-04,1451700.0
2020-01-22,1605500.0
2019-11-07,1289000.0
2020-04-13,2084700.0
2019-07-01,1427000.0
2019-05-30,1290000.0
2018-08-15,1711200.0
2018-10-18,1647800.0
2019-03-27,1478800.0
2019-01-22,1925300.0
2018-12-21,1722600.0
2019-09-03,1490800.0
2018-11-19,796200.0
2019-08-02,1164800.0
2020-01-28,1432400.0
2020-04-16,1523300.0
2019-11-13,1410500.0
2020-01-31,1861200.0
2018-12-04,1458800.0
2018-11-02,1319100.0
2019-07-16,1422400.0
2018-08-30,1489400.0
2018-10-01,1887900.0
2019-06-14,932000.0
2019-05-13,1282000.0
2019-04-11,1614600.0
2019-02-06,1204600.0
2019-09-18,987400.0
2020-02-03,915900.0
2020-04-22,2265600.0
2019-11-19,822800.0
2020-02-06,1674700.0
2019-11-22,1672400.0
2019-03-25,856700.0
2019-02-21,925400.0
2018-12-19,2037500.0
2018-07-12,1039900.0
2018-09-14,1365400.0
2018-08-13,1196900.0
2018-10-16,1551300.0
2019-07-31,1661300.0
2019-05-28,1663900.0
2019-04-26,2884400.0
2020-04-28,2231100.0
2019-11-25,2055200.0
2020-02-12,1301100.0
2020-05-01,1611000.0
2020-05-04,1346500.0
2019-06-12,3778700.0
2019-04-09,1873400.0
2019-03-08,1744900.0
2019-02-04,3985600.0
2018-07-27,3615000.0
2018-08-28,2860600.0
2019-01-03,3383000.0
2019-08-15,2923500.0
2018-10-31,2391800.0
2019-09-16,3454800.0
2020-02-18,2258200.0
2020-05-07,2027200.0
2018-08-17,1089400.0
2019-12-04,1309700.0
2020-02-21,1001400.0
2018-12-17,1080200.0
2019-08-30,1277000.0
2018-11-15,2205800.0
2019-07-29,2799400.0
2019-06-27,1573900.0
2019-04-24,1316600.0
2018-07-10,2089400.0
2018-09-12,1335300.0
2019-02-19,1657000.0
2019-01-18,1485800.0
2020-02-24,446800.0
2020-05-13,1101100.0
2019-12-10,1271600.0
2020-02-27,1095900.0
2019-12-13,1560300.0
2020-05-19,1572100.0
2019-03-06,1734800.0
2018-11-30,2456000.0
2019-08-13,2369200.0
2019-07-12,2326300.0
2019-06-10,1904100.0
2019-05-09,2444400.0
2018-07-25,1459100.0
2018-09-27,1610800.0
2018-10-29,1985800.0
2019-10-16,1734000.0
2019-12-16,2083100.0
2020-03-04,1781700.0
2020-05-22,2606700.0
2019-10-01,3601600.0
2019-12-19,976600.0
2018-09-10,1261400.0
2019-05-24,1281300.0
2018-08-09,1024400.0
2019-04-22,1189400.0
2019-03-21,1905600.0
2019-01-16,2191400.0
2019-08-28,1419100.0
2018-11-13,1669500.0
2018-10-12,1309900.0
2019-06-25,1152700.0
2020-03-10,2390400.0
2020-05-28,1120600.0
2019-10-07,1032600.0
2020-03-13,973900.0
2019-10-10,1407200.0
2020-03-16,1281300.0
2020-06-03,1777000.0
2018-11-28,1555300.0
2018-09-25,1116100.0
2018-07-23,1105800.0
2018-08-24,1269700.0
2019-07-10,1538800.0
2019-05-07,1622500.0
2019-04-05,1381200.0
2019-03-04,2584800.0
2019-01-31,3388900.0
2019-09-12,2285500.0
2019-12-31,2300200.0
2020-03-19,1554300.0
2020-01-03,1438000.0
2020-06-09,1739400.0
2019-02-15,899000.0
2019-01-14,1295100.0
2018-07-06,997500.0
2018-08-07,1179800.0
2018-10-10,1981500.0
2018-12-13,1681500.0
2019-08-26,936900.0
2019-07-25,1049600.0
2019-05-22,825300.0
2019-03-19,1059300.0
2020-01-06,1150900.0
2020-03-25,835500.0
2020-06-12,1461100.0
2019-10-22,1463300.0
2020-01-09,1297200.0
2020-06-15,1130700.0
2019-10-25,1121200.0
2020-03-31,1861900.0
2020-06-18,1490900.0
2019-04-03,1073200.0
2018-08-22,1365600.0
2018-10-25,1469400.0
2019-01-29,1709100.0
2018-12-28,4524400.0
2018-11-26,1268000.0
2019-08-09,1599400.0
2019-07-08,1776700.0
2019-06-06,1315000.0
2019-09-10,1570100.0
2020-01-15,980000.0
2020-04-03,782200.0
2019-10-31,1021000.0
2020-04-06,653900.0
2020-06-24,1294100.0
2018-11-09,1238900.0
2019-07-23,1094500.0
2019-06-21,1174700.0
2019-05-20,769900.0
2019-04-18,993300.0
2018-09-06,1172300.0
2018-10-08,918800.0
2019-02-13,790100.0
2018-12-11,1024800.0
2019-09-25,807200.0
