Dates,JPM
2018-06-20,8876900.0
2018-06-21,11048700.0
2018-06-25,19478900.0
2018-06-22,16907600.0
2018-06-26,17086800.0
2018-06-27,16276800.0
2018-06-28,14491300.0
2018-06-29,18972400.0
2018-07-02,11130000.0
2018-07-03,8311700.0
2018-07-05,10723400.0
2018-07-16,12173700.0
2018-09-18,13900800.0
2019-01-24,14575900.0
2019-09-05,10186500.0
2018-11-21,12456800.0
2020-01-13,21289100.0
2020-04-01,24662600.0
2020-06-19,14821900.0
2019-10-29,14244900.0
2020-01-16,16775300.0
2020-06-22,13578100.0
2018-10-03,18140000.0
2018-07-31,14000400.0
2019-03-12,13329100.0
2019-02-08,11897800.0
2019-01-07,12802700.0
2018-12-06,13411600.0
2019-08-19,15843800.0
2019-07-18,13531600.0
2019-05-15,11058100.0
2019-09-20,11016100.0
2019-11-01,9857400.0
2020-04-07,10562100.0
2020-06-25,8997100.0
2020-06-16,9694200.0
2019-11-04,12630600.0
2020-01-22,10336300.0
2019-11-07,10597600.0
2020-04-13,10152100.0
2019-07-01,10118600.0
2019-05-30,8505100.0
2018-08-15,8618700.0
2018-10-18,10976700.0
2019-03-27,8314700.0
2019-01-22,9265400.0
2018-12-21,8845700.0
2019-09-03,13768000.0
2018-11-19,8302600.0
2019-08-02,7221700.0
2020-01-28,8991800.0
2020-04-16,13065700.0
2019-11-13,10174200.0
2020-01-31,11462400.0
2018-12-04,9877600.0
2018-11-02,10955600.0
2019-07-16,8276900.0
2018-08-30,9333800.0
2018-10-01,10800800.0
2019-06-14,12470800.0
2019-05-13,10337900.0
2019-04-11,9561300.0
2019-02-06,7944200.0
2019-09-18,16052800.0
2020-02-03,15590000.0
2020-04-22,24788200.0
2019-11-19,12492500.0
2020-02-06,9308300.0
2019-11-22,14023600.0
2019-03-25,13283000.0
2019-02-21,15815100.0
2018-12-19,10146300.0
2018-07-12,13753100.0
2018-09-14,17142000.0
2018-08-13,16357400.0
2018-10-16,13777600.0
2019-07-31,14370900.0
2019-05-28,14069500.0
2019-04-26,23086400.0
2020-04-28,33705600.0
2019-11-25,32075700.0
2020-02-12,18903200.0
2020-05-01,19302800.0
2020-05-04,18794500.0
2019-06-12,17582500.0
2019-04-09,15234500.0
2019-03-08,16199100.0
2019-02-04,21407500.0
2018-07-27,23168900.0
2018-08-28,17464700.0
2019-01-03,19174900.0
2019-08-15,18445200.0
2018-10-31,18019700.0
2019-09-16,20860000.0
2020-02-18,13065000.0
2020-05-07,19009200.0
2018-08-17,10276400.0
2019-12-04,10825000.0
2020-02-21,12679600.0
2018-12-17,11662500.0
2019-08-30,10432200.0
2018-11-15,13279700.0
2019-07-29,13746100.0
2019-06-27,18361400.0
2019-04-24,19100000.0
2018-07-10,13798600.0
2018-09-12,13987000.0
2019-02-19,18936200.0
2019-01-18,10619600.0
2020-02-24,6488400.0
2020-05-13,13948300.0
2019-12-10,9238200.0
2020-02-27,13977300.0
2019-12-13,11144300.0
2020-05-19,18652700.0
2019-03-06,16034500.0
2018-11-30,23555900.0
2019-08-13,27213900.0
2019-07-12,19248600.0
