Dates,KHC
2018-06-20,6027600.0
2018-06-21,4956000.0
2018-06-25,4247200.0
2018-06-22,4976500.0
2018-06-26,4190400.0
2018-06-27,3250100.0
2018-06-28,3688000.0
2018-06-29,3812500.0
2018-07-02,3666600.0
2018-07-03,1674000.0
2018-07-05,2834300.0
2018-07-16,3330000.0
2018-09-18,3079900.0
2019-01-24,3112900.0
2019-09-05,2520900.0
2018-11-21,2659900.0
2020-01-13,3997900.0
2020-04-01,4164900.0
2020-06-19,5032300.0
2019-10-29,5196400.0
2020-01-16,6839500.0
2020-06-22,5809500.0
2018-10-03,4857500.0
2018-07-31,6374000.0
2019-03-12,3713900.0
2019-02-08,4082200.0
2019-01-07,3771100.0
2018-12-06,3743100.0
2019-08-19,6484800.0
2019-07-18,4013200.0
2019-05-15,6445100.0
2019-09-20,16199700.0
2019-11-01,7453200.0
2020-04-07,6542400.0
2020-06-25,11053800.0
2020-06-16,6568700.0
2019-11-04,5118000.0
2020-01-22,5790400.0
2019-11-07,4439900.0
2020-04-13,5299600.0
2019-07-01,6261800.0
2019-05-30,6417000.0
2018-08-15,4647000.0
2018-10-18,4849800.0
2019-03-27,3224800.0
2019-01-22,5179800.0
2018-12-21,4513200.0
2019-09-03,3496800.0
2018-11-19,4293500.0
2019-08-02,5188900.0
2020-01-28,5063800.0
2020-04-16,5520300.0
2019-11-13,6918700.0
2020-01-31,7064200.0
2018-12-04,8822100.0
2018-11-02,6815900.0
2019-07-16,8285300.0
2018-08-30,7617300.0
2018-10-01,6699000.0
2019-06-14,5891500.0
2019-05-13,3953700.0
2019-04-11,7494000.0
2019-02-06,7285100.0
2019-09-18,5079400.0
2020-02-03,5364600.0
2020-04-22,11543500.0
2019-11-19,4729000.0
2020-02-06,3813200.0
2019-11-22,5436500.0
2019-03-25,7881900.0
2019-02-21,6505300.0
2018-12-19,6208700.0
2018-07-12,3930000.0
2018-09-14,5395100.0
2018-08-13,4349500.0
2018-10-16,4163400.0
2019-07-31,6060700.0
2019-05-28,8535700.0
2019-04-26,7799600.0
2020-04-28,9593800.0
2019-11-25,9452500.0
2020-02-12,4829800.0
2020-05-01,4813700.0
2020-05-04,7094000.0
2019-06-12,6075400.0
2019-04-09,8880700.0
2019-03-08,7390000.0
2019-02-04,6429000.0
2018-07-27,5833800.0
2018-08-28,5712800.0
2019-01-03,6480000.0
