Dates,KMX
2018-06-20,1292100.0
2018-06-21,3183700.0
2018-06-25,12402000.0
2018-06-22,3384900.0
2018-06-26,3008500.0
2018-06-27,1514700.0
2018-06-28,2601300.0
2018-06-29,1593700.0
2018-07-02,2116000.0
2018-07-03,928600.0
2018-07-05,2152000.0
2018-07-16,1210300.0
2018-09-18,1153400.0
2019-01-24,2248700.0
2019-09-05,1047100.0
2018-11-21,1103500.0
2020-01-13,1003200.0
2020-04-01,1261300.0
2020-06-19,655400.0
2019-10-29,1102400.0
2020-01-16,913300.0
2020-06-22,1122700.0
2018-10-03,1095800.0
2018-07-31,1465200.0
2019-03-12,1105600.0
2019-02-08,1090500.0
2019-01-07,933100.0
2018-12-06,1131100.0
2019-08-19,1296200.0
2019-07-18,1458300.0
2019-05-15,992500.0
2019-09-20,1699000.0
2019-11-01,1190800.0
2020-04-07,1656800.0
2020-06-25,995200.0
2020-06-16,1141700.0
2019-11-04,1199100.0
2020-01-22,1200200.0
2019-11-07,1135900.0
2020-04-13,1090100.0
2019-07-01,804300.0
2019-05-30,793900.0
2018-08-15,1157700.0
2018-10-18,876200.0
2019-03-27,720100.0
2019-01-22,534000.0
2018-12-21,733600.0
2019-09-03,1198800.0
2018-11-19,873400.0
2019-08-02,1069100.0
2020-01-28,720700.0
2020-04-16,1105600.0
2019-11-13,1661400.0
2020-01-31,1614300.0
2018-12-04,1012600.0
2018-11-02,896300.0
2019-07-16,1335900.0
2018-08-30,1342000.0
2018-10-01,739000.0
2019-06-14,768700.0
2019-05-13,724100.0
2019-04-11,775800.0
2019-02-06,1926100.0
2019-09-18,1000300.0
2020-02-03,1151100.0
2020-04-22,2157400.0
2019-11-19,2039700.0
2020-02-06,3470100.0
2019-11-22,6360800.0
2019-03-25,2803100.0
2019-02-21,2457700.0
2018-12-19,1585700.0
2018-07-12,1741200.0
2018-09-14,1554800.0
2018-08-13,2533200.0
2018-10-16,2318500.0
2019-07-31,1337600.0
2019-05-28,1801000.0
2019-04-26,1852100.0
2020-04-28,1624400.0
2019-11-25,1896900.0
2020-02-12,1042200.0
2020-05-01,1293000.0
2020-05-04,1434500.0
2019-06-12,1343500.0
2019-04-09,1081500.0
