Dates,LDOS
2018-06-20,1158000.0
2018-06-21,1625300.0
2018-06-25,1138900.0
2018-06-22,1269500.0
2018-06-26,1600100.0
2018-06-27,984300.0
2018-06-28,1321500.0
2018-06-29,1307900.0
2018-07-02,1090200.0
2018-07-03,453900.0
2018-07-05,698200.0
2018-07-16,1143800.0
2018-09-18,686700.0
2019-01-24,814400.0
2019-09-05,671100.0
2018-11-21,695100.0
2020-01-13,428100.0
2020-04-01,348500.0
2020-06-19,1373500.0
2019-10-29,754600.0
2020-01-16,843300.0
2020-06-22,520500.0
2018-10-03,978400.0
2018-07-31,1217900.0
2019-03-12,1072500.0
2019-02-08,2926100.0
2019-01-07,1165800.0
2018-12-06,1157600.0
2019-08-19,1047500.0
2019-07-18,966900.0
2019-05-15,800300.0
2019-09-20,672500.0
2019-11-01,750100.0
2020-04-07,676600.0
2020-06-25,784900.0
2020-06-16,955100.0
2019-11-04,433400.0
2020-01-22,790300.0
2019-11-07,546800.0
2020-04-13,561800.0
2019-07-01,651700.0
2019-05-30,892100.0
2018-08-15,766400.0
2018-10-18,770000.0
2019-03-27,887300.0
2019-01-22,2128500.0
2018-12-21,1037800.0
2019-09-03,558900.0
2018-11-19,525600.0
2019-08-02,564600.0
2020-01-28,641600.0
2020-04-16,967000.0
2019-11-13,925100.0
2020-01-31,877700.0
2018-12-04,478900.0
2018-11-02,963000.0
2019-07-16,825500.0
2018-08-30,818100.0
2018-10-01,763800.0
2019-06-14,849500.0
2019-05-13,1216900.0
2019-04-11,1219000.0
2019-02-06,686900.0
2019-09-18,834300.0
2020-02-03,1558700.0
2020-04-22,3340100.0
2019-11-19,1264100.0
2020-02-06,1194100.0
2019-11-22,793100.0
2019-03-25,856600.0
2019-02-21,1153600.0
2018-12-19,772400.0
2018-07-12,563400.0
2018-09-14,359700.0
2018-08-13,476900.0
2018-10-16,477700.0
2019-07-31,347400.0
2019-05-28,514400.0
2019-04-26,1314100.0
2020-04-28,994400.0
2019-11-25,866100.0
2020-02-12,688600.0
2020-05-01,557400.0
2020-05-04,1129000.0
2019-06-12,1056900.0
2019-04-09,765000.0
2019-03-08,1223600.0
2019-02-04,1050700.0
2018-07-27,1592000.0
