Dates,LIN
2018-06-20,1173600.0
2018-06-21,2217100.0
2018-06-25,1341000.0
2018-06-22,1434500.0
2018-06-26,1026100.0
2018-06-27,1399300.0
2018-06-28,1349500.0
2018-06-29,1391000.0
2018-07-02,1291900.0
2018-07-03,640000.0
2018-07-05,1547900.0
2018-07-16,1642500.0
2018-09-18,1293700.0
2019-01-24,2150100.0
2019-09-05,1518200.0
2018-11-21,1913100.0
2020-01-13,1501800.0
2020-04-01,1399500.0
2020-06-19,1854200.0
2019-10-29,1641300.0
2020-01-16,1553400.0
2020-06-22,1326500.0
2018-10-03,1745200.0
2018-07-31,1685100.0
2019-03-12,1562100.0
2019-02-08,2223000.0
2019-01-07,1470800.0
2018-12-06,1268200.0
2019-08-19,1673600.0
2019-07-18,1447600.0
2019-05-15,1597600.0
2019-09-20,1050100.0
2019-11-01,3928400.0
2020-04-07,2552900.0
2020-06-25,1740900.0
2020-06-16,1003300.0
2019-11-04,1303700.0
2020-01-22,1337500.0
2019-11-07,1612000.0
2020-04-13,1352200.0
2019-07-01,1102400.0
2019-05-30,1662800.0
2018-08-15,1161100.0
2018-10-18,935200.0
2019-03-27,1229200.0
2019-01-22,840400.0
2018-12-21,708000.0
2019-09-03,674200.0
2018-11-19,1078100.0
2019-08-02,685700.0
2020-01-28,805700.0
2020-04-16,1057800.0
2019-11-13,1577700.0
2020-01-31,1736100.0
2018-12-04,897600.0
2018-11-02,1225600.0
2019-07-16,645300.0
2018-08-30,1247500.0
2018-10-01,799700.0
2019-06-14,867900.0
2019-05-13,1675500.0
2019-04-11,1529500.0
2019-02-06,1104600.0
2019-09-18,2689100.0
2020-02-03,1624200.0
2020-04-22,2323000.0
2019-11-19,1609000.0
2020-02-06,1273900.0
2019-11-22,1309300.0
2019-03-25,1314300.0
2019-02-21,1302400.0
2018-12-19,2329700.0
2018-07-12,1652300.0
2018-09-14,950500.0
2018-08-13,1720100.0
2018-10-16,1538700.0
2019-07-31,1109000.0
2019-05-28,1510400.0
2019-04-26,2222200.0
2020-04-28,1977000.0
2019-11-25,1840700.0
2020-02-12,2161500.0
2020-05-01,1297500.0
2020-05-04,1540700.0
2019-06-12,3739600.0
2019-04-09,3012000.0
2019-03-08,7591100.0
2019-02-04,4959200.0
2018-07-27,5610900.0
2018-08-28,5105400.0
2019-01-03,35352000.0
2019-08-15,14032500.0
2018-10-31,57375600.0
2019-09-16,18032200.0
2020-02-18,11423500.0
2020-05-07,6835100.0
2018-08-17,4477400.0
2019-12-04,2510600.0
2020-02-21,7626300.0
2018-12-17,4010000.0
2019-08-30,3249100.0
2018-11-15,1990800.0
2019-07-29,2507100.0
2019-06-27,2338700.0
2019-04-24,2759400.0
2018-07-10,2726800.0
2018-09-12,2464700.0
2019-02-19,2151600.0
2019-01-18,2070900.0
2020-02-24,963600.0
2020-05-13,2678200.0
2019-12-10,2525900.0
2020-02-27,1808800.0
2019-12-13,2901300.0
2020-05-19,3944100.0
2019-03-06,3177200.0
2018-11-30,2746100.0
2019-08-13,4785400.0
2019-07-12,2518700.0
2019-06-10,2540400.0
2019-05-09,2552900.0
2018-07-25,2402600.0
2018-09-27,2456700.0
2018-10-29,2360800.0
2019-10-16,3148600.0
2019-12-16,2147000.0
2020-03-04,2618700.0
2020-05-22,3398900.0
2019-10-01,5452000.0
2019-12-19,2086800.0
2018-09-10,2591500.0
2019-05-24,2867000.0
2018-08-09,1586100.0
2019-04-22,1853900.0
2019-03-21,1716400.0
2019-01-16,1775500.0
2019-08-28,1801300.0
2018-11-13,1830200.0
2018-10-12,2207300.0
2019-06-25,2099900.0
2020-03-10,2093900.0
2020-05-28,1380400.0
2019-10-07,2004800.0
2020-03-13,2110700.0
2019-10-10,1382100.0
2020-03-16,2176500.0
2020-06-03,2494800.0
2018-11-28,1699100.0
2018-09-25,1569500.0
2018-07-23,2528000.0
2018-08-24,1242700.0
2019-07-10,1422500.0
2019-05-07,1558300.0
2019-04-05,1113500.0
2019-03-04,1645900.0
2019-01-31,1324300.0
2019-09-12,2106500.0
2019-12-31,2358600.0
2020-03-19,1124800.0
2020-01-03,1361000.0
2020-06-09,1557900.0
2019-02-15,1128400.0
2019-01-14,1772000.0
2018-07-06,1599300.0
2018-08-07,1104100.0
2018-10-10,2573600.0
2018-12-13,2221200.0
2019-08-26,2574800.0
2019-07-25,1736500.0
2019-05-22,1075700.0
2019-03-19,1526800.0
2020-01-06,1739200.0
2020-03-25,1451800.0
2020-06-12,1698300.0
2019-10-22,3033500.0
2020-01-09,1738100.0
2020-06-15,1205900.0
2019-10-25,986800.0
2020-03-31,1450100.0
2020-06-18,1558400.0
2019-04-03,1188800.0
2018-08-22,1309200.0
2018-10-25,1538500.0
2019-01-29,1033200.0
2018-12-28,3661400.0
2018-11-26,1220400.0
2019-08-09,1251600.0
2019-07-08,1536400.0
2019-06-06,1146300.0
2019-09-10,1384000.0
2020-01-15,1349700.0
2020-04-03,1408100.0
2019-10-31,1821400.0
2020-04-06,1892500.0
2020-06-24,2158100.0
2018-11-09,1791900.0
2019-07-23,1179700.0
2019-06-21,2379600.0
2019-05-20,1471400.0
2019-04-18,1403400.0
2018-09-06,1138500.0
2018-10-08,1388200.0
2019-02-13,2443700.0
2018-12-11,1916400.0
2019-09-25,1914500.0
2020-01-21,1448000.0
2020-04-09,1749700.0
2019-11-06,1663300.0
2020-01-24,1547300.0
2020-01-27,1002100.0
2020-04-15,1796500.0
2018-12-26,1780200.0
2019-08-07,2229900.0
2019-06-04,1483900.0
2018-09-21,1195400.0
2018-07-19,1404200.0
2018-08-20,1018300.0
2018-10-23,1691000.0
2019-05-03,1248900.0
2019-04-01,1407000.0
2019-02-28,2049600.0
2019-11-12,1264600.0
2020-01-30,1999500.0
2019-11-15,2511800.0
2020-04-21,2328500.0
2019-04-16,2029300.0
2019-03-15,1184200.0
2019-02-11,1866600.0
2019-01-10,1737900.0
2019-08-22,1383700.0
2018-11-07,1051500.0
2018-08-03,1334800.0
2018-09-04,1318500.0
2019-06-19,1025300.0
2019-09-23,1483100.0
2019-11-18,1405400.0
2020-02-05,1042000.0
2020-04-24,1757200.0
2019-03-29,2882600.0
2019-11-21,3115200.0
2020-04-27,3708800.0
