Dates,LMT
2018-06-20,1620800.0
2018-06-21,1517500.0
2018-06-25,1364200.0
2018-06-22,1944800.0
2018-06-26,1670800.0
2018-06-27,1523900.0
2018-06-28,1424300.0
2018-06-29,1267800.0
2018-07-02,977900.0
2018-07-03,651000.0
2018-07-05,986300.0
2018-07-16,1103500.0
2018-09-18,1244400.0
2019-01-24,1525500.0
2019-09-05,896200.0
2018-11-21,1283300.0
2020-01-13,1662500.0
2020-04-01,1303400.0
2020-06-19,868200.0
2019-10-29,860400.0
2020-01-16,759900.0
2020-06-22,1563900.0
2018-10-03,1585300.0
2018-07-31,3253400.0
2019-03-12,2104600.0
2019-02-08,2011800.0
2019-01-07,1009900.0
2018-12-06,1270500.0
2019-08-19,986300.0
2019-07-18,1392200.0
2019-05-15,820400.0
2019-09-20,945400.0
2019-11-01,1736700.0
2020-04-07,1088500.0
2020-06-25,922600.0
2020-06-16,1048200.0
2019-11-04,1081900.0
2020-01-22,790300.0
2019-11-07,974500.0
2020-04-13,1321400.0
2019-07-01,1195200.0
2019-05-30,1397400.0
2018-08-15,877400.0
2018-10-18,1167600.0
2019-03-27,690600.0
2019-01-22,717700.0
2018-12-21,773200.0
2019-09-03,737500.0
2018-11-19,820000.0
2019-08-02,966000.0
2020-01-28,1409700.0
2020-04-16,1055500.0
2019-11-13,947400.0
2020-01-31,892700.0
2018-12-04,1326600.0
2018-11-02,1292000.0
2019-07-16,1424000.0
2018-08-30,798200.0
2018-10-01,1326400.0
2019-06-14,1294800.0
2019-05-13,1312000.0
2019-04-11,1117300.0
2019-02-06,1149100.0
2019-09-18,1771200.0
2020-02-03,2003900.0
2020-04-22,1875700.0
2019-11-19,1176800.0
2020-02-06,1360500.0
2019-11-22,1159900.0
2019-03-25,1170000.0
2019-02-21,1827500.0
2018-12-19,809500.0
2018-07-12,960500.0
2018-09-14,1237500.0
2018-08-13,1203600.0
2018-10-16,889000.0
2019-07-31,825100.0
2019-05-28,986100.0
2019-04-26,1792500.0
2020-04-28,1937900.0
2019-11-25,1294000.0
2020-02-12,1003600.0
2020-05-01,860300.0
2020-05-04,1181700.0
2019-06-12,1323000.0
2019-04-09,1101200.0
2019-03-08,1407700.0
2019-02-04,2995700.0
2018-07-27,2396800.0
2018-08-28,2352500.0
2019-01-03,1909600.0
2019-08-15,3262900.0
2018-10-31,2870000.0
2019-09-16,1980100.0
2020-02-18,1526900.0
2020-05-07,1597200.0
2018-08-17,1650500.0
2019-12-04,1123200.0
2020-02-21,983000.0
2018-12-17,879000.0
2019-08-30,1294300.0
2018-11-15,1117800.0
2019-07-29,1121000.0
2019-06-27,1192800.0
2019-04-24,1233100.0
2018-07-10,1319500.0
2018-09-12,1558900.0
2019-02-19,1281100.0
2019-01-18,1355600.0
2020-02-24,434300.0
2020-05-13,1375900.0
2019-12-10,1477400.0
2020-02-27,1282700.0
2019-12-13,2788500.0
2020-05-19,3666200.0
2019-03-06,1764700.0
2018-11-30,2208100.0
2019-08-13,2793700.0
2019-07-12,1407200.0
2019-06-10,2417900.0
2019-05-09,1764500.0
2018-07-25,1121500.0
2018-09-27,1125300.0
2018-10-29,1881600.0
2019-10-16,1649100.0
2019-12-16,1707900.0
2020-03-04,1716900.0
2020-05-22,2327700.0
2019-10-01,3738600.0
2019-12-19,1515400.0
2018-09-10,1797600.0
2019-05-24,2201400.0
2018-08-09,1983800.0
2019-04-22,1184900.0
2019-03-21,1064700.0
2019-01-16,1165600.0
2019-08-28,1443800.0
2018-11-13,1465200.0
2018-10-12,1791400.0
2019-06-25,1235900.0
2020-03-10,1842500.0
2020-05-28,1157800.0
2019-10-07,1388600.0
2020-03-13,1193500.0
2019-10-10,1324900.0
2020-03-16,1242000.0
2020-06-03,2073500.0
2018-11-28,1885100.0
2018-09-25,1631000.0
2018-07-23,1017500.0
2018-08-24,1050400.0
2019-07-10,1166400.0
2019-05-07,2037300.0
2019-04-05,1781800.0
2019-03-04,1311100.0
2019-01-31,1358900.0
2019-09-12,1328900.0
2019-12-31,1454800.0
2020-03-19,1114300.0
2020-01-03,1150100.0
2020-06-09,1021600.0
2019-02-15,1077900.0
2019-01-14,840600.0
2018-07-06,958500.0
2018-08-07,888200.0
2018-10-10,847700.0
2018-12-13,929500.0
2019-08-26,870600.0
2019-07-25,1045000.0
2019-05-22,581800.0
2019-03-19,1088000.0
2020-01-06,871600.0
2020-03-25,1121300.0
2020-06-12,1839100.0
2019-10-22,1424900.0
2020-01-09,1070900.0
2020-06-15,907600.0
2019-10-25,879200.0
2020-03-31,1255500.0
2020-06-18,1054100.0
2019-04-03,1294400.0
2018-08-22,1248800.0
2018-10-25,1133400.0
2019-01-29,1178400.0
2018-12-28,4516500.0
2018-11-26,1793600.0
2019-08-09,1504000.0
2019-07-08,1321800.0
2019-06-06,1145700.0
2019-09-10,942800.0
2020-01-15,779700.0
2020-04-03,882300.0
2019-10-31,835600.0
2020-04-06,567100.0
2020-06-24,1212000.0
2018-11-09,1153900.0
2019-07-23,872600.0
2019-06-21,1178300.0
2019-05-20,789500.0
2019-04-18,705200.0
2018-09-06,1121400.0
2018-10-08,867100.0
2019-02-13,1226200.0
2018-12-11,829500.0
2019-09-25,891800.0
2020-01-21,864800.0
2020-04-09,833900.0
2019-11-06,1041400.0
2020-01-24,1107100.0
2020-01-27,1319000.0
2020-04-15,3425800.0
2018-12-26,2089900.0
2019-08-07,1506500.0
2019-06-04,873200.0
2018-09-21,969100.0
2018-07-19,990000.0
2018-08-20,1104300.0
2018-10-23,962300.0
2019-05-03,806700.0
2019-04-01,812800.0
2019-02-28,1176400.0
2019-11-12,1083800.0
2020-01-30,1496500.0
2019-11-15,1204900.0
2020-04-21,1504000.0
2019-04-16,1171600.0
2019-03-15,1127000.0
2019-02-11,1092100.0
2019-01-10,1268400.0
2019-08-22,1388200.0
2018-11-07,1097800.0
2018-08-03,1049300.0
2018-09-04,1461200.0
2019-06-19,1293100.0
2019-09-23,3559400.0
2019-11-18,1184400.0
2020-02-05,859100.0
2020-04-24,1024000.0
2019-03-29,1345100.0
2019-11-21,1573300.0
2020-04-27,1750500.0
2020-02-11,1149800.0
2020-04-30,1125800.0
2019-05-01,1356200.0
2019-02-26,1684300.0
2019-01-25,1131900.0
2018-12-24,1203900.0
2019-09-06,1059400.0
2018-07-17,904200.0
2018-09-19,826400.0
2019-08-05,816500.0
2019-10-08,1048800.0
2019-12-11,1544700.0
2019-11-27,1766700.0
2020-02-14,1168900.0
2020-05-06,977700.0
2019-01-08,826500.0
2018-12-07,1369600.0
2019-08-20,1003900.0
2018-11-05,1052800.0
2019-07-19,742100.0
2018-10-04,716900.0
2019-06-17,646600.0
2019-05-16,651000.0
2018-08-01,818700.0
2019-03-13,1358000.0
2019-12-03,1148700.0
2020-02-20,1010700.0
2019-12-06,1027100.0
2020-05-12,1867000.0
2019-12-09,1704900.0
2020-02-26,1463300.0
2020-05-15,1144700.0
2019-03-28,2343900.0
2018-09-17,1900400.0
2018-08-16,1143300.0
2018-10-19,791300.0
2019-04-29,659200.0
2019-01-23,699400.0
2019-09-04,1037100.0
2018-11-20,1220300.0
2019-07-02,836300.0
2019-05-31,1464600.0
2019-12-12,1124900.0
2020-05-18,1243000.0
2019-09-27,1185800.0
2020-03-03,872000.0
2020-05-21,646800.0
2019-05-14,1054900.0
2018-08-31,1469100.0
2018-07-30,1066900.0
2018-10-02,821400.0
2019-04-12,799900.0
2019-03-11,920600.0
2019-02-07,791500.0
2019-07-17,742600.0
2019-09-19,1392700.0
2019-10-21,688100.0
2019-12-18,760300.0
2020-03-06,820500.0
2019-10-03,1063500.0
2020-03-09,760700.0
2020-05-27,891700.0
2019-12-24,792200.0
2020-03-12,941500.0
2018-12-20,701100.0
2019-08-01,1146900.0
2018-08-14,1297600.0
2018-07-13,1125300.0
2018-10-17,855100.0
2019-05-29,898600.0
2019-03-26,1689900.0
2019-02-22,975800.0
2019-10-04,780300.0
2019-11-05,1044400.0
2019-12-27,2106700.0
2020-06-02,1132200.0
2019-12-30,1162400.0
2020-03-18,1336400.0
2020-06-05,875400.0
2019-07-15,751800.0
2018-12-03,1293200.0
2019-06-13,1240000.0
2019-01-04,1759000.0
2018-08-29,849800.0
2019-02-05,762200.0
2018-11-01,850100.0
2019-08-16,1001300.0
2019-04-10,712000.0
2019-09-17,690200.0
2019-10-15,1327000.0
2020-01-02,622300.0
2020-06-08,835300.0
2019-10-18,851300.0
2020-03-24,1004600.0
2020-06-11,1935600.0
2020-01-08,1160000.0
2019-04-25,2567200.0
2019-07-30,1279700.0
2019-02-20,1126900.0
2018-07-11,1173500.0
2018-09-13,1321700.0
2018-10-15,1298400.0
2019-06-28,1064900.0
2018-12-18,911600.0
2018-11-16,915600.0
2019-10-02,1117500.0
2020-03-27,1364200.0
2020-01-10,1505700.0
2019-10-24,1157200.0
2020-03-30,783500.0
2020-06-17,580500.0
2020-01-14,910700.0
2020-04-02,956100.0
2019-01-02,915600.0
2019-08-14,1533600.0
2018-10-30,827700.0
2019-06-11,800300.0
2019-05-10,907700.0
2019-04-08,1416900.0
2018-08-27,758600.0
2018-07-26,801400.0
2018-09-28,1206600.0
2019-03-07,770300.0
2019-10-30,401500.0
2020-01-17,1283400.0
2020-06-23,1384300.0
2020-04-08,1081100.0
2020-06-26,1203700.0
2019-03-22,709600.0
2019-01-17,821600.0
2019-08-29,862100.0
2018-11-14,578900.0
2019-06-26,736100.0
2018-09-11,658000.0
2018-07-09,847500.0
2018-08-10,730000.0
2019-04-23,1526000.0
2019-09-30,766300.0
2020-01-23,1599600.0
2019-11-08,1050400.0
2020-04-14,516300.0
2019-11-11,711600.0
2020-01-29,728800.0
2020-04-17,776900.0
2018-07-24,775400.0
2018-09-26,1258400.0
2019-05-08,2990100.0
2019-03-05,2477800.0
2019-02-01,1059900.0
2018-12-31,1708100.0
2018-11-29,1064300.0
2019-08-12,987800.0
2019-07-11,986800.0
2019-09-13,967200.0
2019-11-14,833000.0
2020-04-20,1085200.0
2020-02-04,1195600.0
2020-04-23,1071400.0
2018-12-14,918700.0
2019-08-27,978400.0
2018-08-08,1086700.0
2018-10-11,1737900.0
2018-11-12,2063200.0
2019-07-26,1268500.0
2019-06-24,1210200.0
2019-05-23,1650100.0
2019-03-20,1795800.0
2019-01-15,1216300.0
2019-11-20,1251800.0
2020-02-07,833500.0
2020-02-10,883800.0
2020-04-29,870400.0
2019-11-26,744600.0
2020-02-13,1419200.0
2019-01-30,800200.0
2018-08-23,948600.0
2018-09-24,776100.0
2018-11-27,787200.0
2018-10-26,1190600.0
2019-07-09,1055500.0
2019-06-07,1117800.0
2019-05-06,1600100.0
2019-04-04,1678000.0
2019-09-11,1894100.0
2019-11-29,3364300.0
2020-05-05,2859900.0
2019-12-02,2531400.0
2020-02-19,2025800.0
2020-05-08,1967200.0
2019-05-21,2161000.0
2019-03-18,3086700.0
2018-09-07,2505600.0
2018-08-06,1950800.0
2018-10-09,3892600.0
2019-02-14,3877800.0
2018-12-12,2351500.0
2019-07-24,2626200.0
2019-09-26,3589400.0
2019-10-28,2836700.0
2019-12-05,3040100.0
2020-05-11,3172100.0
2019-07-03,3088400.0
2020-02-25,2950100.0
2020-05-14,2680900.0
2020-02-28,3562800.0
2019-08-08,1756300.0
2019-06-05,2169300.0
2018-07-20,2082300.0
2018-08-21,1896200.0
2018-10-24,2113200.0
2019-04-02,2525400.0
2019-03-01,2101500.0
2019-01-28,1447700.0
2018-12-27,1629400.0
2019-09-09,1237200.0
2020-03-02,1653400.0
2020-05-20,1251500.0
2019-12-17,1568400.0
2020-03-05,1768400.0
2019-02-12,1487200.0
2019-01-11,2042000.0
2018-12-10,1188400.0
2019-08-23,1164400.0
2018-11-08,1029200.0
2019-07-22,1457400.0
2019-06-20,1313900.0
2018-09-05,1500400.0
2019-04-17,1342700.0
2019-09-24,911600.0
2019-12-20,1077900.0
2020-05-26,1270900.0
2019-04-30,1089800.0
2019-12-23,1462000.0
2020-03-11,1130400.0
2020-05-29,1287800.0
2019-12-26,1447700.0
2020-06-01,1287400.0
2019-05-02,1776400.0
2019-02-27,1854500.0
2018-11-23,1879700.0
2019-08-06,1087100.0
2018-07-18,1880500.0
2018-09-20,1179100.0
2018-10-22,752600.0
2019-07-05,1596100.0
2019-06-03,1986900.0
2019-10-09,1487900.0
2019-10-11,1733800.0
2020-03-17,1090300.0
2020-06-04,1404700.0
2019-10-14,1382200.0
2020-03-20,1261700.0
2018-11-06,1702500.0
2019-06-18,1294600.0
2019-05-17,1188400.0
2019-04-15,1188200.0
2019-03-14,1698800.0
2019-01-09,1788100.0
2018-08-02,2271300.0
2018-10-05,2038600.0
2019-08-21,1519000.0
2019-10-17,1562000.0
2020-03-23,4322200.0
2020-06-10,1370600.0
2019-02-25,1469300.0
2020-01-07,2302800.0
2020-03-26,1391600.0
2019-10-23,2008600.0
