Dates,LNC
2018-06-20,1786800.0
2018-06-21,1139300.0
2018-06-25,1640700.0
2018-06-22,1520300.0
2018-06-26,1354500.0
2018-06-27,2560500.0
2018-06-28,1243000.0
2018-06-29,1501400.0
2018-07-02,1196900.0
2018-07-03,1098400.0
2018-07-05,1302900.0
2018-07-16,1442200.0
2018-09-18,2244700.0
2019-01-24,1663300.0
2019-09-05,1366900.0
2018-11-21,1456900.0
2020-01-13,1397900.0
2020-04-01,1197300.0
2020-06-19,1297000.0
2019-10-29,1151400.0
2020-01-16,1968800.0
2020-06-22,1110300.0
2018-10-03,1405000.0
2018-07-31,1277300.0
2019-03-12,2439300.0
2019-02-08,1658700.0
2019-01-07,1368500.0
2018-12-06,1802000.0
2019-08-19,2132200.0
2019-07-18,1986300.0
2019-05-15,3186600.0
2019-09-20,1280500.0
2019-11-01,1093400.0
2020-04-07,1767600.0
2020-06-25,1173400.0
2020-06-16,1453300.0
2019-11-04,1320600.0
2020-01-22,1526000.0
2019-11-07,1362700.0
2020-04-13,1882900.0
2019-07-01,2120000.0
2019-05-30,863900.0
2018-08-15,923800.0
2018-10-18,1374300.0
2019-03-27,994700.0
2019-01-22,994400.0
2018-12-21,711200.0
2019-09-03,978600.0
2018-11-19,969900.0
2019-08-02,788500.0
2020-01-28,768000.0
2020-04-16,849500.0
2019-11-13,1019000.0
2020-01-31,1163600.0
2018-12-04,1294200.0
2018-11-02,1416700.0
2019-07-16,1187000.0
2018-08-30,1229500.0
2018-10-01,962600.0
2019-06-14,1477400.0
2019-05-13,1398000.0
2019-04-11,1556100.0
2019-02-06,877400.0
2019-09-18,1865800.0
2020-02-03,1844000.0
2020-04-22,1751200.0
2019-11-19,998100.0
2020-02-06,860500.0
2019-11-22,1336700.0
2019-03-25,969900.0
2019-02-21,1444800.0
2018-12-19,1131700.0
2018-07-12,898400.0
2018-09-14,2149700.0
2018-08-13,2532700.0
2018-10-16,1867800.0
2019-07-31,1074700.0
2019-05-28,1434300.0
2019-04-26,1742400.0
2020-04-28,2092700.0
2019-11-25,2241700.0
2020-02-12,1190200.0
2020-05-01,1550600.0
2020-05-04,1775000.0
2019-06-12,1578800.0
2019-04-09,1752600.0
2019-03-08,1630200.0
2019-02-04,2426600.0
2018-07-27,1628500.0
2018-08-28,1838700.0
2019-01-03,2012400.0
2019-08-15,2404800.0
2018-10-31,1967000.0
2019-09-16,2986700.0
2020-02-18,2481100.0
2020-05-07,3731100.0
2018-08-17,2025700.0
2019-12-04,1550600.0
2020-02-21,2461300.0
2018-12-17,1385800.0
2019-08-30,1159600.0
2018-11-15,1178300.0
2019-07-29,1787800.0
2019-06-27,1884900.0
2019-04-24,2712000.0
2018-07-10,2073300.0
2018-09-12,2273500.0
2019-02-19,2713600.0
2019-01-18,1543200.0
2020-02-24,505800.0
2020-05-13,1131200.0
2019-12-10,1475900.0
2020-02-27,1959400.0
2019-12-13,1964000.0
2020-05-19,1944600.0
2019-03-06,1703700.0
2018-11-30,2370500.0
2019-08-13,2578400.0
2019-07-12,2283500.0
2019-06-10,3966900.0
2019-05-09,3135400.0
2018-07-25,2377300.0
2018-09-27,2235200.0
2018-10-29,2601000.0
2019-10-16,2905600.0
2019-12-16,2732700.0
2020-03-04,3944600.0
2020-05-22,3398100.0
2019-10-01,5313600.0
2019-12-19,1645500.0
2018-09-10,3371300.0
2019-05-24,2854200.0
2018-08-09,2449300.0
2019-04-22,2138700.0
2019-03-21,2723600.0
2019-01-16,2712300.0
2019-08-28,3490500.0
2018-11-13,2244900.0
2018-10-12,2855000.0
2019-06-25,2356900.0
2020-03-10,2255900.0
2020-05-28,1692800.0
2019-10-07,2154600.0
2020-03-13,2040600.0
2019-10-10,2714600.0
2020-03-16,2165200.0
2020-06-03,2516500.0
2018-11-28,1733300.0
2018-09-25,2003600.0
2018-07-23,1931600.0
2018-08-24,1315600.0
2019-07-10,1118500.0
2019-05-07,1760200.0
2019-04-05,3132800.0
2019-03-04,1842700.0
2019-01-31,1681900.0
2019-09-12,1206000.0
2019-12-31,2021900.0
2020-03-19,1574900.0
2020-01-03,2825400.0
2020-06-09,2121000.0
2019-02-15,1508000.0
2019-01-14,1714300.0
2018-07-06,1552800.0
2018-08-07,1533800.0
2018-10-10,1234200.0
2018-12-13,1166500.0
2019-08-26,1363700.0
2019-07-25,1536000.0
2019-05-22,1457600.0
2019-03-19,1269500.0
2020-01-06,1346900.0
2020-03-25,1236300.0
2020-06-12,1498600.0
2019-10-22,1272500.0
2020-01-09,1649900.0
2020-06-15,1499900.0
2019-10-25,1462200.0
2020-03-31,2693300.0
2020-06-18,2095500.0
2019-04-03,1357000.0
2018-08-22,1600500.0
2018-10-25,1454300.0
2019-01-29,1678900.0
2018-12-28,2930500.0
2018-11-26,2360400.0
2019-08-09,1559500.0
2019-07-08,2527900.0
2019-06-06,2152200.0
2019-09-10,2719800.0
2020-01-15,2675600.0
2020-04-03,1810300.0
2019-10-31,1571500.0
2020-04-06,1665800.0
2020-06-24,1489700.0
2018-11-09,2583200.0
2019-07-23,1650800.0
2019-06-21,1560100.0
2019-05-20,1096700.0
2019-04-18,1206700.0
2018-09-06,942600.0
2018-10-08,1278800.0
2019-02-13,1357800.0
2018-12-11,1431900.0
2019-09-25,1537000.0
2020-01-21,1311200.0
2020-04-09,979500.0
2019-11-06,1632300.0
2020-01-24,1139400.0
2020-01-27,727300.0
2020-04-15,986000.0
2018-12-26,900000.0
2019-08-07,745800.0
2019-06-04,973100.0
2018-09-21,870900.0
2018-07-19,1039100.0
2018-08-20,1547800.0
2018-10-23,1836600.0
2019-05-03,1363900.0
2019-04-01,1375900.0
2019-02-28,1969800.0
2019-11-12,1711400.0
2020-01-30,2255300.0
2019-11-15,1736300.0
2020-04-21,1881700.0
2019-04-16,2281800.0
2019-03-15,1719200.0
2019-02-11,1219000.0
2019-01-10,919000.0
2019-08-22,981400.0
2018-11-07,1105300.0
2018-08-03,941500.0
2018-09-04,1508000.0
2019-06-19,1146700.0
2019-09-23,2044100.0
2019-11-18,1354500.0
2020-02-05,1001400.0
2020-04-24,1566000.0
2019-03-29,1798400.0
2019-11-21,2273700.0
2020-04-27,1622200.0
2020-02-11,1447600.0
2020-04-30,1431900.0
2019-05-01,1259700.0
2019-02-26,1180900.0
2019-01-25,1090400.0
2018-12-24,1333400.0
2019-09-06,924500.0
2018-07-17,1040000.0
2018-09-19,1268100.0
2019-08-05,1142200.0
2019-10-08,1260500.0
2019-12-11,1604200.0
2019-11-27,994300.0
2020-02-14,2729900.0
2020-05-06,2003600.0
2019-01-08,1168900.0
2018-12-07,2036400.0
2019-08-20,1687900.0
2018-11-05,1022700.0
2019-07-19,609300.0
2018-10-04,834900.0
2019-06-17,1120700.0
2019-05-16,1032900.0
2018-08-01,1023000.0
2019-03-13,1569900.0
2019-12-03,1141000.0
2020-02-20,874800.0
2019-12-06,1068700.0
2020-05-12,788100.0
2019-12-09,1057300.0
2020-02-26,965000.0
2020-05-15,922100.0
2019-03-28,1496300.0
2018-09-17,1141800.0
2018-08-16,1111200.0
2018-10-19,1821900.0
2019-04-29,1106400.0
2019-01-23,961800.0
2019-09-04,1697700.0
2018-11-20,3391900.0
2019-07-02,2094000.0
