Dates,MCD
2018-06-20,162.55999755859375
2018-06-21,160.52999877929688
2018-06-25,164.5500030517578
2018-06-22,159.80999755859375
2018-06-26,160.91000366210938
2018-06-27,157.4199981689453
2018-06-28,156.32000732421875
2018-06-29,156.69000244140625
2018-07-02,156.8699951171875
2018-07-03,156.47999572753906
2018-07-05,157.32000732421875
2018-07-16,159.4199981689453
2018-09-18,159.94000244140625
2019-01-24,160.6199951171875
2019-09-05,158.6199951171875
2018-11-21,159.1199951171875
2020-01-13,158.50999450683594
2020-04-01,158.77999877929688
2020-06-19,159.75
2019-10-29,157.92999267578125
2020-01-16,157.41000366210938
2020-06-22,157.97000122070312
2018-10-03,158.75
2018-07-31,157.94000244140625
2019-03-12,158.88999938964844
2019-02-08,156.13999938964844
2019-01-07,157.47999572753906
2018-12-06,158.63999938964844
2019-08-19,157.5399932861328
2019-07-18,156.9199981689453
2019-05-15,155.41000366210938
2019-09-20,156.2100067138672
2019-11-01,156.72000122070312
2020-04-07,156.0399932861328
2020-06-25,158.9199981689453
2020-06-16,159.3000030517578
2019-11-04,158.67999267578125
2020-01-22,158.13999938964844
2019-11-07,160.60000610351562
2020-04-13,159.8800048828125
2019-07-01,161.72999572753906
2019-05-30,161.14999389648438
2018-08-15,161.67999267578125
2018-10-18,161.0399932861328
2019-03-27,160.5500030517578
2019-01-22,159.0500030517578
2018-12-21,159.3800048828125
2019-09-03,160.47999572753906
2018-11-19,161.63999938964844
2019-08-02,163.11000061035156
2020-01-28,162.8000030517578
2020-04-16,162.22999572753906
2019-11-13,161.72000122070312
2020-01-31,163.24000549316406
2018-12-04,163.74000549316406
2018-11-02,163.89999389648438
2019-07-16,165.07000732421875
2018-08-30,164.6199951171875
2018-10-01,164.74000549316406
2019-06-14,162.39999389648438
2019-05-13,160.83999633789062
2019-04-11,158.13999938964844
2019-02-06,157.77000427246094
2019-09-18,159.17999267578125
2020-02-03,160.7899932861328
2020-04-22,165.3000030517578
2019-11-19,163.30999755859375
2020-02-06,166.41000366210938
2019-11-22,165.75999450683594
2019-03-25,166.52999877929688
2019-02-21,167.2899932861328
2018-12-19,166.6699981689453
2018-07-12,165.17999267578125
2018-09-14,164.66000366210938
2018-08-13,165.8000030517578
2018-10-16,166.57000732421875
2019-07-31,167.77000427246094
2019-05-28,169.8300018310547
2019-04-26,168.3699951171875
2020-04-28,162.97000122070312
2019-11-25,163.82000732421875
2020-02-12,163.6699981689453
2020-05-01,164.07000732421875
2020-05-04,166.77000427246094
2019-06-12,166.80999755859375
2019-04-09,167.49000549316406
2019-03-08,166.6300048828125
2019-02-04,177.14999389648438
2018-07-27,177.35000610351562
2018-08-28,175.30999755859375
2019-01-03,173.33999633789062
2019-08-15,173.22999572753906
2018-10-31,178.49000549316406
2019-09-16,176.89999389648438
2020-02-18,174.8800048828125
2020-05-07,176.75
2018-08-17,180.38999938964844
2019-12-04,182.7100067138672
2020-02-21,184.25
2018-12-17,185.47999572753906
2019-08-30,185.94000244140625
2018-11-15,184.3699951171875
2019-07-29,184.00999450683594
2019-06-27,183.85000610351562
2019-04-24,183.55999755859375
2018-07-10,187.58999633789062
2018-09-12,186.72000122070312
2019-02-19,183.7100067138672
2019-01-18,182.72000122070312
2020-02-24,181.92999267578125
2020-05-13,183.88999938964844
2019-12-10,184.6300048828125
2020-02-27,187.85000610351562
2019-12-13,189.25999450683594
2020-05-19,188.50999450683594
2019-03-06,185.3699951171875
2018-11-30,185.0399932861328
2019-08-13,185.4499969482422
2019-07-12,182.9600067138672
2019-06-10,184.64999389648438
2019-05-09,183.58999633789062
2018-07-25,183.47999572753906
2018-09-27,186.42999267578125
2018-10-29,183.2899932861328
2019-10-16,180.7899932861328
2019-12-16,179.7100067138672
2020-03-04,179.16000366210938
2020-05-22,173.67999267578125
2019-10-01,174.14999389648438
2019-12-19,170.27999877929688
2018-09-10,174.02999877929688
2019-05-24,175.7100067138672
2018-08-09,175.55999755859375
2019-04-22,177.57000732421875
2019-03-21,176.05999755859375
2019-01-16,174.89999389648438
2019-08-28,178.27999877929688
2018-11-13,180.22000122070312
2018-10-12,180.60000610351562
2019-06-25,180.2899932861328
2020-03-10,181.5500030517578
2020-05-28,182.3699951171875
2019-10-07,181.22000122070312
2020-03-13,181.02000427246094
2019-10-10,179.35000610351562
2020-03-16,181.11000061035156
2020-06-03,182.57000732421875
2018-11-28,184.57000732421875
2018-09-25,186.08999633789062
2018-07-23,187.3699951171875
2018-08-24,184.0
2019-07-10,183.60000610351562
2019-05-07,182.1699981689453
2019-04-05,181.77000427246094
2019-03-04,178.77999877929688
2019-01-31,176.72000122070312
2019-09-12,177.5500030517578
2019-12-31,177.57000732421875
2020-03-19,176.17999267578125
2020-01-03,175.27999877929688
2020-06-09,174.75
2019-02-15,174.25999450683594
2019-01-14,173.97000122070312
2018-07-06,174.14999389648438
2018-08-07,175.8699951171875
2018-10-10,179.97000122070312
2018-12-13,179.25
2019-08-26,180.49000549316406
2019-07-25,182.80999755859375
2019-05-22,183.1699981689453
2019-03-19,182.61000061035156
2020-01-06,183.2100067138672
2020-03-25,183.36000061035156
2020-06-12,183.83999633789062
2019-10-22,185.0500030517578
2020-01-09,180.58999633789062
2020-06-15,181.35000610351562
2019-10-25,182.02999877929688
2020-03-31,180.52000427246094
2020-06-18,179.5
2019-04-03,181.0800018310547
2018-08-22,181.8300018310547
2018-10-25,182.05999755859375
2019-01-29,182.74000549316406
2018-12-28,185.3300018310547
2018-11-26,183.9499969482422
2019-08-09,183.11000061035156
2019-07-08,184.97000122070312
2019-06-06,186.3699951171875
2019-09-10,186.80999755859375
2020-01-15,185.72000122070312
2020-04-03,187.47999572753906
2019-10-31,187.50999450683594
2020-04-06,189.38999938964844
2020-06-24,189.89999389648438
2018-11-09,188.38999938964844
2019-07-23,188.35000610351562
2019-06-21,188.35000610351562
2019-05-20,189.8699951171875
2019-04-18,190.7100067138672
2018-09-06,189.85000610351562
2018-10-08,190.0800018310547
2019-02-13,189.22000122070312
2018-12-11,188.8800048828125
2019-09-25,191.60000610351562
2020-01-21,191.85000610351562
2020-04-09,191.6999969482422
2019-11-06,191.61000061035156
2020-01-24,194.91000366210938
2020-01-27,193.9199981689453
2020-04-15,195.25999450683594
2018-12-26,197.6300048828125
2019-08-07,197.92999267578125
2019-06-04,197.4199981689453
2018-09-21,197.1199951171875
2018-07-19,197.57000732421875
2018-08-20,194.1699981689453
2018-10-23,194.61000061035156
2019-05-03,197.52000427246094
2019-04-01,198.89999389648438
2019-02-28,198.0399932861328
2019-11-12,198.02999877929688
2020-01-30,197.72999572753906
2019-11-15,199.99000549316406
2020-04-21,199.02999877929688
2019-04-16,198.00999450683594
2019-03-15,199.07000732421875
2019-02-11,199.99000549316406
2019-01-10,199.22000122070312
2019-08-22,198.99000549316406
2018-11-07,199.83999633789062
2018-08-03,199.9600067138672
2018-09-04,198.97000122070312
2019-06-19,197.77000427246094
2019-09-23,196.6699981689453
2019-11-18,196.02000427246094
2020-02-05,199.24000549316406
2020-04-24,198.27000427246094
2019-03-29,198.77999877929688
2019-11-21,199.6300048828125
2020-04-27,200.1300048828125
2020-02-11,203.0500030517578
2020-04-30,205.47999572753906
2019-05-01,201.3000030517578
2019-02-26,203.25999450683594
2019-01-25,204.92999267578125
2018-12-24,204.49000549316406
2019-09-06,205.2899932861328
2018-07-17,203.80999755859375
2018-09-19,204.50999450683594
2019-08-05,204.5500030517578
2019-10-08,205.1199951171875
2019-12-11,204.25999450683594
2019-11-27,203.9199981689453
2020-02-14,205.7100067138672
2020-05-06,204.5500030517578
2019-01-08,206.27000427246094
2018-12-07,207.66000366210938
2019-08-20,206.3000030517578
2018-11-05,209.5800018310547
2019-07-19,212.80999755859375
2018-10-04,211.24000549316406
2019-06-17,212.16000366210938
2019-05-16,212.08999633789062
2018-08-01,213.0
2019-03-13,212.69000244140625
2019-12-03,212.99000549316406
2020-02-20,214.2100067138672
2019-12-06,213.72000122070312
2020-05-12,213.7100067138672
