Dates,MLM
2018-06-20,229.22000122070312
2018-06-21,229.72999572753906
2018-06-25,228.0
2018-06-22,227.85000610351562
2018-06-26,225.4199981689453
2018-06-27,224.9499969482422
2018-06-28,221.44000244140625
2018-06-29,225.97000122070312
2018-07-02,224.05999755859375
2018-07-03,226.77000427246094
2018-07-05,227.0399932861328
2018-07-16,229.0
2018-09-18,228.52000427246094
2019-01-24,227.47000122070312
2019-09-05,227.82000732421875
2018-11-21,228.47000122070312
2020-01-13,228.11000061035156
2020-04-01,228.30999755859375
2020-06-19,227.1300048828125
2019-10-29,227.6999969482422
2020-01-16,226.4499969482422
2020-06-22,226.44000244140625
2018-10-03,224.8800048828125
2018-07-31,226.24000549316406
2019-03-12,224.91000366210938
2019-02-08,225.0500030517578
2019-01-07,210.52999877929688
2018-12-06,206.3300018310547
2019-08-19,202.99000549316406
2019-07-18,202.10000610351562
2019-05-15,205.92999267578125
2019-09-20,208.27999877929688
2019-11-01,208.61000061035156
2020-04-07,211.2899932861328
2020-06-25,209.47999572753906
2020-06-16,208.02999877929688
2019-11-04,202.39999389648438
2020-01-22,201.6199951171875
2019-11-07,203.9499969482422
2020-04-13,203.2899932861328
2019-07-01,205.0
2019-05-30,204.13999938964844
2018-08-15,203.83999633789062
2018-10-18,205.92999267578125
2019-03-27,206.63999938964844
2019-01-22,206.8699951171875
2018-12-21,205.94000244140625
2019-09-03,210.92999267578125
2018-11-19,209.7100067138672
2019-08-02,207.35000610351562
2020-01-28,207.1999969482422
2020-04-16,203.8800048828125
2019-11-13,199.50999450683594
2020-01-31,200.58999633789062
2018-12-04,201.4499969482422
2018-11-02,199.14999389648438
2019-07-16,196.16000366210938
2018-08-30,193.36000061035156
2018-10-01,192.94000244140625
2019-06-14,195.9600067138672
2019-05-13,194.88999938964844
2019-04-11,195.24000549316406
2019-02-06,196.0399932861328
2019-09-18,198.4499969482422
2020-02-03,199.75
2020-04-22,196.0399932861328
2019-11-19,191.77999877929688
2020-02-06,191.3000030517578
2019-11-22,190.11000061035156
2019-03-25,189.60000610351562
2019-02-21,186.6300048828125
2018-12-19,186.9199981689453
2018-07-12,186.39999389648438
2018-09-14,186.7100067138672
2018-08-13,188.7100067138672
2018-10-16,185.72000122070312
2019-07-31,183.3300018310547
2019-05-28,183.07000732421875
2019-04-26,180.08999633789062
2020-04-28,176.72000122070312
2019-11-25,171.61000061035156
2020-02-12,170.8800048828125
2020-05-01,171.9199981689453
2020-05-04,166.57000732421875
2019-06-12,165.5500030517578
2019-04-09,164.25999450683594
2019-03-08,163.0
2019-02-04,164.5500030517578
2018-07-27,168.0800018310547
2018-08-28,166.8000030517578
2019-01-03,160.05999755859375
2019-08-15,161.94000244140625
2018-10-31,166.57000732421875
2019-09-16,177.0
2020-02-18,175.5
2020-05-07,178.13999938964844
2018-08-17,178.58999633789062
2019-12-04,190.0
2020-02-21,197.38999938964844
2018-12-17,190.2899932861328
2019-08-30,188.25999450683594
2018-11-15,184.4199981689453
2019-07-29,187.58999633789062
2019-06-27,189.25999450683594
2019-04-24,189.66000366210938
2018-07-10,190.3300018310547
2018-09-12,189.7100067138672
2019-02-19,188.14999389648438
2019-01-18,190.47999572753906
2020-02-24,188.60000610351562
2020-05-13,192.8800048828125
2019-12-10,192.60000610351562
2020-02-27,199.1199951171875
2019-12-13,198.80999755859375
2020-05-19,196.22999572753906
2019-03-06,195.6300048828125
2018-11-30,194.2899932861328
2019-08-13,187.32000732421875
2019-07-12,190.58999633789062
2019-06-10,184.25
2019-05-09,183.57000732421875
2018-07-25,181.5
2018-09-27,181.52999877929688
2018-10-29,175.9199981689453
2019-10-16,180.27999877929688
2019-12-16,179.89999389648438
2020-03-04,178.13999938964844
2020-05-22,171.3000030517578
2019-10-01,170.30999755859375
2019-12-19,168.1699981689453
2018-09-10,169.88999938964844
2019-05-24,170.4600067138672
2018-08-09,172.08999633789062
2019-04-22,172.4499969482422
