Dates,MMM
2018-06-20,2348300.0
2018-06-21,2420400.0
2018-06-25,2290100.0
2018-06-22,2922500.0
2018-06-26,2140200.0
2018-06-27,2889700.0
2018-06-28,1978700.0
2018-06-29,2671600.0
2018-07-02,1815500.0
2018-07-03,1228900.0
2018-07-05,2019300.0
2018-07-16,1624500.0
2018-09-18,1967100.0
2019-01-24,1688700.0
2019-09-05,1853100.0
2018-11-21,1733500.0
2020-01-13,1625400.0
2020-04-01,1468000.0
2020-06-19,1920600.0
2019-10-29,1945000.0
2020-01-16,2616400.0
2020-06-22,2325400.0
2018-10-03,3269100.0
2018-07-31,8186500.0
2019-03-12,3345200.0
2019-02-08,2848300.0
2019-01-07,2248000.0
2018-12-06,2040500.0
2019-08-19,3573100.0
2019-07-18,2066600.0
2019-05-15,1699700.0
2019-09-20,1299900.0
2019-11-01,1063800.0
2020-04-07,1314600.0
2020-06-25,1052100.0
2020-06-16,1812600.0
2019-11-04,1893200.0
2020-01-22,1587200.0
2019-11-07,1719000.0
2020-04-13,2028900.0
2019-07-01,1640200.0
2019-05-30,1598900.0
2018-08-15,2091700.0
2018-10-18,1709700.0
2019-03-27,1461300.0
2019-01-22,1367300.0
2018-12-21,1676600.0
2019-09-03,1777200.0
2018-11-19,2136700.0
2019-08-02,2110300.0
2020-01-28,2240800.0
2020-04-16,1943500.0
2019-11-13,2108500.0
2020-01-31,1951500.0
2018-12-04,2363500.0
2018-11-02,2739200.0
2019-07-16,2399700.0
2018-08-30,1967500.0
2018-10-01,4937000.0
2019-06-14,2171300.0
2019-05-13,1721600.0
2019-04-11,1610400.0
2019-02-06,1652900.0
2019-09-18,1884500.0
2020-02-03,2075100.0
2020-04-22,5563700.0
2019-11-19,2044800.0
2020-02-06,2090600.0
2019-11-22,1677700.0
2019-03-25,1609800.0
2019-02-21,2500200.0
2018-12-19,1828800.0
2018-07-12,1749400.0
2018-09-14,2139200.0
2018-08-13,1682500.0
2018-10-16,2140300.0
2019-07-31,1666700.0
2019-05-28,2947400.0
2019-04-26,3525200.0
2020-04-28,3497200.0
2019-11-25,2798100.0
2020-02-12,1812800.0
2020-05-01,1939500.0
2020-05-04,1824200.0
2019-06-12,2339400.0
2019-04-09,3167300.0
2019-03-08,3263300.0
2019-02-04,8255600.0
2018-07-27,5003500.0
2018-08-28,3535200.0
2019-01-03,3546200.0
2019-08-15,2867600.0
2018-10-31,2919600.0
2019-09-16,2845100.0
2020-02-18,2242800.0
