Dates,MTB
2018-06-20,876100.0
2018-06-21,1385900.0
2018-06-25,1147100.0
2018-06-22,662100.0
2018-06-26,676400.0
2018-06-27,987800.0
2018-06-28,1351100.0
2018-06-29,1446400.0
2018-07-02,732600.0
2018-07-03,383100.0
2018-07-05,680100.0
2018-07-16,829500.0
2018-09-18,1108800.0
2019-01-24,1810300.0
2019-09-05,1043300.0
2018-11-21,1742200.0
2020-01-13,2205000.0
2020-04-01,1518200.0
2020-06-19,1312200.0
2019-10-29,1737900.0
2020-01-16,906900.0
2020-06-22,1287100.0
2018-10-03,939300.0
2018-07-31,928300.0
2019-03-12,1184200.0
2019-02-08,1455800.0
2019-01-07,1029500.0
2018-12-06,744400.0
2019-08-19,617600.0
2019-07-18,742000.0
2019-05-15,719600.0
2019-09-20,672600.0
2019-11-01,664300.0
2020-04-07,391100.0
2020-06-25,418900.0
2020-06-16,411000.0
2019-11-04,745800.0
2020-01-22,622600.0
2019-11-07,863300.0
2020-04-13,734400.0
2019-07-01,722400.0
2019-05-30,892200.0
2018-08-15,848500.0
2018-10-18,923400.0
2019-03-27,346900.0
2019-01-22,519800.0
2018-12-21,555600.0
2019-09-03,527700.0
2018-11-19,898400.0
2019-08-02,717200.0
2020-01-28,651600.0
2020-04-16,822100.0
2019-11-13,829700.0
2020-01-31,1175600.0
2018-12-04,756400.0
2018-11-02,675500.0
2019-07-16,806500.0
2018-08-30,640000.0
2018-10-01,815200.0
2019-06-14,1184200.0
2019-05-13,694700.0
2019-04-11,846300.0
2019-02-06,859200.0
2019-09-18,714600.0
2020-02-03,972400.0
2020-04-22,1417800.0
2019-11-19,793500.0
2020-02-06,817600.0
2019-11-22,1008800.0
2019-03-25,820900.0
2019-02-21,921100.0
2018-12-19,694900.0
2018-07-12,692200.0
2018-09-14,846600.0
2018-08-13,754800.0
2018-10-16,778500.0
2019-07-31,820300.0
2019-05-28,579700.0
2019-04-26,894800.0
2020-04-28,1304800.0
2019-11-25,1087300.0
2020-02-12,763200.0
2020-05-01,807000.0
2020-05-04,1386300.0
2019-06-12,963500.0
2019-04-09,1049500.0
2019-03-08,1531100.0
2019-02-04,1159800.0
2018-07-27,1308000.0
2018-08-28,811500.0
2019-01-03,1131200.0
2019-08-15,862000.0
2018-10-31,1062900.0
2019-09-16,891900.0
2020-02-18,908800.0
2020-05-07,933200.0
2018-08-17,820000.0
2019-12-04,784300.0
2020-02-21,793400.0
2018-12-17,795900.0
2019-08-30,744200.0
2018-11-15,773600.0
2019-07-29,815400.0
2019-06-27,1090100.0
2019-04-24,984500.0
2018-07-10,1038400.0
2018-09-12,906200.0
2019-02-19,1337800.0
2019-01-18,1148700.0
2020-02-24,221900.0
2020-05-13,900700.0
2019-12-10,877700.0
2020-02-27,1039300.0
2019-12-13,901300.0
2020-05-19,1497200.0
2019-03-06,833100.0
2018-11-30,1148300.0
2019-08-13,1109800.0
2019-07-12,892300.0
2019-06-10,721000.0
2019-05-09,554600.0
2018-07-25,808900.0
2018-09-27,1160000.0
2018-10-29,824700.0
2019-10-16,830400.0
2019-12-16,907700.0
2020-03-04,1009700.0
2020-05-22,1142400.0
2019-10-01,2174400.0
2019-12-19,575700.0
2018-09-10,953600.0
2019-05-24,756200.0
2018-08-09,710500.0
2019-04-22,580900.0
2019-03-21,874200.0
2019-01-16,1022100.0
2019-08-28,1013000.0
2018-11-13,1130200.0
2018-10-12,1423200.0
2019-06-25,911600.0
2020-03-10,566200.0
2020-05-28,461200.0
