Dates,MYL
2018-06-20,3196300.0
2018-06-21,2094600.0
2018-06-25,4842100.0
2018-06-22,3271600.0
2018-06-26,3153000.0
2018-06-27,4337100.0
2018-06-28,6176200.0
2018-06-29,3526600.0
2018-07-02,4579400.0
2018-07-03,1817200.0
2018-07-05,3764700.0
2018-07-16,2355600.0
2018-09-18,2667300.0
2019-01-24,2728500.0
2019-09-05,2319000.0
2018-11-21,2324400.0
2020-01-13,2381700.0
2020-04-01,1749400.0
2020-06-19,2392700.0
2019-10-29,4063500.0
2020-01-16,3065700.0
2020-06-22,3152300.0
2018-10-03,2438500.0
2018-07-31,4233600.0
2019-03-12,2622600.0
2019-02-08,3190000.0
2019-01-07,2561800.0
2018-12-06,3237800.0
2019-08-19,5987900.0
2019-07-18,4318000.0
2019-05-15,4068900.0
2019-09-20,6194700.0
2019-11-01,4614600.0
2020-04-07,5160600.0
2020-06-25,23559200.0
2020-06-16,12875200.0
2019-11-04,5647300.0
2020-01-22,8555500.0
2019-11-07,5101400.0
2020-04-13,4397600.0
2019-07-01,9088900.0
2019-05-30,3276100.0
2018-08-15,2767700.0
2018-10-18,3215700.0
2019-03-27,2462200.0
2019-01-22,2572200.0
2018-12-21,4527500.0
2019-09-03,3015800.0
2018-11-19,2934200.0
2019-08-02,1745900.0
2020-01-28,2493800.0
2020-04-16,2167400.0
2019-11-13,2039100.0
2020-01-31,3066400.0
2018-12-04,2787800.0
2018-11-02,2404700.0
2019-07-16,1838600.0
2018-08-30,1754000.0
2018-10-01,3689500.0
2019-06-14,3691600.0
2019-05-13,2432000.0
2019-04-11,3185900.0
2019-02-06,4107700.0
2019-09-18,4104200.0
2020-02-03,3252000.0
2020-04-22,5187300.0
2019-11-19,2549100.0
2020-02-06,2673200.0
2019-11-22,4731800.0
2019-03-25,2631500.0
2019-02-21,6681800.0
2018-12-19,4783000.0
2018-07-12,6162000.0
2018-09-14,4110400.0
2018-08-13,4583200.0
2018-10-16,7284500.0
2019-07-31,3916700.0
2019-05-28,14016100.0
2019-04-26,6017300.0
2020-04-28,7471000.0
2019-11-25,8076100.0
2020-02-12,4692000.0
2020-05-01,3836100.0
2020-05-04,3310000.0
2019-06-12,4501800.0
2019-04-09,5702300.0
2019-03-08,4393200.0
2019-02-04,5398600.0
2018-07-27,5741600.0
2018-08-28,4710600.0
2019-01-03,7274000.0
2019-08-15,3880600.0
2018-10-31,4725200.0
2019-09-16,4785600.0
2020-02-18,3906600.0
2020-05-07,5083500.0
2018-08-17,7640800.0
2019-12-04,26087600.0
2020-02-21,8031600.0
2018-12-17,5604900.0
2019-08-30,4300400.0
2018-11-15,4262900.0
2019-07-29,4186000.0
