Dates,NCLH
2018-06-20,1197000.0
2018-06-21,926300.0
2018-06-25,3261800.0
2018-06-22,5794700.0
2018-06-26,2771600.0
2018-06-27,3094200.0
2018-06-28,2232000.0
2018-06-29,2972200.0
2018-07-02,1973800.0
2018-07-03,926900.0
2018-07-05,2244700.0
2018-07-16,919400.0
2018-09-18,1176400.0
2019-01-24,1511700.0
2019-09-05,2035400.0
2018-11-21,1275300.0
2020-01-13,1927700.0
2020-04-01,1617700.0
2020-06-19,1546200.0
2019-10-29,6735000.0
2020-01-16,2211600.0
2020-06-22,1180600.0
2018-10-03,2530600.0
2018-07-31,2826800.0
2019-03-12,1686400.0
2019-02-08,1017500.0
2019-01-07,1236600.0
2018-12-06,1238700.0
2019-08-19,2079500.0
2019-07-18,1273700.0
2019-05-15,2028300.0
2019-09-20,1313000.0
2019-11-01,1099500.0
2020-04-07,1365400.0
2020-06-25,1794000.0
2020-06-16,4387800.0
2019-11-04,1852900.0
2020-01-22,2530400.0
2019-11-07,2275800.0
2020-04-13,1886100.0
2019-07-01,1132400.0
2019-05-30,2498000.0
2018-08-15,2169500.0
2018-10-18,1509800.0
2019-03-27,1175200.0
2019-01-22,1085900.0
2018-12-21,966400.0
2019-09-03,1203800.0
2018-11-19,899500.0
2019-08-02,2187200.0
2020-01-28,1416300.0
2020-04-16,1921400.0
2019-11-13,1425500.0
2020-01-31,1182800.0
2018-12-04,1371400.0
2018-11-02,965400.0
2019-07-16,1116600.0
2018-08-30,1203500.0
2018-10-01,1066400.0
2019-06-14,1059700.0
2019-05-13,3041300.0
2019-04-11,1947600.0
2019-02-06,2060700.0
2019-09-18,1402200.0
2020-02-03,1297000.0
2020-04-22,2787300.0
2019-11-19,1698200.0
2020-02-06,1201200.0
2019-11-22,2357700.0
2019-03-25,4532600.0
2019-02-21,1925100.0
2018-12-19,1290800.0
2018-07-12,896600.0
2018-09-14,1040300.0
2018-08-13,1981400.0
2018-10-16,1475200.0
2019-07-31,1476900.0
2019-05-28,790200.0
2019-04-26,1797000.0
2020-04-28,2488400.0
2019-11-25,3275400.0
2020-02-12,1809900.0
2020-05-01,1848400.0
2020-05-04,1593900.0
2019-06-12,3164800.0
2019-04-09,2723000.0
2019-03-08,1979800.0
2019-02-04,3009700.0
2018-07-27,3023300.0
2018-08-28,3646200.0
2019-01-03,3232000.0
2019-08-15,3366800.0
2018-10-31,4543600.0
