Dates,NWL
2018-06-20,4086500.0
2018-06-21,3106600.0
2018-06-25,7129500.0
2018-06-22,5747000.0
2018-06-26,6485000.0
2018-06-27,8620800.0
2018-06-28,3385700.0
2018-06-29,4006600.0
2018-07-02,4474400.0
2018-07-03,3238900.0
2018-07-05,5718700.0
2018-07-16,4301500.0
2018-09-18,4666800.0
2019-01-24,4106100.0
2019-09-05,3499800.0
2018-11-21,3414200.0
2020-01-13,2858500.0
2020-04-01,2531300.0
2020-06-19,3087900.0
2019-10-29,5421500.0
2020-01-16,3885600.0
2020-06-22,5504900.0
2018-10-03,4528900.0
2018-07-31,4084400.0
2019-03-12,5027300.0
2019-02-08,7469700.0
2019-01-07,5419200.0
2018-12-06,7463800.0
2019-08-19,5331300.0
2019-07-18,4325900.0
2019-05-15,3970300.0
2019-09-20,5422600.0
2019-11-01,34676600.0
2020-04-07,24685000.0
2020-06-25,26998500.0
2020-06-16,18774200.0
2019-11-04,11819200.0
2020-01-22,13463500.0
2019-11-07,13335200.0
2020-04-13,8051300.0
2019-07-01,9893900.0
2019-05-30,6604800.0
2018-08-15,11741100.0
2018-10-18,6679700.0
2019-03-27,4028000.0
2019-01-22,5220000.0
2018-12-21,5157500.0
2019-09-03,7580300.0
2018-11-19,8415300.0
2019-08-02,8792600.0
2020-01-28,6312100.0
2020-04-16,5588900.0
2019-11-13,6155000.0
2020-01-31,9596600.0
2018-12-04,4815700.0
2018-11-02,4135300.0
2019-07-16,5076300.0
2018-08-30,4706200.0
2018-10-01,5575500.0
2019-06-14,12633800.0
2019-05-13,6530300.0
2019-04-11,4181000.0
2019-02-06,4841400.0
2019-09-18,6976800.0
2020-02-03,9035800.0
2020-04-22,14275600.0
2019-11-19,15875000.0
2020-02-06,8262000.0
2019-11-22,4902300.0
2019-03-25,8907300.0
2019-02-21,6327400.0
2018-12-19,5738200.0
2018-07-12,5043400.0
2018-09-14,4110800.0
2018-08-13,8913000.0
2018-10-16,16045000.0
2019-07-31,8097000.0
2019-05-28,6213200.0
2019-04-26,8938600.0
2020-04-28,9018700.0
2019-11-25,6952700.0
2020-02-12,10435000.0
2020-05-01,9173400.0
2020-05-04,9681200.0
2019-06-12,13401400.0
2019-04-09,12178700.0
2019-03-08,10522400.0
2019-02-04,10612700.0
2018-07-27,14473500.0
2018-08-28,9140500.0
2019-01-03,11476000.0
2019-08-15,9230300.0
2018-10-31,9490500.0
2019-09-16,10693900.0
2020-02-18,16297100.0
2020-05-07,28383000.0
2018-08-17,17541500.0
2019-12-04,8315900.0
2020-02-21,8912200.0
2018-12-17,5444000.0
2019-08-30,7712000.0
2018-11-15,10483300.0
2019-07-29,10234100.0
2019-06-27,8926700.0
2019-04-24,11963300.0
2018-07-10,9719500.0
2018-09-12,11085200.0
2019-02-19,11113600.0
2019-01-18,5037900.0
2020-02-24,2349300.0
2020-05-13,18686900.0
2019-12-10,11694700.0
2020-02-27,12571700.0
2019-12-13,8367200.0
2020-05-19,14213500.0
2019-03-06,12693200.0
2018-11-30,12263800.0
2019-08-13,12409900.0
2019-07-12,10680000.0
2019-06-10,8360500.0
2019-05-09,9830200.0
2018-07-25,7343400.0
