Dates,PEG
2018-06-20,3126500.0
2018-06-21,3840900.0
2018-06-25,4112200.0
2018-06-22,2987500.0
2018-06-26,2730400.0
2018-06-27,3004800.0
2018-06-28,3033700.0
2018-06-29,3395800.0
2018-07-02,3273600.0
2018-07-03,3419900.0
2018-07-05,4399700.0
2018-07-16,2732000.0
2018-09-18,4095700.0
2019-01-24,3481400.0
2019-09-05,2397900.0
2018-11-21,2562000.0
2020-01-13,3426800.0
2020-04-01,1970000.0
2020-06-19,2391600.0
2019-10-29,3387900.0
2020-01-16,2349800.0
2020-06-22,1849800.0
2018-10-03,3030600.0
2018-07-31,4768600.0
2019-03-12,3222100.0
2019-02-08,3854400.0
2019-01-07,2623000.0
2018-12-06,3389900.0
2019-08-19,3856300.0
2019-07-18,3612700.0
2019-05-15,3028300.0
2019-09-20,2280900.0
2019-11-01,2215800.0
2020-04-07,1896100.0
2020-06-25,2411900.0
2020-06-16,2393500.0
2019-11-04,2273200.0
2020-01-22,2149600.0
2019-11-07,1855200.0
2020-04-13,4113900.0
2019-07-01,3740700.0
2019-05-30,3010100.0
2018-08-15,2279900.0
2018-10-18,2605400.0
2019-03-27,2282100.0
2019-01-22,1522100.0
2018-12-21,2202200.0
2019-09-03,2351300.0
2018-11-19,2487000.0
2019-08-02,2105700.0
2020-01-28,2096500.0
2020-04-16,2380800.0
2019-11-13,2247300.0
2020-01-31,3519000.0
2018-12-04,3317800.0
2018-11-02,2604000.0
2019-07-16,2028300.0
2018-08-30,2257700.0
2018-10-01,2740100.0
2019-06-14,2308500.0
2019-05-13,2644100.0
2019-04-11,2028100.0
2019-02-06,2060300.0
2019-09-18,3329200.0
2020-02-03,2363000.0
2020-04-22,4304200.0
2019-11-19,2313000.0
2020-02-06,1746700.0
2019-11-22,2232700.0
2019-03-25,2547700.0
2019-02-21,4051700.0
2018-12-19,2443700.0
2018-07-12,2932800.0
2018-09-14,4101900.0
2018-08-13,4397400.0
2018-10-16,3495900.0
2019-07-31,3200300.0
2019-05-28,3339000.0
2019-04-26,5033300.0
2020-04-28,4057400.0
2019-11-25,4064300.0
2020-02-12,2119800.0
2020-05-01,2613400.0
2020-05-04,2586500.0
2019-06-12,1872000.0
2019-04-09,2038200.0
2019-03-08,2553400.0
2019-02-04,3847100.0
2018-07-27,3881000.0
2018-08-28,4868000.0
2019-01-03,4837400.0
2019-08-15,3499700.0
2018-10-31,4168500.0
2019-09-16,4089000.0
2020-02-18,3688100.0
2020-05-07,3044700.0
2018-08-17,2995200.0
2019-12-04,2693100.0
2020-02-21,4675700.0
2018-12-17,3350200.0
2019-08-30,4986200.0
2018-11-15,4036700.0
2019-07-29,3950600.0
2019-06-27,5039900.0
2019-04-24,3500300.0
2018-07-10,3377800.0
2018-09-12,2771300.0
2019-02-19,3108500.0
2019-01-18,3403500.0
2020-02-24,899400.0
2020-05-13,2511000.0
2019-12-10,3717100.0
2020-02-27,3531300.0
2019-12-13,2993000.0
2020-05-19,3922800.0
2019-03-06,3029600.0
2018-11-30,3943800.0
2019-08-13,3998400.0
2019-07-12,3489000.0
2019-06-10,4011100.0
2019-05-09,2615900.0
2018-07-25,4049200.0
2018-09-27,2755900.0
2018-10-29,3008500.0
2019-10-16,3515100.0
2019-12-16,3187700.0
2020-03-04,3125300.0
2020-05-22,3501800.0
2019-10-01,5593000.0
2019-12-19,1743000.0
2018-09-10,2572000.0
2019-05-24,3024500.0
2018-08-09,2167700.0
2019-04-22,2847100.0
2019-03-21,3355900.0
2019-01-16,3264000.0
2019-08-28,4473100.0
2018-11-13,3534200.0
2018-10-12,2977500.0
2019-06-25,2750200.0
2020-03-10,2884500.0
2020-05-28,3800500.0
2019-10-07,4364200.0
2020-03-13,3569000.0
2019-10-10,2908600.0
2020-03-16,4598300.0
2020-06-03,4101900.0
2018-11-28,3704400.0
2018-09-25,2906900.0
2018-07-23,2327100.0
2018-08-24,2559100.0
2019-07-10,2447700.0
2019-05-07,2496800.0
2019-04-05,2390100.0
2019-03-04,3429100.0
2019-01-31,2809800.0
2019-09-12,2583800.0
2019-12-31,3384600.0
2020-03-19,2733900.0
2020-01-03,3339800.0
2020-06-09,3049900.0
2019-02-15,2890000.0
2019-01-14,2685400.0
2018-07-06,3026400.0
2018-08-07,2847500.0
2018-10-10,3005600.0
2018-12-13,4177400.0
2019-08-26,3958700.0
2019-07-25,3939300.0
2019-05-22,3060900.0
2019-03-19,4385200.0
2020-01-06,5450300.0
2020-03-25,3402400.0
2020-06-12,4503600.0
2019-10-22,3221600.0
2020-01-09,3374700.0
2020-06-15,4108200.0
2019-10-25,4228200.0
2020-03-31,4472600.0
2020-06-18,2883600.0
2019-04-03,3506000.0
2018-08-22,2847300.0
2018-10-25,4637000.0
2019-01-29,2420800.0
2018-12-28,7124300.0
2018-11-26,2643900.0
2019-08-09,2539000.0
2019-07-08,2676900.0
2019-06-06,1808600.0
2019-09-10,1903700.0
2020-01-15,1611600.0
2020-04-03,2573400.0
2019-10-31,1991600.0
2020-04-06,2298100.0
2020-06-24,2613400.0
2018-11-09,2898800.0
2019-07-23,2768300.0
2019-06-21,2089700.0
2019-05-20,3443900.0
2019-04-18,2611800.0
2018-09-06,1737900.0
2018-10-08,2972400.0
2019-02-13,2297300.0
2018-12-11,1970500.0
2019-09-25,2436900.0
2020-01-21,1889600.0
2020-04-09,2022300.0
2019-11-06,2624000.0
2020-01-24,7421500.0
2020-01-27,3138200.0
2020-04-15,3724500.0
2018-12-26,1924200.0
2019-08-07,1971300.0
2019-06-04,1643600.0
2018-09-21,1597900.0
2018-07-19,2182600.0
2018-08-20,2183200.0
2018-10-23,2950700.0
2019-05-03,2137900.0
2019-04-01,2129100.0
2019-02-28,2162300.0
2019-11-12,2233800.0
2020-01-30,1831200.0
2019-11-15,1320600.0
2020-04-21,1788400.0
2019-04-16,3246300.0
2019-03-15,1931200.0
2019-02-11,1707500.0
2019-01-10,1592000.0
2019-08-22,1655100.0
2018-11-07,1636800.0
2018-08-03,1526400.0
2018-09-04,1691800.0
2019-06-19,1489900.0
2019-09-23,2607600.0
2019-11-18,2843700.0
2020-02-05,2027700.0
2020-04-24,2369200.0
2019-03-29,2389300.0
2019-11-21,1510800.0
2020-04-27,2158600.0
2020-02-11,1649500.0
2020-04-30,1872800.0
2019-05-01,1268300.0
2019-02-26,1422800.0
2019-01-25,1267000.0
2018-12-24,3234000.0
2019-09-06,1832000.0
2018-07-17,1287500.0
2018-09-19,1978900.0
2019-08-05,2557800.0
2019-10-08,1682500.0
2019-12-11,2885800.0
2019-11-27,1433800.0
2020-02-14,1931300.0
2020-05-06,2312900.0
2019-01-08,2061900.0
2018-12-07,5638200.0
2019-08-20,2277500.0
2018-11-05,2179600.0
2019-07-19,2059800.0
2018-10-04,1774400.0
2019-06-17,1436700.0
2019-05-16,2348600.0
2018-08-01,1911800.0
2019-03-13,2007800.0
2019-12-03,1902200.0
2020-02-20,2530900.0
2019-12-06,2428600.0
2020-05-12,2231100.0
2019-12-09,1768600.0
2020-02-26,3488500.0
2020-05-15,2101400.0
2019-03-28,2094500.0
2018-09-17,2053500.0
2018-08-16,2457900.0
2018-10-19,2203200.0
2019-04-29,2376800.0
2019-01-23,3048700.0
2019-09-04,3755300.0
2018-11-20,3485900.0
2019-07-02,3693800.0
2019-05-31,3100200.0
2019-12-12,2822400.0
2020-05-18,3363700.0
2019-09-27,2420800.0
2020-03-03,2405400.0
2020-05-21,1822200.0
2019-05-14,1747700.0
2018-08-31,2691700.0
2018-07-30,1928800.0
2018-10-02,1843300.0
2019-04-12,1673900.0
2019-03-11,1640900.0
2019-02-07,1323600.0
2019-07-17,1783300.0
2019-09-19,2631800.0
2019-10-21,1260600.0
2019-12-18,2219200.0
2020-03-06,1834900.0
2019-10-03,2136900.0
2020-03-09,1765000.0
2020-05-27,2170900.0
2019-12-24,2709200.0
2020-03-12,2284200.0
2018-12-20,1678200.0
2019-08-01,1877200.0
2018-08-14,1909700.0
2018-07-13,1923100.0
2018-10-17,2518200.0
2019-05-29,2262200.0
2019-03-26,1245500.0
2019-02-22,2187700.0
2019-10-04,1890200.0
2019-11-05,1317500.0
2019-12-27,3240200.0
2020-06-02,1887100.0
2019-12-30,2312300.0
2020-03-18,2412900.0
2020-06-05,1347700.0
2019-07-15,1730800.0
2018-12-03,2250100.0
2019-06-13,2067200.0
2019-01-04,2025100.0
2018-08-29,2199000.0
2019-02-05,1698700.0
2018-11-01,1352900.0
2019-08-16,2152800.0
2019-04-10,1363200.0
2019-09-17,1604900.0
2019-10-15,2190800.0
2020-01-02,1496000.0
2020-06-08,1606300.0
2019-10-18,3082300.0
2020-03-24,1261700.0
2020-06-11,1603700.0
2020-01-08,1267000.0
2019-04-25,1161400.0
2019-07-30,1688800.0
2019-02-20,1202800.0
2018-07-11,1454400.0
2018-09-13,1480300.0
2018-10-15,1683700.0
2019-06-28,1626300.0
2018-12-18,2445700.0
2018-11-16,2092400.0
2019-10-02,1723300.0
2020-03-27,2658100.0
2020-01-10,2734100.0
2019-10-24,1860100.0
2020-03-30,1314800.0
2020-06-17,1138600.0
2020-01-14,1876300.0
2020-04-02,2438000.0
2019-01-02,2111600.0
2019-08-14,1631600.0
2018-10-30,1705100.0
2019-06-11,2769800.0
2019-05-10,2417000.0
2019-04-08,1662800.0
2018-08-27,1533100.0
2018-07-26,2034700.0
2018-09-28,2594000.0
2019-03-07,2400900.0
2019-10-30,1243300.0
2020-01-17,2359200.0
2020-06-23,4022700.0
2020-04-08,2898800.0
2020-06-26,3636000.0
2019-03-22,2039900.0
2019-01-17,1839200.0
2019-08-29,4211900.0
2018-11-14,3395000.0
2019-06-26,3998300.0
2018-09-11,3161600.0
2018-07-09,2915200.0
2018-08-10,2790800.0
2019-04-23,4181600.0
2019-09-30,3911200.0
2020-01-23,6090400.0
2019-11-08,2461800.0
2020-04-14,901800.0
2019-11-11,2963700.0
2020-01-29,1953900.0
2020-04-17,2332500.0
2018-07-24,2877600.0
2018-09-26,2557800.0
2019-05-08,2992200.0
2019-03-05,3605300.0
2019-02-01,4094400.0
2018-12-31,3250900.0
2018-11-29,2081300.0
2019-08-12,1499400.0
2019-07-11,1484900.0
2019-09-13,2290500.0
2019-11-14,1528600.0
2020-04-20,2255300.0
2020-02-04,2976800.0
2020-04-23,2894600.0
2018-12-14,4059000.0
2019-08-27,3560600.0
2018-08-08,2549500.0
2018-10-11,2514600.0
2018-11-12,3555300.0
2019-07-26,1830100.0
2019-06-24,3091900.0
2019-05-23,3023100.0
2019-03-20,1778200.0
2019-01-15,1952800.0
2019-11-20,2582700.0
2020-02-07,2771100.0
2020-02-10,2728300.0
2020-04-29,2217300.0
2019-11-26,2396200.0
2020-02-13,1876800.0
2019-01-30,2190200.0
2018-08-23,2229000.0
2018-09-24,3242500.0
2018-11-27,2226500.0
2018-10-26,3453300.0
2019-07-09,4165300.0
2019-06-07,3336200.0
2019-05-06,3657800.0
2019-04-04,3943100.0
2019-09-11,5720100.0
2019-11-29,6031800.0
2020-05-05,4264100.0
2019-12-02,5192500.0
2020-02-19,2751400.0
2020-05-08,3736900.0
2019-05-21,5261100.0
2019-03-18,4713600.0
2018-09-07,5151400.0
2018-08-06,5177400.0
2018-10-09,7155800.0
2019-02-14,7933100.0
2018-12-12,5742000.0
2019-07-24,7256000.0
2019-09-26,5646300.0
2019-10-28,5351800.0
2019-12-05,6740100.0
2020-05-11,5522700.0
2019-07-03,3875000.0
2020-02-25,4929600.0
2020-05-14,3358100.0
2020-02-28,3651700.0
2019-08-08,5166300.0
2019-06-05,6465800.0
2018-07-20,3904400.0
2018-08-21,5214800.0
2018-10-24,4001000.0
2019-04-02,4289600.0
2019-03-01,4271100.0
2019-01-28,4300200.0
2018-12-27,3819300.0
2019-09-09,2013600.0
2020-03-02,4253700.0
2020-05-20,2886700.0
2019-12-17,3339200.0
2020-03-05,3143600.0
2019-02-12,2911300.0
2019-01-11,3086400.0
2018-12-10,2211500.0
2019-08-23,2066900.0
2018-11-08,2594400.0
2019-07-22,2105100.0
2019-06-20,1828700.0
2018-09-05,2176400.0
2019-04-17,2310400.0
2019-09-24,2240600.0
2019-12-20,2168900.0
2020-05-26,2276300.0
2019-04-30,2146800.0
2019-12-23,2169600.0
2020-03-11,2121800.0
2020-05-29,2481100.0
2019-12-26,2794800.0
2020-06-01,3538900.0
2019-05-02,4694800.0
2019-02-27,4422700.0
2018-11-23,4632800.0
2019-08-06,4613200.0
2018-07-18,2767700.0
2018-09-20,1846100.0
2018-10-22,1168500.0
2019-07-05,1483500.0
2019-06-03,2633400.0
2019-10-09,3297000.0
2019-10-11,4433100.0
2020-03-17,2330900.0
2020-06-04,2032500.0
2019-10-14,1743300.0
2020-03-20,2370000.0
2018-11-06,2329900.0
2019-06-18,3050500.0
2019-05-17,2731700.0
2019-04-15,4257500.0
2019-03-14,2992700.0
2019-01-09,2385500.0
2018-08-02,2653900.0
2018-10-05,2232100.0
2019-08-21,1739300.0
2019-10-17,1723800.0
2020-03-23,4546300.0
2020-06-10,1826600.0
2019-02-25,1707000.0
2020-01-07,2430600.0
2020-03-26,2470100.0
2019-10-23,3910900.0
