Dates,PEN
2018-06-20,153.35000610351562
2018-06-21,155.9499969482422
2018-06-25,151.4499969482422
2018-06-22,148.1999969482422
2018-06-26,146.10000610351562
2018-06-27,150.1999969482422
2018-06-28,141.85000610351562
2018-06-29,140.35000610351562
2018-07-02,138.0
2018-07-03,139.0500030517578
2018-07-05,143.39999389648438
2018-07-16,142.60000610351562
2018-09-18,142.4499969482422
2019-01-24,141.0
2019-09-05,138.5
2018-11-21,138.89999389648438
2020-01-13,139.4499969482422
2020-04-01,135.5500030517578
2020-06-19,135.5
2019-10-29,140.1999969482422
2020-01-16,139.5
2020-06-22,139.0
2018-10-03,137.0500030517578
2018-07-31,143.0500030517578
2019-03-12,138.3000030517578
2019-02-08,144.39999389648438
2019-01-07,143.75
2018-12-06,140.89999389648438
2019-08-19,139.3000030517578
2019-07-18,142.25
2019-05-15,143.64999389648438
2019-09-20,145.0500030517578
2019-11-01,146.0
2020-04-07,148.4499969482422
2020-06-25,148.5500030517578
2020-06-16,125.4000015258789
2019-11-04,123.9000015258789
2020-01-22,124.80000305175781
2019-11-07,121.9000015258789
2020-04-13,121.80000305175781
2019-07-01,124.0
2019-05-30,128.25
2018-08-15,126.55000305175781
2018-10-18,125.3499984741211
2019-03-27,126.6500015258789
2019-01-22,129.10000610351562
2018-12-21,129.5
2019-09-03,129.8000030517578
2018-11-19,130.89999389648438
2019-08-02,131.4499969482422
2020-01-28,134.39999389648438
2020-04-16,135.3000030517578
2019-11-13,138.75
2020-01-31,140.25
2018-12-04,138.9499969482422
2018-11-02,142.1999969482422
2019-07-16,142.75
2018-08-30,142.9499969482422
2018-10-01,148.1999969482422
2019-06-14,155.14999389648438
2019-05-13,155.8000030517578
2019-04-11,156.64999389648438
2019-02-06,152.6999969482422
2019-09-18,152.39999389648438
2020-02-03,151.4499969482422
2020-04-22,150.6999969482422
2019-11-19,149.25
2020-02-06,152.1999969482422
2019-11-22,156.1999969482422
2019-03-25,154.64999389648438
2019-02-21,148.85000610351562
2018-12-19,149.94000244140625
2018-07-12,146.9600067138672
2018-09-14,142.67999267578125
2018-08-13,140.41000366210938
2018-10-16,137.13999938964844
2019-07-31,136.05999755859375
2019-05-28,133.9600067138672
2019-04-26,133.35000610351562
2020-04-28,130.58999633789062
2019-11-25,135.8000030517578
2020-02-12,136.44000244140625
2020-05-01,137.4600067138672
2020-05-04,142.3699951171875
2019-06-12,142.10000610351562
2019-04-09,141.1199951171875
2019-03-08,137.1999969482422
2019-02-04,134.07000732421875
2018-07-27,138.25
2018-08-28,138.35000610351562
2019-01-03,136.61000061035156
2019-08-15,139.55999755859375
2018-10-31,137.14999389648438
2019-09-16,136.50999450683594
2020-02-18,137.00999450683594
2020-05-07,141.4499969482422
2018-08-17,137.8000030517578
2019-12-04,142.85000610351562
2020-02-21,148.0
2018-12-17,155.0500030517578
2019-08-30,154.17999267578125
2018-11-15,150.52000427246094
2019-07-29,137.74000549316406
2019-06-27,136.27000427246094
2019-04-24,129.3699951171875
2018-07-10,134.1199951171875
2018-09-12,136.33999633789062
2019-02-19,123.05000305175781
2019-01-18,123.4000015258789
2020-02-24,124.77999877929688
2020-05-13,126.31999969482422
2019-12-10,128.74000549316406
2020-02-27,131.1300048828125
2019-12-13,134.1699981689453
2020-05-19,136.8699951171875
2019-03-06,139.25
2018-11-30,145.1999969482422
2019-08-13,136.9199981689453
2019-07-12,135.6300048828125
2019-06-10,131.5500030517578
2019-05-09,134.6300048828125
2018-07-25,129.74000549316406
2018-09-27,131.57000732421875
2018-10-29,125.06999969482422
2019-10-16,124.4000015258789
2019-12-16,118.83999633789062
2020-03-04,120.5199966430664
2020-05-22,117.66999816894531
2019-10-01,116.7300033569336
2019-12-19,115.19999694824219
2018-09-10,114.44999694824219
2019-05-24,122.55999755859375
2018-08-09,127.13999938964844
2019-04-22,125.81999969482422
2019-03-21,120.58999633789062
2019-01-16,122.08999633789062
2019-08-28,117.4000015258789
2018-11-13,124.08000183105469
2018-10-12,122.5
2019-06-25,124.77999877929688
2020-03-10,122.97000122070312
2020-05-28,129.3000030517578
2019-10-07,125.19999694824219
2020-03-13,127.58999633789062
2019-10-10,133.25
2020-03-16,136.66000366210938
2020-06-03,140.08999633789062
2018-11-28,140.3699951171875
2018-09-25,141.5399932861328
2018-07-23,138.9499969482422
2018-08-24,139.41000366210938
2019-07-10,140.88999938964844
2019-05-07,138.32000732421875
2019-04-05,139.5399932861328
2019-03-04,142.3000030517578
2019-01-31,145.08999633789062
2019-09-12,144.42999267578125
2019-12-31,147.77000427246094
