Dates,PFG
2018-06-20,1507300.0
2018-06-21,1587600.0
2018-06-25,1970600.0
2018-06-22,1302900.0
2018-06-26,1139200.0
2018-06-27,1559100.0
2018-06-28,1157300.0
2018-06-29,1486700.0
2018-07-02,1302800.0
2018-07-03,1159000.0
2018-07-05,1175300.0
2018-07-16,1600300.0
2018-09-18,1469900.0
2019-01-24,1386700.0
2019-09-05,1436900.0
2018-11-21,1131200.0
2020-01-13,1175500.0
2020-04-01,1414200.0
2020-06-19,1872500.0
2019-10-29,1862200.0
2020-01-16,1128800.0
2020-06-22,1388400.0
2018-10-03,1098100.0
2018-07-31,1230700.0
2019-03-12,1408800.0
2019-02-08,1255200.0
2019-01-07,2142700.0
2018-12-06,1550900.0
2019-08-19,2738700.0
2019-07-18,2019000.0
2019-05-15,1643600.0
2019-09-20,1039900.0
2019-11-01,1044500.0
2020-04-07,1255200.0
2020-06-25,788400.0
2020-06-16,800000.0
2019-11-04,1145500.0
2020-01-22,844000.0
2019-11-07,985800.0
2020-04-13,1558200.0
2019-07-01,1353500.0
2019-05-30,1432700.0
2018-08-15,950900.0
2018-10-18,1414200.0
2019-03-27,850500.0
2019-01-22,732600.0
2018-12-21,533000.0
2019-09-03,707300.0
2018-11-19,842600.0
2019-08-02,830500.0
2020-01-28,853300.0
2020-04-16,1244400.0
2019-11-13,1166600.0
2020-01-31,1703000.0
2018-12-04,1639500.0
2018-11-02,1695100.0
2019-07-16,807300.0
2018-08-30,980800.0
2018-10-01,910000.0
2019-06-14,1035900.0
2019-05-13,1484400.0
2019-04-11,1737000.0
2019-02-06,1162900.0
2019-09-18,1292600.0
2020-02-03,1265100.0
2020-04-22,1780600.0
2019-11-19,935500.0
2020-02-06,1330500.0
2019-11-22,1489000.0
2019-03-25,1682800.0
2019-02-21,2336100.0
2018-12-19,1693100.0
2018-07-12,1403100.0
2018-09-14,1763700.0
2018-08-13,2059300.0
2018-10-16,1496300.0
2019-07-31,1098000.0
2019-05-28,1139600.0
2019-04-26,1348400.0
2020-04-28,1476500.0
2019-11-25,2516200.0
2020-02-12,2412600.0
2020-05-01,2085900.0
2020-05-04,1657000.0
2019-06-12,1203800.0
2019-04-09,2787700.0
2019-03-08,2259500.0
2019-02-04,2740800.0
2018-07-27,1982700.0
2018-08-28,3481700.0
2019-01-03,3215400.0
2019-08-15,2302700.0
2018-10-31,2952500.0
2019-09-16,2518000.0
2020-02-18,2777300.0
2020-05-07,2202300.0
2018-08-17,1652100.0
2019-12-04,1360700.0
2020-02-21,1998900.0
2018-12-17,1695000.0
2019-08-30,2887500.0
2018-11-15,2233900.0
2019-07-29,1586400.0
2019-06-27,1934900.0
2019-04-24,1550100.0
2018-07-10,2004800.0
2018-09-12,2476100.0
2019-02-19,2576300.0
2019-01-18,2062100.0
2020-02-24,668300.0
2020-05-13,1574300.0
2019-12-10,1404900.0
2020-02-27,1597400.0
2019-12-13,1334600.0
2020-05-19,2815700.0
2019-03-06,3282200.0
2018-11-30,2160200.0
2019-08-13,2191300.0
2019-07-12,1661100.0
2019-06-10,1900200.0
2019-05-09,2043200.0
2018-07-25,2121600.0
2018-09-27,1472500.0
2018-10-29,2430700.0
2019-10-16,2433700.0
2019-12-16,1865200.0
2020-03-04,2236100.0
2020-05-22,2250300.0
2019-10-01,4703200.0
2019-12-19,813300.0
2018-09-10,1705900.0
2019-05-24,1986500.0
2018-08-09,1834300.0
2019-04-22,1666700.0
2019-03-21,1778700.0
2019-01-16,1366100.0
2019-08-28,1650500.0
2018-11-13,1249000.0
2018-10-12,1951300.0
2019-06-25,2022400.0
2020-03-10,1483200.0
2020-05-28,1776300.0
2019-10-07,1286700.0
2020-03-13,1681100.0
2019-10-10,1482300.0
2020-03-16,1373700.0
2020-06-03,2378200.0
2018-11-28,1551700.0
2018-09-25,1591800.0
2018-07-23,1246600.0
2018-08-24,1690400.0
2019-07-10,1596000.0
2019-05-07,1599000.0
2019-04-05,3652500.0
2019-03-04,4620900.0
2019-01-31,2106700.0
2019-09-12,1994000.0
2019-12-31,1907400.0
2020-03-19,1437000.0
2020-01-03,1663900.0
2020-06-09,1659200.0
2019-02-15,1216700.0
2019-01-14,1712000.0
2018-07-06,1688200.0
2018-08-07,1303000.0
2018-10-10,2072000.0
2018-12-13,1601700.0
2019-08-26,1416900.0
2019-07-25,1596000.0
2019-05-22,1896700.0
2019-03-19,1271200.0
2020-01-06,1400200.0
2020-03-25,1738800.0
2020-06-12,1519700.0
2019-10-22,2335300.0
2020-01-09,2302300.0
2020-06-15,1428900.0
2019-10-25,878500.0
2020-03-31,1815400.0
2020-06-18,1616700.0
2019-04-03,1790500.0
2018-08-22,1805700.0
2018-10-25,2157500.0
2019-01-29,2565300.0
2018-12-28,8344700.0
2018-11-26,1931500.0
2019-08-09,1709900.0
2019-07-08,2384500.0
2019-06-06,1900400.0
2019-09-10,2018900.0
2020-01-15,1494800.0
2020-04-03,1295700.0
2019-10-31,1325800.0
2020-04-06,981600.0
2020-06-24,1481800.0
2018-11-09,1417200.0
2019-07-23,1195400.0
2019-06-21,1388200.0
2019-05-20,812700.0
2019-04-18,1674300.0
2018-09-06,802300.0
2018-10-08,1813300.0
2019-02-13,1069300.0
2018-12-11,1038300.0
2019-09-25,1227300.0
2020-01-21,827400.0
2020-04-09,1322100.0
2019-11-06,1379200.0
2020-01-24,1894900.0
2020-01-27,1243000.0
2020-04-15,1203600.0
2018-12-26,1169500.0
2019-08-07,1679000.0
2019-06-04,1629300.0
2018-09-21,989700.0
2018-07-19,1562000.0
2018-08-20,1641300.0
2018-10-23,1618400.0
2019-05-03,961000.0
2019-04-01,748200.0
2019-02-28,1301100.0
2019-11-12,923100.0
2020-01-30,949200.0
2019-11-15,861500.0
2020-04-21,1124600.0
2019-04-16,887900.0
2019-03-15,1179900.0
2019-02-11,1164100.0
2019-01-10,1270900.0
2019-08-22,909800.0
2018-11-07,1062100.0
2018-08-03,1263600.0
2018-09-04,1446900.0
2019-06-19,1310900.0
2019-09-23,3924500.0
2019-11-18,1154200.0
2020-02-05,1365900.0
2020-04-24,1784100.0
2019-03-29,1422300.0
2019-11-21,1785600.0
2020-04-27,935100.0
2020-02-11,978700.0
2020-04-30,1252000.0
2019-05-01,1864500.0
2019-02-26,1095000.0
2019-01-25,954700.0
2018-12-24,1202900.0
2019-09-06,594200.0
2018-07-17,709200.0
2018-09-19,716900.0
2019-08-05,1568600.0
2019-10-08,1317700.0
2019-12-11,2330700.0
2019-11-27,1194400.0
2020-02-14,1081500.0
2020-05-06,1208500.0
2019-01-08,565600.0
2018-12-07,1890500.0
2019-08-20,1713800.0
2018-11-05,1213400.0
2019-07-19,525000.0
2018-10-04,927300.0
2019-06-17,936300.0
2019-05-16,1162800.0
2018-08-01,788500.0
2019-03-13,1071500.0
2019-12-03,789900.0
2020-02-20,560700.0
2019-12-06,1152200.0
2020-05-12,999900.0
2019-12-09,1442200.0
2020-02-26,1675100.0
2020-05-15,1191900.0
2019-03-28,1124800.0
2018-09-17,1128300.0
2018-08-16,1706100.0
2018-10-19,1670600.0
2019-04-29,1451500.0
2019-01-23,1133800.0
2019-09-04,2188200.0
2018-11-20,1960800.0
2019-07-02,1784200.0
2019-05-31,1730700.0
2019-12-12,1305900.0
2020-05-18,1306500.0
2019-09-27,1425700.0
2020-03-03,836800.0
2020-05-21,1445600.0
2019-05-14,1195100.0
2018-08-31,1060900.0
2018-07-30,1337000.0
2018-10-02,1606300.0
2019-04-12,1162300.0
2019-03-11,854900.0
2019-02-07,683400.0
2019-07-17,860200.0
2019-09-19,1154800.0
2019-10-21,857500.0
2019-12-18,1049200.0
2020-03-06,1039600.0
2019-10-03,1050500.0
2020-03-09,1199400.0
2020-05-27,1136900.0
2019-12-24,1115600.0
2020-03-12,1081500.0
2018-12-20,1152700.0
2019-08-01,1335600.0
2018-08-14,1015500.0
2018-07-13,1054200.0
2018-10-17,1194000.0
2019-05-29,1096100.0
2019-03-26,984200.0
2019-02-22,1100100.0
2019-10-04,1080000.0
2019-11-05,638800.0
2019-12-27,1511000.0
2020-06-02,685800.0
2019-12-30,1110600.0
2020-03-18,725300.0
2020-06-05,716800.0
2019-07-15,654600.0
2018-12-03,951500.0
2019-06-13,765500.0
2019-01-04,1110000.0
2018-08-29,1088500.0
2019-02-05,878900.0
2018-11-01,748700.0
2019-08-16,914000.0
2019-04-10,1181100.0
2019-09-17,894200.0
2019-10-15,903300.0
2020-01-02,729700.0
2020-06-08,676200.0
2019-10-18,810400.0
2020-03-24,539700.0
2020-06-11,687100.0
2020-01-08,617100.0
2019-04-25,819200.0
2019-07-30,589100.0
2019-02-20,1052700.0
2018-07-11,2210000.0
2018-09-13,947200.0
2018-10-15,873200.0
2019-06-28,979200.0
2018-12-18,1411900.0
2018-11-16,929700.0
2019-10-02,962400.0
2020-03-27,1406800.0
2020-01-10,1249100.0
2019-10-24,1415600.0
2020-03-30,1185500.0
2020-06-17,819100.0
2020-01-14,980300.0
2020-04-02,818100.0
2019-01-02,690700.0
2019-08-14,980400.0
2018-10-30,630700.0
2019-06-11,901300.0
2019-05-10,727500.0
2019-04-08,695200.0
2018-08-27,679400.0
2018-07-26,949300.0
2018-09-28,845900.0
2019-03-07,777200.0
2019-10-30,468400.0
2020-01-17,942600.0
2020-06-23,1145000.0
2020-04-08,764300.0
2020-06-26,1189400.0
2019-03-22,782800.0
2019-01-17,749000.0
2019-08-29,933100.0
2018-11-14,1098100.0
2019-06-26,1122400.0
2018-09-11,1046700.0
2018-07-09,1051700.0
2018-08-10,868400.0
2019-04-23,1118900.0
2019-09-30,1016600.0
2020-01-23,2725100.0
2019-11-08,734400.0
2020-04-14,252500.0
2019-11-11,412900.0
2020-01-29,686300.0
2020-04-17,505500.0
2018-07-24,673900.0
2018-09-26,1164500.0
2019-05-08,896100.0
2019-03-05,849900.0
2019-02-01,868300.0
2018-12-31,1176900.0
